clip_name,role,frame_index,phase,feature_current_ua,feature_delta_t_s,backbone_current_ua,backbone_delta_t_s,total_current_ua,total_delta_t_s
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,0,hop,102231.02502361622,0.0005200000014156103,101964.3066878178,0.003980000008596107,101918.928087156,0.004530000005615875
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,1,hop,102105.68403856675,0.0005200000014156103,102015.28098130377,0.003980000008596107,101945.98928755808,0.004530000005615875
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,2,hop,101409.94129389126,0.0005200000014156103,101777.56308159643,0.00398999999742955,101662.46709105176,0.0045399999944493175
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,3,hop,102309.0089241677,0.0005200000014156103,102192.72656436444,0.003990000011981465,102127.03803423968,0.004540000009001233
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,4,hop,104591.0584530503,0.0005299999902490526,102122.79496740254,0.003979999994044192,102294.34275104923,0.0045399999944493175
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,5,hop,102092.90962186015,0.0005200000014156103,101827.44552291119,0.00398999999742955,101784.53841504501,0.0045399999944493175
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,6,hop,102652.57235769548,0.0005200000014156103,102177.63001745075,0.00398999999742955,102164.72087932263,0.0045399999944493175
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,7,hop,103809.30142946406,0.0005300000048009679,102077.82455527497,0.003980000008596107,102173.5749278936,0.004540000009001233
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,8,hop,102170.58634952302,0.0005199999868636951,101940.41008163542,0.00398999999742955,101876.19596760145,0.0045399999944493175
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,9,hop,102167.83629011293,0.0005200000014156103,101947.5650914221,0.003990000011981465,101873.88408297107,0.004540000009001233
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,10,hop,101929.66752287079,0.0005200000014156103,101909.64969679351,0.00398999999742955,101828.17749493699,0.0045399999944493175
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,11,hop,103049.54601380324,0.0005299999902490526,102062.61607377823,0.00398999999742955,102079.7699478982,0.004549999997834675
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,12,hop,101775.17946421857,0.0005300000048009679,101999.98377895297,0.003979999994044192,101879.43748983003,0.0045399999944493175
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,13,hop,104165.02714250794,0.0005200000014156103,102047.40650441084,0.00398999999742955,102230.08507302402,0.0045399999944493175
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,14,hop,101987.1074619689,0.0005200000014156103,102198.84694019661,0.00398999999742955,102098.83944830643,0.0045399999944493175
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,15,hop,102455.77135867391,0.0005300000048009679,102322.0722365956,0.003980000008596107,102237.94940878493,0.004540000009001233
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,16,hop,101957.85160153841,0.0005300000048009679,102166.63067516052,0.003980000008596107,102043.55070858933,0.004540000009001233
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,17,hop,102072.33222503401,0.0005200000014156103,101881.13149366902,0.003980000008596107,101820.97863936242,0.004530000005615875
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,18,hop,104250.91852331761,0.0005200000014156103,102267.17890196505,0.003980000008596107,102396.10854688645,0.004540000009001233
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,19,hop,102042.45351084748,0.0005199999868636951,102002.1942091561,0.00398999999742955,101930.72070168622,0.0045399999944493175
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,20,hop,102362.95695652247,0.0005200000014156103,102151.45235648176,0.00398999999742955,102105.2126310514,0.0045399999944493175
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,21,hop,102290.15135932829,0.0005199999868636951,102292.7428217273,0.00398999999742955,102217.73746653183,0.0045399999944493175
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,22,hop,102574.26455197031,0.0005200000014156103,102229.09042967652,0.003980000008596107,102177.66849739978,0.004530000005615875
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,23,hop,102551.10007857761,0.0005199999868636951,102093.45543816611,0.00398999999742955,102080.77328168972,0.0045399999944493175
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,24,hop,102813.63003834091,0.0005300000048009679,102308.31027001771,0.003980000008596107,102266.00390593661,0.004540000009001233
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,25,hop,102565.9892826117,0.0005199999868636951,102064.80167425175,0.003979999994044192,102058.9570636991,0.00452999999106396
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,26,hop,102429.55402293589,0.0005200000014156103,102155.67117347996,0.00397000000521075,102098.08499475714,0.0045200000022305176
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,27,hop,102286.49018601027,0.0005199999868636951,101988.79967077704,0.003969999990658835,101928.42083390242,0.004519999987678602
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,28,hop,103135.40678845189,0.0005200000014156103,102318.78620401716,0.00397000000521075,102332.51377689207,0.0045200000022305176
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,29,hop,102681.9537207121,0.0005200000014156103,102093.69266732835,0.00397000000521075,102094.31345008168,0.0045200000022305176
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,30,hop,104945.56208011338,0.0005199999868636951,102110.3192447922,0.003969999990658835,102338.6539996394,0.00452999999106396
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,31,hop,104351.63641683743,0.0005200000014156103,102195.42999863985,0.00397000000521075,102338.44434582848,0.004530000005615875
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,32,hop,102673.0536278249,0.0005200000014156103,102085.62161756489,0.003969999990658835,102082.84736161398,0.004519999987678602
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,33,hop,102867.47634542662,0.0005200000014156103,102532.7077668442,0.003969999990658835,102482.93676840256,0.004519999987678602
