clip_name,true_label,head,head_precision,score,decision,sumsq
1100011348_ToyCar_case1_normal_IND_ch1_1348,normal,knn16,fp32,1.467305800894994,0,
1100011317_ToyCar_case1_normal_IND_ch1_1317,normal,knn16,fp32,1.5075577617220277,0,
1100010760_ToyCar_case1_normal_IND_ch1_0760,normal,knn16,fp32,1.2947282113935759,0,
1100010943_ToyCar_case1_normal_IND_ch1_0943,normal,knn16,fp32,1.4128449911195093,0,
1100010461_ToyCar_case1_normal_IND_ch1_0461,normal,knn16,fp32,1.447941938325815,0,
1100010770_ToyCar_case1_normal_IND_ch1_0770,normal,knn16,fp32,1.3445072973504155,0,
1100011088_ToyCar_case1_normal_IND_ch1_1088,normal,knn16,fp32,1.5468025262129284,0,
1100011058_ToyCar_case1_normal_IND_ch1_1058,normal,knn16,fp32,1.5762898396402214,0,
1100010437_ToyCar_case1_normal_IND_ch1_0437,normal,knn16,fp32,0.5399585146035654,0,
1100011297_ToyCar_case1_normal_IND_ch1_1297,normal,knn16,fp32,1.548705264182275,0,
1100011334_ToyCar_case1_normal_IND_ch1_1334,normal,knn16,fp32,1.5647092039306967,0,
1100010360_ToyCar_case1_normal_IND_ch1_0360,normal,knn16,fp32,1.313998335798666,0,
1100010705_ToyCar_case1_normal_IND_ch1_0705,normal,knn16,fp32,1.460203877580722,0,
1100010897_ToyCar_case1_normal_IND_ch1_0897,normal,knn16,fp32,1.3589635515722251,0,
1100010022_ToyCar_case1_normal_IND_ch1_0022,normal,knn16,fp32,1.664370373637053,0,
1100010088_ToyCar_case1_normal_IND_ch1_0088,normal,knn16,fp32,1.401702025911306,0,
1100010833_ToyCar_case1_normal_IND_ch1_0833,normal,knn16,fp32,1.3866002467040297,0,
1100010926_ToyCar_case1_normal_IND_ch1_0926,normal,knn16,fp32,1.3815462985311304,0,
1100010355_ToyCar_case1_normal_IND_ch1_0355,normal,knn16,fp32,1.3326315570708196,0,
1100010365_ToyCar_case1_normal_IND_ch1_0365,normal,knn16,fp32,1.2425797154874965,0,
1100011191_ToyCar_case1_normal_IND_ch1_1191,normal,knn16,fp32,1.5483843398862618,0,
1100010285_ToyCar_case1_normal_IND_ch1_0285,normal,knn16,fp32,1.2910239779421986,0,
1100011164_ToyCar_case1_normal_IND_ch1_1164,normal,knn16,fp32,1.5497140421683602,0,
1100010152_ToyCar_case1_normal_IND_ch1_0152,normal,knn16,fp32,1.2835121931727778,0,
1100010596_ToyCar_case1_normal_IND_ch1_0596,normal,knn16,fp32,1.4796972125791603,0,
1100011063_ToyCar_case1_normal_IND_ch1_1063,normal,knn16,fp32,1.8013647577073508,1,
1100010919_ToyCar_case1_normal_IND_ch1_0919,normal,knn16,fp32,1.3992810018007413,0,
1100010181_ToyCar_case1_normal_IND_ch1_0181,normal,knn16,fp32,1.2553559357175965,0,
1100010448_ToyCar_case1_normal_IND_ch1_0448,normal,knn16,fp32,1.3101498983100304,0,
1100011137_ToyCar_case1_normal_IND_ch1_1137,normal,knn16,fp32,1.5086469109376521,0,
1100010304_ToyCar_case1_normal_IND_ch1_0304,normal,knn16,fp32,1.3310431010991652,0,
1100011081_ToyCar_case1_normal_IND_ch1_1081,normal,knn16,fp32,1.5230658498689476,0,
1100010946_ToyCar_case1_normal_IND_ch1_0946,normal,knn16,fp32,1.4268035863032584,0,
1100011034_ToyCar_case1_normal_IND_ch1_1034,normal,knn16,fp32,1.4230079012542978,0,
1100010091_ToyCar_case1_normal_IND_ch1_0091,normal,knn16,fp32,1.3898261659338365,0,
1100010032_ToyCar_case1_normal_IND_ch1_0032,normal,knn16,fp32,1.3594485930133136,0,
1100010745_ToyCar_case1_normal_IND_ch1_0745,normal,knn16,fp32,1.4417136585444787,0,
1100010242_ToyCar_case1_normal_IND_ch1_0242,normal,knn16,fp32,1.2899964488109186,0,
1100010809_ToyCar_case1_normal_IND_ch1_0809,normal,knn16,fp32,1.2825374882561966,0,
1100011230_ToyCar_case1_normal_IND_ch1_1230,normal,knn16,fp32,1.520644895151721,0,
1100011035_ToyCar_case1_normal_IND_ch1_1035,normal,knn16,fp32,1.4399247306498695,0,
1100010749_ToyCar_case1_normal_IND_ch1_0749,normal,knn16,fp32,1.469870671268634,0,
1100011042_ToyCar_case1_normal_IND_ch1_1042,normal,knn16,fp32,1.3486337801240411,0,
1100010156_ToyCar_case1_normal_IND_ch1_0156,normal,knn16,fp32,1.2808588275851176,0,
1100010521_ToyCar_case1_normal_IND_ch1_0521,normal,knn16,fp32,1.431922475152257,0,
1100010936_ToyCar_case1_normal_IND_ch1_0936,normal,knn16,fp32,1.4099976116957686,0,
1100010191_ToyCar_case1_normal_IND_ch1_0191,normal,knn16,fp32,1.310417423044331,0,
1100010869_ToyCar_case1_normal_IND_ch1_0869,normal,knn16,fp32,1.3816424267668004,0,
1100010676_ToyCar_case1_normal_IND_ch1_0676,normal,knn16,fp32,1.415398755990845,0,
1100010751_ToyCar_case1_normal_IND_ch1_0751,normal,knn16,fp32,1.31463798014919,0,
1100011156_ToyCar_case1_normal_IND_ch1_1156,normal,knn16,fp32,1.5438995907497346,0,
1100010387_ToyCar_case1_normal_IND_ch1_0387,normal,knn16,fp32,1.3627096337360172,0,
1100010402_ToyCar_case1_normal_IND_ch1_0402,normal,knn16,fp32,1.3696853892572005,0,
1100010476_ToyCar_case1_normal_IND_ch1_0476,normal,knn16,fp32,1.4483468089898222,0,
1100010527_ToyCar_case1_normal_IND_ch1_0527,normal,knn16,fp32,1.4329956699746906,0,
1100011069_ToyCar_case1_normal_IND_ch1_1069,normal,knn16,fp32,1.6695699737937928,0,
1100010100_ToyCar_case1_normal_IND_ch1_0100,normal,knn16,fp32,1.399015085499545,0,
1100010295_ToyCar_case1_normal_IND_ch1_0295,normal,knn16,fp32,1.3255977269015329,0,
1100010786_ToyCar_case1_normal_IND_ch1_0786,normal,knn16,fp32,1.3939188397543296,0,
1100010668_ToyCar_case1_normal_IND_ch1_0668,normal,knn16,fp32,1.3952750496586663,0,
1100011098_ToyCar_case1_normal_IND_ch1_1098,normal,knn16,fp32,1.5859304775291465,0,
1100010007_ToyCar_case1_normal_IND_ch1_0007,normal,knn16,fp32,1.6319006078643616,0,
1100010819_ToyCar_case1_normal_IND_ch1_0819,normal,knn16,fp32,1.43737265374207,0,
1100011153_ToyCar_case1_normal_IND_ch1_1153,normal,knn16,fp32,1.5918394119990769,0,
1100010815_ToyCar_case1_normal_IND_ch1_0815,normal,knn16,fp32,1.3481650971439378,0,
1100010998_ToyCar_case1_normal_IND_ch1_0998,normal,knn16,fp32,1.4447887190054365,0,
1100011166_ToyCar_case1_normal_IND_ch1_1166,normal,knn16,fp32,1.530123713316132,0,
1100010346_ToyCar_case1_normal_IND_ch1_0346,normal,knn16,fp32,1.3322037647271114,0,
1100010269_ToyCar_case1_normal_IND_ch1_0269,normal,knn16,fp32,1.348344465848835,0,
1100011310_ToyCar_case1_normal_IND_ch1_1310,normal,knn16,fp32,1.5461337026848683,0,
1100010734_ToyCar_case1_normal_IND_ch1_0734,normal,knn16,fp32,1.5082161499274422,0,
1100010618_ToyCar_case1_normal_IND_ch1_0618,normal,knn16,fp32,1.4518121709587322,0,
1100011176_ToyCar_case1_normal_IND_ch1_1176,normal,knn16,fp32,1.5659647878380767,0,
1100010408_ToyCar_case1_normal_IND_ch1_0408,normal,knn16,fp32,1.345405193293152,0,
