clip_name,true_label,head,head_precision,score,decision,sumsq
1100011348_ToyCar_case1_normal_IND_ch1_1348,normal,euclidean,int8,1.4536355539033432,0,2404
1100011317_ToyCar_case1_normal_IND_ch1_1317,normal,euclidean,int8,1.4178209435458018,0,2287
1100010760_ToyCar_case1_normal_IND_ch1_0760,normal,euclidean,int8,1.2796604054398912,0,1863
1100010943_ToyCar_case1_normal_IND_ch1_0943,normal,euclidean,int8,1.1694808139336177,0,1556
1100010461_ToyCar_case1_normal_IND_ch1_0461,normal,euclidean,int8,1.3495319800120573,0,2072
1100010770_ToyCar_case1_normal_IND_ch1_0770,normal,euclidean,int8,1.3315002554954916,0,2017
1100011088_ToyCar_case1_normal_IND_ch1_1088,normal,euclidean,int8,1.3262086289741313,0,2001
1100011058_ToyCar_case1_normal_IND_ch1_1058,normal,euclidean,int8,1.3921710611520226,0,2205
1100010437_ToyCar_case1_normal_IND_ch1_0437,normal,euclidean,int8,10.233590588981212,1,119146
1100011297_ToyCar_case1_normal_IND_ch1_1297,normal,euclidean,int8,1.5044471006656102,0,2575
1100011334_ToyCar_case1_normal_IND_ch1_1334,normal,euclidean,int8,1.2902631451423467,0,1894
1100010360_ToyCar_case1_normal_IND_ch1_0360,normal,euclidean,int8,1.2658482318993862,0,1823
1100010705_ToyCar_case1_normal_IND_ch1_0705,normal,euclidean,int8,1.3088631014752172,0,1949
1100010897_ToyCar_case1_normal_IND_ch1_0897,normal,euclidean,int8,1.2651536649160104,0,1821
1100010022_ToyCar_case1_normal_IND_ch1_0022,normal,euclidean,int8,2.352077753597651,0,6294
1100010088_ToyCar_case1_normal_IND_ch1_0088,normal,euclidean,int8,2.298399619067515,0,6010
1100010833_ToyCar_case1_normal_IND_ch1_0833,normal,euclidean,int8,1.4997658070118969,0,2559
1100010926_ToyCar_case1_normal_IND_ch1_0926,normal,euclidean,int8,1.260978228890601,0,1809
1100010355_ToyCar_case1_normal_IND_ch1_0355,normal,euclidean,int8,1.1973339184928462,0,1631
1100010365_ToyCar_case1_normal_IND_ch1_0365,normal,euclidean,int8,1.1921840713189844,0,1617
1100011191_ToyCar_case1_normal_IND_ch1_1191,normal,euclidean,int8,1.3051643158871544,0,1938
1100010285_ToyCar_case1_normal_IND_ch1_0285,normal,euclidean,int8,1.2641110988840454,0,1818
1100011164_ToyCar_case1_normal_IND_ch1_1164,normal,euclidean,int8,1.2284951678888165,0,1717
1100010152_ToyCar_case1_normal_IND_ch1_0152,normal,euclidean,int8,1.260978228890601,0,1809
1100010596_ToyCar_case1_normal_IND_ch1_0596,normal,euclidean,int8,1.3759769364067203,0,2154
1100011063_ToyCar_case1_normal_IND_ch1_1063,normal,euclidean,int8,1.5264872066584612,0,2651
1100010919_ToyCar_case1_normal_IND_ch1_0919,normal,euclidean,int8,1.2374064639119344,0,1742
1100010181_ToyCar_case1_normal_IND_ch1_0181,normal,euclidean,int8,1.133217866264183,0,1461
1100010448_ToyCar_case1_normal_IND_ch1_0448,normal,euclidean,int8,1.2039227822185845,0,1649
1100011137_ToyCar_case1_normal_IND_ch1_1137,normal,euclidean,int8,1.4292439642959174,0,2324
1100010304_ToyCar_case1_normal_IND_ch1_0304,normal,euclidean,int8,1.301455018249591,0,1927
1100011081_ToyCar_case1_normal_IND_ch1_1081,normal,euclidean,int8,1.3465978570046486,0,2063
1100010946_ToyCar_case1_normal_IND_ch1_0946,normal,euclidean,int8,1.3148932167955039,0,1967
1100011034_ToyCar_case1_normal_IND_ch1_1034,normal,euclidean,int8,1.295362347513444,0,1909
1100010091_ToyCar_case1_normal_IND_ch1_0091,normal,euclidean,int8,2.5243949824484746,0,7250
1100010032_ToyCar_case1_normal_IND_ch1_0032,normal,euclidean,int8,2.1909092717862255,0,5461
1100010745_ToyCar_case1_normal_IND_ch1_0745,normal,euclidean,int8,1.359266647998509,0,2102
1100010242_ToyCar_case1_normal_IND_ch1_0242,normal,euclidean,int8,1.2641110988840454,0,1818
1100010809_ToyCar_case1_normal_IND_ch1_0809,normal,euclidean,int8,1.2706995705789497,0,1837
1100011230_ToyCar_case1_normal_IND_ch1_1230,normal,euclidean,int8,1.3874277047349997,0,2190
1100011035_ToyCar_case1_normal_IND_ch1_1035,normal,euclidean,int8,1.3682898542686603,0,2130
1100010749_ToyCar_case1_normal_IND_ch1_0749,normal,euclidean,int8,1.3145589360689134,0,1966
1100011042_ToyCar_case1_normal_IND_ch1_1042,normal,euclidean,int8,1.4112964781565287,0,2266
1100010156_ToyCar_case1_normal_IND_ch1_0156,normal,euclidean,int8,1.3896432859189412,0,2197
1100010521_ToyCar_case1_normal_IND_ch1_0521,normal,euclidean,int8,1.3813960719209142,0,2171
1100010936_ToyCar_case1_normal_IND_ch1_0936,normal,euclidean,int8,1.2943441141469898,0,1906
1100010191_ToyCar_case1_normal_IND_ch1_0191,normal,euclidean,int8,1.2990890417110295,0,1920
1100010869_ToyCar_case1_normal_IND_ch1_0869,normal,euclidean,int8,1.1980678038933452,0,1633
1100010676_ToyCar_case1_normal_IND_ch1_0676,normal,euclidean,int8,1.3400545828307218,0,2043
1100010751_ToyCar_case1_normal_IND_ch1_0751,normal,euclidean,int8,1.229925314086571,0,1721
1100011156_ToyCar_case1_normal_IND_ch1_1156,normal,euclidean,int8,1.3462714485991736,0,2062
1100010387_ToyCar_case1_normal_IND_ch1_0387,normal,euclidean,int8,1.2363404997825047,0,1739
1100010402_ToyCar_case1_normal_IND_ch1_0402,normal,euclidean,int8,1.4542401018828592,0,2406
1100010476_ToyCar_case1_normal_IND_ch1_0476,normal,euclidean,int8,1.235629346143116,0,1737
1100010527_ToyCar_case1_normal_IND_ch1_0527,normal,euclidean,int8,1.5053232225106155,0,2578
1100011069_ToyCar_case1_normal_IND_ch1_1069,normal,euclidean,int8,1.5995926787474848,0,2911
1100010100_ToyCar_case1_normal_IND_ch1_0100,normal,euclidean,int8,2.3204745052183346,0,6126
1100010295_ToyCar_case1_normal_IND_ch1_0295,normal,euclidean,int8,1.1709830378206234,0,1560
1100010786_ToyCar_case1_normal_IND_ch1_0786,normal,euclidean,int8,1.3582963207019736,0,2099
1100010668_ToyCar_case1_normal_IND_ch1_0668,normal,euclidean,int8,1.349206281448122,0,2071
1100011098_ToyCar_case1_normal_IND_ch1_1098,normal,euclidean,int8,1.5567063180859073,0,2757
1100010007_ToyCar_case1_normal_IND_ch1_0007,normal,euclidean,int8,1.559245117790764,0,2766
1100010819_ToyCar_case1_normal_IND_ch1_0819,normal,euclidean,int8,1.3912236836614609,0,2202
1100011153_ToyCar_case1_normal_IND_ch1_1153,normal,euclidean,int8,1.3058376016249391,0,1940
1100010815_ToyCar_case1_normal_IND_ch1_0815,normal,euclidean,int8,1.2990890417110295,0,1920
1100010998_ToyCar_case1_normal_IND_ch1_0998,normal,euclidean,int8,1.4307806209748868,0,2329
1100011166_ToyCar_case1_normal_IND_ch1_1166,normal,euclidean,int8,1.4988864367768036,0,2556
1100010346_ToyCar_case1_normal_IND_ch1_0346,normal,euclidean,int8,1.3605593412511932,0,2106
1100010269_ToyCar_case1_normal_IND_ch1_0269,normal,euclidean,int8,1.3390703340142502,0,2040
1100011310_ToyCar_case1_normal_IND_ch1_1310,normal,euclidean,int8,1.5785736044010628,0,2835
1100010734_ToyCar_case1_normal_IND_ch1_0734,normal,euclidean,int8,1.3746987411132827,0,2150
1100010618_ToyCar_case1_normal_IND_ch1_0618,normal,euclidean,int8,1.2751878590858905,0,1850
1100011176_ToyCar_case1_normal_IND_ch1_1176,normal,euclidean,int8,1.3168971192283763,0,1973
1100010408_ToyCar_case1_normal_IND_ch1_0408,normal,euclidean,int8,1.3028050756854692,0,1931
1100010337_ToyCar_case1_normal_IND_ch1_0337,normal,euclidean,int8,1.3185647115378787,0,1978
1100010939_ToyCar_case1_normal_IND_ch1_0939,normal,euclidean,int8,1.3514845230828327,0,2078
1100011177_ToyCar_case1_normal_IND_ch1_1177,normal,euclidean,int8,1.4384392808742912,0,2354
1100011281_ToyCar_case1_normal_IND_ch1_1281,normal,euclidean,int8,1.3278645275201904,0,2006
1100011291_ToyCar_case1_normal_IND_ch1_1291,normal,euclidean,int8,1.6295349052057655,0,3021
1100011248_ToyCar_case1_normal_IND_ch1_1248,normal,euclidean,int8,1.4270898651601962,0,2317
1100010045_ToyCar_case1_normal_IND_ch1_0045,normal,euclidean,int8,2.042453472228851,0,4746
1100010062_ToyCar_case1_normal_IND_ch1_0062,normal,euclidean,int8,2.1311181889791166,0,5167
1100010957_ToyCar_case1_normal_IND_ch1_0957,normal,euclidean,int8,1.2550392486853823,0,1792
1100010700_ToyCar_case1_normal_IND_ch1_0700,normal,euclidean,int8,1.2613267098227454,0,1810
1100010354_ToyCar_case1_normal_IND_ch1_0354,normal,euclidean,int8,1.1116830023570763,0,1406
1100010689_ToyCar_case1_normal_IND_ch1_0689,normal,euclidean,int8,1.4991796175007372,0,2557
1100011101_ToyCar_case1_normal_IND_ch1_1101,normal,euclidean,int8,1.3061741143483774,0,1941
1100010278_ToyCar_case1_normal_IND_ch1_0278,normal,euclidean,int8,1.2731183075044084,0,1844
1100010389_ToyCar_case1_normal_IND_ch1_0389,normal,euclidean,int8,1.237051244595325,0,1741
1100010626_ToyCar_case1_normal_IND_ch1_0626,normal,euclidean,int8,1.2437830639233438,0,1760
1100010377_ToyCar_case1_normal_IND_ch1_0377,normal,euclidean,int8,1.168728977909955,0,1554
1100011163_ToyCar_case1_normal_IND_ch1_1163,normal,euclidean,int8,1.5824665168585679,0,2849
1100010773_ToyCar_case1_normal_IND_ch1_0773,normal,euclidean,int8,1.2868524515074269,0,1884
1100010904_ToyCar_case1_normal_IND_ch1_0904,normal,euclidean,int8,1.2682762208746818,0,1830
1100011186_ToyCar_case1_normal_IND_ch1_1186,normal,euclidean,int8,1.3357842668915851,0,2030
1100010844_ToyCar_case1_normal_IND_ch1_0844,normal,euclidean,int8,1.53338142558224,0,2675
1100010542_ToyCar_case1_normal_IND_ch1_0542,normal,euclidean,int8,1.2525856016685673,0,1785
1100011253_ToyCar_case1_normal_IND_ch1_1253,normal,euclidean,int8,1.4261656838230132,0,2314
1100011032_ToyCar_case1_normal_IND_ch1_1032,normal,euclidean,int8,1.2861692274340437,0,1882
1100011158_ToyCar_case1_normal_IND_ch1_1158,normal,euclidean,int8,1.5082399530551132,0,2588
1100010902_ToyCar_case1_normal_IND_ch1_0902,normal,euclidean,int8,1.3038167013658037,0,1934
1100010986_ToyCar_case1_normal_IND_ch1_0986,normal,euclidean,int8,1.4375223960806887,0,2351
1100010573_ToyCar_case1_normal_IND_ch1_0573,normal,euclidean,int8,1.3341381981616882,0,2025
1100010106_ToyCar_case1_normal_IND_ch1_0106,normal,euclidean,int8,2.000273731777212,0,4552
1100010458_ToyCar_case1_normal_IND_ch1_0458,normal,euclidean,int8,1.4785165752185645,0,2487
1100010244_ToyCar_case1_normal_IND_ch1_0244,normal,euclidean,int8,1.2957015808170238,0,1910
1100010619_ToyCar_case1_normal_IND_ch1_0619,normal,euclidean,int8,1.3357842668915851,0,2030
1100010025_ToyCar_case1_normal_IND_ch1_0025,normal,euclidean,int8,1.9013744764481548,0,4113
1100011168_ToyCar_case1_normal_IND_ch1_1168,normal,euclidean,int8,1.4264738107972952,0,2315
1100010494_ToyCar_case1_normal_IND_ch1_0494,normal,euclidean,int8,1.3778920061385038,0,2160
1100011121_ToyCar_case1_normal_IND_ch1_1121,normal,euclidean,int8,1.3772539454392576,0,2158
1100011287_ToyCar_case1_normal_IND_ch1_1287,normal,euclidean,int8,1.4782192963223821,0,2486
1100010192_ToyCar_case1_normal_IND_ch1_0192,normal,euclidean,int8,1.2984122565430796,0,1918
1100011114_ToyCar_case1_normal_IND_ch1_1114,normal,euclidean,int8,1.3962689356995948,0,2218
1100011178_ToyCar_case1_normal_IND_ch1_1178,normal,euclidean,int8,1.3321602308795097,0,2019
1100011086_ToyCar_case1_normal_IND_ch1_1086,normal,euclidean,int8,1.5102783128367607,0,2595
1100010489_ToyCar_case1_normal_IND_ch1_0489,normal,euclidean,int8,1.3721387784801096,0,2142
1100011247_ToyCar_case1_normal_IND_ch1_1247,normal,euclidean,int8,1.3905917400977816,0,2200
1100010324_ToyCar_case1_normal_IND_ch1_0324,normal,euclidean,int8,1.2775980988532423,0,1857
1100010418_ToyCar_case1_normal_IND_ch1_0418,normal,euclidean,int8,1.349206281448122,0,2071
1100011147_ToyCar_case1_normal_IND_ch1_1147,normal,euclidean,int8,1.2902631451423467,0,1894
1100010435_ToyCar_case1_normal_IND_ch1_0435,normal,euclidean,int8,7.432898808655555,1,62855
1100011216_ToyCar_case1_normal_IND_ch1_1216,normal,euclidean,int8,1.4871118126441192,0,2516
1100010010_ToyCar_case1_normal_IND_ch1_0010,normal,euclidean,int8,1.5913288417598406,0,2881
1100010509_ToyCar_case1_normal_IND_ch1_0509,normal,euclidean,int8,1.3148932167955039,0,1967
1100011187_ToyCar_case1_normal_IND_ch1_1187,normal,euclidean,int8,1.320563042633761,0,1984
1100010526_ToyCar_case1_normal_IND_ch1_0526,normal,euclidean,int8,1.2112017045351404,0,1669
