clip_name,role,frame_index,phase,feature_current_ua,feature_delta_t_s,backbone_current_ua,backbone_delta_t_s,total_current_ua,total_delta_t_s
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,0,hop,100640.90427188113,0.000550000011571683,101589.0732578785,0.003339999995660037,101363.42518970717,0.003920000002835877
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,1,hop,101509.77732945433,0.0005200000014156103,102010.3522046348,0.0033100000000558794,101828.47614687038,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,2,hop,101492.90707958375,0.0005200000014156103,101972.12007336297,0.0033199999888893217,101801.22058844632,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,3,hop,103364.6357618825,0.0005300000048009679,102085.08494315697,0.003320000003441237,102137.26073034752,0.0038800000038463622
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,4,hop,101764.08912720934,0.0005200000014156103,102092.46074793003,0.003320000003441237,101954.50713218069,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,5,hop,102241.73062663278,0.0005200000014156103,102228.27179413526,0.003320000003441237,102135.14554462796,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,6,hop,101855.03551843922,0.0005200000014156103,102228.00733242175,0.003320000003441237,102084.90858685512,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,7,hop,102252.75595540152,0.0005200000014156103,102328.03091165163,0.003320000003441237,102210.59476448399,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,8,hop,103901.85079154804,0.0005199999868636951,102246.05195309994,0.0033199999888893217,102358.98312532475,0.003879999989294447
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,9,hop,103663.69433839474,0.0005300000048009679,102289.31079764583,0.003320000003441237,102352.85559189715,0.0038800000038463622
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,10,hop,101522.36785161067,0.0005200000014156103,102195.9116267751,0.0033300000068265945,102011.20812758346,0.0038800000038463622
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,11,hop,102188.96375126655,0.0005300000048009679,102114.7361059893,0.003320000003441237,102002.052254602,0.0038800000038463622
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,12,hop,102964.7011460425,0.0005300000048009679,102246.33965340463,0.003320000003441237,102245.79557149136,0.0038800000038463622
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,13,hop,102101.8222530121,0.0005200000014156103,102293.59488559536,0.003320000003441237,102170.45832296567,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,14,hop,101883.77951966244,0.0005200000014156103,102078.83985983748,0.0033300000068265945,101947.58108722726,0.0038800000038463622
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,15,hop,102477.71145207083,0.0005200000014156103,102617.84262045704,0.003320000003441237,102493.30421470173,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,16,hop,103023.84774690469,0.0005300000048009679,102638.28670978535,0.003320000003441237,102567.95613989774,0.0038800000038463622
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,17,hop,103163.86986900965,0.0005300000048009679,102343.86622736233,0.003320000003441237,102366.10236851472,0.0038800000038463622
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,18,hop,103797.18961375246,0.0005200000014156103,102522.5086589577,0.003320000003441237,102573.74507554584,0.0038800000038463622
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,19,hop,102259.66662901035,0.0005200000014156103,102588.33776255779,0.003320000003441237,102446.4586184875,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,20,hop,101951.16231733593,0.0005200000014156103,102663.51500772938,0.003320000003441237,102475.31354740197,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,21,hop,102498.55874280228,0.0005300000048009679,102497.63777709182,0.003320000003441237,102387.44441252528,0.0038800000038463622
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,22,hop,102808.91005220838,0.0005200000014156103,102565.90333470545,0.003320000003441237,102506.857865878,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,23,hop,102810.0280474853,0.0005200000014156103,102477.34130191302,0.003320000003441237,102431.03295165898,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,24,hop,103896.98385509956,0.0005200000014156103,102688.26544168613,0.003320000003441237,102728.94092216312,0.0038800000038463622
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,25,hop,103577.02061882925,0.0005299999902490526,102592.7125137433,0.0033199999888893217,102623.85647752408,0.003879999989294447
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,26,hop,102389.70110451205,0.0005200000014156103,102620.23652493747,0.003320000003441237,102504.91509164621,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,27,hop,102261.85873563742,0.0005200000014156103,102275.38399443394,0.0033199999888893217,102180.21571626687,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,28,hop,104318.95331076003,0.0005200000014156103,102615.28967044853,0.0033100000000558794,102715.61582146902,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,29,hop,102998.2234123104,0.0005200000014156103,102540.7431160144,0.0033199999888893217,102532.08079790573,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,30,hop,104940.86441023956,0.0005200000014156103,103040.39202478771,0.0033100000000558794,103164.70890528632,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,31,hop,102848.73371468109,0.0005200000014156103,102420.67443115517,0.003320000003441237,102374.02618897913,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,32,hop,102477.45441764266,0.0005200000014156103,102636.08395089986,0.003320000003441237,102536.12162214117,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,33,hop,102538.18565124756,0.0005200000014156103,102627.32004714843,0.003320000003441237,102525.07906013743,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,34,hop,104406.54571615922,0.0005200000014156103,102655.91891707652,0.0033100000000558794,102762.12475285424,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,35,hop,103024.54689316638,0.0005300000048009679,102710.14147473287,0.0033100000000558794,102644.83246192962,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,36,hop,103972.47473066911,0.0005200000014156103,102855.78606850075,0.0033199999888893217,102915.73897620119,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,37,hop,102813.55965873384,0.0005200000014156103,102626.78294111887,0.003320000003441237,102571.32713945745,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,38,hop,103129.7917355378,0.0005200000014156103,102857.77968006577,0.0033199999888893217,102810.05784300905,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,39,hop,104362.42099404901,0.0005300000048009679,102583.1077385055,0.0033100000000558794,102711.63789374875,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,40,hop,102720.31040620457,0.0005200000014156103,102633.7073935368,0.003320000003441237,102555.052088886,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,41,hop,103317.24107360802,0.0005200000014156103,102782.91468300638,0.003320000003441237,102769.08858424061,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,42,hop,102827.36848228541,0.0005200000014156103,102742.24088853586,0.003320000003441237,102664.48343071889,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,43,hop,103903.41563779167,0.0005300000048009679,102721.68126085993,0.003320000003441237,102778.79550514731,0.0038800000038463622
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,44,hop,103100.73218798405,0.0005200000014156103,102472.28215785258,0.003320000003441237,102475.43035521587,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,45,hop,102797.73008484063,0.0005300000048009679,102778.47578021714,0.003320000003441237,102666.6752764898,0.0038800000038463622
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,46,hop,103137.25307564411,0.0005300000048009679,102800.59501422031,0.003320000003441237,102739.72621139485,0.0038800000038463622
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,47,hop,103361.18146635266,0.0005200000014156103,102961.97671845912,0.0033199999888893217,102932.49923042272,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,48,hop,103437.38600007755,0.0005300000048009679,102886.98734584141,0.003320000003441237,102843.03980729506,0.0038800000038463622
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,49,hop,103521.23033007965,0.0005299999902490526,102955.77574909886,0.0033100000000558794,102926.82786822725,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,50,hop,103351.26585673096,0.0005300000048009679,102678.08330922635,0.0033100000000558794,102650.5240408621,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,51,hop,103649.78126807789,0.0005200000014156103,103161.58299829501,0.003320000003441237,103140.57065931903,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,52,hop,102553.92954699803,0.0005200000014156103,103015.92107141927,0.0033199999888893217,102870.2639082458,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,53,hop,104914.4964101936,0.0005200000014156103,102782.79408781626,0.0033100000000558794,102954.42149542039,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,54,hop,103144.03103951375,0.0005200000014156103,102576.61764588061,0.003320000003441237,102566.88675387781,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,55,hop,103536.60541131305,0.0005300000048009679,102862.08413434033,0.0033100000000558794,102823.57246465134,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,56,hop,104374.72270212622,0.0005299999902490526,103032.54154895208,0.0033100000000558794,103095.77594072204,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,57,hop,103910.97448349059,0.0005200000014156103,102800.57897631936,0.003320000003441237,102875.6867730487,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,58,hop,103190.24294789578,0.0005200000014156103,102746.5570522873,0.0033199999888893217,102724.69932353616,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,59,hop,103522.29852715391,0.0005299999902490526,102984.90882226083,0.0033100000000558794,102949.9364645465,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,60,hop,103693.95361872113,0.0005200000014156103,102764.59152653835,0.003320000003441237,102817.57005338713,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,61,hop,103419.36116307325,0.0005200000014156103,102934.93864757876,0.0033100000000558794,102911.22937310983,0.003859999997075647
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,62,hop,102473.11199860451,0.0005199999868636951,102564.43999899352,0.0033100000000558794,102460.20626915274,0.003859999997075647
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,63,hop,103333.42380862606,0.0005200000014156103,102932.35566760402,0.003320000003441237,102907.23193388878,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,64,hop,104781.099590018,0.0005199999868636951,102921.6293099392,0.0033100000000558794,103051.35803964011,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,65,hop,103202.3653748334,0.0005200000014156103,102789.3098846932,0.003320000003441237,102768.83082084358,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,66,hop,102827.4019176582,0.0005199999868636951,102776.037362379,0.003320000003441237,102689.57720026009,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,67,hop,103272.29552996953,0.0005200000014156103,102625.87515931277,0.0033100000000558794,102628.33421798279,0.003859999997075647
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,68,hop,102825.08087926685,0.0005299999902490526,102596.17282620144,0.0033100000000558794,102510.33767566108,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,69,hop,103579.16726438933,0.0005300000048009679,102839.29138951287,0.0033100000000558794,102817.67478731644,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,70,hop,103100.37693714841,0.0005199999868636951,102435.05601135085,0.0033100000000558794,102443.51886046195,0.003859999997075647
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,71,hop,103124.51465743862,0.0005300000048009679,102748.40339871294,0.0033100000000558794,102679.60303861191,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,72,hop,105072.24465949513,0.0005199999868636951,103023.55123775259,0.0033100000000558794,103183.4703376466,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,73,hop,103273.60995806148,0.0005200000014156103,102787.2062989503,0.003320000003441237,102778.58428311259,0.0038700000004610047
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,74,hop,103158.32676568124,0.0005199999868636951,102898.6051185925,0.0033100000000558794,102844.92453668201,0.003859999997075647
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,75,hop,103789.95700171262,0.0005300000048009679,102527.99583528814,0.0033100000000558794,102586.10811700535,0.0038700000004610047
