clip_name,true_label,head,head_precision,score,decision,sumsq
1100011348_ToyCar_case1_normal_IND_ch1_1348,normal,knn16,int8,1.238471510556307,0,1745
1100011317_ToyCar_case1_normal_IND_ch1_1317,normal,knn16,int8,1.2173545691638645,0,1686
1100010760_ToyCar_case1_normal_IND_ch1_0760,normal,knn16,int8,1.2270633548523047,0,1713
1100010943_ToyCar_case1_normal_IND_ch1_0943,normal,knn16,int8,1.1160232186956434,0,1417
1100010461_ToyCar_case1_normal_IND_ch1_0461,normal,knn16,int8,1.2648062383915641,0,1820
1100010770_ToyCar_case1_normal_IND_ch1_0770,normal,knn16,int8,1.2878766080177317,0,1887
1100011088_ToyCar_case1_normal_IND_ch1_1088,normal,knn16,int8,1.2824049885508648,0,1871
1100011058_ToyCar_case1_normal_IND_ch1_1058,normal,knn16,int8,1.3321602308795097,0,2019
1100010437_ToyCar_case1_normal_IND_ch1_0437,normal,knn16,int8,2.3318105497531207,1,6186
1100011297_ToyCar_case1_normal_IND_ch1_1297,normal,knn16,int8,1.2731183075044084,0,1844
1100011334_ToyCar_case1_normal_IND_ch1_1334,normal,knn16,int8,1.212652246018457,0,1673
1100010360_ToyCar_case1_normal_IND_ch1_0360,normal,knn16,int8,1.1765992956425457,0,1575
1100010705_ToyCar_case1_normal_IND_ch1_0705,normal,knn16,int8,1.2101126573754386,0,1666
1100010897_ToyCar_case1_normal_IND_ch1_0897,normal,knn16,int8,1.1626967880695869,0,1538
1100010022_ToyCar_case1_normal_IND_ch1_0022,normal,knn16,int8,1.8644963989908223,1,3955
1100010088_ToyCar_case1_normal_IND_ch1_0088,normal,knn16,int8,1.6006913002222922,0,2915
1100010833_ToyCar_case1_normal_IND_ch1_0833,normal,knn16,int8,1.3631410501028272,0,2114
1100010926_ToyCar_case1_normal_IND_ch1_0926,normal,knn16,int8,1.2409530646615863,0,1752
1100010355_ToyCar_case1_normal_IND_ch1_0355,normal,knn16,int8,1.1293329804173797,0,1451
1100010365_ToyCar_case1_normal_IND_ch1_0365,normal,knn16,int8,1.1428723077514884,0,1486
1100011191_ToyCar_case1_normal_IND_ch1_1191,normal,knn16,int8,1.3028050756854692,0,1931
1100010285_ToyCar_case1_normal_IND_ch1_0285,normal,knn16,int8,1.2571385630860012,0,1798
1100011164_ToyCar_case1_normal_IND_ch1_1164,normal,knn16,int8,1.233493425192407,0,1731
1100010152_ToyCar_case1_normal_IND_ch1_0152,normal,knn16,int8,1.3155615234291467,0,1969
1100010596_ToyCar_case1_normal_IND_ch1_0596,normal,knn16,int8,1.3208958038945884,0,1985
1100011063_ToyCar_case1_normal_IND_ch1_1063,normal,knn16,int8,1.432622433306993,0,2335
1100010919_ToyCar_case1_normal_IND_ch1_0919,normal,knn16,int8,1.2388263226279201,0,1746
1100010181_ToyCar_case1_normal_IND_ch1_0181,normal,knn16,int8,1.0824388711920112,0,1333
1100010448_ToyCar_case1_normal_IND_ch1_0448,normal,knn16,int8,1.147477587554349,0,1498
1100011137_ToyCar_case1_normal_IND_ch1_1137,normal,knn16,int8,1.3563535836113498,0,2093
1100010304_ToyCar_case1_normal_IND_ch1_0304,normal,knn16,int8,1.2009988610050304,0,1641
1100011081_ToyCar_case1_normal_IND_ch1_1081,normal,knn16,int8,1.2504786437401634,0,1779
1100010946_ToyCar_case1_normal_IND_ch1_0946,normal,knn16,int8,1.233849668788338,0,1732
1100011034_ToyCar_case1_normal_IND_ch1_1034,normal,knn16,int8,1.2028271446955099,0,1646
1100010091_ToyCar_case1_normal_IND_ch1_0091,normal,knn16,int8,1.4596697664525944,0,2424
1100010032_ToyCar_case1_normal_IND_ch1_0032,normal,knn16,int8,1.703636120712006,0,3302
1100010745_ToyCar_case1_normal_IND_ch1_0745,normal,knn16,int8,1.3028050756854692,0,1931
1100010242_ToyCar_case1_normal_IND_ch1_0242,normal,knn16,int8,1.2494238323810116,0,1776
1100010809_ToyCar_case1_normal_IND_ch1_0809,normal,knn16,int8,1.1932894809874481,0,1620
1100011230_ToyCar_case1_normal_IND_ch1_1230,normal,knn16,int8,1.2327806291633994,0,1729
1100011035_ToyCar_case1_normal_IND_ch1_1035,normal,knn16,int8,1.2644587164071526,0,1819
1100010749_ToyCar_case1_normal_IND_ch1_0749,normal,knn16,int8,1.2270633548523047,0,1713
1100011042_ToyCar_case1_normal_IND_ch1_1042,normal,knn16,int8,1.2220387982198717,0,1699
1100010156_ToyCar_case1_normal_IND_ch1_0156,normal,knn16,int8,1.3135555834718413,0,1963
1100010521_ToyCar_case1_normal_IND_ch1_0521,normal,knn16,int8,1.3505086044168129,0,2075
1100010936_ToyCar_case1_normal_IND_ch1_0936,normal,knn16,int8,1.2039227822185845,0,1649
1100010191_ToyCar_case1_normal_IND_ch1_0191,normal,knn16,int8,1.239535642080616,0,1748
1100010869_ToyCar_case1_normal_IND_ch1_0869,normal,knn16,int8,1.1467113253069228,0,1496
1100010676_ToyCar_case1_normal_IND_ch1_0676,normal,knn16,int8,1.3238868914420459,0,1994
1100010751_ToyCar_case1_normal_IND_ch1_0751,normal,knn16,int8,1.130111025966383,0,1453
1100011156_ToyCar_case1_normal_IND_ch1_1156,normal,knn16,int8,1.3024676925189458,0,1930
1100010387_ToyCar_case1_normal_IND_ch1_0387,normal,knn16,int8,1.1792110619986134,0,1582
1100010402_ToyCar_case1_normal_IND_ch1_0402,normal,knn16,int8,1.3041537355452386,0,1935
1100010476_ToyCar_case1_normal_IND_ch1_0476,normal,knn16,int8,1.1892312888993262,0,1609
1100010527_ToyCar_case1_normal_IND_ch1_0527,normal,knn16,int8,1.4273977926349548,0,2318
1100011069_ToyCar_case1_normal_IND_ch1_1069,normal,knn16,int8,1.4820792709266157,0,2499
1100010100_ToyCar_case1_normal_IND_ch1_0100,normal,knn16,int8,1.5869038659596244,0,2865
1100010295_ToyCar_case1_normal_IND_ch1_0295,normal,knn16,int8,1.116416947132199,0,1418
1100010786_ToyCar_case1_normal_IND_ch1_0786,normal,knn16,int8,1.342020914897673,0,2049
1100010668_ToyCar_case1_normal_IND_ch1_0668,normal,knn16,int8,1.3132209622503956,0,1962
1100011098_ToyCar_case1_normal_IND_ch1_1098,normal,knn16,int8,1.524182203898994,0,2643
1100010007_ToyCar_case1_normal_IND_ch1_0007,normal,knn16,int8,1.3175644094253551,0,1975
