clip_name,role,frame_index,phase,feature_delta_t_s,feature_power_mw,backbone_delta_t_s,backbone_power_mw,total_delta_t_s,total_power_mw
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,0,hop,0.0005300000048009,341.67074372988066,0.0033200000034412,341.09291615287515,0.0038800000038463,340.7474649175616
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,1,hop,0.0005200000014156,340.3798883007414,0.0033200000034412,340.6210422062489,0.003870000000461,340.26924288881514
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,2,hop,0.0005200000014156,341.8623878923317,0.0033200000034412,341.51194382112726,0.003870000000461,341.2648037974636
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,3,hop,0.0005200000014156,343.2848504624633,0.0033200000034412,341.78221083908585,0.003870000000461,341.68135188949907
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,4,hop,0.000529999990249,342.4625547384993,0.0033199999888893,342.4088389380556,0.0038799999892944,342.0709632233483
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,5,hop,0.0005200000014156,342.0942814597194,0.0033300000068265,341.8696796785295,0.0038800000038463,341.6035081847517
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,6,hop,0.0005200000014156,346.1728207195694,0.0033200000034412,341.98233586570655,0.0038800000038463,342.1690610622876
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,7,hop,0.0005200000014156,345.74559646691733,0.0033199999888893,341.458764870865,0.0038799999892944,341.6319258904202
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,8,hop,0.0005200000014156,341.0428541142445,0.0033200000034412,342.61191696773517,0.003870000000461,342.0598796731603
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,9,hop,0.0005200000014156,342.4725851164736,0.0033199999888893,342.2081889811179,0.003870000000461,341.9954567857608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,10,hop,0.0005200000014156,342.4389185735163,0.0033200000034412,341.2197971232656,0.0038800000038463,340.9906901142597
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,11,hop,0.0005200000014156,341.3068970945498,0.0033200000034412,342.14014995135847,0.003870000000461,341.684285512987
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,12,hop,0.0005200000014156,342.71242982447626,0.0033200000034412,342.5364986630932,0.003870000000461,342.2837261824708
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,13,hop,0.0005200000014156,341.4810844557272,0.0033299999922746,341.3638005010257,0.0038799999892944,341.10634523365746
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,14,hop,0.0005300000048009,343.9709665659301,0.0033200000034412,342.470091669772,0.0038800000038463,342.30391948425284
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,15,hop,0.0005200000014156,343.0090428283076,0.0033299999922746,342.04930010353775,0.0038799999892944,341.8994514269841
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,16,hop,0.0005300000048009,343.29747154438337,0.0033200000034412,342.11922400287494,0.0038800000038463,342.013889358781
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,17,hop,0.0005200000014156,341.35582458649344,0.0033199999888893,341.29523811008175,0.003870000000461,341.00443437257434
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,18,hop,0.0005200000014156,341.66897430775333,0.0033300000068265,341.76545029586373,0.0038800000038463,341.43146589052657
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,19,hop,0.0005200000014156,343.06366645394417,0.0033199999888893,342.74649368334326,0.0038799999892944,342.3487623103107
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,20,hop,0.0005200000014156,341.3844500719171,0.0033300000068265,342.4816447453024,0.0038800000038463,341.98891711657205
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,21,hop,0.0005200000014156,341.47818811656117,0.0033299999922746,342.3625859088232,0.0038799999892944,341.9056316410998
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,22,hop,0.0005200000014156,340.4983418211108,0.0033200000034412,341.4827313107936,0.003870000000461,341.0244220902327
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,23,hop,0.000529999990249,346.7975049723997,0.0033199999888893,342.13987452495763,0.0038799999892944,342.4074202747624
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,24,hop,0.0005200000014156,341.7201774947558,0.0033200000034412,341.69099708528745,0.003870000000461,341.40562496938406
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,25,hop,0.0005199999868636,343.0058223749969,0.0033199999888893,342.26709896827145,0.003869999985909,342.0984021989769
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,26,hop,0.0005200000014156,341.04595043873377,0.0033200000034412,340.8680556526105,0.003870000000461,340.58346175693185
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,27,hop,0.000529999990249,342.8007366267644,0.0033199999888893,342.4090193153455,0.0038799999892944,342.1109927452842
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,28,hop,0.0005200000014156,342.4370359530585,0.0033200000034412,342.6037492172736,0.003870000000461,342.28501508369243
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,29,hop,0.0005200000014156,343.2933463906835,0.0033200000034412,341.95327673007455,0.003870000000461,341.84204217422086
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,30,hop,0.0005300000048009,345.73678177740857,0.0033200000034412,342.05760295585384,0.0038800000038463,342.17945199410485
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,31,hop,0.0005200000014156,341.3415704119939,0.0033200000034412,341.9011638419991,0.003870000000461,341.52224331174
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,32,hop,0.0005200000014156,343.9116947407638,0.0033200000034412,342.05023988252424,0.003870000000461,341.98267802605193
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,33,hop,0.0005200000014156,344.3385121267236,0.0033200000034412,341.5184330906987,0.003870000000461,341.6671674769123
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,34,hop,0.0005200000014156,344.38699137570086,0.0033200000034412,341.87847516454985,0.003870000000461,341.9504980867673
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,35,hop,0.0005200000014156,349.08756147399924,0.0033100000000558,340.9851536133401,0.003870000000461,341.6571907569547
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,36,hop,0.0005200000014156,343.19686371987746,0.0033200000034412,342.7907336892215,0.003870000000461,342.59887350423526
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,37,hop,0.0005199999868636,342.9391030853195,0.0033200000034412,341.8918555022069,0.003870000000461,341.72254581087697
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,38,hop,0.0005300000048009,341.6155878084985,0.0033200000034412,341.6903177001652,0.0038800000038463,341.2894568315292
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,39,hop,0.0005200000014156,342.5328083311643,0.0033200000034412,341.4882873709126,0.003870000000461,341.2896848985552
