clip_name,true_label,head,head_precision,score,decision,sumsq
1100011348_ToyCar_case1_normal_IND_ch1_1348,normal,knn16,fp32,1.4230388726680068,0,
1100011317_ToyCar_case1_normal_IND_ch1_1317,normal,knn16,fp32,1.4355651896614436,0,
1100010760_ToyCar_case1_normal_IND_ch1_0760,normal,knn16,fp32,1.3076238581633148,0,
1100010943_ToyCar_case1_normal_IND_ch1_0943,normal,knn16,fp32,1.4418928260218804,0,
1100010461_ToyCar_case1_normal_IND_ch1_0461,normal,knn16,fp32,1.4375848226704755,0,
1100010770_ToyCar_case1_normal_IND_ch1_0770,normal,knn16,fp32,1.3471186725034079,0,
1100011088_ToyCar_case1_normal_IND_ch1_1088,normal,knn16,fp32,1.530506360651413,0,
1100011058_ToyCar_case1_normal_IND_ch1_1058,normal,knn16,fp32,1.5402260133656962,0,
1100010437_ToyCar_case1_normal_IND_ch1_0437,normal,knn16,fp32,0.07902687492113046,0,
1100011297_ToyCar_case1_normal_IND_ch1_1297,normal,knn16,fp32,1.5219398831487798,0,
1100011334_ToyCar_case1_normal_IND_ch1_1334,normal,knn16,fp32,1.5046446895055638,0,
1100010360_ToyCar_case1_normal_IND_ch1_0360,normal,knn16,fp32,1.326120727027943,0,
1100010705_ToyCar_case1_normal_IND_ch1_0705,normal,knn16,fp32,1.4681735871807065,0,
1100010897_ToyCar_case1_normal_IND_ch1_0897,normal,knn16,fp32,1.3617980738711795,0,
1100010022_ToyCar_case1_normal_IND_ch1_0022,normal,knn16,fp32,1.6639463296394064,0,
1100010088_ToyCar_case1_normal_IND_ch1_0088,normal,knn16,fp32,1.424755792759435,0,
1100010833_ToyCar_case1_normal_IND_ch1_0833,normal,knn16,fp32,1.4014928396231165,0,
1100010926_ToyCar_case1_normal_IND_ch1_0926,normal,knn16,fp32,1.3882941363908003,0,
1100010355_ToyCar_case1_normal_IND_ch1_0355,normal,knn16,fp32,1.3663640163462751,0,
1100010365_ToyCar_case1_normal_IND_ch1_0365,normal,knn16,fp32,1.242404987899802,0,
1100011191_ToyCar_case1_normal_IND_ch1_1191,normal,knn16,fp32,1.4997883261569325,0,
1100010285_ToyCar_case1_normal_IND_ch1_0285,normal,knn16,fp32,1.3130811434004654,0,
1100011164_ToyCar_case1_normal_IND_ch1_1164,normal,knn16,fp32,1.5564159089038272,0,
1100010152_ToyCar_case1_normal_IND_ch1_0152,normal,knn16,fp32,1.3210596307605371,0,
1100010596_ToyCar_case1_normal_IND_ch1_0596,normal,knn16,fp32,1.4664537097076802,0,
1100011063_ToyCar_case1_normal_IND_ch1_1063,normal,knn16,fp32,1.742006645941056,1,
1100010919_ToyCar_case1_normal_IND_ch1_0919,normal,knn16,fp32,1.416835719954022,0,
1100010181_ToyCar_case1_normal_IND_ch1_0181,normal,knn16,fp32,1.2780112852435543,0,
1100010448_ToyCar_case1_normal_IND_ch1_0448,normal,knn16,fp32,1.343985238703962,0,
