clip_name,true_label,head,head_precision,score,decision,sumsq
1100011348_ToyCar_case1_normal_IND_ch1_1348,normal,knn16,fp32,1.4230388714570232,0,
1100011317_ToyCar_case1_normal_IND_ch1_1317,normal,knn16,fp32,1.435565188910559,0,
1100010760_ToyCar_case1_normal_IND_ch1_0760,normal,knn16,fp32,1.307623875239242,0,
1100010943_ToyCar_case1_normal_IND_ch1_0943,normal,knn16,fp32,1.4418928444656134,0,
1100010461_ToyCar_case1_normal_IND_ch1_0461,normal,knn16,fp32,1.437584836836785,0,
1100010770_ToyCar_case1_normal_IND_ch1_0770,normal,knn16,fp32,1.3471186877340293,0,
1100011088_ToyCar_case1_normal_IND_ch1_1088,normal,knn16,fp32,1.530506374065469,0,
1100011058_ToyCar_case1_normal_IND_ch1_1058,normal,knn16,fp32,1.5402260261506258,0,
1100010437_ToyCar_case1_normal_IND_ch1_0437,normal,knn16,fp32,0.07902687492113046,0,
1100011297_ToyCar_case1_normal_IND_ch1_1297,normal,knn16,fp32,1.5219398762553888,0,
1100011334_ToyCar_case1_normal_IND_ch1_1334,normal,knn16,fp32,1.5046446869906762,0,
1100010360_ToyCar_case1_normal_IND_ch1_0360,normal,knn16,fp32,1.3261207444022012,0,
1100010705_ToyCar_case1_normal_IND_ch1_0705,normal,knn16,fp32,1.468173602081421,0,
1100010897_ToyCar_case1_normal_IND_ch1_0897,normal,knn16,fp32,1.3617980681469806,0,
1100010022_ToyCar_case1_normal_IND_ch1_0022,normal,knn16,fp32,1.6639463276199786,0,
1100010088_ToyCar_case1_normal_IND_ch1_0088,normal,knn16,fp32,1.4247557946734646,0,
1100010833_ToyCar_case1_normal_IND_ch1_0833,normal,knn16,fp32,1.4014928568217246,0,
1100010926_ToyCar_case1_normal_IND_ch1_0926,normal,knn16,fp32,1.3882941540938007,0,
1100010355_ToyCar_case1_normal_IND_ch1_0355,normal,knn16,fp32,1.3663640318694492,0,
1100010365_ToyCar_case1_normal_IND_ch1_0365,normal,knn16,fp32,1.2424050050467192,0,
1100011191_ToyCar_case1_normal_IND_ch1_1191,normal,knn16,fp32,1.4997883216612276,0,
1100010285_ToyCar_case1_normal_IND_ch1_0285,normal,knn16,fp32,1.3130811622421916,0,
1100011164_ToyCar_case1_normal_IND_ch1_1164,normal,knn16,fp32,1.5564159047659085,0,
1100010152_ToyCar_case1_normal_IND_ch1_0152,normal,knn16,fp32,1.3210596484390456,0,
1100010596_ToyCar_case1_normal_IND_ch1_0596,normal,knn16,fp32,1.4664537256119674,0,
1100011063_ToyCar_case1_normal_IND_ch1_1063,normal,knn16,fp32,1.7420066580162155,1,
1100010919_ToyCar_case1_normal_IND_ch1_0919,normal,knn16,fp32,1.4168357378197831,0,
1100010181_ToyCar_case1_normal_IND_ch1_0181,normal,knn16,fp32,1.2780113048957416,0,
1100010448_ToyCar_case1_normal_IND_ch1_0448,normal,knn16,fp32,1.34398525605177,0,
1100011137_ToyCar_case1_normal_IND_ch1_1137,normal,knn16,fp32,1.5081085917788593,0,
1100010304_ToyCar_case1_normal_IND_ch1_0304,normal,knn16,fp32,1.3233316870748253,0,
1100011081_ToyCar_case1_normal_IND_ch1_1081,normal,knn16,fp32,1.4816590476575424,0,
1100010946_ToyCar_case1_normal_IND_ch1_0946,normal,knn16,fp32,1.4388660234067048,0,
1100011034_ToyCar_case1_normal_IND_ch1_1034,normal,knn16,fp32,1.4321020833172404,0,
1100010091_ToyCar_case1_normal_IND_ch1_0091,normal,knn16,fp32,1.4291124555523893,0,
1100010032_ToyCar_case1_normal_IND_ch1_0032,normal,knn16,fp32,1.3916825844817107,0,
1100010745_ToyCar_case1_normal_IND_ch1_0745,normal,knn16,fp32,1.4363533034684657,0,
1100010242_ToyCar_case1_normal_IND_ch1_0242,normal,knn16,fp32,1.324128689310036,0,
1100010809_ToyCar_case1_normal_IND_ch1_0809,normal,knn16,fp32,1.2979367206798136,0,
1100011230_ToyCar_case1_normal_IND_ch1_1230,normal,knn16,fp32,1.455489220458169,0,
1100011035_ToyCar_case1_normal_IND_ch1_1035,normal,knn16,fp32,1.4530892305196395,0,
1100010749_ToyCar_case1_normal_IND_ch1_0749,normal,knn16,fp32,1.4778980239564725,0,
1100011042_ToyCar_case1_normal_IND_ch1_1042,normal,knn16,fp32,1.3101909753597396,0,
1100010156_ToyCar_case1_normal_IND_ch1_0156,normal,knn16,fp32,1.3121008143733843,0,
1100010521_ToyCar_case1_normal_IND_ch1_0521,normal,knn16,fp32,1.4265237120509269,0,
1100010936_ToyCar_case1_normal_IND_ch1_0936,normal,knn16,fp32,1.4084309391012264,0,
1100010191_ToyCar_case1_normal_IND_ch1_0191,normal,knn16,fp32,1.3328557685459954,0,
1100010869_ToyCar_case1_normal_IND_ch1_0869,normal,knn16,fp32,1.3755038752206767,0,
1100010676_ToyCar_case1_normal_IND_ch1_0676,normal,knn16,fp32,1.4188437310045747,0,
1100010751_ToyCar_case1_normal_IND_ch1_0751,normal,knn16,fp32,1.3056199278938456,0,
1100011156_ToyCar_case1_normal_IND_ch1_1156,normal,knn16,fp32,1.5344141047468494,0,
1100010387_ToyCar_case1_normal_IND_ch1_0387,normal,knn16,fp32,1.3820293923608387,0,
1100010402_ToyCar_case1_normal_IND_ch1_0402,normal,knn16,fp32,1.3664272185044115,0,
1100010476_ToyCar_case1_normal_IND_ch1_0476,normal,knn16,fp32,1.4276346435582898,0,
1100010527_ToyCar_case1_normal_IND_ch1_0527,normal,knn16,fp32,1.4289491063034272,0,
1100011069_ToyCar_case1_normal_IND_ch1_1069,normal,knn16,fp32,1.6271979229805629,0,
1100010100_ToyCar_case1_normal_IND_ch1_0100,normal,knn16,fp32,1.4514267540054797,0,
1100010295_ToyCar_case1_normal_IND_ch1_0295,normal,knn16,fp32,1.3419798927398983,0,
1100010786_ToyCar_case1_normal_IND_ch1_0786,normal,knn16,fp32,1.398444333513198,0,
1100010668_ToyCar_case1_normal_IND_ch1_0668,normal,knn16,fp32,1.4072061778074594,0,
1100011098_ToyCar_case1_normal_IND_ch1_1098,normal,knn16,fp32,1.5662299683506482,0,
1100010007_ToyCar_case1_normal_IND_ch1_0007,normal,knn16,fp32,1.6512623511533382,0,
1100010819_ToyCar_case1_normal_IND_ch1_0819,normal,knn16,fp32,1.4410091967626901,0,
1100011153_ToyCar_case1_normal_IND_ch1_1153,normal,knn16,fp32,1.571486068491769,0,
1100010815_ToyCar_case1_normal_IND_ch1_0815,normal,knn16,fp32,1.3478581256819773,0,
1100010998_ToyCar_case1_normal_IND_ch1_0998,normal,knn16,fp32,1.426405497028974,0,
1100011166_ToyCar_case1_normal_IND_ch1_1166,normal,knn16,fp32,1.5267653481054666,0,
1100010346_ToyCar_case1_normal_IND_ch1_0346,normal,knn16,fp32,1.334158843650829,0,
1100010269_ToyCar_case1_normal_IND_ch1_0269,normal,knn16,fp32,1.37416406320268,0,
1100011310_ToyCar_case1_normal_IND_ch1_1310,normal,knn16,fp32,1.500970307774142,0,
1100010734_ToyCar_case1_normal_IND_ch1_0734,normal,knn16,fp32,1.5128390361965756,0,
1100010618_ToyCar_case1_normal_IND_ch1_0618,normal,knn16,fp32,1.4450532848132196,0,
1100011176_ToyCar_case1_normal_IND_ch1_1176,normal,knn16,fp32,1.5691648697796694,0,
1100010408_ToyCar_case1_normal_IND_ch1_0408,normal,knn16,fp32,1.3589074199021127,0,
1100010337_ToyCar_case1_normal_IND_ch1_0337,normal,knn16,fp32,1.3635403188206259,0,
1100010939_ToyCar_case1_normal_IND_ch1_0939,normal,knn16,fp32,1.439346945457538,0,
1100011177_ToyCar_case1_normal_IND_ch1_1177,normal,knn16,fp32,1.5411921240482336,0,
1100011281_ToyCar_case1_normal_IND_ch1_1281,normal,knn16,fp32,1.5038129364101964,0,
1100011291_ToyCar_case1_normal_IND_ch1_1291,normal,knn16,fp32,1.526179542792487,0,
1100011248_ToyCar_case1_normal_IND_ch1_1248,normal,knn16,fp32,1.5770058959772515,0,
1100010045_ToyCar_case1_normal_IND_ch1_0045,normal,knn16,fp32,1.451667510331892,0,
1100010062_ToyCar_case1_normal_IND_ch1_0062,normal,knn16,fp32,1.3933894499803958,0,
1100010957_ToyCar_case1_normal_IND_ch1_0957,normal,knn16,fp32,1.4626095746693224,0,
1100010700_ToyCar_case1_normal_IND_ch1_0700,normal,knn16,fp32,1.478285718413331,0,
1100010354_ToyCar_case1_normal_IND_ch1_0354,normal,knn16,fp32,1.3836228401648438,0,
1100010689_ToyCar_case1_normal_IND_ch1_0689,normal,knn16,fp32,1.4188044392919996,0,
1100011101_ToyCar_case1_normal_IND_ch1_1101,normal,knn16,fp32,1.5028035863968516,0,
1100010278_ToyCar_case1_normal_IND_ch1_0278,normal,knn16,fp32,1.378181766471328,0,
1100010389_ToyCar_case1_normal_IND_ch1_0389,normal,knn16,fp32,1.3116782157260156,0,
1100010626_ToyCar_case1_normal_IND_ch1_0626,normal,knn16,fp32,1.4247389828775552,0,
1100010377_ToyCar_case1_normal_IND_ch1_0377,normal,knn16,fp32,1.3780751957405528,0,
1100011163_ToyCar_case1_normal_IND_ch1_1163,normal,knn16,fp32,1.5594272030722256,0,
1100010773_ToyCar_case1_normal_IND_ch1_0773,normal,knn16,fp32,1.4143196330190764,0,
1100010904_ToyCar_case1_normal_IND_ch1_0904,normal,knn16,fp32,1.428456259196453,0,
1100011186_ToyCar_case1_normal_IND_ch1_1186,normal,knn16,fp32,1.515982966329105,0,
1100010844_ToyCar_case1_normal_IND_ch1_0844,normal,knn16,fp32,1.4030645266412698,0,
1100010542_ToyCar_case1_normal_IND_ch1_0542,normal,knn16,fp32,1.4861885180948666,0,
1100011253_ToyCar_case1_normal_IND_ch1_1253,normal,knn16,fp32,1.5900885785954808,0,
1100011032_ToyCar_case1_normal_IND_ch1_1032,normal,knn16,fp32,1.3743730705223764,0,
1100011158_ToyCar_case1_normal_IND_ch1_1158,normal,knn16,fp32,1.5952274373109265,0,
1100010902_ToyCar_case1_normal_IND_ch1_0902,normal,knn16,fp32,1.3891523802672316,0,
1100010986_ToyCar_case1_normal_IND_ch1_0986,normal,knn16,fp32,1.4571084965995156,0,
1100010573_ToyCar_case1_normal_IND_ch1_0573,normal,knn16,fp32,1.4652324739347733,0,
1100010106_ToyCar_case1_normal_IND_ch1_0106,normal,knn16,fp32,1.3585444468243169,0,
1100010458_ToyCar_case1_normal_IND_ch1_0458,normal,knn16,fp32,1.4922653889479909,0,
1100010244_ToyCar_case1_normal_IND_ch1_0244,normal,knn16,fp32,1.358160235149755,0,
1100010619_ToyCar_case1_normal_IND_ch1_0619,normal,knn16,fp32,1.4351881983591932,0,
1100010025_ToyCar_case1_normal_IND_ch1_0025,normal,knn16,fp32,1.6637256169635712,0,
1100011168_ToyCar_case1_normal_IND_ch1_1168,normal,knn16,fp32,1.5382776320149496,0,
1100010494_ToyCar_case1_normal_IND_ch1_0494,normal,knn16,fp32,1.3930310733417315,0,
1100011121_ToyCar_case1_normal_IND_ch1_1121,normal,knn16,fp32,1.546585404554103,0,
1100011287_ToyCar_case1_normal_IND_ch1_1287,normal,knn16,fp32,1.5119671066342548,0,
1100010192_ToyCar_case1_normal_IND_ch1_0192,normal,knn16,fp32,1.436355032869967,0,
1100011114_ToyCar_case1_normal_IND_ch1_1114,normal,knn16,fp32,1.4257836790134146,0,
1100011178_ToyCar_case1_normal_IND_ch1_1178,normal,knn16,fp32,1.4560388256191596,0,
1100011086_ToyCar_case1_normal_IND_ch1_1086,normal,knn16,fp32,1.5063466116659907,0,
1100010489_ToyCar_case1_normal_IND_ch1_0489,normal,knn16,fp32,1.4222702094843713,0,
1100011247_ToyCar_case1_normal_IND_ch1_1247,normal,knn16,fp32,1.4340607045393539,0,
