clip_name,role,frame_index,phase,feature_delta_t_s,feature_energy_mj,backbone_delta_t_s,backbone_energy_mj,total_delta_t_s,total_energy_mj
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,0,hop,0.0005200000014156,0.17952741391759078,0.0103999999992083,3.2335158742981993,0.0109499999962281,3.4222492951121817
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,1,hop,0.0005200000014156,0.17965519197610108,0.0103999999992083,3.231906666077692,0.0109599999996135,3.4237870159047206
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,2,hop,0.0005300000048009,0.18247583933535355,0.0104100000025937,3.2430218139389315,0.0109700000029988,3.4342571020464354
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,3,hop,0.0005300000048009,0.18419692194424656,0.0104100000025937,3.242939591759989,0.0109700000029988,3.4362185399411302
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,4,hop,0.0005200000014156,0.1774408408001169,0.0104199999914271,3.240339938782533,0.0109699999884469,3.427036096836487
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,5,hop,0.0005200000014156,0.17930416000682267,0.010420000005979,3.2450954832564047,0.0109700000029988,3.4337294550020534
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,6,hop,0.0005200000014156,0.17825881332340765,0.010420000005979,3.242917221047943,0.0109700000029988,3.430282574273451
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,7,hop,0.0005200000014156,0.17739210777460043,0.0104199999914271,3.247321254734411,0.0109700000029988,3.433844682257195
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,8,hop,0.0005300000048009,0.18431967968230006,0.010420000005979,3.2450196978464327,0.0109800000063842,3.4383717491574606
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,9,hop,0.0005300000048009,0.18282505681931263,0.0104100000025937,3.244609997746822,0.0109700000029988,3.436219246372046
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,10,hop,0.0005200000014156,0.17791512536690693,0.010420000005979,3.245335921034106,0.0109700000029988,3.432457211092149
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,11,hop,0.0005199999868636,0.1795305967974799,0.0104099999880418,3.2413858858810003,0.0109699999884469,3.4331414698251344
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,12,hop,0.0005300000048009,0.18454041626196177,0.0104100000025937,3.249167159500391,0.0109700000029988,3.4427896163401583
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,13,hop,0.000529999990249,0.1832721548783456,0.0104100000025937,3.2468932349715396,0.0109700000029988,3.439024077568184
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,14,hop,0.0005200000014156,0.17930410980361033,0.0104100000025937,3.2440145296735308,0.0109599999996135,3.4324995232307116
