clip_name,true_label,head,head_precision,score,decision,sumsq
1100011348_ToyCar_case1_normal_IND_ch1_1348,normal,knn16,fp32,1.4509972730673728,0,
1100011317_ToyCar_case1_normal_IND_ch1_1317,normal,knn16,fp32,1.487305412509425,0,
1100010760_ToyCar_case1_normal_IND_ch1_0760,normal,knn16,fp32,1.264045897839724,0,
1100010943_ToyCar_case1_normal_IND_ch1_0943,normal,knn16,fp32,1.391537296551804,0,
1100010461_ToyCar_case1_normal_IND_ch1_0461,normal,knn16,fp32,1.4106670499268341,0,
1100010770_ToyCar_case1_normal_IND_ch1_0770,normal,knn16,fp32,1.3096430090736673,0,
1100011088_ToyCar_case1_normal_IND_ch1_1088,normal,knn16,fp32,1.510037221293386,0,
1100011058_ToyCar_case1_normal_IND_ch1_1058,normal,knn16,fp32,1.532174552877997,0,
1100010437_ToyCar_case1_normal_IND_ch1_0437,normal,knn16,fp32,0.05446363673379698,0,
1100011297_ToyCar_case1_normal_IND_ch1_1297,normal,knn16,fp32,1.5182101543480764,0,
1100011334_ToyCar_case1_normal_IND_ch1_1334,normal,knn16,fp32,1.5441761134135692,0,
1100010360_ToyCar_case1_normal_IND_ch1_0360,normal,knn16,fp32,1.290726615513413,0,
1100010705_ToyCar_case1_normal_IND_ch1_0705,normal,knn16,fp32,1.4345614472159052,0,
1100010897_ToyCar_case1_normal_IND_ch1_0897,normal,knn16,fp32,1.3399925161519437,0,
1100010022_ToyCar_case1_normal_IND_ch1_0022,normal,knn16,fp32,1.6552424908341339,0,
1100010088_ToyCar_case1_normal_IND_ch1_0088,normal,knn16,fp32,1.445513935973362,0,
1100010833_ToyCar_case1_normal_IND_ch1_0833,normal,knn16,fp32,1.366490484460702,0,
1100010926_ToyCar_case1_normal_IND_ch1_0926,normal,knn16,fp32,1.3567515219623776,0,
1100010355_ToyCar_case1_normal_IND_ch1_0355,normal,knn16,fp32,1.3080313587652048,0,
1100010365_ToyCar_case1_normal_IND_ch1_0365,normal,knn16,fp32,1.221743033504444,0,
1100011191_ToyCar_case1_normal_IND_ch1_1191,normal,knn16,fp32,1.5177872472608531,0,
1100010285_ToyCar_case1_normal_IND_ch1_0285,normal,knn16,fp32,1.2677937935978079,0,
1100011164_ToyCar_case1_normal_IND_ch1_1164,normal,knn16,fp32,1.5213102554272118,0,
1100010152_ToyCar_case1_normal_IND_ch1_0152,normal,knn16,fp32,1.2510746930341405,0,
1100010596_ToyCar_case1_normal_IND_ch1_0596,normal,knn16,fp32,1.4467626378915082,0,
1100011063_ToyCar_case1_normal_IND_ch1_1063,normal,knn16,fp32,1.7491382122452659,1,
1100010919_ToyCar_case1_normal_IND_ch1_0919,normal,knn16,fp32,1.3732261935888297,0,
1100010181_ToyCar_case1_normal_IND_ch1_0181,normal,knn16,fp32,1.226791891134446,0,
1100010448_ToyCar_case1_normal_IND_ch1_0448,normal,knn16,fp32,1.2942161935304277,0,
1100011137_ToyCar_case1_normal_IND_ch1_1137,normal,knn16,fp32,1.4777715423798239,0,
1100010304_ToyCar_case1_normal_IND_ch1_0304,normal,knn16,fp32,1.2988144783421636,0,
1100011081_ToyCar_case1_normal_IND_ch1_1081,normal,knn16,fp32,1.4791625149782495,0,
1100010946_ToyCar_case1_normal_IND_ch1_0946,normal,knn16,fp32,1.400285627985894,0,
1100011034_ToyCar_case1_normal_IND_ch1_1034,normal,knn16,fp32,1.396966133727054,0,
1100010091_ToyCar_case1_normal_IND_ch1_0091,normal,knn16,fp32,1.3928325808407855,0,
1100010032_ToyCar_case1_normal_IND_ch1_0032,normal,knn16,fp32,1.3640219399390743,0,
1100010745_ToyCar_case1_normal_IND_ch1_0745,normal,knn16,fp32,1.4113260951321531,0,
1100010242_ToyCar_case1_normal_IND_ch1_0242,normal,knn16,fp32,1.265647759623098,0,
1100010809_ToyCar_case1_normal_IND_ch1_0809,normal,knn16,fp32,1.259292061554091,0,
1100011230_ToyCar_case1_normal_IND_ch1_1230,normal,knn16,fp32,1.4987509648995043,0,
1100011035_ToyCar_case1_normal_IND_ch1_1035,normal,knn16,fp32,1.4139178460627508,0,
1100010749_ToyCar_case1_normal_IND_ch1_0749,normal,knn16,fp32,1.4424069851495427,0,
1100011042_ToyCar_case1_normal_IND_ch1_1042,normal,knn16,fp32,1.3356340718908186,0,
1100010156_ToyCar_case1_normal_IND_ch1_0156,normal,knn16,fp32,1.2411768110703476,0,
1100010521_ToyCar_case1_normal_IND_ch1_0521,normal,knn16,fp32,1.4018682403630147,0,
1100010936_ToyCar_case1_normal_IND_ch1_0936,normal,knn16,fp32,1.3827873539241653,0,
1100010191_ToyCar_case1_normal_IND_ch1_0191,normal,knn16,fp32,1.2845198724697635,0,
1100010869_ToyCar_case1_normal_IND_ch1_0869,normal,knn16,fp32,1.3569190762114292,0,
1100010676_ToyCar_case1_normal_IND_ch1_0676,normal,knn16,fp32,1.38885806548204,0,
1100010751_ToyCar_case1_normal_IND_ch1_0751,normal,knn16,fp32,1.2765301308278292,0,
1100011156_ToyCar_case1_normal_IND_ch1_1156,normal,knn16,fp32,1.5115682826170052,0,
1100010387_ToyCar_case1_normal_IND_ch1_0387,normal,knn16,fp32,1.3392977509865867,0,
1100010402_ToyCar_case1_normal_IND_ch1_0402,normal,knn16,fp32,1.342468277498871,0,
1100010476_ToyCar_case1_normal_IND_ch1_0476,normal,knn16,fp32,1.4117804898546051,0,
1100010527_ToyCar_case1_normal_IND_ch1_0527,normal,knn16,fp32,1.4010871108777256,0,
1100011069_ToyCar_case1_normal_IND_ch1_1069,normal,knn16,fp32,1.6215800324051712,0,
1100010100_ToyCar_case1_normal_IND_ch1_0100,normal,knn16,fp32,1.4447910900540997,0,
1100010295_ToyCar_case1_normal_IND_ch1_0295,normal,knn16,fp32,1.3015029379047238,0,
1100010786_ToyCar_case1_normal_IND_ch1_0786,normal,knn16,fp32,1.3676367452173963,0,
1100010668_ToyCar_case1_normal_IND_ch1_0668,normal,knn16,fp32,1.369045481137296,0,
1100011098_ToyCar_case1_normal_IND_ch1_1098,normal,knn16,fp32,1.5471765863640836,0,
1100010007_ToyCar_case1_normal_IND_ch1_0007,normal,knn16,fp32,1.6115396792174108,0,
1100010819_ToyCar_case1_normal_IND_ch1_0819,normal,knn16,fp32,1.4084458861576328,0,
1100011153_ToyCar_case1_normal_IND_ch1_1153,normal,knn16,fp32,1.555994042656611,0,
1100010815_ToyCar_case1_normal_IND_ch1_0815,normal,knn16,fp32,1.3217202263268946,0,
1100010998_ToyCar_case1_normal_IND_ch1_0998,normal,knn16,fp32,1.416555368123865,0,
1100011166_ToyCar_case1_normal_IND_ch1_1166,normal,knn16,fp32,1.500904886505848,0,
1100010346_ToyCar_case1_normal_IND_ch1_0346,normal,knn16,fp32,1.3054302299242084,0,
1100010269_ToyCar_case1_normal_IND_ch1_0269,normal,knn16,fp32,1.32718803056563,0,
1100011310_ToyCar_case1_normal_IND_ch1_1310,normal,knn16,fp32,1.5275051674259885,0,
1100010734_ToyCar_case1_normal_IND_ch1_0734,normal,knn16,fp32,1.4794262484525817,0,
1100010618_ToyCar_case1_normal_IND_ch1_0618,normal,knn16,fp32,1.416209683995566,0,
1100011176_ToyCar_case1_normal_IND_ch1_1176,normal,knn16,fp32,1.533997064469882,0,
1100010408_ToyCar_case1_normal_IND_ch1_0408,normal,knn16,fp32,1.3222296120082635,0,
1100010337_ToyCar_case1_normal_IND_ch1_0337,normal,knn16,fp32,1.3178377655193574,0,
1100010939_ToyCar_case1_normal_IND_ch1_0939,normal,knn16,fp32,1.4220899486173915,0,
1100011177_ToyCar_case1_normal_IND_ch1_1177,normal,knn16,fp32,1.522469268854683,0,
1100011281_ToyCar_case1_normal_IND_ch1_1281,normal,knn16,fp32,1.53186422894735,0,
1100011291_ToyCar_case1_normal_IND_ch1_1291,normal,knn16,fp32,1.566031735079911,0,
1100011248_ToyCar_case1_normal_IND_ch1_1248,normal,knn16,fp32,1.600280741638661,0,
1100010045_ToyCar_case1_normal_IND_ch1_0045,normal,knn16,fp32,1.5042054374841716,0,
1100010062_ToyCar_case1_normal_IND_ch1_0062,normal,knn16,fp32,1.4287253337848946,0,
1100010957_ToyCar_case1_normal_IND_ch1_0957,normal,knn16,fp32,1.427767619262569,0,
1100010700_ToyCar_case1_normal_IND_ch1_0700,normal,knn16,fp32,1.447338635409367,0,
1100010354_ToyCar_case1_normal_IND_ch1_0354,normal,knn16,fp32,1.3412551005445392,0,
1100010689_ToyCar_case1_normal_IND_ch1_0689,normal,knn16,fp32,1.3921004983588032,0,
1100011101_ToyCar_case1_normal_IND_ch1_1101,normal,knn16,fp32,1.4607125511653323,0,
