clip_name,role,frame_index,phase,feature_current_ua,feature_delta_t_s,backbone_current_ua,backbone_delta_t_s,total_current_ua,total_delta_t_s
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,0,hop,100762.84624016423,0.0005499999970197678,100676.36041417476,0.004910000003292225,100627.96970538543,0.0054899999959161505
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,1,hop,102339.00561725732,0.0005300000048009679,101023.2677232793,0.00488999999652151,101084.94109100378,0.0054499999969266355
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,2,hop,102753.2061116106,0.0005300000048009679,101416.71925200918,0.004899999999906868,101465.74591005119,0.005460000000311993
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,3,hop,101986.37720771806,0.0005299999902490526,101375.27727681374,0.004899999999906868,101356.87604706163,0.005460000000311993
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,4,hop,103605.61798488915,0.0005300000048009679,101693.38673226301,0.004899999999906868,101794.03682201225,0.005460000000311993
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,5,hop,102173.78987617628,0.0005200000014156103,101585.50028003588,0.004899999999906868,101597.07917251947,0.005450000011478551
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,6,hop,102624.77835019205,0.0005300000048009679,101310.43527686548,0.004899999999906868,101366.15576587753,0.005460000000311993
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,7,hop,101880.81839946176,0.0005200000014156103,101283.1860684105,0.004899999999906868,101286.28351104767,0.005450000011478551
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,8,hop,101689.96759592752,0.0005300000048009679,101336.89167308275,0.004899999999906868,101296.4069201161,0.005460000000311993
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,9,hop,101855.18179819507,0.0005199999868636951,101351.99158021156,0.004910000003292225,101336.07265668262,0.005460000000311993
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,10,hop,102185.04925255438,0.0005200000014156103,101438.20300188161,0.004899999999906868,101460.21441900205,0.0054499999969266355
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,11,hop,102356.85709070321,0.0005199999868636951,101513.35487810287,0.004899999999906868,101540.03539402808,0.0054499999969266355
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,12,hop,102706.67711836006,0.0005200000014156103,101667.0951076098,0.004899999999906868,101717.14769582442,0.0054499999969266355
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,13,hop,102473.86220478096,0.0005200000014156103,101616.15159194503,0.004899999999906868,101644.99767789623,0.005450000011478551
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,14,hop,102723.21455359191,0.0005300000048009679,101533.45880318031,0.004899999999906868,101577.22711823859,0.005460000000311993
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,15,hop,102066.40998463257,0.0005200000014156103,101578.1514161795,0.004899999999906868,101567.81517067517,0.005450000011478551
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,16,hop,103263.02982205867,0.0005300000048009679,101383.1661389992,0.004899999999906868,101496.14128174535,0.005460000000311993
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,17,hop,102987.56169322056,0.0005199999868636951,101769.25788122979,0.00488999999652151,101805.91369969866,0.0054499999969266355
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,18,hop,102740.39254157165,0.0005199999868636951,101534.65966343669,0.004899999999906868,101599.90885077961,0.0054499999969266355
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,19,hop,103025.33534940043,0.0005200000014156103,101742.09618347631,0.004899999999906868,101803.92004518653,0.0054499999969266355
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,20,hop,102558.76724209396,0.0005200000014156103,101885.3930340433,0.004899999999906868,101892.40690971017,0.0054499999969266355
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,21,hop,102156.03567863817,0.0005200000014156103,101649.11103789162,0.004899999999906868,101641.55568613907,0.0054499999969266355
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,22,hop,102332.10443710409,0.0005200000014156103,101646.61262928892,0.004899999999906868,101642.29401111435,0.0054499999969266355
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,23,hop,102723.36422419926,0.0005299999902490526,101629.03993406784,0.004899999999906868,101667.14865836783,0.005460000000311993
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,24,hop,103088.87933373939,0.0005200000014156103,101675.4830358257,0.004890000011073425,101725.92005704575,0.005450000011478551
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,25,hop,103177.57397017482,0.0005299999902490526,101705.87436775082,0.00488999999652151,101781.70531583631,0.0054499999969266355
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,26,hop,102622.57035057184,0.0005200000014156103,101841.8003714117,0.00488999999652151,101859.33291368028,0.005440000008093193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,27,hop,102840.1217644866,0.0005300000048009679,101816.82833000635,0.004880000007688068,101833.31362144178,0.005440000008093193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,28,hop,103078.8340939336,0.0005200000014156103,101924.83940655594,0.004879999993136153,101961.07250141473,0.00542999999015592
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,29,hop,102462.68432712402,0.0005200000014156103,102009.67877010356,0.004880000007688068,101988.00983148898,0.005430000004707836
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,30,hop,102868.59434070352,0.0005200000014156103,101763.16774836433,0.00488999999652151,101821.83926950036,0.005440000008093193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,31,hop,103583.40989043064,0.0005200000014156103,101735.07993895271,0.00488999999652151,101864.91018836114,0.005439999993541278
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,32,hop,103201.33723712081,0.0005200000014156103,102086.53766671549,0.00488999999652151,102133.2721646096,0.005439999993541278
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,33,hop,102537.33931837439,0.0005199999868636951,101951.76831312355,0.00488999999652151,101941.73100098532,0.005439999993541278
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,34,hop,104594.18312820127,0.0005200000014156103,101976.97526018256,0.004880000007688068,102151.39845713624,0.005440000008093193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,35,hop,103607.94300500865,0.0005300000048009679,102050.74325651831,0.004879999993136153,102120.71156116133,0.005439999993541278
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,36,hop,103191.87470348708,0.0005299999902490526,101947.55129753848,0.004879999993136153,101990.36940669036,0.005439999993541278
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,37,hop,103135.98600118744,0.0005300000048009679,102050.82208315021,0.004879999993136153,102083.08967634672,0.005439999993541278
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,38,hop,103659.99357885707,0.0005299999902490526,102123.32083555228,0.004879999993136153,102192.28269200325,0.005439999993541278
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,39,hop,103419.96268683407,0.0005300000048009679,101836.57798430647,0.004880000007688068,101918.56956007468,0.005440000008093193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,40,hop,104131.54576690575,0.0005200000014156103,102255.78600680953,0.004880000007688068,102344.85264622833,0.005440000008093193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,41,hop,103363.06729592885,0.0005300000048009679,102003.3186665359,0.00488999999652151,102061.10913328522,0.0054499999969266355
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,42,hop,103930.88124802621,0.0005299999902490526,102195.08296253244,0.00488999999652151,102284.25834045695,0.0054499999969266355
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,43,hop,103888.80531185323,0.0005300000048009679,101956.5838591221,0.004879999993136153,102069.1376006909,0.005439999993541278
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,44,hop,103933.27187717907,0.0005299999902490526,102296.05732651944,0.004879999993136153,102382.13495303827,0.005439999993541278
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,45,hop,103975.53233875833,0.0005300000048009679,102023.10046556711,0.004879999993136153,102137.24742872003,0.005439999993541278
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,46,hop,103562.01253812615,0.0005299999902490526,101856.56857198435,0.004879999993136153,101950.3375140105,0.005439999993541278
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,47,hop,102660.96047143715,0.0005200000014156103,102104.66117253421,0.004880000007688068,102096.48078738178,0.005430000004707836
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,48,hop,104672.53675728703,0.0005300000048009679,102149.99592107121,0.00487000000430271,102312.3868757455,0.005430000004707836
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,49,hop,103200.62046631711,0.0005200000014156103,102132.80208545027,0.004880000007688068,102176.24855335207,0.005430000004707836
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,50,hop,102740.64196739999,0.0005299999902490526,102299.88365589517,0.004869999989750795,102261.01811505735,0.00542999999015592
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,51,hop,103420.31533538835,0.0005300000048009679,102206.78781309821,0.00487000000430271,102249.40055873571,0.005430000004707836
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,52,hop,102984.91402963953,0.0005200000014156103,101943.06953123238,0.004879999993136153,101989.22616002505,0.005430000004707836
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,53,hop,104516.38915062965,0.0005300000048009679,102138.79650205435,0.00487000000430271,102295.39009805836,0.005430000004707836
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,54,hop,103195.12440092047,0.0005299999902490526,101966.11454267064,0.004879999993136153,102008.71702417533,0.005439999993541278
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,55,hop,103345.23068923317,0.0005200000014156103,102199.11071428456,0.004879999993136153,102259.36352452189,0.00542999999015592
