clip_name,role,frame_index,phase,feature_delta_t_s,feature_power_mw,backbone_delta_t_s,backbone_power_mw,total_delta_t_s,total_power_mw
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,0,hop,0.000529999990249,340.53437732546274,0.0048899999965215,337.76932112379745,0.0054499999969266,337.79526364200524
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,1,hop,0.0005300000048009,342.4060050352149,0.0048899999965215,338.48953041639743,0.0054499999969266,338.6371552538801
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,2,hop,0.0005200000014156,340.844496064947,0.0048999999999068,339.3380262395092,0.0054499999969266,339.2757506262828
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,3,hop,0.0005300000048009,341.5242544037733,0.0048999999999068,339.2446774457832,0.0054600000003119,339.2198810519145
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,4,hop,0.0005300000048009,342.6913111210351,0.0048999999999068,338.9959795566143,0.0054600000003119,339.1326847366876
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,5,hop,0.0005300000048009,340.63083254038236,0.0048999999999068,338.2670933115688,0.0054600000003119,338.2739725048834
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,6,hop,0.0005300000048009,340.3504858823991,0.0048999999999068,337.72430017143057,0.0054600000003119,337.7415361659207
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,7,hop,0.000529999990249,344.2428084479368,0.0048999999999068,338.601995179427,0.0054600000003119,338.8752629728684
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,8,hop,0.0005200000014156,344.48686000491296,0.0048999999999068,339.21969949258295,0.0054600000003119,339.4298750472297
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,9,hop,0.0005200000014156,341.8476372507223,0.0049100000032922,338.2280146805478,0.0054600000003119,338.4094911042478
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,10,hop,0.0005200000014156,341.42195081624635,0.0048999999999068,338.2764738578595,0.0054499999969266,338.38087911263773
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,11,hop,0.0005200000014156,342.09035071370835,0.0049100000032922,338.40069228611276,0.0054600000003119,338.56970348081614
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,12,hop,0.0005300000048009,341.33480813089494,0.0048999999999068,338.78909161675324,0.0054600000003119,338.78359998578185
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,13,hop,0.0005200000014156,342.4272642563962,0.0048999999999068,337.72002118407624,0.0054500000114785,337.9765421639968
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,14,hop,0.0005300000048009,342.7880099094912,0.0048999999999068,338.44457135939774,0.0054600000003119,338.62000854226494
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,15,hop,0.000529999990249,344.33740979760785,0.0048999999999068,338.06054713409986,0.0054600000003119,338.389425558813
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,16,hop,0.0005300000048009,345.23062868305146,0.0048999999999068,339.24014305141634,0.0054600000003119,339.5529170443635
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,17,hop,0.0005200000014156,342.8077608556616,0.0048999999999068,339.37722503632205,0.0054499999969266,339.5165137637713
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,18,hop,0.000529999990249,343.4957473579535,0.0048999999999068,338.363101563369,0.0054600000003119,338.59741576029705
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,19,hop,0.0005200000014156,342.9138428219893,0.0048999999999068,339.0993250934923,0.0054600000003119,339.20372589732494
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,20,hop,0.0005300000048009,343.8689971167854,0.0048999999999068,339.14878409054745,0.0054600000003119,339.3523437133258
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,21,hop,0.0005300000048009,345.4121858797255,0.0048999999999068,338.3535497699695,0.0054600000003119,338.78847647978216
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,22,hop,0.0005300000048009,342.55168921546596,0.0048999999999068,339.104299314835,0.0054600000003119,339.15279690793807
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,23,hop,0.0005300000048009,341.85226033096507,0.0048999999999068,338.7434849529312,0.0054600000003119,338.779261383341
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,24,hop,0.0005300000048009,342.97964834419656,0.0048899999965215,338.19318890279135,0.0054499999969266,338.42245570415554
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,25,hop,0.0005300000048009,347.8074566169294,0.0048900000110734,339.3464721017121,0.0054500000114785,339.89492793051215
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,26,hop,0.0005200000014156,342.9039263083686,0.0048899999965215,338.5377713106308,0.0054399999935412,338.7622552198096
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,27,hop,0.0005200000014156,342.85187490775314,0.0048900000110734,339.21565175468186,0.0054400000080931,339.38025369238136
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,28,hop,0.0005199999868636,342.41580302855357,0.0048799999931361,339.0071972476769,0.0054299999901559,339.1057841003227
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,29,hop,0.0005300000048009,343.39952218470717,0.0048799999931361,339.24564364150996,0.0054399999935412,339.4170261319676
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,30,hop,0.000529999990249,340.3098090545654,0.004880000007688,339.82084282261206,0.0054399999935412,339.60919599514204
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,31,hop,0.0005200000014156,342.4302502441553,0.0048899999965215,338.9164913468535,0.0054399999935412,339.06655844493656
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,32,hop,0.000529999990249,343.26492060035895,0.0048799999931361,339.5716988429361,0.0054399999935412,339.68275405793116
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,33,hop,0.0005300000048009,341.5714603555669,0.0048799999931361,339.70382336704176,0.0054399999935412,339.6135070423922
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,34,hop,0.0005200000014156,341.9014471429742,0.0048899999965215,339.16996429216965,0.0054400000080931,339.2392020350678
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,35,hop,0.000529999990249,343.6785630178986,0.0048799999931361,339.7642862610068,0.0054399999935412,339.90491865876606
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,36,hop,0.000529999990249,342.3704432516442,0.0048799999931361,338.9549151655235,0.0054399999935412,339.01954694026756
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,37,hop,0.000529999990249,347.0588528945494,0.0048799999931361,339.27523946527003,0.0054399999935412,339.768193209862
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,38,hop,0.0005300000048009,340.5412176822747,0.004880000007688,338.49230885186114,0.0054400000080931,338.4217629255281
