clip_name,true_label,head,head_precision,score,decision,sumsq
1100011348_ToyCar_case1_normal_IND_ch1_1348,normal,knn16,fp32,1.4633077781334223,0,
1100011317_ToyCar_case1_normal_IND_ch1_1317,normal,knn16,fp32,1.503591003442877,0,
1100010760_ToyCar_case1_normal_IND_ch1_0760,normal,knn16,fp32,1.292709601719053,0,
1100010943_ToyCar_case1_normal_IND_ch1_0943,normal,knn16,fp32,1.4106959069906533,0,
1100010461_ToyCar_case1_normal_IND_ch1_0461,normal,knn16,fp32,1.444623236481217,0,
1100010770_ToyCar_case1_normal_IND_ch1_0770,normal,knn16,fp32,1.3424610274235276,0,
1100011088_ToyCar_case1_normal_IND_ch1_1088,normal,knn16,fp32,1.5410909438850025,0,
1100011058_ToyCar_case1_normal_IND_ch1_1058,normal,knn16,fp32,1.5712888163204528,0,
1100010437_ToyCar_case1_normal_IND_ch1_0437,normal,knn16,fp32,0.061222906154246,0,
1100011297_ToyCar_case1_normal_IND_ch1_1297,normal,knn16,fp32,1.5449861420844966,0,
1100011334_ToyCar_case1_normal_IND_ch1_1334,normal,knn16,fp32,1.5617892666112285,0,
1100010360_ToyCar_case1_normal_IND_ch1_0360,normal,knn16,fp32,1.3138112241607796,0,
1100010705_ToyCar_case1_normal_IND_ch1_0705,normal,knn16,fp32,1.4559004131044226,0,
1100010897_ToyCar_case1_normal_IND_ch1_0897,normal,knn16,fp32,1.358878348036955,0,
1100010022_ToyCar_case1_normal_IND_ch1_0022,normal,knn16,fp32,1.6657488264890719,0,
1100010088_ToyCar_case1_normal_IND_ch1_0088,normal,knn16,fp32,1.4541765623997296,0,
1100010833_ToyCar_case1_normal_IND_ch1_0833,normal,knn16,fp32,1.3864585635701312,0,
1100010926_ToyCar_case1_normal_IND_ch1_0926,normal,knn16,fp32,1.378293794058639,0,
1100010355_ToyCar_case1_normal_IND_ch1_0355,normal,knn16,fp32,1.3317954701950374,0,
1100010365_ToyCar_case1_normal_IND_ch1_0365,normal,knn16,fp32,1.241035500349046,0,
1100011191_ToyCar_case1_normal_IND_ch1_1191,normal,knn16,fp32,1.546161664703535,0,
1100010285_ToyCar_case1_normal_IND_ch1_0285,normal,knn16,fp32,1.2899550516684914,0,
1100011164_ToyCar_case1_normal_IND_ch1_1164,normal,knn16,fp32,1.5469340394683422,0,
1100010152_ToyCar_case1_normal_IND_ch1_0152,normal,knn16,fp32,1.285444532701035,0,
1100010596_ToyCar_case1_normal_IND_ch1_0596,normal,knn16,fp32,1.4759040717350655,0,
1100011063_ToyCar_case1_normal_IND_ch1_1063,normal,knn16,fp32,1.79613732826664,1,
1100010919_ToyCar_case1_normal_IND_ch1_0919,normal,knn16,fp32,1.3980391219691715,0,
1100010181_ToyCar_case1_normal_IND_ch1_0181,normal,knn16,fp32,1.2573542474578296,0,
1100010448_ToyCar_case1_normal_IND_ch1_0448,normal,knn16,fp32,1.309585099374769,0,
1100011137_ToyCar_case1_normal_IND_ch1_1137,normal,knn16,fp32,1.5029050823049181,0,
1100010304_ToyCar_case1_normal_IND_ch1_0304,normal,knn16,fp32,1.3302545718967236,0,
1100011081_ToyCar_case1_normal_IND_ch1_1081,normal,knn16,fp32,1.516723420887552,0,
1100010946_ToyCar_case1_normal_IND_ch1_0946,normal,knn16,fp32,1.424906163022112,0,
1100011034_ToyCar_case1_normal_IND_ch1_1034,normal,knn16,fp32,1.418508544947856,0,
1100010091_ToyCar_case1_normal_IND_ch1_0091,normal,knn16,fp32,1.4040490444011309,0,
1100010032_ToyCar_case1_normal_IND_ch1_0032,normal,knn16,fp32,1.3695051057807857,0,
1100010745_ToyCar_case1_normal_IND_ch1_0745,normal,knn16,fp32,1.4377640839187416,0,
1100010242_ToyCar_case1_normal_IND_ch1_0242,normal,knn16,fp32,1.2914286500932555,0,
1100010809_ToyCar_case1_normal_IND_ch1_0809,normal,knn16,fp32,1.2834671757081235,0,
1100011230_ToyCar_case1_normal_IND_ch1_1230,normal,knn16,fp32,1.5160801787271752,0,
1100011035_ToyCar_case1_normal_IND_ch1_1035,normal,knn16,fp32,1.4369482584434847,0,
1100010749_ToyCar_case1_normal_IND_ch1_0749,normal,knn16,fp32,1.465325994971285,0,
1100011042_ToyCar_case1_normal_IND_ch1_1042,normal,knn16,fp32,1.3464547323187421,0,
1100010156_ToyCar_case1_normal_IND_ch1_0156,normal,knn16,fp32,1.281400955023007,0,
1100010521_ToyCar_case1_normal_IND_ch1_0521,normal,knn16,fp32,1.4296994465493607,0,
1100010936_ToyCar_case1_normal_IND_ch1_0936,normal,knn16,fp32,1.407178534499591,0,
1100010191_ToyCar_case1_normal_IND_ch1_0191,normal,knn16,fp32,1.312650653149693,0,
1100010869_ToyCar_case1_normal_IND_ch1_0869,normal,knn16,fp32,1.3814727732985226,0,
1100010676_ToyCar_case1_normal_IND_ch1_0676,normal,knn16,fp32,1.410589471933252,0,
1100010751_ToyCar_case1_normal_IND_ch1_0751,normal,knn16,fp32,1.3100024763749343,0,
1100011156_ToyCar_case1_normal_IND_ch1_1156,normal,knn16,fp32,1.5413190724170291,0,
1100010387_ToyCar_case1_normal_IND_ch1_0387,normal,knn16,fp32,1.3620186461331827,0,
1100010402_ToyCar_case1_normal_IND_ch1_0402,normal,knn16,fp32,1.366927284369052,0,
1100010476_ToyCar_case1_normal_IND_ch1_0476,normal,knn16,fp32,1.4461116202511624,0,
1100010527_ToyCar_case1_normal_IND_ch1_0527,normal,knn16,fp32,1.4310159574024255,0,
1100011069_ToyCar_case1_normal_IND_ch1_1069,normal,knn16,fp32,1.6633229178820923,0,
1100010100_ToyCar_case1_normal_IND_ch1_0100,normal,knn16,fp32,1.4610236372651029,0,
1100010295_ToyCar_case1_normal_IND_ch1_0295,normal,knn16,fp32,1.3238926335834758,0,
1100010786_ToyCar_case1_normal_IND_ch1_0786,normal,knn16,fp32,1.3928461681137414,0,
1100010668_ToyCar_case1_normal_IND_ch1_0668,normal,knn16,fp32,1.391269388580437,0,
1100011098_ToyCar_case1_normal_IND_ch1_1098,normal,knn16,fp32,1.5810507908505507,0,
1100010007_ToyCar_case1_normal_IND_ch1_0007,normal,knn16,fp32,1.6231447955989804,0,
1100010819_ToyCar_case1_normal_IND_ch1_0819,normal,knn16,fp32,1.436752047037724,0,
1100011153_ToyCar_case1_normal_IND_ch1_1153,normal,knn16,fp32,1.5884815446496128,0,
1100010815_ToyCar_case1_normal_IND_ch1_0815,normal,knn16,fp32,1.3469523161913037,0,
1100010998_ToyCar_case1_normal_IND_ch1_0998,normal,knn16,fp32,1.4397734694403566,0,
1100011166_ToyCar_case1_normal_IND_ch1_1166,normal,knn16,fp32,1.52712416453773,0,
1100010346_ToyCar_case1_normal_IND_ch1_0346,normal,knn16,fp32,1.3318168494002949,0,
1100010269_ToyCar_case1_normal_IND_ch1_0269,normal,knn16,fp32,1.3508436706796842,0,
1100011310_ToyCar_case1_normal_IND_ch1_1310,normal,knn16,fp32,1.542079738823062,0,
1100010734_ToyCar_case1_normal_IND_ch1_0734,normal,knn16,fp32,1.5052553510304072,0,
1100010618_ToyCar_case1_normal_IND_ch1_0618,normal,knn16,fp32,1.446984508708651,0,
1100011176_ToyCar_case1_normal_IND_ch1_1176,normal,knn16,fp32,1.5618555759633277,0,
1100010408_ToyCar_case1_normal_IND_ch1_0408,normal,knn16,fp32,1.3440799971144979,0,
1100010337_ToyCar_case1_normal_IND_ch1_0337,normal,knn16,fp32,1.3428360525783163,0,
1100010939_ToyCar_case1_normal_IND_ch1_0939,normal,knn16,fp32,1.4432255868736557,0,
1100011177_ToyCar_case1_normal_IND_ch1_1177,normal,knn16,fp32,1.5502288009817182,0,
1100011281_ToyCar_case1_normal_IND_ch1_1281,normal,knn16,fp32,1.5502196060107145,0,
1100011291_ToyCar_case1_normal_IND_ch1_1291,normal,knn16,fp32,1.5975876113283458,0,
1100011248_ToyCar_case1_normal_IND_ch1_1248,normal,knn16,fp32,1.619151523834561,0,
1100010045_ToyCar_case1_normal_IND_ch1_0045,normal,knn16,fp32,1.5159422692459583,0,
1100010062_ToyCar_case1_normal_IND_ch1_0062,normal,knn16,fp32,1.445290883167275,0,
1100010957_ToyCar_case1_normal_IND_ch1_0957,normal,knn16,fp32,1.4562910607721726,0,
