clip_name,role,frame_index,phase,feature_current_ua,feature_delta_t_s,backbone_current_ua,backbone_delta_t_s,total_current_ua,total_delta_t_s
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,0,hop,100050.60794737276,0.0005499999970197678,99825.83238505715,0.004750000007334165,99778.12799140943,0.0053299999999580905
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,1,hop,102554.37978578631,0.0005300000048009679,99826.8941528992,0.00473000000056345,100028.71629311299,0.0052900000009685755
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,2,hop,102552.12857582935,0.0005300000048009679,99722.0326761874,0.004740000003948808,99928.67494296386,0.005300000004353933
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,3,hop,101666.89866551646,0.0005200000014156103,99576.46114462853,0.00474999999278225,99731.50709191815,0.005300000004353933
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,4,hop,101607.23527412934,0.0005200000014156103,100114.01509799303,0.004740000003948808,100206.20189154551,0.0052900000009685755
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,5,hop,101852.00334807136,0.0005200000014156103,100098.22450416595,0.0047399999893968925,100207.58146553516,0.0052900000009685755
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,6,hop,101607.57589698938,0.0005200000014156103,100337.52356053688,0.004740000003948808,100400.83109955442,0.0052900000009685755
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,7,hop,102607.15662912746,0.0005200000014156103,100042.05368525189,0.00474999999278225,100253.81149722291,0.005300000004353933
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,8,hop,102298.62097179108,0.0005200000014156103,100450.50084655381,0.004740000003948808,100574.22439999023,0.0052900000009685755
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,9,hop,102069.11616011595,0.0005200000014156103,100353.54684410218,0.004740000003948808,100464.8087386432,0.0052900000009685755
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,10,hop,103293.73077775053,0.0005300000048009679,100459.82151299735,0.004740000003948808,100658.41317780655,0.005300000004353933
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,11,hop,102376.22036555578,0.0005200000014156103,100439.04722745022,0.0047399999893968925,100565.90915954398,0.0052900000009685755
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,12,hop,102013.73876557543,0.0005200000014156103,100161.43570993165,0.004740000003948808,100291.48671749217,0.0052900000009685755
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,13,hop,102766.33424061481,0.0005200000014156103,100163.0743974926,0.0047399999893968925,100368.35688174241,0.0052900000009685755
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,14,hop,102296.87815298558,0.0005200000014156103,100471.08554154576,0.004740000003948808,100581.14075736102,0.0052900000009685755
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,15,hop,102735.81398521332,0.0005200000014156103,100342.33164601114,0.0047399999893968925,100528.80507057035,0.0052900000009685755
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,16,hop,103365.3841149192,0.0005300000048009679,100550.1921088335,0.004740000003948808,100752.05745570346,0.005300000004353933
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,17,hop,102099.82657920005,0.0005200000014156103,100199.43318024154,0.004740000003948808,100325.46232086694,0.0052900000009685755
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,18,hop,102458.2938447375,0.0005200000014156103,100194.7154196509,0.004740000003948808,100355.05927661108,0.0052900000009685755
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,19,hop,104275.01291801537,0.0005200000014156103,100421.4909410228,0.0047399999893968925,100727.89198414361,0.005299999989802018
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,20,hop,102442.77772746404,0.0005200000014156103,100458.16952887994,0.004740000003948808,100588.16413636685,0.0052900000009685755
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,21,hop,102071.05750144723,0.0005200000014156103,100420.09388398805,0.0047399999893968925,100524.632865825,0.0052900000009685755
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,22,hop,102310.64727203197,0.0005200000014156103,100589.71547522531,0.004740000003948808,100687.37555207855,0.0052900000009685755
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,23,hop,103304.7203051607,0.0005299999902490526,100443.89038832345,0.004740000003948808,100662.25971671216,0.005299999989802018
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,24,hop,102432.88920136943,0.0005200000014156103,100623.40164692074,0.004740000003948808,100750.89120958408,0.0052900000009685755
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,25,hop,102605.51829586188,0.0005199999868636951,100377.3552694882,0.0047399999893968925,100537.44219758494,0.00528999998641666
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,26,hop,103504.5328167676,0.0005300000048009679,100493.0984717049,0.004740000003948808,100717.74738236312,0.005300000004353933
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,27,hop,102514.01604155972,0.0005200000014156103,100561.64095739569,0.00473000000056345,100689.55035012597,0.005279999997583218
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,28,hop,104159.51866484455,0.0005200000014156103,100569.29429179856,0.004719999997178093,100852.65682703617,0.005279999997583218
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,29,hop,103114.34875814222,0.0005199999868636951,100754.18857128943,0.00473000000056345,100915.47367603937,0.005279999997583218
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,30,hop,102584.00639355702,0.0005300000048009679,100575.74444326943,0.00473000000056345,100701.25510018892,0.0052900000009685755
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,31,hop,102909.12432542592,0.0005199999868636951,100694.89052486484,0.00473000000056345,100844.98832528264,0.005279999997583218
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,32,hop,102838.37500365691,0.0005200000014156103,100653.48752465806,0.00473000000056345,100805.20291438908,0.005279999997583218
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,33,hop,102921.98233056441,0.0005199999868636951,100704.50520109793,0.00473000000056345,100852.01986102136,0.005279999997583218
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,34,hop,102726.15260811684,0.0005300000048009679,100701.32060233582,0.00473000000056345,100829.19661550745,0.0052900000009685755
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,35,hop,103406.45131220433,0.0005299999902490526,100636.34807898643,0.004729999986011535,100843.52047944174,0.00528999998641666
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,36,hop,102478.26522543226,0.0005200000014156103,100610.54667241877,0.00473000000056345,100725.57035114661,0.005279999997583218
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,37,hop,103066.34387789553,0.0005199999868636951,100781.0026541983,0.00473000000056345,100936.18610364667,0.005279999997583218
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,38,hop,103349.37959702201,0.0005300000048009679,101009.16313270779,0.004719999997178093,101171.47458938338,0.005279999997583218
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,39,hop,102577.68331883576,0.0005199999868636951,100696.25239939099,0.00473000000056345,100829.23456551389,0.005279999997583218
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,40,hop,103107.53830573487,0.0005300000048009679,100505.79239493533,0.00473000000056345,100695.41717723584,0.0052900000009685755
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,41,hop,103249.92030275827,0.0005299999902490526,100734.7637137868,0.00473000000056345,100913.00634911458,0.0052900000009685755
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,42,hop,103831.60442888645,0.0005300000048009679,100693.23826447965,0.00473000000056345,100939.83635107879,0.0052900000009685755
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,43,hop,103362.30049035151,0.0005299999902490526,100916.82959284297,0.004719999997178093,101097.3242615212,0.005279999997583218
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,44,hop,103036.01587588746,0.0005200000014156103,100698.50074484723,0.004719999997178093,100859.59268839433,0.00526999999419786
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,45,hop,102854.89836153504,0.0005200000014156103,100896.61328464934,0.004719999997178093,101043.41151137587,0.005270000008749776
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,46,hop,102565.56298160893,0.0005200000014156103,100666.99385962926,0.004719999997178093,100803.4928494877,0.00526999999419786
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,47,hop,102550.99977245928,0.0005200000014156103,100666.76962303498,0.004719999997178093,100791.86939860076,0.00526999999419786
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,48,hop,102597.72484669826,0.0005300000048009679,100765.75935866937,0.004719999997178093,100875.58021759891,0.005279999997583218
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,49,hop,102173.45540168408,0.0005300000048009679,100697.06829961513,0.004719999997178093,100768.74043150037,0.005279999997583218
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,50,hop,103180.43821453724,0.0005300000048009679,100789.8155467545,0.00471000000834465,100947.34457826083,0.005270000008749776
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,51,hop,102823.37504439964,0.0005299999902490526,100836.22914401199,0.004709999993792735,100965.73413131495,0.00526999999419786
