clip_name,role,frame_index,phase,feature_delta_t_s,feature_energy_mj,backbone_delta_t_s,backbone_energy_mj,total_delta_t_s,total_energy_mj
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,0,hop,0.0005499999970197,0.1815918524404848,0.0047500000073341,1.5647699250518088,0.005329999999958,1.7549974932270713
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,1,hop,0.0005300000048009,0.17936761187010625,0.0047300000005634,1.5581979910182036,0.0052900000009685,1.7462013006485702
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,2,hop,0.0005300000048009,0.17936367450385585,0.0047400000039488,1.5598520364204052,0.0053000000043539,1.7477525261882
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,3,hop,0.0005200000014156,0.17446039858496112,0.0047499999927822,1.5608610260702662,0.0053000000043539,1.744304060470578
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,4,hop,0.0005200000014156,0.1743580162050621,0.0047400000039488,1.5659834254673968,0.0052900000009685,1.7492996667409744
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,5,hop,0.0005200000014156,0.17477803822109006,0.0047399999893968,1.5657364241916707,0.0052900000009685,1.7493237499641157
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,6,hop,0.0005200000014156,0.17435860071389153,0.0047400000039488,1.56947954484142,0.0052900000009685,1.752697308825807
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,7,hop,0.0005200000014156,0.17607388125491,0.0047499999927822,1.5681591891334477,0.0053000000043539,1.7534391645268625
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,8,hop,0.0005200000014156,0.17554443406547945,0.0047400000039488,1.571246735550769,0.0052900000009685,1.75572423567207
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,9,hop,0.0005200000014156,0.17515060380757283,0.0047400000039488,1.5697301810431572,0.0052900000009685,1.753814166471585
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,10,hop,0.0005300000048009,0.18066073676676514,0.0047400000039488,1.5713925294154005,0.0053000000043539,1.7605156479260837
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,11,hop,0.0005200000014156,0.17567759462554217,0.0047399999893968,1.5710675732173578,0.0052900000009685,1.755579076519573
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,12,hop,0.0005200000014156,0.17505557619828258,0.0047400000039488,1.5667251786799583,0.0052900000009685,1.7507884839477972
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,13,hop,0.0005200000014156,0.1763470300369659,0.0047399999893968,1.566750806220817,0.0052900000009685,1.752130406405359
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,14,hop,0.0005200000014156,0.17554144338840105,0.0047400000039488,1.5715687213501015,0.0052900000009685,1.7558449745227136
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,15,hop,0.0005200000014156,0.17629465727855434,0.0047399999893968,1.5695547480958718,0.0052900000009685,1.7549313504382418
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,16,hop,0.0005300000048009,0.18078605845460835,0.0047400000039488,1.5728061062766472,0.0053000000043539,1.7621534863478459
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,17,hop,0.0005200000014156,0.17520330288686456,0.0047400000039488,1.567319535111041,0.0052900000009685,1.7513815960560188
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,18,hop,0.0005200000014156,0.17581843271620143,0.0047400000039488,1.5672457398998203,0.0052900000009685,1.7518982701125394
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,19,hop,0.0005200000014156,0.178935922654433,0.0047399999893968,1.570792957785674,0.005299999989802,1.7617308274128354
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,20,hop,0.0005200000014156,0.17579180705888767,0.0047400000039488,1.5713666890798144,0.0052900000009685,1.7559675816500409
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,21,hop,0.0005200000014156,0.17515393514930636,0.0047399999893968,1.5707711050195854,0.0052900000009685,1.7548585162599888
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,22,hop,0.0005200000014156,0.175565071196749,0.0047400000039488,1.5734243307742628,0.0052900000009685,1.7576995153344372
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,23,hop,0.000529999990249,0.18067995248955573,0.0047400000039488,1.5711433347630435,0.005299999989802,1.760582919057668
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,24,hop,0.0005200000014156,0.17577483834806315,0.0047400000039488,1.5739512498723618,0.0052900000009685,1.7588083081677142
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,25,hop,0.0005199999868636,0.17607106494773744,0.0047399999893968,1.5701025876130743,0.0052899999864166,1.7550821239366274
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,26,hop,0.0005300000048009,0.18102942953634577,0.0047400000039488,1.5719130476039376,0.0053000000043539,1.7615534031646305
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,27,hop,0.0005200000014156,0.17591405200620866,0.0047300000005634,1.5696666538909552,0.0052799999975832,1.7544147244975512
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,28,hop,0.0005200000014156,0.17873773451545238,0.004719999997178,1.5664673269524927,0.0052799999975832,1.7572566917499335
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,29,hop,0.0005199999868636,0.17694421799895266,0.0047300000005634,1.5726721295965813,0.0052799999975832,1.7583512125264642
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,30,hop,0.0005300000048009,0.17941942880756656,0.0047300000005634,1.569886795201985,0.0052900000009685,1.7579418106058442
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,31,hop,0.0005199999868636,0.17659205288130797,0.0047300000005634,1.571746546389829,0.0052799999975832,1.7571230757754415
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,32,hop,0.0005200000014156,0.1764706519866827,0.0047300000005634,1.5711002869595245,0.0052799999975832,1.7564298547763493
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,33,hop,0.0005199999868636,0.1766141172175682,0.0047300000005634,1.5718966218711692,0.0052799999975832,1.7572455932540965
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,34,hop,0.0005300000048009,0.17966804253908372,0.0047300000005634,1.5718469134690858,0.0052900000009685,1.7601752856391686
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,35,hop,0.000529999990249,0.1808578800176015,0.0047299999860115,1.570832752519319,0.0052899999864166,1.7604253324892816
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,36,hop,0.0005200000014156,0.17585270360556693,0.0047300000005634,1.5704300231968413,0.0052799999975832,1.7550423369950476
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,37,hop,0.0005199999868636,0.1768618416265303,0.0047300000005634,1.5730906706167551,0.0052799999975832,1.7587121058649293
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,38,hop,0.0005300000048009,0.18075806655255258,0.004719999997178,1.5733187240143987,0.0052799999975832,1.7628117724385286
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,39,hop,0.0005199999868636,0.17602330012836725,0.0047300000005634,1.5717678038893106,0.0052799999975832,1.7568485822653561
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,40,hop,0.0005300000048009,0.18033508613025995,0.0047300000005634,1.5687949136794077,0.0052900000009685,1.7578398979848335
