clip_name,role,frame_index,phase,feature_current_ua,feature_delta_t_s,backbone_current_ua,backbone_delta_t_s,total_current_ua,total_delta_t_s
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,0,hop,104800.83330063891,0.0005300000048009679,102204.6203878356,0.0024800000101095065,102521.81627222426,0.003040000010514632
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,1,hop,103185.34675549612,0.0005200000014156103,102010.64762574264,0.002490000013494864,102112.66475648111,0.003040000010514632
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,2,hop,102910.80445290744,0.0005200000014156103,102053.15836145307,0.002489999998942949,102115.3527869731,0.0030399999959627166
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,3,hop,104343.81671820513,0.0005300000048009679,101977.39000431309,0.002489999998942949,102268.1856269031,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,4,hop,104457.64645537906,0.0005299999902490526,102210.27758057514,0.002489999998942949,102482.98084445897,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,5,hop,103763.3655255794,0.0005200000014156103,102397.46560332451,0.002489999998942949,102528.37871401853,0.0030399999959627166
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,6,hop,104186.63896077778,0.0005200000014156103,102390.03268190224,0.002499999987776391,102581.70145828066,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,7,hop,103696.22722406928,0.0005200000014156103,102362.7338429471,0.0025000000023283064,102480.61978393783,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,8,hop,105274.57693246708,0.0005200000014156103,102497.04383077445,0.002489999998942949,102843.44105532764,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,9,hop,104091.81421355392,0.0005300000048009679,102334.01349349297,0.002489999998942949,102517.96494016975,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,10,hop,104290.3033465227,0.0005200000014156103,102400.43054512178,0.002489999998942949,102579.56093418956,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,11,hop,104091.07816221096,0.0005300000048009679,102593.77974636362,0.002489999998942949,102727.44875194135,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,12,hop,103763.86098004931,0.0005299999902490526,102167.86896374419,0.002489999998942949,102320.4036466509,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,13,hop,103652.59401881191,0.0005200000014156103,102233.66799101197,0.0025000000023283064,102389.57128014303,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,14,hop,104487.19720270492,0.0005300000048009679,102630.0079828615,0.002489999998942949,102808.61871008413,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,15,hop,103753.92210788473,0.0005200000014156103,102101.28869647042,0.002489999998942949,102284.13466351568,0.003040000010514632
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,16,hop,103347.02366109783,0.0005199999868636951,102043.64733154066,0.002489999998942949,102152.49979853665,0.0030399999959627166
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,17,hop,103391.40707253167,0.0005200000014156103,102642.57769669908,0.0025000000023283064,102675.29165582769,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,18,hop,103696.39858035473,0.0005200000014156103,102356.79681803787,0.0025000000023283064,102495.49692279645,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,19,hop,104162.3829513899,0.0005300000048009679,102355.25249614315,0.002489999998942949,102545.12123212194,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,20,hop,103520.09368456867,0.0005200000014156103,102206.95478629426,0.002489999998942949,102348.03222795339,0.0030399999959627166
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,21,hop,104450.15802430856,0.0005200000014156103,102491.46132593234,0.002489999998942949,102673.69374398694,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,22,hop,103708.48130278719,0.0005199999868636951,102206.910709342,0.002489999998942949,102382.69674308039,0.0030399999959627166
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,23,hop,105611.49318234663,0.0005299999902490526,102518.26014034031,0.002490000013494864,102927.5282248273,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,24,hop,103871.61891623664,0.0005200000014156103,102245.40555763879,0.0025000000023283064,102448.86036798314,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,25,hop,104101.10074109297,0.0005200000014156103,102278.63098966688,0.0025000000023283064,102507.84020603124,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,26,hop,103764.31843370326,0.0005199999868636951,102446.56025256525,0.0025000000023283064,102580.69140855661,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,27,hop,105738.39707007422,0.0005200000014156103,102536.32472656865,0.002489999998942949,102947.19339626226,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,28,hop,104331.07624971731,0.0005299999902490526,102222.04308418315,0.002489999998942949,102458.27325755425,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,29,hop,104458.98733999823,0.0005299999902490526,102279.50726849296,0.002489999998942949,102524.95442047132,0.003049999999348074
