clip_name,role,frame_index,phase,feature_delta_t_s,feature_energy_mj,backbone_delta_t_s,backbone_energy_mj,total_delta_t_s,total_energy_mj
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,0,hop,0.0005399999936344,0.17805422722847705,0.0024999999877763,0.8244587014519937,0.0030699999915668,1.0112482453146967
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,1,hop,0.000529999990249,0.17956698919934944,0.0024899999989429,0.8251851202752691,0.003049999999348,1.0132640467758296
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,2,hop,0.0005200000014156,0.17693595732529882,0.0024799999955575,0.8237833856988537,0.0030399999959627,1.012399254007223
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,3,hop,0.000529999990249,0.17780533880694535,0.0024899999989429,0.8253367663998807,0.003049999999348,1.0117035106198724
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,4,hop,0.0005300000048009,0.1789307896798417,0.0024899999989429,0.8247399751137549,0.003049999999348,1.0120587668298322
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,5,hop,0.0005200000014156,0.17498523783668699,0.0024899999989429,0.8284674813138216,0.0030399999959627,1.012385795960425
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,6,hop,0.0005300000048009,0.1790971059268721,0.0024899999989429,0.8300058491402734,0.003049999999348,1.0178127671907016
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,7,hop,0.0005200000014156,0.17720901645876116,0.0025000000023283,0.8329977254522711,0.003049999999348,1.0192389594005054
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,8,hop,0.0005200000014156,0.17503638061639606,0.0024899999989429,0.8303017471735302,0.0030399999959627,1.0142465153503835
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,9,hop,0.0005300000048009,0.1801622362936956,0.0024899999989429,0.8292840373867659,0.003049999999348,1.0182058049538878
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,10,hop,0.0005300000048009,0.18102061167558428,0.0024899999989429,0.8296561977604351,0.003049999999348,1.0192133127059075
