clip_name,role,frame_index,phase,feature_current_ua,feature_delta_t_s,backbone_current_ua,backbone_delta_t_s,total_current_ua,total_delta_t_s
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,0,hop,99706.80446850426,0.0005400000081863254,100144.95754505432,0.0025000000023283064,99963.69161268335,0.0030700000061187893
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,1,hop,102843.6013703626,0.0005200000014156103,100245.23053889928,0.0024799999955575913,100562.09104212213,0.0030399999959627166
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,2,hop,102700.10496330181,0.0005200000014156103,100645.18197983755,0.002489999998942949,100903.80623067125,0.003040000010514632
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,3,hop,102073.83054767613,0.0005200000014156103,100572.67139256376,0.002489999998942949,100727.43710166139,0.0030399999959627166
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,4,hop,102715.54585098659,0.0005200000014156103,100790.10539956031,0.002489999998942949,101020.21797744342,0.003040000010514632
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,5,hop,102247.61525223986,0.0005200000014156103,100617.86733416659,0.002489999998942949,100799.15068690637,0.003040000010514632
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,6,hop,104493.62405270209,0.0005200000014156103,101040.91965792289,0.002489999998942949,101469.81942932334,0.003049999999348074
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,7,hop,103814.88947880984,0.0005200000014156103,101122.62357192849,0.002489999998942949,101490.4921666532,0.003040000010514632
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,8,hop,101912.52561059648,0.0005200000014156103,101049.75687779293,0.002489999998942949,101078.26657384436,0.0030399999959627166
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,9,hop,104261.70562505534,0.0005200000014156103,101176.72481265434,0.002490000013494864,101550.98226189491,0.0030500000138999894
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,10,hop,102386.48814783519,0.0005300000048009679,100913.59823463255,0.002489999998942949,101039.86131473533,0.003049999999348074
