clip_name,role,frame_index,phase,feature_current_ua,feature_delta_t_s,backbone_current_ua,backbone_delta_t_s,total_current_ua,total_delta_t_s
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,0,hop,103284.47646880952,0.0005200000014156103,102016.90235340277,0.0024799999955575913,102112.79910865468,0.003029999992577359
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,1,hop,103289.02785892747,0.0005200000014156103,102325.0693542833,0.002489999998942949,102387.92231739072,0.003040000010514632
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,2,hop,103551.1823413072,0.0005200000014156103,102294.69593963947,0.002489999998942949,102400.47384783001,0.0030399999959627166
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,3,hop,103142.1231335552,0.0005200000014156103,102074.15035860844,0.002489999998942949,102152.31320935934,0.0030399999959627166
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,4,hop,103281.24044370244,0.0005300000048009679,102170.88583779213,0.002489999998942949,102219.32197230807,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,5,hop,103378.23119808617,0.0005299999902490526,102146.66312790957,0.002489999998942949,102233.62977802416,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,6,hop,103056.77298784223,0.0005200000014156103,102321.52966648489,0.002489999998942949,102357.65516369318,0.0030399999959627166
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,7,hop,104145.43940420281,0.0005299999902490526,102388.49658900317,0.002489999998942949,102561.9212088701,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,8,hop,103343.7825196502,0.0005199999868636951,102258.37649439879,0.002489999998942949,102330.30051942123,0.0030399999959627166
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,9,hop,103765.9379595717,0.0005200000014156103,102333.88868152916,0.002489999998942949,102474.28638509153,0.0030399999959627166
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,10,hop,104587.0993579438,0.0005299999902490526,102388.21598028734,0.002489999998942949,102626.12017655485,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,11,hop,104827.7535357837,0.0005300000048009679,102095.25189353626,0.002489999998942949,102450.92179823342,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,12,hop,103227.70314745595,0.0005200000014156103,102167.91827756206,0.002489999998942949,102253.65303949939,0.0030399999959627166
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,13,hop,105406.97905030286,0.0005200000014156103,102427.37250052321,0.002489999998942949,102789.40494358762,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,14,hop,103680.46243121085,0.0005200000014156103,102219.07421473668,0.002489999998942949,102355.68417896684,0.0030399999959627166
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,15,hop,103637.3768862439,0.0005299999902490526,102279.47628370475,0.002489999998942949,102379.69451588384,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,16,hop,104610.06912428599,0.0005200000014156103,102241.28827659438,0.0024799999955575913,102502.49712338578,0.0030399999959627166
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,17,hop,103258.72284373814,0.0005200000014156103,102032.20040392417,0.002489999998942949,102132.94902175393,0.003040000010514632
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,18,hop,103666.95633752184,0.0005300000048009679,102167.80219370761,0.002489999998942949,102303.52992024033,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,19,hop,103637.97351839098,0.0005299999902490526,102044.11952225688,0.002489999998942949,102199.95892509393,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,20,hop,103443.27584264243,0.0005200000014156103,102086.41991053181,0.002489999998942949,102199.06135218027,0.0030399999959627166
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,21,hop,103492.50111399511,0.0005200000014156103,102391.58416073691,0.002489999998942949,102474.7231896407,0.003040000010514632
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,22,hop,104768.57823096945,0.0005300000048009679,102197.85354111616,0.002489999998942949,102521.94600180251,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,23,hop,103886.52065853555,0.0005200000014156103,102113.6459658928,0.002489999998942949,102299.64517194964,0.0030399999959627166
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,24,hop,103437.23029470524,0.0005200000014156103,102216.02242825132,0.002489999998942949,102341.22421764415,0.0030399999959627166
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,25,hop,104671.21022464387,0.0005299999902490526,102548.09197579854,0.002489999998942949,102781.1079209625,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,26,hop,106000.84202225489,0.0005200000014156103,102459.17061616278,0.0025000000023283064,102964.9029521799,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,27,hop,103962.60119401738,0.0005300000048009679,102233.98576841112,0.002489999998942949,102406.45640746759,0.003049999999348074
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,28,hop,103925.58784569934,0.0005200000014156103,102297.34710590536,0.002489999998942949,102459.27988190662,0.0030399999959627166
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,29,hop,103869.21574881898,0.0005200000014156103,102430.68176623459,0.002489999998942949,102586.03661449168,0.003040000010514632
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,30,hop,106059.08023087782,0.0005200000014156103,102302.48427698648,0.0025000000023283064,102843.96585364989,0.003049999999348074
