clip_name,role,frame_index,phase,feature_delta_t_s,feature_energy_mj,backbone_delta_t_s,backbone_energy_mj,total_delta_t_s,total_energy_mj
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,0,hop,0.0005400000081863,0.17629088542374471,0.0025000000023283,0.8273817804828834,0.0030800000095041,1.0152778673032163
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,1,hop,0.0005200000014156,0.17277353667312598,0.0025000000023283,0.8280339459630406,0.003049999999348,1.0097902857896648
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,2,hop,0.000529999990249,0.17661050476180784,0.0024899999989429,0.8260324832158301,0.003049999999348,1.0112043431658913
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,3,hop,0.0005200000014156,0.17558125814678713,0.0024899999989429,0.8251884157575549,0.0030400000105146,1.009702834438824
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,4,hop,0.0005200000014156,0.17387999149895217,0.0024899999989429,0.8278461227021651,0.0030400000105146,1.0104363686702773
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,5,hop,0.0005300000048009,0.1773831306585149,0.0024899999989429,0.827075190641372,0.003049999999348,1.0127969950589326
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,6,hop,0.0005200000014156,0.17510134006238307,0.0024899999989429,0.8273967497129959,0.0030399999959627,1.0115058869703346
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,7,hop,0.0005200000014156,0.17418483287682515,0.0024899999989429,0.8269515149028882,0.0030399999959627,1.0099455480430208
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,8,hop,0.0005300000048009,0.17901558659218175,0.0024899999989429,0.8280910680108912,0.003049999999348,1.0158413890609461
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,9,hop,0.0005200000014156,0.17371417369915532,0.0024899999989429,0.8298571219738562,0.0030399999959627,1.0124547358036828
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,10,hop,0.0005200000014156,0.17461812649568273,0.0024899999989429,0.8301278610008674,0.0030399999959627,1.013257970094953
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,11,hop,0.0005300000048009,0.18003982280624314,0.0024899999989429,0.8295072088201255,0.003049999999348,1.0180341815116813
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,12,hop,0.0005300000048009,0.17787815993802322,0.0024899999989429,0.8311206986568845,0.003049999999348,1.0174612726357128
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,13,hop,0.0005200000014156,0.17351705417140878,0.0024899999989429,0.8271751560948765,0.0030399999959627,1.009476574260808
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,14,hop,0.0005200000014156,0.17415946588576373,0.0024899999989429,0.8313446052087086,0.0030399999959627,1.0145117033362643
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,15,hop,0.0005200000014156,0.1741031629330142,0.0024899999989429,0.8289359530643363,0.0030399999959627,1.011674785095119
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,16,hop,0.0005300000048009,0.17770412674001745,0.0024899999989429,0.8302036894420889,0.003049999999348,1.0163701979508382
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,17,hop,0.0005200000014156,0.17742019649695975,0.0024800000101095,0.8284011117716631,0.0030400000105146,1.0176744994104572
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,18,hop,0.0005300000048009,0.17961040202895426,0.0024899999989429,0.8303998443503522,0.003049999999348,1.0186707158623791
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,19,hop,0.0005200000014156,0.1757670496782619,0.0024899999989429,0.8334304539589831,0.0030400000105146,1.0180313370479634
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,20,hop,0.0005200000014156,0.17515138912925168,0.0024899999989429,0.8300772991442034,0.0030400000105146,1.0139389535100467
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,21,hop,0.0005200000014156,0.1754046036250108,0.0024899999989429,0.8322136667198174,0.0030399999959627,1.0165264570892178
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,22,hop,0.0005200000014156,0.1776669742237073,0.0024899999989429,0.8304749627747156,0.003049999999348,1.0201685302014267
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,23,hop,0.0005200000014156,0.17474759711963792,0.0024899999989429,0.8302055218593339,0.0030400000105146,1.0138862651885474
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,24,hop,0.0005300000048009,0.1787203842292089,0.0024899999989429,0.8329053923803975,0.003049999999348,1.0203605110712315
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,25,hop,0.0005300000048009,0.17825011591642712,0.0024900000134948,0.8321124044317182,0.0030500000138999,1.018948631638425
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,26,hop,0.0005200000014156,0.17853376224922057,0.0025000000023283,0.8352538995361457,0.0030600000027334,1.0257645430018962
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,27,hop,0.0005199999868636,0.1765987370802505,0.0024999999877763,0.838407330138671,0.0030599999881815,1.0268590481388225
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,28,hop,0.0005300000048009,0.1802352282541204,0.0025000000023283,0.8358252556991339,0.0030600000027334,1.0247951717854076
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,29,hop,0.0005200000014156,0.17524757499836963,0.0024899999989429,0.8315418430719778,0.0030399999959627,1.0154747883912507
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,30,hop,0.0005200000014156,0.17597259258785136,0.0024899999989429,0.833477541036175,0.0030399999959627,1.0186066149449173
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,31,hop,0.0005200000014156,0.1768752078023128,0.0025000000023283,0.8350829323214454,0.003049999999348,1.0208168587210475
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,32,hop,0.0005200000014156,0.1774704356188466,0.0024999999877763,0.8345096456491594,0.003049999999348,1.0209874027941919
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,33,hop,0.0005200000014156,0.17567494102717518,0.0024899999989429,0.8297528569738223,0.0030399999959627,1.0141131109466868
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,34,hop,0.0005200000014156,0.17799566573844003,0.0024999999877763,0.8385092714467143,0.003049999999348,1.0254378323912599
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,35,hop,0.0005200000014156,0.1755166501483379,0.0024899999989429,0.8327542231863018,0.0030399999959627,1.0169559926372973
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,36,hop,0.0005200000014156,0.17545091972444707,0.0024899999989429,0.8333538043366481,0.0030399999959627,1.0174898039180962
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,37,hop,0.0005200000014156,0.1748352161441119,0.0025000000023283,0.8349815755216374,0.003049999999348,1.01884915259767
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,38,hop,0.0005200000014156,0.17587315785370583,0.0024899999989429,0.8322341532413854,0.0030399999959627,1.016966295053618
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,39,hop,0.0005200000014156,0.17578371714476107,0.0025000000023283,0.8374172477803521,0.003049999999348,1.0222084250331571
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,40,hop,0.0005199999868636,0.17602957194379135,0.0025000000023283,0.836647491908058,0.003049999999348,1.0215851335977004
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,41,hop,0.0005200000014156,0.17565129170316482,0.0024999999877763,0.8376390373358918,0.003049999999348,1.0223473948467203
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,42,hop,0.0005200000014156,0.17567391544726588,0.0025000000023283,0.8354274199427831,0.003049999999348,1.020208029421699
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,43,hop,0.0005200000014156,0.1750211367695614,0.0024899999989429,0.8335977742686802,0.0030399999959627,1.0173041594361178
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,44,hop,0.000529999990249,0.18013299153740434,0.0024999999877763,0.8390254578122687,0.0030599999881815,1.027942681986507
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,45,hop,0.0005200000014156,0.17958096645149235,0.0025000000023283,0.8380860556504237,0.003049999999348,1.0267488475742415
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,46,hop,0.0005200000014156,0.17863677216927387,0.0024999999877763,0.8353792844933258,0.003049999999348,1.0230728965364768
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,47,hop,0.0005200000014156,0.1775677259586362,0.0025000000023283,0.8363927856601594,0.003049999999348,1.0229186398447991
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,48,hop,0.0005200000014156,0.175644611089979,0.0024899999989429,0.8336991023808012,0.0030400000105146,1.0181528576347387
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,49,hop,0.0005300000048009,0.17988498519024548,0.0024899999989429,0.8348913545679302,0.003049999999348,1.023362529926102
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,50,hop,0.000529999990249,0.1797362459156173,0.0024899999989429,0.834443071705654,0.003049999999348,1.0227654338346335
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,51,hop,0.0005200000014156,0.17602169855151661,0.0025000000023283,0.8384281729629539,0.003049999999348,1.023531729270348
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,52,hop,0.0005200000014156,0.17695126933011593,0.0025000000023283,0.839399860699131,0.003049999999348,1.0254081084786424
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,53,hop,0.0005200000014156,0.1761701998039463,0.0024899999989429,0.830818582597204,0.0030399999959627,1.0160711099182098
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,54,hop,0.0005200000014156,0.17858736857227833,0.0024899999989429,0.8322096576347299,0.003049999999348,1.0225758842346764
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,55,hop,0.0005200000014156,0.17629699531387222,0.0024899999989429,0.8348906696526779,0.0030399999959627,1.0201209569219734
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,56,hop,0.0005200000014156,0.17684464836471728,0.0024899999989429,0.8356118861395269,0.0030400000105146,1.0215138190620654
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,57,hop,0.0005300000048009,0.17976683180398212,0.0024899999989429,0.8347416986420872,0.003049999999348,1.0233174007741759
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,58,hop,0.000529999990249,0.18092969220055716,0.0024899999989429,0.8343686274387114,0.003049999999348,1.0240578128430071
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,59,hop,0.0005200000014156,0.1757551945232092,0.0024899999989429,0.8347926047493496,0.0030399999959627,1.0194065106975283
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,60,hop,0.000529999990249,0.1800092763557632,0.0024899999989429,0.8336476583819799,0.003049999999348,1.0223668844759364
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,61,hop,0.0005300000048009,0.17954000987775667,0.0024899999989429,0.8356368515048112,0.003049999999348,1.0238124838382503
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,62,hop,0.0005200000014156,0.17599068011312252,0.0024899999989429,0.8359351306047028,0.0030399999959627,1.0206854208998324
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,63,hop,0.0005300000048009,0.1797642427525861,0.0024899999989429,0.8357869664314506,0.003049999999348,1.024236364328497
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,64,hop,0.0005200000014156,0.1782668494233269,0.0025000000023283,0.838954152543847,0.0030500000138999,1.0261292366268864
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,65,hop,0.0005300000048009,0.18045702268719194,0.0024899999989429,0.8348665469841701,0.003049999999348,1.0240087212232607
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,66,hop,0.000529999990249,0.17976042237284673,0.0024899999989429,0.8355881901983225,0.003049999999348,1.0241080555506898
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,67,hop,0.0005200000014156,0.17709940123034043,0.0025000000023283,0.83796026420497,0.003049999999348,1.0238686433530853
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,68,hop,0.000529999990249,0.17914389045252932,0.0024899999989429,0.8332490588201545,0.003049999999348,1.0210284798297045
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,69,hop,0.0005200000014156,0.17741987734796702,0.0024899999989429,0.83385078436485,0.003049999999348,1.0231732851313624
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,70,hop,0.0005200000014156,0.1775934515440715,0.0024899999989429,0.8345672172027662,0.003049999999348,1.0241873946308375
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,71,hop,0.0005200000014156,0.17646897017906907,0.0024899999989429,0.8359337679460863,0.0030399999959627,1.0214350380853792
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,72,hop,0.0005199999868636,0.176845902082005,0.0024899999989429,0.8334765728313688,0.0030399999959627,1.01933002244273
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,73,hop,0.0005200000014156,0.175951815604776,0.0024899999989429,0.8346915814424454,0.003049999999348,1.0225707204757075
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,74,hop,0.000529999990249,0.18115636351092107,0.0024899999989429,0.8370758061130926,0.003049999999348,1.0265954658528333
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,75,hop,0.0005200000014156,0.1775193981447623,0.0024899999989429,0.832604316244398,0.003049999999348,1.0218281998719643
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,76,hop,0.0005200000014156,0.17836268386995846,0.0024899999989429,0.8334000272014017,0.003049999999348,1.0235664412306917
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,77,hop,0.0005200000014156,0.1761187629768507,0.0024899999989429,0.8337218480469176,0.0030399999959627,1.0186745005207203
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,78,hop,0.000529999990249,0.179142402285909,0.0024899999989429,0.8342931073886507,0.003049999999348,1.0221205693366544
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,79,hop,0.0005300000048009,0.17949153862582606,0.0024899999989429,0.8348669772974173,0.003049999999348,1.0229693236235604
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,80,hop,0.0005199999868636,0.17523007425006906,0.0024899999989429,0.829901602069958,0.0030399999959627,1.0142133955490922
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,81,hop,0.0005300000048009,0.1794162695911124,0.0024899999989429,0.8352144089780885,0.003049999999348,1.0233406233708133
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,82,hop,0.0005199999868636,0.17592376857652614,0.0024899999989429,0.8342716490763323,0.0030399999959627,1.019153242413639
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,83,hop,0.0005200000014156,0.17920791676260486,0.0024799999955575,0.8317992725367283,0.0030399999959627,1.0229840310616969
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,84,hop,0.0005199999868636,0.1745577916181301,0.0024899999989429,0.8324828602050819,0.0030399999959627,1.0159241649659578
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,85,hop,0.0005200000014156,0.17530628411936808,0.0024899999989429,0.8326830851594763,0.0030399999959627,1.0169224317398766
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,86,hop,0.000529999990249,0.17912114478682153,0.0024899999989429,0.8342450664504271,0.003049999999348,1.0218285835679435
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,87,hop,0.0005200000014156,0.17545102730275922,0.0024899999989429,0.8361323612960846,0.0030400000105146,1.0206654197804725
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,88,hop,0.000529999990249,0.17882057786023364,0.0024899999989429,0.8346169865658664,0.003049999999348,1.022196964357001
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,89,hop,0.0005200000014156,0.1763492425642529,0.0024899999989429,0.8362082506983493,0.0030400000105146,1.021416195229436
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,90,hop,0.0005199999868636,0.17631939538117455,0.0024899999989429,0.8365052101709494,0.0030399999959627,1.0217825665862168
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,91,hop,0.0005200000014156,0.17567731133598677,0.0024899999989429,0.8375248133360017,0.0030400000105146,1.0221104095376594
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,92,hop,0.0005200000014156,0.17557275228823807,0.0024899999989429,0.8329796035609982,0.0030399999959627,1.017386517880793
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,93,hop,0.0005200000014156,0.17575036067104902,0.0024899999989429,0.8327299893535383,0.0030399999959627,1.0174383276458279
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,94,hop,0.0005200000014156,0.17531933697962956,0.0024899999989429,0.8324083729068147,0.0030399999959627,1.0166359611779907
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,95,hop,0.0005200000014156,0.1800261259581825,0.0024899999989429,0.834793361383476,0.003049999999348,1.0269697670349869
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,96,hop,0.0005200000014156,0.17681657040018917,0.0024899999989429,0.8360826744096898,0.0030399999959627,1.0220060213089295
