clip_name,role,frame_index,phase,feature_current_ua,feature_delta_t_s,backbone_current_ua,backbone_delta_t_s,total_current_ua,total_delta_t_s
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,0,hop,103636.61008066653,0.0005300000048009679,91991.42704920181,0.00783999999111984,92709.16995119622,0.008399999991524965
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,1,hop,103622.39135864595,0.0005300000048009679,92325.96466817726,0.007840000005671754,93027.65692601734,0.00840000000607688
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,2,hop,103424.27853105942,0.0005300000048009679,92082.5205348781,0.00783999999111984,92780.79433369117,0.008399999991524965
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,3,hop,103853.26915112113,0.0005200000014156103,92349.79100982769,0.00783999999111984,93060.58607336014,0.008390000002691522
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,4,hop,103824.33498621525,0.0005200000014156103,92543.32516507966,0.007840000005671754,93244.9995065768,0.008390000002691522
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,5,hop,103466.19864577815,0.0005300000048009679,92469.74477405763,0.007840000005671754,93149.316658093,0.00840000000607688
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,6,hop,104431.49917665844,0.0005300000048009679,92470.53897174702,0.007840000005671754,93210.07272251113,0.00840000000607688
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,7,hop,104260.4225426254,0.0005200000014156103,92299.92012223825,0.007850000009057112,93040.12003357457,0.00840000000607688
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,8,hop,103522.79059490409,0.0005300000048009679,92356.49400921124,0.007840000005671754,93048.0851833856,0.00840000000607688
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,9,hop,103102.30574021491,0.0005200000014156103,92441.51790837588,0.007850000009057112,93091.79169817457,0.00840000000607688
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,10,hop,103610.27524164646,0.0005200000014156103,92542.15588378256,0.007849999994505197,93222.65096318234,0.008399999991524965
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,11,hop,104887.24868463558,0.0005299999902490526,92552.92691609851,0.00783999999111984,93313.04076860113,0.008399999991524965
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,12,hop,103864.04197367995,0.0005300000048009679,92379.53876606959,0.007840000005671754,93091.1206911336,0.00840000000607688
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,13,hop,103638.38815020876,0.0005200000014156103,92637.67068209298,0.007849999994505197,93317.22851375485,0.00840000000607688
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,14,hop,103622.44364222165,0.0005200000014156103,92528.75339690401,0.007849999994505197,93211.77591822698,0.00840000000607688
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,15,hop,104516.00984840555,0.0005300000048009679,92459.20107426652,0.007840000005671754,93206.61031687913,0.00840000000607688
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,16,hop,104331.87380952905,0.0005300000048009679,92437.00443176852,0.007840000005671754,93173.38079694254,0.00840000000607688
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,17,hop,104557.26567166157,0.0005299999902490526,92422.47560696544,0.00783999999111984,93179.40601665736,0.008399999991524965
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,18,hop,104479.72746129699,0.0005200000014156103,92366.31170412042,0.00783999999111984,93113.93570118202,0.008390000002691522
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,19,hop,104531.11224209414,0.0005299999902490526,92565.33885126493,0.00783999999111984,93302.15343415608,0.008399999991524965
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,20,hop,104358.56031249253,0.0005300000048009679,92515.57094156662,0.007840000005671754,93250.18151791842,0.00840000000607688
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,21,hop,103651.29216648519,0.0005300000048009679,92612.47745407942,0.007840000005671754,93293.31844629717,0.00840000000607688
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,22,hop,103775.10344573017,0.0005200000014156103,92507.05279185908,0.007840000005671754,93197.29424535407,0.008390000002691522
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,23,hop,103850.3184794744,0.0005200000014156103,92501.28605851381,0.00783999999111984,93201.94922887813,0.008390000002691522
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,24,hop,105379.39274886166,0.0005200000014156103,92660.69812569629,0.007850000009057112,93452.79711573152,0.00840000000607688
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,25,hop,103472.52764358956,0.0005200000014156103,92506.94371108779,0.00783999999111984,93179.34352681918,0.008390000002691522
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,26,hop,104058.59388995574,0.0005200000014156103,92594.51140755127,0.007850000009057112,93299.33344633107,0.00840000000607688
