clip_name,role,frame_index,phase,feature_current_ua,feature_delta_t_s,backbone_current_ua,backbone_delta_t_s,total_current_ua,total_delta_t_s
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,0,hop,99959.945709792,0.000550000011571683,90261.06026362815,0.007779999999911524,90882.88451666178,0.008360000007087365
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,1,hop,101817.23284728633,0.0005299999902490526,90514.24953417151,0.007749999989755452,91228.69886063368,0.008309999990160577
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,2,hop,102287.43275918305,0.0005300000048009679,90124.86318355906,0.007750000004307367,90881.091981229,0.008310000004712492
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,3,hop,102376.34365849283,0.0005200000014156103,90384.2509155426,0.007749999989755452,91141.35557308634,0.008300000001327135
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,4,hop,102315.45809648346,0.0005300000048009679,90759.4408402541,0.007750000004307367,91485.52633742665,0.008310000004712492
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,5,hop,103047.39226147153,0.0005200000014156103,90571.55913222174,0.007759999993140809,91350.11187446154,0.008310000004712492
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,6,hop,102458.27885391744,0.0005300000048009679,90651.76735533345,0.007750000004307367,91393.31284409072,0.008310000004712492
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,7,hop,102471.52574213145,0.0005299999902490526,90686.58378447175,0.007749999989755452,91425.72838034618,0.008309999990160577
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,8,hop,102508.31738561505,0.0005200000014156103,90932.42379146765,0.007759999993140809,91651.56159764029,0.008309999990160577
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,9,hop,103604.7343132212,0.0005300000048009679,90971.33394393556,0.007750000004307367,91763.57514854585,0.008310000004712492
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,10,hop,102200.46379896742,0.0005300000048009679,90859.90204955767,0.007750000004307367,91567.3725818726,0.008310000004712492
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,11,hop,102506.48888866682,0.0005200000014156103,90834.6516933984,0.007759999993140809,91567.37768167224,0.008309999990160577
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,12,hop,103575.43165005268,0.0005299999902490526,91030.52626193708,0.007749999989755452,91818.70547675007,0.008309999990160577
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,13,hop,103406.95568164825,0.0005300000048009679,90968.34754742941,0.007750000004307367,91755.39283871705,0.008310000004712492
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,14,hop,103591.647347026,0.0005299999902490526,91113.62699914812,0.007749999989755452,91903.56609781424,0.008309999990160577
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,15,hop,103888.80121128864,0.0005300000048009679,91096.517928702,0.007750000004307367,91906.55654460339,0.008310000004712492
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,16,hop,102784.58996874442,0.0005200000014156103,91070.65948553145,0.007759999993140809,91807.86943767224,0.008309999990160577
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,17,hop,102755.5208803187,0.0005299999902490526,91008.32760022268,0.007749999989755452,91744.8052514164,0.008309999990160577
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,18,hop,102391.0635959523,0.0005200000014156103,90868.41250284557,0.0077600000076927245,91581.73232462538,0.008310000004712492
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,19,hop,102494.53990772544,0.0005200000014156103,90929.51812107024,0.007759999993140809,91645.26373098642,0.008310000004712492
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,20,hop,103977.89221367682,0.0005300000048009679,90929.77158713106,0.007750000004307367,91749.50125610089,0.008310000004712492
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,21,hop,102841.34373273286,0.0005299999902490526,91175.9429820394,0.007749999989755452,91908.40633529358,0.008309999990160577
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,22,hop,103934.99206402231,0.0005300000048009679,91256.14271237212,0.007750000004307367,92052.0476986433,0.008310000004712492
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,23,hop,103807.44797427174,0.0005300000048009679,91218.47140638433,0.007750000004307367,92006.97170085393,0.008310000004712492
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,24,hop,103978.03368315498,0.0005300000048009679,91080.03981707635,0.007750000004307367,91892.3615646081,0.008310000004712492
