clip_name,true_label,head,head_precision,score,decision,sumsq
1100011348_ToyCar_case1_normal_IND_ch1_1348,normal,knn16,fp32,1.1843272331365173,0,
1100011317_ToyCar_case1_normal_IND_ch1_1317,normal,knn16,fp32,1.232331102558555,0,
1100010760_ToyCar_case1_normal_IND_ch1_0760,normal,knn16,fp32,1.0978441426561416,0,
1100010943_ToyCar_case1_normal_IND_ch1_0943,normal,knn16,fp32,1.1726936101500693,0,
1100010461_ToyCar_case1_normal_IND_ch1_0461,normal,knn16,fp32,1.17750967972252,0,
1100010770_ToyCar_case1_normal_IND_ch1_0770,normal,knn16,fp32,1.1121784582859209,0,
1100011088_ToyCar_case1_normal_IND_ch1_1088,normal,knn16,fp32,1.2255202285044893,0,
1100011058_ToyCar_case1_normal_IND_ch1_1058,normal,knn16,fp32,1.4030793722710273,0,
1100010437_ToyCar_case1_normal_IND_ch1_0437,normal,knn16,fp32,0.5187794782369924,0,
1100011297_ToyCar_case1_normal_IND_ch1_1297,normal,knn16,fp32,1.3003261930825987,0,
1100011334_ToyCar_case1_normal_IND_ch1_1334,normal,knn16,fp32,1.2523197017926564,0,
1100010360_ToyCar_case1_normal_IND_ch1_0360,normal,knn16,fp32,1.0997210048185282,0,
1100010705_ToyCar_case1_normal_IND_ch1_0705,normal,knn16,fp32,1.2244642339814236,0,
1100010897_ToyCar_case1_normal_IND_ch1_0897,normal,knn16,fp32,1.158540050419259,0,
1100010022_ToyCar_case1_normal_IND_ch1_0022,normal,knn16,fp32,1.718552694919971,0,
1100010088_ToyCar_case1_normal_IND_ch1_0088,normal,knn16,fp32,1.7364780194977234,0,
1100010833_ToyCar_case1_normal_IND_ch1_0833,normal,knn16,fp32,1.1432021795049625,0,
1100010926_ToyCar_case1_normal_IND_ch1_0926,normal,knn16,fp32,1.1259008513386703,0,
1100010355_ToyCar_case1_normal_IND_ch1_0355,normal,knn16,fp32,1.091044687138007,0,
1100010365_ToyCar_case1_normal_IND_ch1_0365,normal,knn16,fp32,1.1434480107331502,0,
1100011191_ToyCar_case1_normal_IND_ch1_1191,normal,knn16,fp32,1.215121206120603,0,
1100010285_ToyCar_case1_normal_IND_ch1_0285,normal,knn16,fp32,1.0485447224719375,0,
1100011164_ToyCar_case1_normal_IND_ch1_1164,normal,knn16,fp32,1.1621801449916602,0,
1100010152_ToyCar_case1_normal_IND_ch1_0152,normal,knn16,fp32,1.027787876838229,0,
1100010596_ToyCar_case1_normal_IND_ch1_0596,normal,knn16,fp32,1.150667289003992,0,
1100011063_ToyCar_case1_normal_IND_ch1_1063,normal,knn16,fp32,1.355764485360293,0,
1100010919_ToyCar_case1_normal_IND_ch1_0919,normal,knn16,fp32,1.1621860174785186,0,
1100010181_ToyCar_case1_normal_IND_ch1_0181,normal,knn16,fp32,1.009019329263698,0,
1100010448_ToyCar_case1_normal_IND_ch1_0448,normal,knn16,fp32,1.130189737830002,0,
1100011137_ToyCar_case1_normal_IND_ch1_1137,normal,knn16,fp32,1.199314382665329,0,
1100010304_ToyCar_case1_normal_IND_ch1_0304,normal,knn16,fp32,0.9955937909290781,0,
1100011081_ToyCar_case1_normal_IND_ch1_1081,normal,knn16,fp32,1.1885692809041863,0,
1100010946_ToyCar_case1_normal_IND_ch1_0946,normal,knn16,fp32,1.2513569782490797,0,
1100011034_ToyCar_case1_normal_IND_ch1_1034,normal,knn16,fp32,1.217261012869964,0,
1100010091_ToyCar_case1_normal_IND_ch1_0091,normal,knn16,fp32,1.725561206958509,0,
1100010032_ToyCar_case1_normal_IND_ch1_0032,normal,knn16,fp32,1.6480576056541696,0,
1100010745_ToyCar_case1_normal_IND_ch1_0745,normal,knn16,fp32,1.17175583137683,0,
1100010242_ToyCar_case1_normal_IND_ch1_0242,normal,knn16,fp32,1.0580852145555275,0,
1100010809_ToyCar_case1_normal_IND_ch1_0809,normal,knn16,fp32,1.0573905502720575,0,
1100011230_ToyCar_case1_normal_IND_ch1_1230,normal,knn16,fp32,1.2755376747285652,0,
1100011035_ToyCar_case1_normal_IND_ch1_1035,normal,knn16,fp32,1.2095162665933563,0,
1100010749_ToyCar_case1_normal_IND_ch1_0749,normal,knn16,fp32,1.2778352128644241,0,
1100011042_ToyCar_case1_normal_IND_ch1_1042,normal,knn16,fp32,1.21247509568712,0,
1100010156_ToyCar_case1_normal_IND_ch1_0156,normal,knn16,fp32,1.1049382118345936,0,
1100010521_ToyCar_case1_normal_IND_ch1_0521,normal,knn16,fp32,1.1672047069819882,0,
1100010936_ToyCar_case1_normal_IND_ch1_0936,normal,knn16,fp32,1.2506004668284325,0,
1100010191_ToyCar_case1_normal_IND_ch1_0191,normal,knn16,fp32,1.0602393496450593,0,
1100010869_ToyCar_case1_normal_IND_ch1_0869,normal,knn16,fp32,1.1621406483625392,0,
1100010676_ToyCar_case1_normal_IND_ch1_0676,normal,knn16,fp32,1.2234665493711012,0,
1100010751_ToyCar_case1_normal_IND_ch1_0751,normal,knn16,fp32,1.1389841116183101,0,
1100011156_ToyCar_case1_normal_IND_ch1_1156,normal,knn16,fp32,1.1567758550884086,0,
1100010387_ToyCar_case1_normal_IND_ch1_0387,normal,knn16,fp32,1.1392046034295626,0,
1100010402_ToyCar_case1_normal_IND_ch1_0402,normal,knn16,fp32,1.2266646412544777,0,
1100010476_ToyCar_case1_normal_IND_ch1_0476,normal,knn16,fp32,1.1677659019401345,0,
1100010527_ToyCar_case1_normal_IND_ch1_0527,normal,knn16,fp32,1.1069464780120264,0,
1100011069_ToyCar_case1_normal_IND_ch1_1069,normal,knn16,fp32,1.2997558907237967,0,
1100010100_ToyCar_case1_normal_IND_ch1_0100,normal,knn16,fp32,1.7237027490492327,0,
1100010295_ToyCar_case1_normal_IND_ch1_0295,normal,knn16,fp32,1.1322573937219584,0,
1100010786_ToyCar_case1_normal_IND_ch1_0786,normal,knn16,fp32,1.0987917669110725,0,
1100010668_ToyCar_case1_normal_IND_ch1_0668,normal,knn16,fp32,1.239719718526122,0,
1100011098_ToyCar_case1_normal_IND_ch1_1098,normal,knn16,fp32,1.227983592712349,0,
1100010007_ToyCar_case1_normal_IND_ch1_0007,normal,knn16,fp32,1.631365658494796,0,
1100010819_ToyCar_case1_normal_IND_ch1_0819,normal,knn16,fp32,1.0913544703501286,0,
1100011153_ToyCar_case1_normal_IND_ch1_1153,normal,knn16,fp32,1.2789514405585363,0,
1100010815_ToyCar_case1_normal_IND_ch1_0815,normal,knn16,fp32,1.0712785516225152,0,
1100010998_ToyCar_case1_normal_IND_ch1_0998,normal,knn16,fp32,1.2217695903796335,0,
1100011166_ToyCar_case1_normal_IND_ch1_1166,normal,knn16,fp32,1.2006856747493906,0,
1100010346_ToyCar_case1_normal_IND_ch1_0346,normal,knn16,fp32,1.0445567245220977,0,
1100010269_ToyCar_case1_normal_IND_ch1_0269,normal,knn16,fp32,1.0572180477408757,0,
1100011310_ToyCar_case1_normal_IND_ch1_1310,normal,knn16,fp32,1.2109370547929745,0,
1100010734_ToyCar_case1_normal_IND_ch1_0734,normal,knn16,fp32,1.223800623017284,0,
1100010618_ToyCar_case1_normal_IND_ch1_0618,normal,knn16,fp32,1.1848970823685807,0,
1100011176_ToyCar_case1_normal_IND_ch1_1176,normal,knn16,fp32,1.2174479372220022,0,
1100010408_ToyCar_case1_normal_IND_ch1_0408,normal,knn16,fp32,1.234893284578549,0,
1100010337_ToyCar_case1_normal_IND_ch1_0337,normal,knn16,fp32,1.1121776042700504,0,
1100010939_ToyCar_case1_normal_IND_ch1_0939,normal,knn16,fp32,1.2900446472092995,0,
1100011177_ToyCar_case1_normal_IND_ch1_1177,normal,knn16,fp32,1.2864249247066073,0,
1100011281_ToyCar_case1_normal_IND_ch1_1281,normal,knn16,fp32,1.302127292419059,0,
1100011291_ToyCar_case1_normal_IND_ch1_1291,normal,knn16,fp32,1.115557923863779,0,
1100011248_ToyCar_case1_normal_IND_ch1_1248,normal,knn16,fp32,1.2716446612533032,0,
1100010045_ToyCar_case1_normal_IND_ch1_0045,normal,knn16,fp32,1.7373593775905791,0,
1100010062_ToyCar_case1_normal_IND_ch1_0062,normal,knn16,fp32,1.7637013001528783,0,
1100010957_ToyCar_case1_normal_IND_ch1_0957,normal,knn16,fp32,1.24775717598573,0,
1100010700_ToyCar_case1_normal_IND_ch1_0700,normal,knn16,fp32,1.1995546390752296,0,
1100010354_ToyCar_case1_normal_IND_ch1_0354,normal,knn16,fp32,1.1126220631862809,0,
1100010689_ToyCar_case1_normal_IND_ch1_0689,normal,knn16,fp32,1.1739558066997688,0,
1100011101_ToyCar_case1_normal_IND_ch1_1101,normal,knn16,fp32,1.200792579604017,0,
1100010278_ToyCar_case1_normal_IND_ch1_0278,normal,knn16,fp32,1.0981869993689188,0,
1100010389_ToyCar_case1_normal_IND_ch1_0389,normal,knn16,fp32,1.1881884693932623,0,
1100010626_ToyCar_case1_normal_IND_ch1_0626,normal,knn16,fp32,1.2079271127967353,0,
1100010377_ToyCar_case1_normal_IND_ch1_0377,normal,knn16,fp32,1.1326922316453767,0,
1100011163_ToyCar_case1_normal_IND_ch1_1163,normal,knn16,fp32,1.22069379517263,0,
1100010773_ToyCar_case1_normal_IND_ch1_0773,normal,knn16,fp32,1.0448516610455523,0,
1100010904_ToyCar_case1_normal_IND_ch1_0904,normal,knn16,fp32,1.2178217033907255,0,
1100011186_ToyCar_case1_normal_IND_ch1_1186,normal,knn16,fp32,1.2012667106934416,0,
1100010844_ToyCar_case1_normal_IND_ch1_0844,normal,knn16,fp32,1.1931787035347063,0,
1100010542_ToyCar_case1_normal_IND_ch1_0542,normal,knn16,fp32,1.1659800752079685,0,
1100011253_ToyCar_case1_normal_IND_ch1_1253,normal,knn16,fp32,1.302408519040208,0,
1100011032_ToyCar_case1_normal_IND_ch1_1032,normal,knn16,fp32,1.160677245062395,0,
1100011158_ToyCar_case1_normal_IND_ch1_1158,normal,knn16,fp32,1.2361342475949502,0,
1100010902_ToyCar_case1_normal_IND_ch1_0902,normal,knn16,fp32,1.2006814874215475,0,
1100010986_ToyCar_case1_normal_IND_ch1_0986,normal,knn16,fp32,1.2291324803383985,0,
1100010573_ToyCar_case1_normal_IND_ch1_0573,normal,knn16,fp32,1.1831022082873004,0,
1100010106_ToyCar_case1_normal_IND_ch1_0106,normal,knn16,fp32,1.6048817588470208,0,
1100010458_ToyCar_case1_normal_IND_ch1_0458,normal,knn16,fp32,1.2010652456277713,0,
1100010244_ToyCar_case1_normal_IND_ch1_0244,normal,knn16,fp32,1.0332474004109684,0,
1100010619_ToyCar_case1_normal_IND_ch1_0619,normal,knn16,fp32,1.1775531326813002,0,
1100010025_ToyCar_case1_normal_IND_ch1_0025,normal,knn16,fp32,1.7203267739705634,0,
1100011168_ToyCar_case1_normal_IND_ch1_1168,normal,knn16,fp32,1.1569791328209764,0,
1100010494_ToyCar_case1_normal_IND_ch1_0494,normal,knn16,fp32,1.1152595937083138,0,
1100011121_ToyCar_case1_normal_IND_ch1_1121,normal,knn16,fp32,1.1581207595557839,0,
1100011287_ToyCar_case1_normal_IND_ch1_1287,normal,knn16,fp32,1.2738055985124301,0,
1100010192_ToyCar_case1_normal_IND_ch1_0192,normal,knn16,fp32,1.046411544680708,0,
1100011114_ToyCar_case1_normal_IND_ch1_1114,normal,knn16,fp32,1.2490024337255725,0,
1100011178_ToyCar_case1_normal_IND_ch1_1178,normal,knn16,fp32,1.2101101975551416,0,
1100011086_ToyCar_case1_normal_IND_ch1_1086,normal,knn16,fp32,1.2280657584385353,0,
1100010489_ToyCar_case1_normal_IND_ch1_0489,normal,knn16,fp32,1.163690026941477,0,
1100011247_ToyCar_case1_normal_IND_ch1_1247,normal,knn16,fp32,1.2132302568277182,0,
1100010324_ToyCar_case1_normal_IND_ch1_0324,normal,knn16,fp32,1.0784913264967635,0,
1100010418_ToyCar_case1_normal_IND_ch1_0418,normal,knn16,fp32,1.194157193672619,0,
1100011147_ToyCar_case1_normal_IND_ch1_1147,normal,knn16,fp32,1.2082003412353766,0,
1100010435_ToyCar_case1_normal_IND_ch1_0435,normal,knn16,fp32,0.4806845297403769,0,
1100011216_ToyCar_case1_normal_IND_ch1_1216,normal,knn16,fp32,1.281862386092458,0,
1100010010_ToyCar_case1_normal_IND_ch1_0010,normal,knn16,fp32,1.6214487401531048,0,
1100010509_ToyCar_case1_normal_IND_ch1_0509,normal,knn16,fp32,1.1334806123648027,0,
1100011187_ToyCar_case1_normal_IND_ch1_1187,normal,knn16,fp32,1.2601867297089002,0,
1100010526_ToyCar_case1_normal_IND_ch1_0526,normal,knn16,fp32,1.1327320998254,0,
1100010241_ToyCar_case1_normal_IND_ch1_0241,normal,knn16,fp32,1.0310943162123873,0,
1100010240_ToyCar_case1_normal_IND_ch1_0240,normal,knn16,fp32,1.0631554763102853,0,
1100010977_ToyCar_case1_normal_IND_ch1_0977,normal,knn16,fp32,1.238485910377082,0,
1100011093_ToyCar_case1_normal_IND_ch1_1093,normal,knn16,fp32,1.231331572648937,0,
1100010924_ToyCar_case1_normal_IND_ch1_0924,normal,knn16,fp32,1.2107419437526052,0,
1100011189_ToyCar_case1_normal_IND_ch1_1189,normal,knn16,fp32,1.178279128909008,0,
1100010491_ToyCar_case1_normal_IND_ch1_0491,normal,knn16,fp32,1.1218452568456005,0,
1100010925_ToyCar_case1_normal_IND_ch1_0925,normal,knn16,fp32,1.245373088659412,0,
1100010296_ToyCar_case1_normal_IND_ch1_0296,normal,knn16,fp32,1.117498980015127,0,
1100010301_ToyCar_case1_normal_IND_ch1_0301,normal,knn16,fp32,1.0487868124264534,0,
1100010336_ToyCar_case1_normal_IND_ch1_0336,normal,knn16,fp32,1.0500940977907642,0,
1100010189_ToyCar_case1_normal_IND_ch1_0189,normal,knn16,fp32,1.0431278181876673,0,
1100010564_ToyCar_case1_normal_IND_ch1_0564,normal,knn16,fp32,1.2443454662084328,0,
1100010294_ToyCar_case1_normal_IND_ch1_0294,normal,knn16,fp32,1.1562088088515752,0,
1100010141_ToyCar_case1_normal_IND_ch1_0141,normal,knn16,fp32,2.326000165140565,0,
1100011048_ToyCar_case1_normal_IND_ch1_1048,normal,knn16,fp32,1.245410191003067,0,
1100010803_ToyCar_case1_normal_IND_ch1_0803,normal,knn16,fp32,1.0521676380111014,0,
1100010085_ToyCar_case1_normal_IND_ch1_0085,normal,knn16,fp32,1.5869521751166935,0,
1100011075_ToyCar_case1_normal_IND_ch1_1075,normal,knn16,fp32,1.242801721335845,0,
1100010853_ToyCar_case1_normal_IND_ch1_0853,normal,knn16,fp32,1.1367469702336932,0,
1100010687_ToyCar_case1_normal_IND_ch1_0687,normal,knn16,fp32,1.1576233972165837,0,
1100010592_ToyCar_case1_normal_IND_ch1_0592,normal,knn16,fp32,1.1717617451417128,0,
1100011236_ToyCar_case1_normal_IND_ch1_1236,normal,knn16,fp32,1.2354074904211323,0,
1100010843_ToyCar_case1_normal_IND_ch1_0843,normal,knn16,fp32,1.1297479853772616,0,
1100010397_ToyCar_case1_normal_IND_ch1_0397,normal,knn16,fp32,1.1902521970605917,0,
1100010130_ToyCar_case1_normal_IND_ch1_0130,normal,knn16,fp32,2.480199930098575,1,
1100010655_ToyCar_case1_normal_IND_ch1_0655,normal,knn16,fp32,1.1923060313962248,0,
1100010791_ToyCar_case1_normal_IND_ch1_0791,normal,knn16,fp32,1.076521936575208,0,
1100011272_ToyCar_case1_normal_IND_ch1_1272,normal,knn16,fp32,1.1980158253420858,0,
1100010617_ToyCar_case1_normal_IND_ch1_0617,normal,knn16,fp32,1.181003865529437,0,
1100010364_ToyCar_case1_normal_IND_ch1_0364,normal,knn16,fp32,1.0753800196381273,0,
1100010541_ToyCar_case1_normal_IND_ch1_0541,normal,knn16,fp32,1.2364489601575213,0,
1100011298_ToyCar_case1_normal_IND_ch1_1298,normal,knn16,fp32,1.289119938516207,0,
1100010070_ToyCar_case1_normal_IND_ch1_0070,normal,knn16,fp32,1.6214924527281496,0,
1100010698_ToyCar_case1_normal_IND_ch1_0698,normal,knn16,fp32,1.1895030875762334,0,
1100011312_ToyCar_case1_normal_IND_ch1_1312,normal,knn16,fp32,1.1863034705022022,0,
1100010312_ToyCar_case1_normal_IND_ch1_0312,normal,knn16,fp32,1.0654085849002282,0,
1100010455_ToyCar_case1_normal_IND_ch1_0455,normal,knn16,fp32,1.2458032951671663,0,
1100010944_ToyCar_case1_normal_IND_ch1_0944,normal,knn16,fp32,1.2080910502662545,0,
1100010234_ToyCar_case1_normal_IND_ch1_0234,normal,knn16,fp32,1.0565916988563562,0,
1100011045_ToyCar_case1_normal_IND_ch1_1045,normal,knn16,fp32,1.316211837086094,0,
1100010756_ToyCar_case1_normal_IND_ch1_0756,normal,knn16,fp32,1.0503470355728037,0,
1100010622_ToyCar_case1_normal_IND_ch1_0622,normal,knn16,fp32,1.2018761058303868,0,
1100010281_ToyCar_case1_normal_IND_ch1_0281,normal,knn16,fp32,1.0480452991664597,0,
1100010828_ToyCar_case1_normal_IND_ch1_0828,normal,knn16,fp32,1.0924241852555865,0,
1100010663_ToyCar_case1_normal_IND_ch1_0663,normal,knn16,fp32,1.1622226780736942,0,
1100011017_ToyCar_case1_normal_IND_ch1_1017,normal,knn16,fp32,1.3126505975234335,0,
1100011344_ToyCar_case1_normal_IND_ch1_1344,normal,knn16,fp32,1.2439936500309658,0,
1100010146_ToyCar_case1_normal_IND_ch1_0146,normal,knn16,fp32,2.4458561080893517,1,
1100011141_ToyCar_case1_normal_IND_ch1_1141,normal,knn16,fp32,1.180253625181319,0,
1100010923_ToyCar_case1_normal_IND_ch1_0923,normal,knn16,fp32,1.2567880242126819,0,
1100011181_ToyCar_case1_normal_IND_ch1_1181,normal,knn16,fp32,1.1939663439173618,0,
1100010293_ToyCar_case1_normal_IND_ch1_0293,normal,knn16,fp32,1.200779059279588,0,
1100010967_ToyCar_case1_normal_IND_ch1_0967,normal,knn16,fp32,1.186072199976759,0,
1100011003_ToyCar_case1_normal_IND_ch1_1003,normal,knn16,fp32,1.2705653649492576,0,
1100011308_ToyCar_case1_normal_IND_ch1_1308,normal,knn16,fp32,1.2715970477165153,0,
1100011152_ToyCar_case1_normal_IND_ch1_1152,normal,knn16,fp32,1.1999901334792453,0,
1100011108_ToyCar_case1_normal_IND_ch1_1108,normal,knn16,fp32,1.2113845692334488,0,
1100010169_ToyCar_case1_normal_IND_ch1_0169,normal,knn16,fp32,1.0583536452931757,0,
1100010300_ToyCar_case1_normal_IND_ch1_0300,normal,knn16,fp32,1.138674751762114,0,
1100010063_ToyCar_case1_normal_IND_ch1_0063,normal,knn16,fp32,1.7202758518714456,0,
1100010058_ToyCar_case1_normal_IND_ch1_0058,normal,knn16,fp32,1.7738941646849078,0,
1100010197_ToyCar_case1_normal_IND_ch1_0197,normal,knn16,fp32,0.9998226609272526,0,
1100010576_ToyCar_case1_normal_IND_ch1_0576,normal,knn16,fp32,1.2300126948569443,0,
1100011209_ToyCar_case1_normal_IND_ch1_1209,normal,knn16,fp32,1.2259671108278356,0,
1100010289_ToyCar_case1_normal_IND_ch1_0289,normal,knn16,fp32,1.1418774459573444,0,
1100010447_ToyCar_case1_normal_IND_ch1_0447,normal,knn16,fp32,1.1342967447336902,0,
1100010525_ToyCar_case1_normal_IND_ch1_0525,normal,knn16,fp32,1.1031608436742173,0,
1100011279_ToyCar_case1_normal_IND_ch1_1279,normal,knn16,fp32,1.2932638283889153,0,
1100010964_ToyCar_case1_normal_IND_ch1_0964,normal,knn16,fp32,1.203882466990251,0,
1100010694_ToyCar_case1_normal_IND_ch1_0694,normal,knn16,fp32,1.1784616966854329,0,
1100011241_ToyCar_case1_normal_IND_ch1_1241,normal,knn16,fp32,1.2395910049818455,0,
1100011227_ToyCar_case1_normal_IND_ch1_1227,normal,knn16,fp32,1.2200087654592615,0,
1100010089_ToyCar_case1_normal_IND_ch1_0089,normal,knn16,fp32,1.7584253003105497,0,
1100010194_ToyCar_case1_normal_IND_ch1_0194,normal,knn16,fp32,1.01483704980959,0,
1100010053_ToyCar_case1_normal_IND_ch1_0053,normal,knn16,fp32,1.7056567155454718,0,
1100011008_ToyCar_case1_normal_IND_ch1_1008,normal,knn16,fp32,1.2357777683481563,0,
1100011037_ToyCar_case1_normal_IND_ch1_1037,normal,knn16,fp32,1.2587161007343384,0,
1100010894_ToyCar_case1_normal_IND_ch1_0894,normal,knn16,fp32,1.2399881357195113,0,
1100010620_ToyCar_case1_normal_IND_ch1_0620,normal,knn16,fp32,1.2592398236949347,0,
1100010988_ToyCar_case1_normal_IND_ch1_0988,normal,knn16,fp32,1.2237680959155317,0,
1100010554_ToyCar_case1_normal_IND_ch1_0554,normal,knn16,fp32,1.2516338373660005,0,
1100010697_ToyCar_case1_normal_IND_ch1_0697,normal,knn16,fp32,1.2077201470014418,0,
1100010848_ToyCar_case1_normal_IND_ch1_0848,normal,knn16,fp32,1.167703931529222,0,
1100010019_ToyCar_case1_normal_IND_ch1_0019,normal,knn16,fp32,1.6947640855983541,0,
1100010038_ToyCar_case1_normal_IND_ch1_0038,normal,knn16,fp32,1.6944657729186725,0,
1100010098_ToyCar_case1_normal_IND_ch1_0098,normal,knn16,fp32,1.7094040931983416,0,
1100010422_ToyCar_case1_normal_IND_ch1_0422,normal,knn16,fp32,1.0906444157510837,0,
