clip_name,role,frame_index,phase,feature_delta_t_s,feature_power_mw,backbone_delta_t_s,backbone_power_mw,total_delta_t_s,total_power_mw
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,0,hop,0.0005199999868636,345.1110975779641,0.0026999999972758,340.13431935787565,0.003259999997681,340.4135862221285
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,1,hop,0.0005200000014156,340.68774880317613,0.0026999999972758,340.8344264354581,0.0032499999942956,340.39816403295026
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,2,hop,0.0005200000014156,341.8159774570443,0.0026999999972758,340.7228038645898,0.0032499999942956,340.539317950554
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,3,hop,0.0005200000014156,339.84224446905836,0.0026999999972758,340.2170909914159,0.0032499999942956,339.8034131485528
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,4,hop,0.0005200000014156,339.7907861283675,0.0026999999972758,340.2801917128536,0.0032499999942956,339.8476438798094
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,5,hop,0.0005200000014156,339.76192612921665,0.0027000000118277,340.36417194224344,0.0032500000088475,339.8822532327824
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,6,hop,0.0005200000014156,341.94596806175804,0.0026999999972758,340.6579114994148,0.0032499999942956,340.5444541330497
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,7,hop,0.0005200000014156,342.8661290340772,0.0027000000118277,341.0356113640663,0.0032500000088475,340.99010463312294
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,8,hop,0.0005200000014156,342.9608807974293,0.0026999999972758,341.0634861278235,0.0032499999942956,341.0437426816989
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,9,hop,0.0005300000048009,343.24838466361484,0.0027000000118277,341.0627277671312,0.0032600000122329,340.9892495728345
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,10,hop,0.0005200000014156,339.46021005161685,0.0026999999972758,340.3642317079723,0.0032500000088475,339.8340845836274
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,11,hop,0.0005200000014156,340.66760540570573,0.0026999999972758,340.56665710748547,0.0032500000088475,340.1877229852117
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,12,hop,0.0005200000014156,340.3696959452956,0.0026999999972758,341.4669171587586,0.0032499999942956,340.9109600195183
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,13,hop,0.0005200000014156,341.9888408256356,0.0027000000118277,340.8505937477245,0.0032500000088475,340.72671404571275
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,14,hop,0.0005300000048009,341.70648819360355,0.0026999999972758,341.4770786700638,0.003259999997681,341.09686869165705
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,15,hop,0.0005200000014156,340.3231131088673,0.0027000000118277,340.88877478866334,0.0032500000088475,340.43834870860474
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,16,hop,0.0005200000014156,340.1864264438435,0.0026999999972758,341.0074789436116,0.0032500000088475,340.4998449468087
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,17,hop,0.0005300000048009,344.46746467594437,0.0027000000118277,341.4133271662456,0.0032600000122329,341.5385628062888
