clip_name,role,frame_index,phase,feature_current_ua,feature_delta_t_s,backbone_current_ua,backbone_delta_t_s,total_current_ua,total_delta_t_s
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,0,hop,99406.67059120839,0.0005499999970197678,100612.23000307404,0.0026199999992968515,100270.17716297816,0.0031999999919207767
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,1,hop,101322.68170395712,0.0005300000048009679,100578.75831695802,0.002590000003692694,100581.54634653275,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,2,hop,101757.16799044781,0.0005199999868636951,100679.34634960769,0.0025999999925261363,100741.0990984759,0.003149999989545904
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,3,hop,101792.36084415155,0.0005300000048009679,100994.3048768517,0.002590000003692694,100995.09421479746,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,4,hop,101878.32311576164,0.0005299999902490526,100910.17839253205,0.002590000003692694,100945.15554253565,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,5,hop,102263.45736439782,0.0005200000014156103,101119.42066211761,0.0026000000070780516,101185.52992509448,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,6,hop,103453.55095063594,0.0005200000014156103,101127.92011962009,0.002590000003692694,101365.56793888341,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,7,hop,101565.236493482,0.0005300000048009679,101258.67189087757,0.002590000003692694,101174.2480752648,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,8,hop,102870.60255278033,0.0005199999868636951,101362.45636288844,0.0025999999925261363,101498.2993920755,0.003149999989545904
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,9,hop,102914.46353651467,0.0005200000014156103,101232.37006255897,0.0026000000070780516,101412.46433478159,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,10,hop,104310.24756097706,0.0005200000014156103,101435.3164045834,0.002590000003692694,101754.9831924257,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,11,hop,102842.31619822187,0.0005200000014156103,101362.73930973047,0.0026000000070780516,101496.23510036532,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,12,hop,101960.40420299236,0.0005299999902490526,101392.21455048633,0.002590000003692694,101357.6871346843,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,13,hop,102726.92434088011,0.0005200000014156103,101403.13680386855,0.0026000000070780516,101512.92916003353,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,14,hop,102760.12151581381,0.0005200000014156103,101423.50857899163,0.0026000000070780516,101528.02980949133,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,15,hop,104526.56628291839,0.0005200000014156103,101560.24641320015,0.002590000003692694,101905.30182777904,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,16,hop,103863.2078156762,0.0005200000014156103,101255.77443534395,0.002590000003692694,101540.69429159297,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,17,hop,103013.5573657562,0.0005300000048009679,101792.86686355114,0.002590000003692694,101861.92169686742,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,18,hop,102362.61633366239,0.0005200000014156103,101081.98052962056,0.0025999999925261363,101194.86477237873,0.003149999989545904
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,19,hop,103672.38568437805,0.0005200000014156103,101906.64351600027,0.0025999999925261363,102101.26876192,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,20,hop,103183.57514644449,0.0005300000048009679,101641.7410208303,0.002590000003692694,101761.50240740887,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,21,hop,102522.45220405106,0.0005200000014156103,101431.72365883975,0.0026000000070780516,101509.9251751325,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,22,hop,102702.04839434392,0.0005200000014156103,101626.0322694727,0.0026000000070780516,101695.17221253041,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,23,hop,103024.50178695595,0.0005300000048009679,101572.03216790996,0.002590000003692694,101686.95644427538,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,24,hop,103874.69320451187,0.0005300000048009679,101586.31973700017,0.002590000003692694,101839.37283324769,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,25,hop,102516.34085544698,0.0005300000048009679,101354.69447309189,0.002590000003692694,101417.9917639761,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,26,hop,103829.77659313314,0.0005200000014156103,101722.92977225609,0.002590000003692694,101924.01740310907,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,27,hop,103081.9897094436,0.0005300000048009679,101679.73351809595,0.002590000003692694,101780.4132347015,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,28,hop,102940.70256316428,0.0005300000048009679,101641.68060478994,0.002590000003692694,101725.35868022632,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,29,hop,104977.54095365184,0.0005200000014156103,101775.20983861198,0.002590000003692694,102195.25185013081,0.0031400000007124618
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,30,hop,104570.21620586213,0.0005200000014156103,101499.23160510401,0.002590000003692694,101895.38781815297,0.0031400000007124618
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,31,hop,102622.6372213174,0.0005200000014156103,101583.86533242924,0.002590000003692694,101633.12397793436,0.0031400000007124618
