clip_name,role,frame_index,phase,feature_current_ua,feature_delta_t_s,backbone_current_ua,backbone_delta_t_s,total_current_ua,total_delta_t_s
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,0,hop,100779.4206241843,0.0005499999970197678,100332.87656139632,0.002609999995911494,100274.87121014905,0.0031900000030873343
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,1,hop,101735.99502604426,0.0005199999868636951,100636.47457414142,0.002590000003692694,100733.56856507703,0.0031400000007124618
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,2,hop,101815.23275307452,0.0005200000014156103,100616.25112322313,0.002590000003692694,100679.19208980228,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,3,hop,102354.06700530005,0.0005299999902490526,100430.77536993477,0.002590000003692694,100635.82679252034,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,4,hop,102126.88524672632,0.0005299999902490526,100793.65796988277,0.002590000003692694,100893.55826349652,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,5,hop,102157.91834814956,0.0005300000048009679,100715.46652827953,0.002590000003692694,100836.86855766703,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,6,hop,101912.66771093073,0.0005200000014156103,100983.94582768503,0.0026000000070780516,101051.58970356881,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,7,hop,102101.88202552487,0.0005299999902490526,100962.60068831628,0.002590000003692694,101025.87713239313,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,8,hop,102157.29301205039,0.0005300000048009679,100718.25909485418,0.002590000003692694,100827.15286556532,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,9,hop,101869.39393593068,0.0005200000014156103,100978.12179785168,0.0026000000070780516,101020.54116051171,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,10,hop,101974.44797935624,0.0005200000014156103,101113.04475280382,0.002590000003692694,101113.93758151475,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,11,hop,103876.72708454587,0.0005299999902490526,101162.3119857712,0.0025899999891407788,101476.79233221358,0.003149999989545904
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,12,hop,103549.69852835513,0.0005300000048009679,101049.65022107554,0.002590000003692694,101326.75967544144,0.0031500000040978193
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,13,hop,102385.40354850254,0.0005299999902490526,101019.9708119351,0.0025899999891407788,101137.4178615001,0.003149999989545904
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,14,hop,102437.97346774084,0.0005200000014156103,101185.74210487415,0.002590000003692694,101269.30034571006,0.0031500000040978193
