clip_name,role,frame_index,phase,feature_delta_t_s,feature_power_mw,backbone_delta_t_s,backbone_power_mw,total_delta_t_s,total_power_mw
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,0,hop,0.0005399999936344,330.89020787577016,0.0033299999922746,310.1154966834214,0.0038999999960651,312.89700951607216
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,1,hop,0.000529999990249,340.25532972633977,0.0033100000000558,310.95946391691047,0.003870000000461,314.82450019918394
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,2,hop,0.0005200000014156,343.11490412117496,0.0032999999966705,312.1004330307337,0.0038599999970756,316.1023212066145
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,3,hop,0.000529999990249,340.02305505939023,0.0033100000000558,312.21918338643115,0.003870000000461,315.81893528828937
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,4,hop,0.0005200000014156,343.3565418010423,0.0032999999966705,313.12994330232857,0.0038599999970756,317.05351046334397
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,5,hop,0.000529999990249,339.31529731313316,0.0033100000000558,312.87821117442434,0.003870000000461,316.317619181286
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,6,hop,0.0005200000014156,336.4649233878391,0.0033100000000558,312.2407337392459,0.0038599999970756,315.39162825061425
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,7,hop,0.0005300000048009,343.44117330668604,0.0033100000000558,313.7395221441965,0.003870000000461,317.6449867805524
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,8,hop,0.0005300000048009,340.86057674892675,0.0033100000000558,312.78736428681725,0.003870000000461,316.47713546324155
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,9,hop,0.0005200000014156,337.84036177462195,0.0033100000000558,313.3199056355058,0.0038599999970756,316.56016679404064
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,10,hop,0.0005200000014156,338.99509198003426,0.0033100000000558,313.13368012987735,0.0038599999970756,316.53039320962705
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,11,hop,0.0005200000014156,338.46253053398306,0.0033100000000558,312.84111016106783,0.0038600000116275,316.23348513131117
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,12,hop,0.0005200000014156,344.9858997249653,0.0032999999966705,314.0455497607665,0.0038599999970756,318.03009956144854
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,13,hop,0.000529999990249,338.7211937798332,0.0033100000000558,313.5304949972314,0.003870000000461,316.80056474627315
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,14,hop,0.0005300000048009,345.29119734968555,0.0032999999966705,313.5804784680067,0.0038599999970756,317.6896909674634
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,15,hop,0.0005200000014156,338.94244751949435,0.0033100000000558,314.13706286722976,0.0038599999970756,317.4093572148543
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,16,hop,0.0005200000014156,338.6875763280569,0.0033100000000558,313.53051666456514,0.0038600000116275,316.7777399699706
