clip_name,role,frame_index,phase,feature_current_ua,feature_delta_t_s,backbone_current_ua,backbone_delta_t_s,total_current_ua,total_delta_t_s
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,0,hop,102298.64986792766,0.0005300000048009679,92770.06611760432,0.004199999995762482,93797.67913890905,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,1,hop,103274.34135684076,0.0005200000014156103,93259.9670681755,0.004199999995762482,94331.17213271117,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,2,hop,103616.97861339423,0.0005299999902490526,93469.27307140714,0.004199999995762482,94577.18460370593,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,3,hop,102807.1714128245,0.0005200000014156103,93277.431974811,0.00420999999914784,94305.61324075746,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,4,hop,102403.10243445801,0.0005200000014156103,93241.40369650279,0.00420999999914784,94224.88605084339,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,5,hop,103839.56063368783,0.0005200000014156103,93246.14098972236,0.004199999995762482,94387.03465367132,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,6,hop,102823.63834851106,0.0005200000014156103,93182.37688153738,0.00420999999914784,94221.7838456333,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,7,hop,103121.83288820022,0.0005299999902490526,93276.27070955811,0.004199999995762482,94337.56077133288,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,8,hop,102386.4578733536,0.0005200000014156103,92961.05013575654,0.00420999999914784,93975.09450150657,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,9,hop,102591.45452759297,0.0005200000014156103,93156.13594401428,0.00420999999914784,94157.41462926366,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,10,hop,103068.46911377707,0.0005200000014156103,93516.05479342083,0.00420999999914784,94557.8543206722,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,11,hop,103006.97304602011,0.0005200000014156103,93371.78474656392,0.00420999999914784,94407.73809061607,0.004760000010719523
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,12,hop,103591.25984367273,0.0005300000048009679,93564.0693748962,0.004199999995762482,94648.49194727355,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,13,hop,103434.94821443192,0.0005299999902490526,93413.8810512546,0.004199999995762482,94493.83735227647,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,14,hop,102940.38851787144,0.0005200000014156103,93489.79759487025,0.00420999999914784,94503.25354601916,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,15,hop,102576.55905442646,0.0005200000014156103,93125.19169426647,0.00420999999914784,94136.32105017595,0.004760000010719523
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,16,hop,103631.921085064,0.0005299999902490526,93313.65770369487,0.004199999995762482,94428.92275650977,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,17,hop,102347.44919809213,0.0005200000014156103,93123.76072204401,0.00420999999914784,94119.47636558731,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,18,hop,102995.29781719326,0.0005200000014156103,93374.99772271341,0.004210000013699755,94412.46456465,0.004760000010719523
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,19,hop,103753.8698651148,0.0005200000014156103,93368.48633549223,0.00420999999914784,94492.7258177037,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,20,hop,102865.08571627374,0.0005200000014156103,93307.17394097059,0.00420999999914784,94335.100741114,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,21,hop,102922.45708672158,0.0005299999902490526,93589.21421356412,0.004199999995762482,94593.05449807456,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,22,hop,103477.88148265393,0.0005200000014156103,93568.02225034972,0.004210000013699755,94635.89775679301,0.004760000010719523
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,23,hop,103198.04803232478,0.0005199999868636951,93405.62036547305,0.00420999999914784,94463.28397648882,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,24,hop,103301.08550483035,0.0005200000014156103,93344.66752033708,0.00420999999914784,94420.62471768413,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,25,hop,103636.38829697511,0.0005199999868636951,93355.82517713102,0.00420999999914784,94476.58563065773,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,26,hop,103601.375163358,0.0005200000014156103,93608.71719084607,0.004210000013699755,94672.76649243449,0.004760000010719523
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,27,hop,102478.09595885764,0.0005200000014156103,93394.81503094145,0.00420999999914784,94364.01067190811,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,28,hop,103544.16300273687,0.0005200000014156103,93519.1084257135,0.0042000000103143975,94592.66438914182,0.004750000007334165
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,29,hop,104562.63891450875,0.0005200000014156103,93440.88354511933,0.004199999995762482,94639.42617520293,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,30,hop,103906.67803808997,0.0005200000014156103,93635.65554577048,0.004210000013699755,94750.45996345875,0.004760000010719523
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,31,hop,104356.01181160317,0.0005300000048009679,93506.95531990979,0.00420999999914784,94685.51076375529,0.004769999999552965
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,32,hop,103127.94443119242,0.0005200000014156103,93514.19948581432,0.00420999999914784,94554.78886978733,0.004760000010719523
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,33,hop,103222.20511834652,0.0005199999868636951,93436.72348456191,0.004199999995762482,94471.93246255786,0.00474999999278225
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,34,hop,103388.12622657885,0.0005200000014156103,93303.81435746214,0.00420999999914784,94397.17337968765,0.004760000010719523
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,35,hop,103275.30053409701,0.0005200000014156103,93558.29719020972,0.004199999995762482,94591.3434799117,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,36,hop,103295.28655736601,0.0005200000014156103,93394.45238421723,0.00420999999914784,94451.39245724905,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,37,hop,103517.32899718295,0.0005200000014156103,93614.18503127761,0.00420999999914784,94688.94708640942,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,38,hop,104016.1580889856,0.0005200000014156103,93475.15362179806,0.00420999999914784,94607.82975116275,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,39,hop,103634.44486593302,0.0005200000014156103,93376.80192423356,0.00420999999914784,94490.20620438618,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,40,hop,104635.28360397146,0.0005200000014156103,93408.42089024329,0.0042000000103143975,94615.56939819043,0.004760000010719523
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,41,hop,103888.13281926133,0.0005300000048009679,93662.06094932026,0.004199999995762482,94769.59437561649,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,42,hop,103445.69572774647,0.0005200000014156103,93398.33774094793,0.00420999999914784,94485.4763060362,0.004760000010719523
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,43,hop,103532.87228069684,0.0005200000014156103,93808.45236781823,0.00420999999914784,94865.63649241727,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,44,hop,104969.10270144968,0.0005200000014156103,93556.85349677099,0.004199999995762482,94783.00012899224,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,45,hop,103605.93282260836,0.0005200000014156103,93421.42558420057,0.00420999999914784,94529.72125303767,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,46,hop,103243.57869498667,0.0005200000014156103,93400.23279773278,0.00420999999914784,94474.55112877545,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,47,hop,103270.18283235279,0.0005200000014156103,93512.4099966524,0.00420999999914784,94552.97580700724,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,48,hop,103107.38793147424,0.0005200000014156103,93396.20806076641,0.00420999999914784,94437.14911458163,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,49,hop,103360.79695956585,0.0005200000014156103,93391.42060237408,0.00420999999914784,94471.65164307336,0.004760000010719523
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,50,hop,102876.00238008091,0.0005200000014156103,93455.23074594708,0.00420999999914784,94470.38989676627,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,51,hop,103038.46292723186,0.0005200000014156103,93300.00798286496,0.00420999999914784,94355.57885647024,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,52,hop,103532.27671311941,0.0005200000014156103,93405.28172312274,0.00420999999914784,94504.22308562124,0.004760000010719523
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,53,hop,103055.11375746866,0.0005200000014156103,93393.14633798377,0.00420999999914784,94441.3676468121,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,54,hop,103392.41431313628,0.0005200000014156103,93316.3219394526,0.00420999999914784,94400.80658216756,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,55,hop,103561.54105233136,0.0005200000014156103,93328.8326187816,0.00420999999914784,94442.96703227294,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,56,hop,103099.35297885741,0.0005200000014156103,93330.14305291137,0.00420999999914784,94385.74985030307,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,57,hop,104157.66730211751,0.0005299999902490526,93542.06495723037,0.004199999995762482,94695.31335283317,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,58,hop,104896.31173223112,0.0005200000014156103,93523.1902943639,0.004210000013699755,94755.94526592128,0.004760000010719523
