clip_name,true_label,head,head_precision,score,decision,sumsq
1100011348_ToyCar_case1_normal_IND_ch1_1348,normal,knn16,fp32,1.4958566465937735,0,
1100011317_ToyCar_case1_normal_IND_ch1_1317,normal,knn16,fp32,1.586121823809975,0,
1100010760_ToyCar_case1_normal_IND_ch1_0760,normal,knn16,fp32,1.3954250300238569,0,
1100010943_ToyCar_case1_normal_IND_ch1_0943,normal,knn16,fp32,1.4919177345360375,0,
1100010461_ToyCar_case1_normal_IND_ch1_0461,normal,knn16,fp32,1.5967950890138913,0,
1100010770_ToyCar_case1_normal_IND_ch1_0770,normal,knn16,fp32,1.435623719423148,0,
1100011088_ToyCar_case1_normal_IND_ch1_1088,normal,knn16,fp32,1.71104852422385,0,
1100011058_ToyCar_case1_normal_IND_ch1_1058,normal,knn16,fp32,1.736316301390706,0,
1100010437_ToyCar_case1_normal_IND_ch1_0437,normal,knn16,fp32,0.19022666666416302,0,
1100011297_ToyCar_case1_normal_IND_ch1_1297,normal,knn16,fp32,1.5376706485871818,0,
1100011334_ToyCar_case1_normal_IND_ch1_1334,normal,knn16,fp32,1.5459066224797167,0,
1100010360_ToyCar_case1_normal_IND_ch1_0360,normal,knn16,fp32,1.380367142206402,0,
1100010705_ToyCar_case1_normal_IND_ch1_0705,normal,knn16,fp32,1.5754735252878074,0,
1100010897_ToyCar_case1_normal_IND_ch1_0897,normal,knn16,fp32,1.407199746842407,0,
1100010022_ToyCar_case1_normal_IND_ch1_0022,normal,knn16,fp32,1.7592055964789435,0,
1100010088_ToyCar_case1_normal_IND_ch1_0088,normal,knn16,fp32,1.7840418608429385,0,
1100010833_ToyCar_case1_normal_IND_ch1_0833,normal,knn16,fp32,1.4504025111841445,0,
1100010926_ToyCar_case1_normal_IND_ch1_0926,normal,knn16,fp32,1.401566783838234,0,
1100010355_ToyCar_case1_normal_IND_ch1_0355,normal,knn16,fp32,1.3668954503259485,0,
1100010365_ToyCar_case1_normal_IND_ch1_0365,normal,knn16,fp32,1.2984973490296015,0,
1100011191_ToyCar_case1_normal_IND_ch1_1191,normal,knn16,fp32,1.5425757597617533,0,
1100010285_ToyCar_case1_normal_IND_ch1_0285,normal,knn16,fp32,1.4049721916687472,0,
1100011164_ToyCar_case1_normal_IND_ch1_1164,normal,knn16,fp32,1.5645181441087979,0,
1100010152_ToyCar_case1_normal_IND_ch1_0152,normal,knn16,fp32,1.3087333517627995,0,
1100010596_ToyCar_case1_normal_IND_ch1_0596,normal,knn16,fp32,1.5237469619526778,0,
