clip_name,true_label,head,head_precision,score,decision,sumsq
1100011348_ToyCar_case1_normal_IND_ch1_1348,normal,knn16,int8,1.4904398054691146,0,2045
1100011317_ToyCar_case1_normal_IND_ch1_1317,normal,knn16,int8,1.5560473880121375,0,2229
1100010760_ToyCar_case1_normal_IND_ch1_0760,normal,knn16,int8,1.4002526001208428,0,1805
1100010943_ToyCar_case1_normal_IND_ch1_0943,normal,knn16,int8,1.4684123897364132,0,1985
1100010461_ToyCar_case1_normal_IND_ch1_0461,normal,knn16,int8,1.5820092629259965,0,2304
1100010770_ToyCar_case1_normal_IND_ch1_0770,normal,knn16,int8,1.4336011829893704,0,1892
1100011088_ToyCar_case1_normal_IND_ch1_1088,normal,knn16,int8,1.745868856813678,0,2806
1100011058_ToyCar_case1_normal_IND_ch1_1058,normal,knn16,int8,1.7474236428167182,0,2811
1100010437_ToyCar_case1_normal_IND_ch1_0437,normal,knn16,int8,0.22595227252615985,0,47
1100011297_ToyCar_case1_normal_IND_ch1_1297,normal,knn16,int8,1.5053064991711842,0,2086
1100011334_ToyCar_case1_normal_IND_ch1_1334,normal,knn16,int8,1.56127430023947,0,2244
1100010360_ToyCar_case1_normal_IND_ch1_0360,normal,knn16,int8,1.3850426095749424,0,1766
1100010705_ToyCar_case1_normal_IND_ch1_0705,normal,knn16,int8,1.5696011555635432,0,2268
1100010897_ToyCar_case1_normal_IND_ch1_0897,normal,knn16,int8,1.4160664486052115,0,1846
1100010022_ToyCar_case1_normal_IND_ch1_0022,normal,knn16,int8,1.7650514047756476,0,2868
1100010088_ToyCar_case1_normal_IND_ch1_0088,normal,knn16,int8,1.8028042750442055,0,2992
1100010833_ToyCar_case1_normal_IND_ch1_0833,normal,knn16,int8,1.440404495996574,0,1910
1100010926_ToyCar_case1_normal_IND_ch1_0926,normal,knn16,int8,1.4037391938157502,0,1814
1100010355_ToyCar_case1_normal_IND_ch1_0355,normal,knn16,int8,1.3508975857078933,0,1680
1100010365_ToyCar_case1_normal_IND_ch1_0365,normal,knn16,int8,1.2988335925300318,0,1553
1100011191_ToyCar_case1_normal_IND_ch1_1191,normal,knn16,int8,1.55115304575246,0,2215
1100010285_ToyCar_case1_normal_IND_ch1_0285,normal,knn16,int8,1.404512817017941,0,1816
1100011164_ToyCar_case1_normal_IND_ch1_1164,normal,knn16,int8,1.5360229164025379,0,2172
1100010152_ToyCar_case1_normal_IND_ch1_0152,normal,knn16,int8,1.2938058307201228,0,1541
1100010596_ToyCar_case1_normal_IND_ch1_0596,normal,knn16,int8,1.5053064991711842,0,2086
1100011063_ToyCar_case1_normal_IND_ch1_1063,normal,knn16,int8,1.8320909286559703,0,3090
1100010919_ToyCar_case1_normal_IND_ch1_0919,normal,knn16,int8,1.3850426095749424,0,1766
1100010181_ToyCar_case1_normal_IND_ch1_0181,normal,knn16,int8,1.2862273389205987,0,1523
1100010448_ToyCar_case1_normal_IND_ch1_0448,normal,knn16,int8,1.2841142648159525,0,1518
1100011137_ToyCar_case1_normal_IND_ch1_1137,normal,knn16,int8,1.6166484721657484,0,2406
1100010304_ToyCar_case1_normal_IND_ch1_0304,normal,knn16,int8,1.3963683967990967,0,1795
1100011081_ToyCar_case1_normal_IND_ch1_1081,normal,knn16,int8,1.7027154297295397,0,2669
1100010946_ToyCar_case1_normal_IND_ch1_0946,normal,knn16,int8,1.499522399012954,0,2070
1100011034_ToyCar_case1_normal_IND_ch1_1034,normal,knn16,int8,1.4937159013132728,0,2054
1100010091_ToyCar_case1_normal_IND_ch1_0091,normal,knn16,int8,1.8524333775788575,0,3159
1100010032_ToyCar_case1_normal_IND_ch1_0032,normal,knn16,int8,1.703034379892444,0,2670
1100010745_ToyCar_case1_normal_IND_ch1_0745,normal,knn16,int8,1.4602524193735893,0,1963
1100010242_ToyCar_case1_normal_IND_ch1_0242,normal,knn16,int8,1.3154540202333465,0,1593
1100010809_ToyCar_case1_normal_IND_ch1_0809,normal,knn16,int8,1.39831184714363,0,1800
1100011230_ToyCar_case1_normal_IND_ch1_1230,normal,knn16,int8,1.59022754816467,0,2328
1100011035_ToyCar_case1_normal_IND_ch1_1035,normal,knn16,int8,1.6011196449836913,0,2360
1100010749_ToyCar_case1_normal_IND_ch1_0749,normal,knn16,int8,1.5153755512187501,0,2114
1100011042_ToyCar_case1_normal_IND_ch1_1042,normal,knn16,int8,1.5476476106598789,0,2205
1100010156_ToyCar_case1_normal_IND_ch1_0156,normal,knn16,int8,1.3030085746649445,0,1563
1100010521_ToyCar_case1_normal_IND_ch1_0521,normal,knn16,int8,1.553602144225884,0,2222
1100010936_ToyCar_case1_normal_IND_ch1_0936,normal,knn16,int8,1.4505496380390013,0,1937
1100010191_ToyCar_case1_normal_IND_ch1_0191,normal,knn16,int8,1.3480802779787575,0,1673
1100010869_ToyCar_case1_normal_IND_ch1_0869,normal,knn16,int8,1.4141473984639739,0,1841
1100010676_ToyCar_case1_normal_IND_ch1_0676,normal,knn16,int8,1.5469455704284012,0,2203
1100010751_ToyCar_case1_normal_IND_ch1_0751,normal,knn16,int8,1.356514647714383,0,1694
1100011156_ToyCar_case1_normal_IND_ch1_1156,normal,knn16,int8,1.6296983145241524,0,2445
1100010387_ToyCar_case1_normal_IND_ch1_0387,normal,knn16,int8,1.3577152804743147,0,1697
1100010402_ToyCar_case1_normal_IND_ch1_0402,normal,knn16,int8,1.436250745192027,0,1899
1100010476_ToyCar_case1_normal_IND_ch1_0476,normal,knn16,int8,1.5584887952550464,0,2236
1100010527_ToyCar_case1_normal_IND_ch1_0527,normal,knn16,int8,1.5720215134477458,0,2275
1100011069_ToyCar_case1_normal_IND_ch1_1069,normal,knn16,int8,1.7794552230838017,0,2915
1100010100_ToyCar_case1_normal_IND_ch1_0100,normal,knn16,int8,1.8849856862868506,0,3271
1100010295_ToyCar_case1_normal_IND_ch1_0295,normal,knn16,int8,1.35731518755846,0,1696
1100010786_ToyCar_case1_normal_IND_ch1_0786,normal,knn16,int8,1.392863352762922,0,1786
1100010668_ToyCar_case1_normal_IND_ch1_0668,normal,knn16,int8,1.5990830281174149,0,2354
1100011098_ToyCar_case1_normal_IND_ch1_1098,normal,knn16,int8,1.7182743648823862,0,2718
1100010007_ToyCar_case1_normal_IND_ch1_0007,normal,knn16,int8,1.675058533715255,0,2583
1100010819_ToyCar_case1_normal_IND_ch1_0819,normal,knn16,int8,1.4452980834495064,0,1923
1100011153_ToyCar_case1_normal_IND_ch1_1153,normal,knn16,int8,1.6538482099920602,0,2518
1100010815_ToyCar_case1_normal_IND_ch1_0815,normal,knn16,int8,1.3787540748925184,0,1750
1100010998_ToyCar_case1_normal_IND_ch1_0998,normal,knn16,int8,1.52964493902838,0,2154
1100011166_ToyCar_case1_normal_IND_ch1_1166,normal,knn16,int8,1.5754727174116478,0,2285
