clip_name,role,frame_index,phase,feature_current_ua,feature_delta_t_s,backbone_current_ua,backbone_delta_t_s,total_current_ua,total_delta_t_s
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,0,hop,103058.03099374258,0.0005199999868636951,93064.76668724514,0.00420999999914784,94143.35665623643,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,1,hop,103373.6988486311,0.0005199999868636951,92944.83499829235,0.004199999995762482,94077.31331081985,0.00474999999278225
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,2,hop,103289.22847116405,0.0005200000014156103,93228.93947725232,0.00420999999914784,94315.38807453062,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,3,hop,105101.77230226761,0.0005200000014156103,93200.77487546895,0.004199999995762482,94492.79841320317,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,4,hop,103880.49393259423,0.0005200000014156103,93313.37336371231,0.004199999995762482,94466.5708125809,0.00474999999278225
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,5,hop,104173.20640593437,0.0005299999902490526,93608.83964294408,0.004199999995762482,94755.94823366181,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,6,hop,103251.08913019321,0.0005200000014156103,93320.92015251787,0.004199999995762482,94388.50971499523,0.00474999999278225
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,7,hop,104867.6554988614,0.0005200000014156103,93417.28485542526,0.004199999995762482,94658.25627981093,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,8,hop,103636.12499341456,0.0005200000014156103,93286.44978130772,0.004199999995762482,94414.42850718144,0.004750000007334165
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,9,hop,103706.67649934095,0.0005300000048009679,93403.19151291209,0.004199999995762482,94517.82219870786,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,10,hop,103837.63601004292,0.0005200000014156103,93295.4684646968,0.0042000000103143975,94450.79676202041,0.004750000007334165
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,11,hop,103142.61003617113,0.0005200000014156103,93433.14659263115,0.004199999995762482,94494.8612493441,0.00474999999278225
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,12,hop,103373.84930780854,0.0005200000014156103,93512.63455369874,0.00420999999914784,94583.44083544177,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,13,hop,103336.89541382075,0.0005300000048009679,93676.8696694966,0.0042000000103143975,94721.28065154342,0.004760000010719523
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,14,hop,104998.32733615645,0.0005200000014156103,93474.57359841552,0.004199999995762482,94718.35514103965,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,15,hop,104003.48181561392,0.0005299999902490526,93708.90956592723,0.004199999995762482,94828.508193622,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,16,hop,104048.10625267623,0.0005300000048009679,93453.05041129344,0.004199999995762482,94599.83944420288,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,17,hop,104459.04269762008,0.0005299999902490526,93376.25990999844,0.004199999995762482,94577.82814682873,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,18,hop,103943.63606849001,0.0005299999902490526,93388.39391795799,0.004199999995762482,94537.45770403708,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,19,hop,104242.63908913612,0.0005200000014156103,93361.69749706815,0.0042000000103143975,94556.85913318755,0.004750000007334165
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,20,hop,103534.28074577464,0.0005200000014156103,93810.70234780968,0.0042000000103143975,94863.65425847539,0.004750000007334165
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,21,hop,103997.6056219227,0.0005200000014156103,93447.9274724982,0.00420999999914784,94600.69095904636,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,22,hop,103718.17859732416,0.0005300000048009679,93508.60956850577,0.0042000000103143975,94618.41866059098,0.004760000010719523
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,23,hop,103387.44498085874,0.0005200000014156103,93551.31494175173,0.0042000000103143975,94621.41945440351,0.004750000007334165
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,24,hop,103917.73053309902,0.0005200000014156103,93701.58398793613,0.004199999995762482,94794.90061039112,0.004750000007334165
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,25,hop,103802.96976841826,0.0005200000014156103,93560.08964642961,0.0042000000103143975,94652.48920092556,0.004750000007334165
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,26,hop,104090.0776244523,0.0005300000048009679,93783.9301201729,0.004199999995762482,94898.02986893765,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,27,hop,103636.27127317042,0.0005200000014156103,93465.68453680197,0.0042000000103143975,94569.77311876517,0.004750000007334165
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,28,hop,103420.46035095298,0.0005200000014156103,93783.50637773209,0.00420999999914784,94823.39089098704,0.004760000010719523
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,29,hop,104084.20959411442,0.0005200000014156103,93647.6159980388,0.004199999995762482,94779.6703421748,0.00474999999278225
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,30,hop,103849.32093249777,0.0005300000048009679,93615.92615801987,0.004199999995762482,94716.67311541902,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,31,hop,103636.38829697513,0.0005200000014156103,93554.55523102795,0.004199999995762482,94651.51395989403,0.00474999999278225
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,32,hop,104118.30798998193,0.0005300000048009679,93370.79224593025,0.004199999995762482,94544.53029271052,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,33,hop,104698.48105806069,0.0005299999902490526,93508.39353221329,0.004199999995762482,94722.65517358604,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,34,hop,105083.51215759446,0.0005299999902490526,93408.30808566422,0.004199999995762482,94667.7583097417,0.004759999996167608
