clip_name,role,frame_index,phase,feature_current_ua,feature_delta_t_s,backbone_current_ua,backbone_delta_t_s,total_current_ua,total_delta_t_s
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,0,hop,101149.53187996965,0.0005499999970197678,91548.28342106349,0.004220000002533197,92616.73229229795,0.004799999995157123
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,1,hop,101766.79530269266,0.0005200000014156103,91536.23939837873,0.00420999999914784,92642.48633409229,0.004760000010719523
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,2,hop,101874.62645678857,0.0005300000048009679,91943.67420110072,0.004199999995762482,93022.8734384812,0.004759999996167608
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,3,hop,101971.11489063346,0.0005199999868636951,91800.01005030489,0.00420999999914784,92909.15566973921,0.004759999996167608
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,4,hop,102115.31761994399,0.0005200000014156103,91976.53787837795,0.00420999999914784,93073.14701434746,0.004759999996167608
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,5,hop,101444.60546040373,0.0005200000014156103,91924.51854102802,0.00420999999914784,92931.78768305754,0.004760000010719523
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,6,hop,101590.3650242587,0.0005200000014156103,92370.64518517908,0.00420999999914784,93358.04240525761,0.004759999996167608
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,7,hop,101705.32849088691,0.0005200000014156103,92108.27995243217,0.00420999999914784,93129.10153685929,0.004760000010719523
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,8,hop,101971.68538168134,0.0005200000014156103,92188.59015101855,0.00420999999914784,93237.1210090879,0.004759999996167608
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,9,hop,102766.76874329765,0.0005299999902490526,92218.90925459833,0.00420999999914784,93370.5210200893,0.004769999999552965
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,10,hop,102029.50083814241,0.0005299999902490526,92105.03626100853,0.00420999999914784,93175.50799470251,0.004769999999552965
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,11,hop,103394.0150316075,0.0005200000014156103,92194.1477078396,0.004199999995762482,93402.24922661264,0.004759999996167608
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,12,hop,101667.23092953334,0.0005200000014156103,92349.37057735072,0.00420999999914784,93342.91878349218,0.004760000010719523
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,13,hop,103131.57425884846,0.0005200000014156103,92337.56619715029,0.004199999995762482,93487.49240926969,0.004759999996167608
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,14,hop,102946.11014603627,0.0005200000014156103,92403.20366634804,0.00420999999914784,93549.1605219783,0.004760000010719523
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,15,hop,102499.23738624108,0.0005300000048009679,92400.94415605815,0.00420999999914784,93490.4560486774,0.004769999999552965
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,16,hop,104290.62934140718,0.0005200000014156103,92657.61846667656,0.0042000000103143975,93909.13046383596,0.004760000010719523
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,17,hop,101987.48152020175,0.0005200000014156103,92351.20962392975,0.00420999999914784,93382.65915213735,0.004759999996167608
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,18,hop,102143.05173692461,0.0005299999902490526,92267.24972445553,0.00420999999914784,93332.86595293129,0.004769999999552965
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,19,hop,101473.7569552326,0.0005200000014156103,92345.34584038437,0.00420999999914784,93315.05281410151,0.004759999996167608
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,20,hop,102217.58189945432,0.0005200000014156103,92606.1229109764,0.00420999999914784,93645.88864501525,0.004760000010719523
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,21,hop,103292.79978691778,0.0005200000014156103,92481.78296709378,0.00420999999914784,93651.79650807384,0.004759999996167608
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,22,hop,103249.67016831861,0.0005299999902490526,92550.68075278886,0.00420999999914784,93712.28451541145,0.004769999999552965
