clip_name,role,frame_index,phase,feature_current_ua,feature_delta_t_s,backbone_current_ua,backbone_delta_t_s,total_current_ua,total_delta_t_s
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,0,hop,103349.71379303567,0.0005300000048009679,93507.04230350128,0.00420999999914784,94565.9040081431,0.004769999999552965
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,1,hop,102781.89424181507,0.0005200000014156103,93351.9811182479,0.00420999999914784,94360.90116149052,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,2,hop,103200.6141971847,0.0005200000014156103,93309.16553147422,0.00420999999914784,94381.40507336076,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,3,hop,104725.56128774604,0.0005200000014156103,93320.90359404756,0.004199999995762482,94537.17371250088,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,4,hop,103303.95467775593,0.0005200000014156103,93653.8111300526,0.00420999999914784,94683.30312237679,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,5,hop,103551.25264233274,0.0005300000048009679,93414.47256812161,0.00420999999914784,94511.32543781972,0.004769999999552965
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,6,hop,103070.30387985767,0.0005200000014156103,93302.02899808499,0.00420999999914784,94357.6959985123,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,7,hop,103215.37174943852,0.0005200000014156103,93384.17514591181,0.00420999999914784,94444.63239288895,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,8,hop,105174.07218944866,0.0005200000014156103,93533.47032591722,0.004199999995762482,94791.07764186656,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,9,hop,103099.72912680102,0.0005200000014156103,93423.65076565466,0.00420999999914784,94468.48391928356,0.004760000010719523
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,10,hop,104768.74729489262,0.0005200000014156103,93657.44190685611,0.0042000000103143975,94846.71918029996,0.004760000010719523
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,11,hop,103634.04107695428,0.0005299999902490526,93517.7782060266,0.00420999999914784,94613.26534903096,0.004769999999552965
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,12,hop,104957.12655426792,0.0005200000014156103,93605.23636095125,0.004199999995762482,94821.22283918542,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,13,hop,103563.6794176298,0.0005300000048009679,93656.7780156866,0.004199999995762482,94731.955168872,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,14,hop,103749.63611103817,0.0005200000014156103,93623.16319236135,0.00420999999914784,94725.40924000142,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,15,hop,105522.15357772162,0.0005200000014156103,93705.35104354947,0.004199999995762482,94968.1423529095,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,16,hop,104724.68569892169,0.0005200000014156103,93843.14094115853,0.004199999995762482,95007.32638434636,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,17,hop,104347.6367103701,0.0005200000014156103,93592.57118831089,0.004199999995762482,94743.4775468455,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,18,hop,103565.81171121381,0.0005300000048009679,93624.6271257596,0.0042000000103143975,94689.63035159795,0.004760000010719523
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,19,hop,104315.79343118703,0.0005300000048009679,93603.3892468733,0.00420999999914784,94763.00445030408,0.004769999999552965
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,20,hop,103504.79280750733,0.0005200000014156103,93701.68622478974,0.00420999999914784,94764.95259633196,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,21,hop,103054.09397859924,0.0005200000014156103,93353.63767996285,0.00420999999914784,94388.94565348417,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,22,hop,103215.72908998496,0.0005200000014156103,93600.09883725955,0.004210000013699755,94640.36900514009,0.004760000010719523
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,23,hop,103404.15432299789,0.0005200000014156103,93544.63551392511,0.00420999999914784,94616.64052583424,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,24,hop,104061.73244311432,0.0005299999902490526,93617.55493924797,0.00420999999914784,94742.5526359398,0.004769999999552965
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,25,hop,103028.4302110922,0.0005200000014156103,93567.52822484782,0.00420999999914784,94573.7420214841,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,26,hop,105217.52985899898,0.0005200000014156103,93667.74452203457,0.00420999999914784,94907.83438011627,0.004760000010719523
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,27,hop,104812.26765576686,0.0005199999868636951,93607.47982768615,0.004220000002533197,94815.63411022109,0.004769999999552965
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,28,hop,103043.3403122343,0.0005200000014156103,93555.39232348578,0.00420999999914784,94570.94024293225,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,29,hop,103551.42896660986,0.0005300000048009679,93780.08691234459,0.00420999999914784,94827.72942162276,0.004769999999552965
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,30,hop,105159.17044714977,0.0005199999868636951,93825.02830762659,0.00420999999914784,95048.4615926425,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,31,hop,105508.10025800666,0.0005199999868636951,93776.68241742685,0.00420999999914784,95036.36339624583,0.004769999999552965
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,32,hop,103834.5916901864,0.0005299999902490526,93737.22796283092,0.00420999999914784,94821.36374435746,0.004769999999552965
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,33,hop,103375.83871248821,0.0005200000014156103,93771.17173047845,0.00420999999914784,94813.91374441932,0.004760000010719523
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,34,hop,103562.96623509556,0.0005200000014156103,93507.18168373693,0.00420999999914784,94597.69719051005,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,35,hop,105291.67496081463,0.0005199999868636951,93601.68906430679,0.00420999999914784,94871.71671271522,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,36,hop,103805.48380383568,0.0005300000048009679,93715.88289055013,0.00420999999914784,94800.86272321816,0.004769999999552965
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,37,hop,103607.18664908712,0.0005200000014156103,93610.74517507787,0.00420999999914784,94686.24575446064,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,38,hop,103549.09054079845,0.0005200000014156103,93462.22170442353,0.00420999999914784,94545.36400111073,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,39,hop,103319.53348635336,0.0005200000014156103,93699.94655115648,0.00420999999914784,94738.4312416959,0.004760000010719523
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,40,hop,104002.93229474666,0.0005200000014156103,93600.12826197594,0.00420999999914784,94718.50352806688,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,41,hop,105290.41695491425,0.0005200000014156103,93753.45493582705,0.004210000013699755,95012.11449606856,0.004760000010719523
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,42,hop,103897.41224581315,0.0005199999868636951,93737.44116296915,0.00420999999914784,94833.16389845831,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,43,hop,103777.58763431975,0.0005300000048009679,93951.07282197199,0.00420999999914784,95013.20839699218,0.004769999999552965
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,44,hop,104359.51255143358,0.0005200000014156103,93913.83864471073,0.00420999999914784,95052.28153608383,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,45,hop,104127.8950421417,0.0005200000014156103,93676.53632658104,0.004210000013699755,94804.49230005874,0.004760000010719523
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,46,hop,103610.92932112626,0.0005200000014156103,93710.45079803318,0.004220000002533197,94772.58611243239,0.004769999999552965
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,47,hop,103754.80396584148,0.0005199999868636951,93824.64010785914,0.00420999999914784,94902.60133560005,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,48,hop,104141.68087887453,0.0005200000014156103,93737.27752024806,0.004210000013699755,94869.18089096856,0.004760000010719523
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,49,hop,103461.42081609974,0.0005200000014156103,93599.74445010483,0.00420999999914784,94649.55097566747,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,50,hop,103948.14668953318,0.0005300000048009679,93685.37046142128,0.00420999999914784,94789.78845398956,0.004769999999552965
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,51,hop,103674.42107729396,0.0005200000014156103,93533.88696393397,0.00420999999914784,94614.54644085334,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,52,hop,103579.866410651,0.0005300000048009679,93706.77722236192,0.00420999999914784,94766.18990874187,0.004769999999552965
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,53,hop,103461.98294830439,0.0005200000014156103,93608.5646469215,0.00420999999914784,94660.54486753623,0.004759999996167608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,54,hop,103781.3475015945,0.0005200000014156103,93712.23525455466,0.004210000013699755,94785.56814090419,0.004760000010719523
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,55,hop,103919.7194969035,0.0005299999902490526,93496.08855482988,0.00420999999914784,94611.70508261502,0.004769999999552965
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,56,hop,104595.90713960954,0.0005200000014156103,93803.24883361136,0.00420999999914784,94970.81240943869,0.004759999996167608
