clip_name,true_label,head,head_precision,score,decision,sumsq
1100011348_ToyCar_case1_normal_IND_ch1_1348,normal,euclidean,int8,1.759503822468671,0,2850
1100011317_ToyCar_case1_normal_IND_ch1_1317,normal,euclidean,int8,1.7573416998653775,0,2843
1100010760_ToyCar_case1_normal_IND_ch1_0760,normal,euclidean,int8,1.6343574574600026,0,2459
1100010943_ToyCar_case1_normal_IND_ch1_0943,normal,euclidean,int8,1.6737610443387492,0,2579
1100010461_ToyCar_case1_normal_IND_ch1_0461,normal,euclidean,int8,1.7415080714138644,0,2792
1100010770_ToyCar_case1_normal_IND_ch1_0770,normal,euclidean,int8,1.5970438140744982,0,2348
1100011088_ToyCar_case1_normal_IND_ch1_1088,normal,euclidean,int8,1.7647436632678122,0,2867
1100011058_ToyCar_case1_normal_IND_ch1_1058,normal,euclidean,int8,1.7904095652664136,0,2951
1100010437_ToyCar_case1_normal_IND_ch1_0437,normal,euclidean,int8,7.695374787199609,1,54516
1100011297_ToyCar_case1_normal_IND_ch1_1297,normal,euclidean,int8,1.7330669988409864,0,2765
1100011334_ToyCar_case1_normal_IND_ch1_1334,normal,euclidean,int8,1.7964664484841542,0,2971
1100010360_ToyCar_case1_normal_IND_ch1_0360,normal,euclidean,int8,1.580635394440253,0,2300
1100010705_ToyCar_case1_normal_IND_ch1_0705,normal,euclidean,int8,1.7727275800063698,0,2893
1100010897_ToyCar_case1_normal_IND_ch1_0897,normal,euclidean,int8,1.5399075649974088,0,2183
1100010022_ToyCar_case1_normal_IND_ch1_0022,normal,euclidean,int8,2.1795032619082333,0,4373
1100010088_ToyCar_case1_normal_IND_ch1_0088,normal,euclidean,int8,2.7076186617629103,0,6749
1100010833_ToyCar_case1_normal_IND_ch1_0833,normal,euclidean,int8,1.6300315520932267,0,2446
1100010926_ToyCar_case1_normal_IND_ch1_0926,normal,euclidean,int8,1.6409904289443393,0,2479
1100010355_ToyCar_case1_normal_IND_ch1_0355,normal,euclidean,int8,1.5146585530469732,0,2112
1100010365_ToyCar_case1_normal_IND_ch1_0365,normal,euclidean,int8,1.5802917406924282,0,2299
1100011191_ToyCar_case1_normal_IND_ch1_1191,normal,euclidean,int8,1.771808194908656,0,2890
1100010285_ToyCar_case1_normal_IND_ch1_0285,normal,euclidean,int8,1.4351158175195764,0,1896
1100011164_ToyCar_case1_normal_IND_ch1_1164,normal,euclidean,int8,1.7625879682579721,0,2860
1100010152_ToyCar_case1_normal_IND_ch1_0152,normal,euclidean,int8,1.4691519578466294,0,1987
1100010596_ToyCar_case1_normal_IND_ch1_0596,normal,euclidean,int8,1.6380089156587692,0,2470
1100011063_ToyCar_case1_normal_IND_ch1_1063,normal,euclidean,int8,1.847442265026483,0,3142
1100010919_ToyCar_case1_normal_IND_ch1_0919,normal,euclidean,int8,1.6679098516788362,0,2561
1100010181_ToyCar_case1_normal_IND_ch1_0181,normal,euclidean,int8,1.4621109569965516,0,1968
1100010448_ToyCar_case1_normal_IND_ch1_0448,normal,euclidean,int8,1.4501751576821635,0,1936
1100011137_ToyCar_case1_normal_IND_ch1_1137,normal,euclidean,int8,1.727731092129117,0,2748
1100010304_ToyCar_case1_normal_IND_ch1_0304,normal,euclidean,int8,1.4991601517799809,0,2069
1100011081_ToyCar_case1_normal_IND_ch1_1081,normal,euclidean,int8,1.8097202371138021,0,3015
1100010946_ToyCar_case1_normal_IND_ch1_0946,normal,euclidean,int8,1.6396659812475731,0,2475
1100011034_ToyCar_case1_normal_IND_ch1_1034,normal,euclidean,int8,1.6908719791117293,0,2632
1100010091_ToyCar_case1_normal_IND_ch1_0091,normal,euclidean,int8,2.7190284830344114,0,6806
1100010032_ToyCar_case1_normal_IND_ch1_0032,normal,euclidean,int8,2.457123897919666,0,5558
1100010745_ToyCar_case1_normal_IND_ch1_0745,normal,euclidean,int8,1.6179917615310062,0,2410
1100010242_ToyCar_case1_normal_IND_ch1_0242,normal,euclidean,int8,1.5175245131367965,0,2120
1100010809_ToyCar_case1_normal_IND_ch1_0809,normal,euclidean,int8,1.6017979418347006,0,2362
1100011230_ToyCar_case1_normal_IND_ch1_1230,normal,euclidean,int8,1.8365323677279275,0,3105
1100011035_ToyCar_case1_normal_IND_ch1_1035,normal,euclidean,int8,1.7062206022849282,0,2680
1100010749_ToyCar_case1_normal_IND_ch1_0749,normal,euclidean,int8,1.7570326080153276,0,2842
1100011042_ToyCar_case1_normal_IND_ch1_1042,normal,euclidean,int8,1.7033532703324439,0,2671
1100010156_ToyCar_case1_normal_IND_ch1_0156,normal,euclidean,int8,1.4824010913655685,0,2023
1100010521_ToyCar_case1_normal_IND_ch1_0521,normal,euclidean,int8,1.6489147748883477,0,2503
1100010936_ToyCar_case1_normal_IND_ch1_0936,normal,euclidean,int8,1.5584887952550464,0,2236
1100010191_ToyCar_case1_normal_IND_ch1_0191,normal,euclidean,int8,1.4904398054691146,0,2045
1100010869_ToyCar_case1_normal_IND_ch1_0869,normal,euclidean,int8,1.7446240303760403,0,2802
1100010676_ToyCar_case1_normal_IND_ch1_0676,normal,euclidean,int8,1.6489147748883477,0,2503
1100010751_ToyCar_case1_normal_IND_ch1_0751,normal,euclidean,int8,1.5633601719782257,0,2250
1100011156_ToyCar_case1_normal_IND_ch1_1156,normal,euclidean,int8,1.7554863324293335,0,2837
1100010387_ToyCar_case1_normal_IND_ch1_0387,normal,euclidean,int8,1.553602144225884,0,2222
1100010402_ToyCar_case1_normal_IND_ch1_0402,normal,euclidean,int8,1.6992030266029308,0,2658
1100010476_ToyCar_case1_normal_IND_ch1_0476,normal,euclidean,int8,1.6937604405152837,0,2641
1100010527_ToyCar_case1_normal_IND_ch1_0527,normal,euclidean,int8,1.608902793848738,0,2383
1100011069_ToyCar_case1_normal_IND_ch1_1069,normal,euclidean,int8,1.992287711245624,0,3654
1100010100_ToyCar_case1_normal_IND_ch1_0100,normal,euclidean,int8,2.6913214963179284,0,6668
1100010295_ToyCar_case1_normal_IND_ch1_0295,normal,euclidean,int8,1.5657901770428626,0,2257
1100010786_ToyCar_case1_normal_IND_ch1_0786,normal,euclidean,int8,1.6905507343137107,0,2631
1100010668_ToyCar_case1_normal_IND_ch1_0668,normal,euclidean,int8,1.694081076664018,0,2642
1100011098_ToyCar_case1_normal_IND_ch1_1098,normal,euclidean,int8,1.6937604405152837,0,2641
1100010007_ToyCar_case1_normal_IND_ch1_0007,normal,euclidean,int8,1.9209477762387672,0,3397
1100010819_ToyCar_case1_normal_IND_ch1_0819,normal,euclidean,int8,1.59022754816467,0,2328
1100011153_ToyCar_case1_normal_IND_ch1_1153,normal,euclidean,int8,1.746801894480788,0,2809
1100010815_ToyCar_case1_normal_IND_ch1_0815,normal,euclidean,int8,1.6045082617794784,0,2370
1100010998_ToyCar_case1_normal_IND_ch1_0998,normal,euclidean,int8,1.6469372629537378,0,2497
1100011166_ToyCar_case1_normal_IND_ch1_1166,normal,euclidean,int8,1.775176945706529,0,2901
1100010346_ToyCar_case1_normal_IND_ch1_0346,normal,euclidean,int8,1.5016940473615474,0,2076
