clip_name,true_label,head,head_precision,score,decision,sumsq
1100011348_ToyCar_case1_normal_IND_ch1_1348,normal,knn16,int8,1.6495734187232378,0,2505
1100011317_ToyCar_case1_normal_IND_ch1_1317,normal,knn16,int8,1.6870130041781346,0,2620
1100010760_ToyCar_case1_normal_IND_ch1_0760,normal,knn16,int8,1.6099152131165309,0,2386
1100010943_ToyCar_case1_normal_IND_ch1_0943,normal,knn16,int8,1.5778840687783666,0,2292
1100010461_ToyCar_case1_normal_IND_ch1_0461,normal,knn16,int8,1.7138433681698295,0,2704
1100010770_ToyCar_case1_normal_IND_ch1_0770,normal,knn16,int8,1.5647492083890469,0,2254
1100011088_ToyCar_case1_normal_IND_ch1_1088,normal,knn16,int8,1.7952567066308123,0,2967
1100011058_ToyCar_case1_normal_IND_ch1_1058,normal,knn16,int8,1.7870695292503243,0,2940
1100010437_ToyCar_case1_normal_IND_ch1_0437,normal,knn16,int8,1.0464007703756955,0,1008
1100011297_ToyCar_case1_normal_IND_ch1_1297,normal,knn16,int8,1.6485853542927345,0,2502
1100011334_ToyCar_case1_normal_IND_ch1_1334,normal,knn16,int8,1.7189064319866711,0,2720
1100010360_ToyCar_case1_normal_IND_ch1_0360,normal,knn16,int8,1.5556983027832887,0,2228
1100010705_ToyCar_case1_normal_IND_ch1_0705,normal,knn16,int8,1.695363014854777,0,2646
1100010897_ToyCar_case1_normal_IND_ch1_0897,normal,knn16,int8,1.5089103025073785,0,2096
1100010022_ToyCar_case1_normal_IND_ch1_0022,normal,knn16,int8,1.9775115786574957,0,3600
1100010088_ToyCar_case1_normal_IND_ch1_0088,normal,knn16,int8,2.160983780337317,0,4299
1100010833_ToyCar_case1_normal_IND_ch1_0833,normal,knn16,int8,1.6515477742099414,0,2511
1100010926_ToyCar_case1_normal_IND_ch1_0926,normal,knn16,int8,1.5909104889512165,0,2330
1100010355_ToyCar_case1_normal_IND_ch1_0355,normal,knn16,int8,1.5567453236327948,0,2231
1100010365_ToyCar_case1_normal_IND_ch1_0365,normal,knn16,int8,1.5139412153069782,0,2110
1100011191_ToyCar_case1_normal_IND_ch1_1191,normal,knn16,int8,1.7248995178271576,0,2739
1100010285_ToyCar_case1_normal_IND_ch1_0285,normal,knn16,int8,1.4621109569965516,0,1968
1100011164_ToyCar_case1_normal_IND_ch1_1164,normal,knn16,int8,1.683467839682019,0,2609
1100010152_ToyCar_case1_normal_IND_ch1_0152,normal,knn16,int8,1.4468004727152866,0,1927
1100010596_ToyCar_case1_normal_IND_ch1_0596,normal,knn16,int8,1.6626915053676903,0,2545
1100011063_ToyCar_case1_normal_IND_ch1_1063,normal,knn16,int8,1.8728448762055876,0,3229
1100010919_ToyCar_case1_normal_IND_ch1_0919,normal,knn16,int8,1.6099152131165309,0,2386
1100010181_ToyCar_case1_normal_IND_ch1_0181,normal,knn16,int8,1.3889584856661725,0,1776
1100010448_ToyCar_case1_normal_IND_ch1_0448,normal,knn16,int8,1.3688704057060956,0,1725
1100011137_ToyCar_case1_normal_IND_ch1_1137,normal,knn16,int8,1.7386989338842784,0,2783
1100010304_ToyCar_case1_normal_IND_ch1_0304,normal,knn16,int8,1.453915620840628,0,1946
1100011081_ToyCar_case1_normal_IND_ch1_1081,normal,knn16,int8,1.8031055206432742,0,2993
1100010946_ToyCar_case1_normal_IND_ch1_0946,normal,knn16,int8,1.5854387255739517,0,2314
1100011034_ToyCar_case1_normal_IND_ch1_1034,normal,knn16,int8,1.6330276301792215,0,2455
1100010091_ToyCar_case1_normal_IND_ch1_0091,normal,knn16,int8,2.0503276438178837,0,3870
