clip_name,role,frame_index,phase,feature_delta_t_s,feature_power_mw,backbone_delta_t_s,backbone_power_mw,total_delta_t_s,total_power_mw
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,0,hop,0.0005499999970197,329.21946201869423,0.0113100000016856,286.9849803154916,0.0118899999943096,288.9408288834822
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,1,hop,0.0005200000014156,337.79058606906545,0.0112899999949149,286.85609820960815,0.0118400000210385,289.1333431195714
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,2,hop,0.000529999990249,337.11831592136264,0.0112900000240188,287.15921589356924,0.011850000009872,289.3954503635077
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,3,hop,0.0005200000014156,342.8319935600169,0.0112899999949149,287.08259763379107,0.0118499999807681,289.5664994454093
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,4,hop,0.0005200000014156,335.3693544060901,0.0112899999949149,287.1890033968006,0.0118400000210385,289.33182894039334
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,5,hop,0.0005200000014156,344.26555186757236,0.0112899999949149,287.80579428227935,0.0118499999807681,290.32470216875356
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,6,hop,0.0005200000014156,337.6185709140871,0.0113000000128522,288.284655281266,0.011850000009872,290.4693508136598
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,7,hop,0.0005200000014156,336.41422361216775,0.0112899999949149,288.08153394212627,0.0118399999919347,290.21624894591315
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,8,hop,0.0005300000193528,341.7698105943842,0.0112899999949149,288.10188522502904,0.011850000009872,290.49323201170614
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,9,hop,0.0005200000014156,337.56625746373766,0.0112900000240188,288.60589219106504,0.0118400000210385,290.78777142006317
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,10,hop,0.0005200000014156,338.35737953381596,0.0112900000240188,288.75063042801486,0.0118400000210385,290.9542578101005
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,11,hop,0.0005200000014156,341.73192835651486,0.0112899999949149,288.84979092418524,0.0118499999807681,291.1997949742187
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,12,hop,0.0005200000014156,337.66151953446655,0.0112899999949149,289.13852257629173,0.0118400000210385,291.2914770886616
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,13,hop,0.0005200000014156,338.98697533432386,0.0112900000240188,289.09500524667465,0.0118400000210385,291.3165466162684
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,14,hop,0.0005200000014156,336.75256463630154,0.0113000000128522,288.64581412842557,0.011850000009872,290.7778345836983
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,15,hop,0.0005200000014156,338.81387750018104,0.0112899999949149,288.6340245678284,0.0118399999919347,290.8631332535192
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,16,hop,0.0005199999723117,344.8383517880693,0.0112899999949149,288.7940362725789,0.0118499999807681,291.27883349090365
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,17,hop,0.0005200000014156,339.57929796000866,0.0113000000128522,288.8848495709839,0.011850000009872,291.1528281431947
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,18,hop,0.0005200000014156,336.3432770465172,0.0112900000240188,288.637888434575,0.0118400000210385,290.7582976003311
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,19,hop,0.000529999990249,337.16765990753066,0.0112899999949149,288.31492480087513,0.011850000009872,290.5050014851046
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,20,hop,0.0005200000014156,338.27748185275766,0.0112899999949149,288.8644996614324,0.0118399999919347,291.05724718685497
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,21,hop,0.000529999990249,343.7416147814167,0.0112899999949149,288.82248690581844,0.0118499999807681,291.2575329640114
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,22,hop,0.0005300000193528,342.61304273016134,0.0112899999949149,288.81432085502263,0.011850000009872,291.20762626012385
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,23,hop,0.0005200000014156,337.6345697881319,0.0112899999949149,288.4700832487358,0.0118399999919347,290.64870420303413
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,24,hop,0.0005200000014156,342.25968325875976,0.0112899999949149,288.8119853838718,0.0118499999807681,291.18902896195596
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,25,hop,0.0005200000014156,343.68220099725653,0.0112899999949149,289.5096779735251,0.011850000009872,291.9161534746025
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,26,hop,0.0005200000014156,343.64736902258727,0.0112899999949149,288.81186055872695,0.0118399999919347,291.2512393655936
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,27,hop,0.0005200000014156,338.74917185582865,0.0112899999949149,288.6867919895122,0.0118400000210385,290.8917554137314
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,28,hop,0.0005200000014156,343.2565835232371,0.0112800000060815,288.8067851665349,0.0118400000210385,291.2382345524094
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,29,hop,0.0005200000014156,340.76587415233104,0.0112899999949149,289.41984443376003,0.011850000009872,291.70470876996245
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,30,hop,0.0005200000014156,342.0131011141735,0.0112800000060815,289.26785502386883,0.0118399999919347,291.62289343166464
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,31,hop,0.000529999990249,340.1590233619146,0.0112899999949149,288.99260627996694,0.0118499999807681,291.2740083497335
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,32,hop,0.0005200000014156,340.39609400797957,0.0112999999837484,289.5751580828327,0.011850000009872,291.83855902108434
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,33,hop,0.0005200000014156,339.7087575692085,0.0112899999949149,289.6493955671949,0.0118399999919347,291.86434156802414
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,34,hop,0.0005200000014156,339.8969991195621,0.0112899999949149,289.2985295167238,0.0118399999919347,291.54434573949743
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,35,hop,0.0005200000014156,338.3965077449146,0.0112899999949149,289.6563270220362,0.0118399999919347,291.80076247993566
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,36,hop,0.0005300000193528,340.44199520134504,0.0112899999949149,288.84094452870664,0.011850000009872,291.1463498344596
