clip_name,role,frame_index,phase,feature_current_ua,feature_delta_t_s,backbone_current_ua,backbone_delta_t_s,total_current_ua,total_delta_t_s
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,0,hop,100445.80305532877,0.0005499999970197678,92257.26652870802,0.00479000000632368,93067.84769851813,0.0053699999989476055
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,1,hop,101487.7993099667,0.0005299999902490526,92442.71698664094,0.0047799999883864075,93313.97299953658,0.005340000003343448
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,2,hop,101447.1196160348,0.0005299999902490526,92673.24687553459,0.004769999999552965,93515.05575238903,0.005329999985406175
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,3,hop,100956.4255348275,0.0005200000014156103,92545.32166108678,0.004769999999552965,93350.20621587714,0.005319999996572733
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,4,hop,100993.65822309595,0.0005299999902490526,92808.97524453524,0.004769999999552965,93588.6114039222,0.005329999985406175
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,5,hop,100998.32010070093,0.0005200000014156103,92714.37966512353,0.0047799999883864075,93498.75130339095,0.005330000014510006
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,6,hop,103042.94744660427,0.0005200000014156103,92898.08242614701,0.004769999999552965,93864.53465034878,0.005330000014510006
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,7,hop,102864.82564447343,0.0005299999902490526,92932.82532971194,0.004780000017490238,93894.97481538856,0.005340000003343448
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,8,hop,101447.17580468525,0.0005200000014156103,93141.6791422604,0.0047799999883864075,93938.42221054317,0.005329999985406175
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,9,hop,101465.32495756417,0.0005200000014156103,93239.15603050354,0.0047799999883864075,94033.23666429352,0.005330000014510006
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,10,hop,101968.13287332478,0.0005200000014156103,93082.07294054345,0.004780000017490238,93924.51736258809,0.005330000014510006
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,11,hop,101706.92085051496,0.0005200000014156103,93080.49411435788,0.0047799999883864075,93901.84142921427,0.005329999985406175
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,12,hop,101405.13495905594,0.0005200000014156103,92910.6828892469,0.0047799999883864075,93725.75121013778,0.005329999985406175
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,13,hop,101796.50684001537,0.0005200000014156103,93184.4061116,0.004780000017490238,94012.24738380071,0.005330000014510006
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,14,hop,103492.13541460547,0.0005200000014156103,93417.86391161945,0.004769999999552965,94372.14671107712,0.005329999985406175
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,15,hop,102022.65348643817,0.0005200000014156103,93107.26345908792,0.0047799999883864075,93951.02430078144,0.005330000014510006
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,16,hop,101896.35123442163,0.0005200000014156103,93242.50418755614,0.0047799999883864075,94068.4398660653,0.005330000014510006
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,17,hop,101605.93129459138,0.0005200000014156103,93271.19089679289,0.004769999999552965,94078.63190016313,0.005319999996572733
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,18,hop,102112.98341298268,0.0005200000014156103,93215.74348146319,0.0047799999883864075,94074.03540371948,0.005329999985406175
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,19,hop,102068.53313080332,0.0005200000014156103,93381.60668295801,0.004769999999552965,94222.855164764,0.005319999996572733
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,20,hop,102112.70548144652,0.0005200000014156103,93395.54451630454,0.004769999999552965,94229.78174616412,0.005319999996572733
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,21,hop,101752.00222535527,0.0005200000014156103,93335.30802302549,0.004780000017490238,94137.58449061109,0.005330000014510006
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,22,hop,101637.4650597299,0.0005200000014156103,93208.38544690963,0.004769999999552965,94019.74809506381,0.005319999996572733
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,23,hop,101781.35642213152,0.0005200000014156103,93438.22801946347,0.004769999999552965,94231.42356894536,0.005319999996572733
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,24,hop,101650.43381954067,0.0005200000014156103,93041.45152692035,0.0047799999883864075,93865.5491299126,0.005330000014510006
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,25,hop,101819.25755067005,0.0005200000014156103,93298.00861623161,0.004769999999552965,94099.51295605693,0.005319999996572733
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,26,hop,101594.12650369505,0.0005200000014156103,93135.78487773046,0.004769999999552965,93937.70637488853,0.005319999996572733
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,27,hop,102712.52621888352,0.0005200000014156103,93212.51740199287,0.0047799999883864075,94121.16281250984,0.005329999985406175
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,28,hop,103021.40381041222,0.0005300000193528831,93135.81312606425,0.004769999999552965,94092.59878197013,0.005330000014510006
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,29,hop,102457.03583883717,0.0005200000014156103,93219.26539493875,0.004769999999552965,94092.65949882264,0.005319999996572733
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,30,hop,101698.66438855354,0.0005200000014156103,93193.78177037972,0.004780000017490238,94005.4604037561,0.005330000014510006
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,31,hop,101897.69909788629,0.0005200000014156103,93203.46180311473,0.004769999999552965,94029.4768872252,0.005319999996572733
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,32,hop,102141.3136514679,0.0005199999723117799,93175.44717284413,0.004769999999552965,94021.10518296475,0.005319999996572733
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,33,hop,101966.86859829204,0.0005200000014156103,93047.65249303558,0.004769999999552965,93890.88030820852,0.005319999996572733
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,34,hop,102225.63148004671,0.0005200000014156103,93340.54153754664,0.004769999999552965,94177.36208360625,0.005319999996572733
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,35,hop,101603.91101133202,0.0005299999902490526,93419.2339574005,0.004769999999552965,94195.43712210753,0.005329999985406175
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,36,hop,103234.686691003,0.0005300000193528831,93421.00312480112,0.004769999999552965,94359.18294796514,0.005330000014510006
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,37,hop,102071.09720595242,0.0005200000014156103,93256.39626697893,0.0047799999883864075,94097.94314658012,0.005330000014510006
