clip_name,role,frame_index,phase,feature_current_ua,feature_delta_t_s,backbone_current_ua,backbone_delta_t_s,total_current_ua,total_delta_t_s
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,0,hop,104175.67494581433,0.0005299999902490526,89681.0504760796,0.011449999990873039,90317.69561442926,0.01201000000583008
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,1,hop,104114.55640351969,0.0005200000014156103,89468.9940643957,0.011440000002039596,90108.48052211912,0.012000000016996637
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,2,hop,104521.2375203836,0.0005200000014156103,89579.88902295765,0.011460000008810312,90238.44864780692,0.01201000000583008
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,3,hop,104759.57337681825,0.0005299999902490526,89621.42258228699,0.01145000001997687,90292.24274395712,0.01201000000583008
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,4,hop,104304.09450610375,0.0005300000193528831,89722.28132730282,0.011440000002039596,90365.07787496172,0.012000000016996637
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,5,hop,105597.83623767419,0.0005300000193528831,90023.45288207986,0.011449999990873039,90716.90023297697,0.01201000000583008
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,6,hop,104958.91022293337,0.0005299999902490526,89742.91250448873,0.011449999990873039,90423.75009978574,0.012009999976726249
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,7,hop,104944.96213817538,0.0005299999902490526,89726.88502363182,0.01145000001997687,90404.1001798229,0.01201000000583008
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,8,hop,104173.60333022143,0.0005200000014156103,89779.20425228857,0.011440000002039596,90401.13783579993,0.012000000016996637
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,9,hop,104752.96369463694,0.0005200000014156103,89834.31520604806,0.011440000002039596,90485.67029638497,0.012000000016996637
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,10,hop,103722.89614247013,0.0005200000014156103,89604.36956859849,0.011449999990873039,90223.3757244719,0.011999999987892807
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,11,hop,104730.84479269164,0.0005299999902490526,89717.20737864898,0.01145000001997687,90374.79073993067,0.01201000000583008
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,12,hop,104238.73758585488,0.0005300000193528831,89906.07201786291,0.011449999990873039,90532.50809292331,0.01201000000583008
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,13,hop,103260.86061788443,0.0005200000014156103,89837.87590696353,0.01145000001997687,90423.65894350583,0.012000000016996637
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,14,hop,104243.9556069388,0.0005200000014156103,89936.13390015531,0.011460000008810312,90559.49096071125,0.01201000000583008
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,15,hop,104199.20649611534,0.0005200000014156103,89715.89893730193,0.011449999990873039,90345.42534429401,0.011999999987892807
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,16,hop,104830.94992587747,0.0005299999902490526,89669.98865644028,0.01145000001997687,90333.5660528548,0.01201000000583008
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,17,hop,103071.56606517965,0.0005200000014156103,89525.14466461579,0.01145000001997687,90118.31253795682,0.012000000016996637
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,18,hop,104361.2135760231,0.0005200000014156103,89644.18271306723,0.011460000008810312,90289.11407659728,0.01201000000583008
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,19,hop,104517.62752113421,0.0005299999902490526,89654.90053501393,0.01145000001997687,90307.8553179861,0.01201000000583008
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,20,hop,104186.32341444727,0.0005200000014156103,89816.68534298455,0.011440000002039596,90439.29666226722,0.012000000016996637
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,21,hop,103634.35082894712,0.0005200000014156103,89643.74096436123,0.011449999990873039,90253.35062224866,0.011999999987892807
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,22,hop,104052.32368335158,0.0005299999902490526,89684.86359283875,0.011440000002039596,90320.79350773478,0.011999999987892807
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,23,hop,104662.55596876469,0.0005300000193528831,89553.34073567898,0.011449999990873039,90224.93834909656,0.01201000000583008
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,24,hop,103186.99762702653,0.0005200000014156103,89563.86112792577,0.01145000001997687,90159.62736028548,0.012000000016996637
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,25,hop,103697.57118135743,0.0005300000193528831,89678.67986899693,0.011449999990873039,90291.8371271532,0.01201000000583008
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,26,hop,104702.93017063507,0.0005299999902490526,89580.28454850189,0.01145000001997687,90248.01967890073,0.01201000000583008
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,27,hop,104373.55751230531,0.0005200000014156103,89795.87225407544,0.011449999990873039,90432.41680493396,0.011999999987892807
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,28,hop,103318.74566538254,0.0005200000014156103,89827.50138200566,0.01145000001997687,90420.02328176101,0.012000000016996637
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,29,hop,103984.68910488184,0.0005200000014156103,89735.47971892572,0.01145000001997687,90354.8105653991,0.012000000016996637
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,30,hop,104406.04284307038,0.0005299999902490526,89856.8959007999,0.011449999990873039,90499.26318615355,0.012009999976726249
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,31,hop,105186.08173009568,0.0005299999902490526,89795.31877388805,0.01145000001997687,90468.72323419258,0.01201000000583008
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,32,hop,104603.94859214543,0.0005299999902490526,89705.4122359384,0.011449999990873039,90357.94466803463,0.01201000000583008
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,33,hop,103433.32880464544,0.0005200000014156103,89660.33141579518,0.01145000001997687,90259.84136783304,0.012000000016996637
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,34,hop,103666.55121183016,0.0005200000014156103,89784.18340372895,0.011449999990873039,90391.88645370575,0.011999999987892807
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,35,hop,103304.05916329582,0.0005200000014156103,89656.31944449652,0.011449999990873039,90248.54445649504,0.011999999987892807
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,36,hop,104281.20512594565,0.0005300000193528831,89579.51022694734,0.011449999990873039,90222.42086622801,0.01201000000583008
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,37,hop,103476.4792867085,0.0005200000014156103,89652.37855621634,0.011449999990873039,90258.51139799328,0.011999999987892807
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,38,hop,105270.93479898557,0.0005300000193528831,89755.98106900857,0.011449999990873039,90439.96634857095,0.01201000000583008
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,39,hop,104061.47978056771,0.0005200000014156103,89442.5478218754,0.011449999990873039,90078.56360273766,0.01201000000583008
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,40,hop,104448.42774376785,0.0005200000014156103,89794.59997111294,0.01145000001997687,90431.94700945116,0.012000000016996637
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,41,hop,105598.84087599744,0.0005299999902490526,89733.1205003106,0.01145000001997687,90434.51997539085,0.01201000000583008
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,42,hop,104591.0030954284,0.0005299999902490526,89853.52320281106,0.01145000001997687,90502.95788911557,0.01201000000583008
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,43,hop,103376.27964146655,0.0005200000014156103,89794.68728269773,0.011449999990873039,90388.70329160402,0.011999999987892807
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,44,hop,104649.982644323,0.0005200000014156103,89890.30865454994,0.01145000001997687,90535.12449476997,0.012000000016996637
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,45,hop,104590.98378096957,0.0005200000014156103,89939.45373803879,0.011449999990873039,90579.46817495505,0.011999999987892807
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,46,hop,104494.46340314893,0.0005299999902490526,89891.55396232488,0.011439999972935766,90533.61088051267,0.011999999987892807
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,47,hop,105711.04063874896,0.0005300000193528831,89763.04116697004,0.011449999990873039,90468.6199074765,0.01201000000583008
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,48,hop,104647.77136883147,0.0005299999902490526,89839.86993472191,0.011449999990873039,90489.32345357994,0.01201000000583008
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,49,hop,104887.23023209495,0.0005299999902490526,89683.69013570886,0.01145000001997687,90349.73579556991,0.01201000000583008
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,50,hop,104841.72006895061,0.0005200000014156103,89722.89218842739,0.011440000002039596,90383.91677609763,0.011999999987892807
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,51,hop,104158.76009982485,0.0005200000014156103,89744.68360299424,0.01145000001997687,90371.13568122868,0.012000000016996637
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,52,hop,104782.99704742254,0.0005200000014156103,89772.9216215797,0.011449999990873039,90432.0172794596,0.011999999987892807
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,53,hop,103405.25769029917,0.0005200000014156103,89736.29209694275,0.011449999990873039,90332.36108601364,0.011999999987892807
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,54,hop,104943.59984167409,0.0005200000014156103,89686.56654769788,0.011460000008810312,90356.64937319118,0.01201000000583008
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,55,hop,105320.96228684533,0.0005200000014156103,89870.59975266586,0.011449999990873039,90541.17976475289,0.01201000000583008
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,56,hop,105231.71490604582,0.0005299999902490526,89920.39331514253,0.01145000001997687,90600.6134966625,0.01201000000583008
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,57,hop,105479.11802975246,0.0005200000014156103,89851.43308930252,0.011440000002039596,90534.70314574917,0.011999999987892807
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,58,hop,105344.28166932768,0.0005300000193528831,89844.36136116867,0.011449999990873039,90529.96509505132,0.01201000000583008
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,59,hop,105421.09924076333,0.0005200000014156103,89961.01013606504,0.011449999990873039,90632.34188808016,0.01201000000583008
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,60,hop,104984.27819586314,0.0005200000014156103,89944.06938974695,0.011460000008810312,90600.99260319688,0.01201000000583008
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,61,hop,104592.6269190039,0.0005299999902490526,89975.5883381925,0.011449999990873039,90625.66491235257,0.012009999976726249
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,62,hop,104767.54780089458,0.0005200000014156103,89850.73749990379,0.011440000002039596,90503.20476394705,0.012000000016996637
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,63,hop,105363.31240967274,0.0005200000014156103,89728.26976771167,0.011449999990873039,90409.83156102023,0.01201000000583008
