clip_name,role,frame_index,phase,feature_delta_t_s,feature_power_mw,backbone_delta_t_s,backbone_power_mw,total_delta_t_s,total_power_mw
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,0,hop,0.0005499999970197,333.24460314991535,0.0049799999978858,295.80431072610304,0.0055599999905098,299.5319522256135
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,1,hop,0.0005200000014156,336.448979730335,0.0049700000090524,295.6678343121973,0.0055200000060722,299.55243762554426
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,2,hop,0.0005300000193528,341.38449717957275,0.0049699999799486,295.67848609034183,0.0055299999949056,300.08831975525436
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,3,hop,0.000529999990249,338.6821001799857,0.0049699999799486,297.0390414159546,0.0055299999949056,301.011677854444
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,4,hop,0.0005200000014156,335.35738976691636,0.0049700000090524,296.29144643017753,0.0055200000060722,300.03802556756915
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,5,hop,0.000529999990249,340.21523476862063,0.0049700000090524,297.08820497134366,0.0055299999949056,301.1445783822664
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,6,hop,0.0005200000014156,335.9752209135742,0.0049700000090524,297.3772258346135,0.0055200000060722,301.05132724103606
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,7,hop,0.0005200000014156,339.9512296705977,0.0049599999911151,297.6587622506858,0.0055200000060722,301.65119321667214
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,8,hop,0.000529999990249,339.9455918143726,0.0049700000090524,297.009462039811,0.0055299999949056,301.0435285885225
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,9,hop,0.0005200000014156,336.1197897587566,0.0049699999799486,298.2152761613116,0.0055199999769683,301.79260687181875
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,10,hop,0.0005200000014156,339.1782028724366,0.0049700000090524,298.5295270860668,0.0055200000060722,302.3860597203631
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,11,hop,0.000529999990249,341.71703628091285,0.0049700000090524,297.9869927313914,0.0055299999949056,302.1904656423418
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,12,hop,0.0005200000014156,336.4997760506453,0.0049700000090524,297.4281419568673,0.0055200000060722,301.1331771379737
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,13,hop,0.000529999990249,339.52818753888323,0.0049700000090524,297.93086219457354,0.0055299999949056,301.858487325925
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,14,hop,0.0005200000014156,340.7663775636623,0.0049599999911151,297.81864417158437,0.0055200000060722,301.88956127107605
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,15,hop,0.000529999990249,341.4415204980668,0.0049700000090524,298.32034946905554,0.0055299999949056,302.48606896528554
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,16,hop,0.000529999990249,339.153686082712,0.0049700000090524,298.7099918698758,0.0055299999949056,302.5452007823557
