clip_name,role,frame_index,phase,feature_delta_t_s,feature_energy_mj,backbone_delta_t_s,backbone_energy_mj,total_delta_t_s,total_energy_mj
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,0,hop,0.0005200000014156,0.17766769858434261,0.004960000020219,1.503255507370526,0.0055200000060722,1.6930735995904493
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,1,hop,0.0005300000193528,0.18093670548427787,0.0049700000090524,1.502539932730791,0.0055300000240094,1.6922361259582628
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,2,hop,0.0005300000193528,0.1806874319322644,0.0049700000090524,1.5009163878791212,0.0055300000240094,1.6904375151535178
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,3,hop,0.0005200000014156,0.17935567213873688,0.0049599999911151,1.5008157705703562,0.0055200000060722,1.6920739916460992
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,4,hop,0.000529999990249,0.18282969559663595,0.0049700000090524,1.5093575752958357,0.0055299999949056,1.7014672706954754
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,5,hop,0.0005200000014156,0.17753757890457061,0.0049699999799486,1.5095316821296278,0.0055200000060722,1.6959774638971925
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,6,hop,0.0005200000014156,0.1797033010474069,0.0049599999911151,1.505098998212129,0.0055199999769683,1.6967545369066175
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,7,hop,0.0005200000014156,0.17691961259373615,0.0049700000090524,1.5086641929276954,0.0055200000060722,1.694591348217729
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,8,hop,0.0005200000014156,0.17734277948242338,0.0049699999799486,1.5074527721879714,0.0055200000060722,1.6941254906194814
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,9,hop,0.0005200000014156,0.17793542183352123,0.0049700000090524,1.5068601063913998,0.0055200000060722,1.6937778796410945
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,10,hop,0.0005200000014156,0.17875523394595022,0.0049700000090524,1.508048180956754,0.0055200000060722,1.6958604149825396
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,11,hop,0.0005200000014156,0.17925437629979074,0.0049599999911151,1.5076295080180566,0.0055200000060722,1.6989349919020067
