clip_name,role,frame_index,phase,feature_current_ua,feature_delta_t_s,backbone_current_ua,backbone_delta_t_s,total_current_ua,total_delta_t_s
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,0,hop,103535.95460412382,0.0005200000014156103,91841.12299869492,0.004960000020219013,92944.31256741364,0.005520000006072223
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,1,hop,103451.51450967723,0.0005300000193528831,91612.7022738889,0.004970000009052455,92730.34788816608,0.005530000024009496
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,2,hop,103308.99104317564,0.0005300000193528831,91513.71167278457,0.004970000009052455,92631.78847137965,0.005530000024009496
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,3,hop,104519.6221739368,0.0005200000014156103,91692.0682587233,0.004959999991115183,92889.43729604503,0.005520000006072223
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,4,hop,104533.84731867208,0.0005299999902490526,92028.38683901464,0.004970000009052455,93236.19224411844,0.0055299999949056655
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,5,hop,103460.12728511581,0.0005200000014156103,92039.00300102518,0.004969999979948625,93103.7254079686,0.005520000006072223
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,6,hop,104722.20312249372,0.0005200000014156103,91953.75127738444,0.004959999991115183,93146.38471597344,0.005519999976968393
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,7,hop,103100.00705833717,0.0005200000014156103,91986.11000425596,0.004970000009052455,93027.63210109889,0.005520000006072223
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,8,hop,103346.60780864906,0.0005200000014156103,91912.24792816107,0.004969999979948625,93002.05801251,0.005520000006072223
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,9,hop,103691.97048317382,0.0005200000014156103,91876.11143508271,0.004970000009052455,92982.97528424887,0.005520000006072223
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,10,hop,104169.71646813722,0.0005200000014156103,91948.55058898739,0.004970000009052455,93097.29979781686,0.005520000006072223
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,11,hop,104460.59196492145,0.0005200000014156103,92108.35231663544,0.004959999991115183,93266.08421350003,0.005520000006072223
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,12,hop,104417.8656941504,0.0005200000014156103,91682.87642066037,0.004959999991115183,92885.1891218667,0.005520000006072223
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,13,hop,104388.55747101174,0.0005200000014156103,91884.10222464569,0.004960000020219013,93055.0810553624,0.005520000006072223
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,14,hop,104491.70372318347,0.0005299999902490526,91927.22315579475,0.004970000009052455,93131.75194486529,0.0055299999949056655
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,15,hop,104186.99212190261,0.0005200000014156103,91750.49483146133,0.004970000009052455,92920.60763565179,0.005520000006072223
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,16,hop,104762.49279047432,0.0005200000014156103,92105.39667043832,0.004959999991115183,93289.14522524709,0.005520000006072223
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,17,hop,104359.45612924204,0.0005200000014156103,91925.1506742562,0.004960000020219013,93093.32151433094,0.005520000006072223
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,18,hop,104415.89091744632,0.0005200000014156103,91946.8432138497,0.004969999979948625,93125.75803834251,0.005519999976968393
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,19,hop,104387.88876355639,0.0005200000014156103,91873.47977578097,0.004959999991115183,93056.36731916228,0.005520000006072223
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,20,hop,104174.5021843431,0.0005299999902490526,92253.61977139187,0.004959999991115183,93385.83607493922,0.005520000006072223
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,21,hop,104475.8405992128,0.0005200000014156103,92022.01353583815,0.004960000020219013,93189.94917298567,0.005520000006072223
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,22,hop,103489.15339729679,0.0005200000014156103,91883.33121272687,0.004969999979948625,92989.43790348171,0.005519999976968393
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,23,hop,104714.40561494844,0.0005299999902490526,92092.04401827515,0.004969999979948625,93295.76251501066,0.0055299999949056655
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,24,hop,105596.31697849557,0.0005300000193528831,91876.21222894038,0.004969999979948625,93183.60188623324,0.0055299999949056655
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,25,hop,105399.65370048967,0.0005299999902490526,92046.66727739511,0.004970000009052455,93328.82027635092,0.0055299999949056655
