clip_name,role,frame_index,phase,feature_current_ua,feature_delta_t_s,backbone_current_ua,backbone_delta_t_s,total_current_ua,total_delta_t_s
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,0,hop,102765.84733799889,0.0005200000014156103,87970.48042464067,0.011230000003706664,88631.90513301095,0.011780000000726432
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,1,hop,103889.26662536903,0.0005300000193528831,88154.20451530785,0.011230000003706664,88864.28877672086,0.011790000018663704
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,2,hop,103258.26728678418,0.0005200000014156103,88106.69881680942,0.011229999974602833,88779.67440967448,0.011780000000726432
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,3,hop,104045.40603089723,0.0005299999902490526,88231.01485167374,0.011230000003706664,88944.46700936128,0.011789999989559874
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,4,hop,105303.11196261054,0.0005200000014156103,88165.00619099586,0.011230000003706664,88934.06124538941,0.011789999989559874
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,5,hop,103294.21054380694,0.0005300000193528831,88157.57758359668,0.011230000003706664,88838.20473554463,0.011790000018663704
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,6,hop,103928.70987363147,0.0005200000014156103,88234.54632103814,0.011239999992540106,88936.92653811084,0.011790000018663704
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,7,hop,104088.96637144985,0.0005300000193528831,88029.94266777963,0.011230000003706664,88748.53651210932,0.011790000018663704
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,8,hop,103676.35894643774,0.0005299999902490526,88293.14669468731,0.011230000003706664,88981.32990676055,0.011789999989559874
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,9,hop,105041.68020501429,0.0005299999902490526,88305.40330170147,0.011230000003706664,89055.01265889911,0.011789999989559874
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,10,hop,103329.08765872027,0.0005199999723117799,88114.10100788226,0.011229999974602833,88791.12824323827,0.011779999971622601
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,11,hop,103285.87448533335,0.0005200000014156103,88284.96962403231,0.011230000003706664,88955.94695906523,0.011780000000726432
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,12,hop,104402.86285523495,0.0005299999902490526,88214.42451096025,0.011230000003706664,88937.73069633661,0.011789999989559874
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,13,hop,103124.65817719907,0.0005300000193528831,88310.09709089655,0.011230000003706664,88972.67439715353,0.011790000018663704
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,14,hop,104520.83420619961,0.0005200000014156103,88230.97692053848,0.011229999974602833,88957.29547855386,0.011789999989559874
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,15,hop,104377.9333667162,0.0005200000014156103,88324.5048410946,0.011230000003706664,89043.10474014696,0.011780000000726432
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,16,hop,104896.82789079822,0.0005200000014156103,88193.22502408194,0.011220000014873222,88941.11722045002,0.011780000000726432
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,17,hop,105521.18604162216,0.0005200000014156103,88295.79181349756,0.011230000003706664,89066.34875779926,0.011789999989559874
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,18,hop,104622.68890239351,0.0005200000014156103,88247.79930273653,0.011239999992540106,88980.16316268439,0.011789999989559874
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,19,hop,104925.97102678384,0.0005200000014156103,88237.67525614466,0.011229999974602833,88984.10736363175,0.011789999989559874
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,20,hop,103282.52467892422,0.0005200000014156103,88233.64429486178,0.011230000003706664,88901.11823543796,0.011780000000726432
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,21,hop,103828.90100430878,0.0005200000014156103,88150.38116282843,0.011239999992540106,88847.82514272671,0.011789999989559874
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,22,hop,103680.01105367849,0.0005200000014156103,88141.38832660939,0.011230000003706664,88832.63885388819,0.011780000000726432
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,23,hop,102899.48447491626,0.0005200000014156103,88215.26987202832,0.011239999992540106,88869.96636546146,0.011789999989559874
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,24,hop,104508.72222781599,0.0005200000014156103,88353.99978454919,0.011239999992540106,89074.47117249838,0.011789999989559874
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,25,hop,103112.35517404096,0.0005200000014156103,88162.85417762007,0.011230000003706664,88824.21546608895,0.011780000000726432
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,26,hop,103736.46917997731,0.0005300000193528831,88523.81970829853,0.011230000003706664,89206.29148944684,0.011790000018663704
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,27,hop,103272.74690750192,0.0005199999723117799,88252.38432663666,0.011229999974602833,88920.468182031,0.011779999971622601
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,28,hop,103770.98252143791,0.0005200000014156103,88251.89937886797,0.011239999992540106,88944.5965040779,0.011789999989559874
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,29,hop,104522.82570059007,0.0005200000014156103,88357.93275224253,0.011230000003706664,89079.45422119704,0.011780000000726432
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,30,hop,104524.45985443407,0.0005200000014156103,88311.18170983835,0.011230000003706664,89034.95615109161,0.011780000000726432
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,31,hop,104204.89468890737,0.0005200000014156103,88316.72553804108,0.011240000021643937,89024.89538339736,0.011790000018663704
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,32,hop,103256.99256319742,0.0005200000014156103,88325.3503577399,0.011230000003706664,88990.60198429607,0.011780000000726432
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,33,hop,103733.54950271678,0.0005200000014156103,88387.45375240201,0.011230000003706664,89063.19551002017,0.011780000000726432
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,34,hop,103114.80222538536,0.0005200000014156103,87999.51198913825,0.011239999992540106,88675.68059129281,0.011790000018663704
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,35,hop,103197.20796858403,0.0005199999723117799,88257.77722990645,0.011230000003706664,88918.44708561017,0.011780000000726432
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,36,hop,104028.43724423306,0.0005200000014156103,88248.31775653291,0.011230000003706664,88952.50288473831,0.011780000000726432
