clip_name,role,frame_index,phase,feature_delta_t_s,feature_energy_mj,backbone_delta_t_s,backbone_energy_mj,total_delta_t_s,total_energy_mj
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,0,hop,0.0005300000193528,0.18048720697047377,0.0048099999839905,1.4510425105437985,0.0053699999989476,1.6402644549629917
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,1,hop,0.0005200000014156,0.17749059940554263,0.0048100000130943,1.4524794514641428,0.0053600000101141,1.6390517760800187
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,2,hop,0.0005200000014156,0.17801215034685988,0.0048099999839905,1.4523555517808973,0.0053599999810103,1.6394992432038156
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,3,hop,0.0005200000014156,0.18015655044317236,0.0048100000130943,1.4488581108028897,0.0053699999989476,1.6410908903110948
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,4,hop,0.0005300000193528,0.18198151072549468,0.0048100000130943,1.4513656669693138,0.0053700000280514,1.6422056590796326
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,5,hop,0.000529999990249,0.18106161560724354,0.0048100000130943,1.4501768752141413,0.0053699999989476,1.6399485509245535
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,6,hop,0.0005200000014156,0.176988477132455,0.0048100000130943,1.4531978027842134,0.0053600000101141,1.63926813780674
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,7,hop,0.0005200000014156,0.1788143662083099,0.0048099999839905,1.4505909286146044,0.0053599999810103,1.638636213252748
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,8,hop,0.0005199999723117,0.1773159574318309,0.0048099999839905,1.4491363069973484,0.0053599999810103,1.6356332513046732
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,9,hop,0.0005200000014156,0.17751333072795583,0.0048099999839905,1.4486664403160885,0.0053599999810103,1.6353609129476088
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,10,hop,0.0005200000014156,0.1781918565067581,0.0048100000130943,1.4507172093538148,0.0053600000101141,1.6379165906488522
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,11,hop,0.0005200000014156,0.17686829051684022,0.0048100000130943,1.4524304638366206,0.0053600000101141,1.6383068564783563
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,12,hop,0.000529999990249,0.18272207415520716,0.0048100000130943,1.453053981188363,0.0053699999989476,1.6444364249962176
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,13,hop,0.000529999990249,0.1820737456473758,0.0048099999839905,1.4493321714436016,0.0053699999989476,1.6401655150893706
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,14,hop,0.0005300000193528,0.18076261490639195,0.0048099999839905,1.4466867356061095,0.0053699999989476,1.636184087937466
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,15,hop,0.0005200000014156,0.17810854778665844,0.0048099999839905,1.4497560877919649,0.0053599999810103,1.637145484743471
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,16,hop,0.0005200000014156,0.17945704328250148,0.0048099999839905,1.4488813497344748,0.0053699999989476,1.640340204513468
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,17,hop,0.000529999990249,0.18046638063139392,0.0048099999839905,1.4488888515287317,0.0053699999989476,1.6380157504024473
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,18,hop,0.0005300000193528,0.17956887092257626,0.0048099999839905,1.4499038073077657,0.0053699999989476,1.6381579834248057
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,19,hop,0.0005200000014156,0.17686943084694923,0.0048100000130943,1.4524318372530725,0.0053600000101141,1.6385572631799588
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,20,hop,0.000529999990249,0.1812843567233525,0.0048099999839905,1.4503959032791813,0.0053699999989476,1.6404150181326316
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,21,hop,0.000529999990249,0.18108058886021747,0.0048100000130943,1.4487602323683264,0.0053699999989476,1.6386002598314389
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,22,hop,0.0005200000014156,0.17814135561097835,0.0048200000019278,1.4522752759755098,0.0053699999989476,1.6394987153485407
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,23,hop,0.0005199999723117,0.17753592301987897,0.0048099999839905,1.452530897432148,0.0053599999810103,1.6393224093859602
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,24,hop,0.0005300000193528,0.1810597895465931,0.0048099999839905,1.4515416672383938,0.0053699999989476,1.6412866543515363
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,25,hop,0.000529999990249,0.18101141234585447,0.0048100000130943,1.4501263850761923,0.0053699999989476,1.6400210767116186
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,26,hop,0.0005200000014156,0.18087386183955884,0.0048099999839905,1.4510393118820024,0.0053699999989476,1.6439644963958413
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,27,hop,0.0005200000014156,0.180652913690615,0.0048099999839905,1.4546097284845108,0.0053699999989476,1.6476118279917222
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,28,hop,0.0005200000014156,0.18122131145104195,0.0048200000019278,1.4558953400323844,0.0053699999989476,1.6463967548333804
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,29,hop,0.0005200000014156,0.17773057818296095,0.0048100000130943,1.4513876129700478,0.0053600000101141,1.638075942991955
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,30,hop,0.000529999990249,0.182502381091212,0.0048099999839905,1.453867677641707,0.0053699999989476,1.6449809080712088
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,31,hop,0.000529999990249,0.18275090516731152,0.0048100000130943,1.4501282963842053,0.0053699999989476,1.6415147528716305
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,32,hop,0.0005200000014156,0.17786923599477555,0.0048200000019278,1.4524504566740022,0.0053699999989476,1.6394760449872374
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,33,hop,0.0005200000014156,0.1782430208021296,0.0048099999839905,1.4460842749446994,0.0053699999989476,1.6365029467935355
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,34,hop,0.0005199999723117,0.1769408566041187,0.0048099999839905,1.450152833419731,0.0053599999810103,1.6361013178420876
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,35,hop,0.000529999990249,0.18190370719538929,0.0048100000130943,1.4541142490087278,0.0053699999989476,1.6447773195015511
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,36,hop,0.0005200000014156,0.17758746301802728,0.0048100000130943,1.4525046606736793,0.0053600000101141,1.639099519385023
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,37,hop,0.0005200000014156,0.17759213908866306,0.0048099999839905,1.4530261884794164,0.0053599999810103,1.639774557894165
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,38,hop,0.0005200000014156,0.18025272555445906,0.0048200000019278,1.4563620833584068,0.0053699999989476,1.6460687016175908
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,39,hop,0.000529999990249,0.1824758773565451,0.0048100000130943,1.452507956155976,0.0053699999989476,1.643693692821781
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,40,hop,0.0005200000014156,0.17896293917961445,0.0048100000130943,1.454931432624396,0.0053600000101141,1.6431249532718013
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,41,hop,0.0005300000193528,0.18183108381619387,0.0048099999839905,1.4540168100193327,0.0053699999989476,1.6446816249070049
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,42,hop,0.0005199999723117,0.17776509731093348,0.0048099999839905,1.455006908011467,0.0053599999810103,1.6419529778751847
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,43,hop,0.0005200000014156,0.17682305020052563,0.0048100000130943,1.453645562100114,0.0053600000101141,1.639649467439402
