clip_name,true_label,head,head_precision,score,decision,sumsq
1100011348_ToyCar_case1_normal_IND_ch1_1348,normal,knn16,fp32,1.5499508541681357,0,
1100011317_ToyCar_case1_normal_IND_ch1_1317,normal,knn16,fp32,1.5886304930883886,0,
1100010760_ToyCar_case1_normal_IND_ch1_0760,normal,knn16,fp32,1.4174826760366552,0,
1100010943_ToyCar_case1_normal_IND_ch1_0943,normal,knn16,fp32,1.5141658553017137,0,
1100010461_ToyCar_case1_normal_IND_ch1_0461,normal,knn16,fp32,1.6022383355072134,0,
1100010770_ToyCar_case1_normal_IND_ch1_0770,normal,knn16,fp32,1.433743287116477,0,
1100011088_ToyCar_case1_normal_IND_ch1_1088,normal,knn16,fp32,1.7036905732370409,0,
1100011058_ToyCar_case1_normal_IND_ch1_1058,normal,knn16,fp32,1.7224089496707475,0,
1100010437_ToyCar_case1_normal_IND_ch1_0437,normal,knn16,fp32,0.16941989410971128,0,
1100011297_ToyCar_case1_normal_IND_ch1_1297,normal,knn16,fp32,1.5733259464724891,0,
1100011334_ToyCar_case1_normal_IND_ch1_1334,normal,knn16,fp32,1.5964143760166027,0,
1100010360_ToyCar_case1_normal_IND_ch1_0360,normal,knn16,fp32,1.4229264581018177,0,
1100010705_ToyCar_case1_normal_IND_ch1_0705,normal,knn16,fp32,1.5774330117409254,0,
1100010897_ToyCar_case1_normal_IND_ch1_0897,normal,knn16,fp32,1.4373546353886262,0,
1100010022_ToyCar_case1_normal_IND_ch1_0022,normal,knn16,fp32,1.8610745440969994,0,
1100010088_ToyCar_case1_normal_IND_ch1_0088,normal,knn16,fp32,1.891509876922213,0,
1100010833_ToyCar_case1_normal_IND_ch1_0833,normal,knn16,fp32,1.460501816972164,0,
1100010926_ToyCar_case1_normal_IND_ch1_0926,normal,knn16,fp32,1.4573050245303898,0,
1100010355_ToyCar_case1_normal_IND_ch1_0355,normal,knn16,fp32,1.3981324417836534,0,
1100010365_ToyCar_case1_normal_IND_ch1_0365,normal,knn16,fp32,1.3440197324734515,0,
