clip_name,true_label,head,head_precision,score,decision,sumsq
1100011348_ToyCar_case1_normal_IND_ch1_1348,normal,knn16,fp32,1.5499508442662504,0,
1100011317_ToyCar_case1_normal_IND_ch1_1317,normal,knn16,fp32,1.5886304818325199,0,
1100010760_ToyCar_case1_normal_IND_ch1_0760,normal,knn16,fp32,1.4174826690289315,0,
1100010943_ToyCar_case1_normal_IND_ch1_0943,normal,knn16,fp32,1.5141658429730305,0,
1100010461_ToyCar_case1_normal_IND_ch1_0461,normal,knn16,fp32,1.6022383357555054,0,
1100010770_ToyCar_case1_normal_IND_ch1_0770,normal,knn16,fp32,1.4337432818830351,0,
1100011088_ToyCar_case1_normal_IND_ch1_1088,normal,knn16,fp32,1.703690563463806,0,
1100011058_ToyCar_case1_normal_IND_ch1_1058,normal,knn16,fp32,1.7224089434243928,0,
1100010437_ToyCar_case1_normal_IND_ch1_0437,normal,knn16,fp32,0.16941987060578836,0,
1100011297_ToyCar_case1_normal_IND_ch1_1297,normal,knn16,fp32,1.573325934105322,0,
1100011334_ToyCar_case1_normal_IND_ch1_1334,normal,knn16,fp32,1.5964143653976153,0,
1100010360_ToyCar_case1_normal_IND_ch1_0360,normal,knn16,fp32,1.422926453351449,0,
1100010705_ToyCar_case1_normal_IND_ch1_0705,normal,knn16,fp32,1.5774330024385008,0,
1100010897_ToyCar_case1_normal_IND_ch1_0897,normal,knn16,fp32,1.4373546262838564,0,
1100010022_ToyCar_case1_normal_IND_ch1_0022,normal,knn16,fp32,1.8610745321304818,0,
1100010088_ToyCar_case1_normal_IND_ch1_0088,normal,knn16,fp32,1.8915098843549918,0,
1100010833_ToyCar_case1_normal_IND_ch1_0833,normal,knn16,fp32,1.4605018099765439,0,
1100010926_ToyCar_case1_normal_IND_ch1_0926,normal,knn16,fp32,1.4573050179737213,0,
1100010355_ToyCar_case1_normal_IND_ch1_0355,normal,knn16,fp32,1.3981324380995874,0,
1100010365_ToyCar_case1_normal_IND_ch1_0365,normal,knn16,fp32,1.3440197258425934,0,
1100011191_ToyCar_case1_normal_IND_ch1_1191,normal,knn16,fp32,1.612565157326934,0,
1100010285_ToyCar_case1_normal_IND_ch1_0285,normal,knn16,fp32,1.4210310418209013,0,
1100011164_ToyCar_case1_normal_IND_ch1_1164,normal,knn16,fp32,1.5976795347563384,0,
1100010152_ToyCar_case1_normal_IND_ch1_0152,normal,knn16,fp32,1.2750060657863767,0,
1100010596_ToyCar_case1_normal_IND_ch1_0596,normal,knn16,fp32,1.5472003784427824,0,
1100011063_ToyCar_case1_normal_IND_ch1_1063,normal,knn16,fp32,1.8257645912855496,0,
1100010919_ToyCar_case1_normal_IND_ch1_0919,normal,knn16,fp32,1.4679534707933894,0,
1100010181_ToyCar_case1_normal_IND_ch1_0181,normal,knn16,fp32,1.2552195322722466,0,
1100010448_ToyCar_case1_normal_IND_ch1_0448,normal,knn16,fp32,1.3310309123295059,0,
1100011137_ToyCar_case1_normal_IND_ch1_1137,normal,knn16,fp32,1.6288109010635985,0,
1100010304_ToyCar_case1_normal_IND_ch1_0304,normal,knn16,fp32,1.421113053266746,0,
1100011081_ToyCar_case1_normal_IND_ch1_1081,normal,knn16,fp32,1.6950644573150904,0,
1100010946_ToyCar_case1_normal_IND_ch1_0946,normal,knn16,fp32,1.5420737987465754,0,
1100011034_ToyCar_case1_normal_IND_ch1_1034,normal,knn16,fp32,1.5595457511793538,0,
1100010091_ToyCar_case1_normal_IND_ch1_0091,normal,knn16,fp32,1.9546149995272724,0,
1100010032_ToyCar_case1_normal_IND_ch1_0032,normal,knn16,fp32,1.8172169884005043,0,
1100010745_ToyCar_case1_normal_IND_ch1_0745,normal,knn16,fp32,1.5154653135256715,0,
1100010242_ToyCar_case1_normal_IND_ch1_0242,normal,knn16,fp32,1.3420685274255961,0,
1100010809_ToyCar_case1_normal_IND_ch1_0809,normal,knn16,fp32,1.4059699142519795,0,
1100011230_ToyCar_case1_normal_IND_ch1_1230,normal,knn16,fp32,1.6362085156684374,0,
1100011035_ToyCar_case1_normal_IND_ch1_1035,normal,knn16,fp32,1.638827608542106,0,
1100010749_ToyCar_case1_normal_IND_ch1_0749,normal,knn16,fp32,1.5562567334450241,0,
1100011042_ToyCar_case1_normal_IND_ch1_1042,normal,knn16,fp32,1.5644910590912837,0,
1100010156_ToyCar_case1_normal_IND_ch1_0156,normal,knn16,fp32,1.2553743596331786,0,
1100010521_ToyCar_case1_normal_IND_ch1_0521,normal,knn16,fp32,1.5672410702116208,0,
1100010936_ToyCar_case1_normal_IND_ch1_0936,normal,knn16,fp32,1.5085869264152714,0,
1100010191_ToyCar_case1_normal_IND_ch1_0191,normal,knn16,fp32,1.3133729000033896,0,
1100010869_ToyCar_case1_normal_IND_ch1_0869,normal,knn16,fp32,1.4834769279672089,0,
1100010676_ToyCar_case1_normal_IND_ch1_0676,normal,knn16,fp32,1.5609079573231601,0,
1100010751_ToyCar_case1_normal_IND_ch1_0751,normal,knn16,fp32,1.3643048874448016,0,
1100011156_ToyCar_case1_normal_IND_ch1_1156,normal,knn16,fp32,1.6389479993869247,0,
1100010387_ToyCar_case1_normal_IND_ch1_0387,normal,knn16,fp32,1.4126016304406186,0,
1100010402_ToyCar_case1_normal_IND_ch1_0402,normal,knn16,fp32,1.4505108901687598,0,
1100010476_ToyCar_case1_normal_IND_ch1_0476,normal,knn16,fp32,1.5812051782477567,0,
1100010527_ToyCar_case1_normal_IND_ch1_0527,normal,knn16,fp32,1.583793125758153,0,
1100011069_ToyCar_case1_normal_IND_ch1_1069,normal,knn16,fp32,1.7789683729442414,0,
1100010100_ToyCar_case1_normal_IND_ch1_0100,normal,knn16,fp32,1.9903946975125695,0,
1100010295_ToyCar_case1_normal_IND_ch1_0295,normal,knn16,fp32,1.371828274609138,0,
1100010786_ToyCar_case1_normal_IND_ch1_0786,normal,knn16,fp32,1.427609530243007,0,
1100010668_ToyCar_case1_normal_IND_ch1_0668,normal,knn16,fp32,1.5989221458223586,0,
1100011098_ToyCar_case1_normal_IND_ch1_1098,normal,knn16,fp32,1.7064511140856156,0,
1100010007_ToyCar_case1_normal_IND_ch1_0007,normal,knn16,fp32,1.7327815929510313,0,
1100010819_ToyCar_case1_normal_IND_ch1_0819,normal,knn16,fp32,1.4694723109685393,0,
1100011153_ToyCar_case1_normal_IND_ch1_1153,normal,knn16,fp32,1.665825976598894,0,
1100010815_ToyCar_case1_normal_IND_ch1_0815,normal,knn16,fp32,1.4214686097442373,0,
1100010998_ToyCar_case1_normal_IND_ch1_0998,normal,knn16,fp32,1.5519279679689306,0,
1100011166_ToyCar_case1_normal_IND_ch1_1166,normal,knn16,fp32,1.6241396701066502,0,
1100010346_ToyCar_case1_normal_IND_ch1_0346,normal,knn16,fp32,1.401763689252387,0,
1100010269_ToyCar_case1_normal_IND_ch1_0269,normal,knn16,fp32,1.4446925360588287,0,
1100011310_ToyCar_case1_normal_IND_ch1_1310,normal,knn16,fp32,1.641633744184818,0,
1100010734_ToyCar_case1_normal_IND_ch1_0734,normal,knn16,fp32,1.6411188421012157,0,
1100010618_ToyCar_case1_normal_IND_ch1_0618,normal,knn16,fp32,1.6103215303828478,0,
1100011176_ToyCar_case1_normal_IND_ch1_1176,normal,knn16,fp32,1.619324906597826,0,
1100010408_ToyCar_case1_normal_IND_ch1_0408,normal,knn16,fp32,1.4073090599736409,0,
1100010337_ToyCar_case1_normal_IND_ch1_0337,normal,knn16,fp32,1.4606383340343843,0,
1100010939_ToyCar_case1_normal_IND_ch1_0939,normal,knn16,fp32,1.5162096653120372,0,
1100011177_ToyCar_case1_normal_IND_ch1_1177,normal,knn16,fp32,1.6306437663041884,0,
1100011281_ToyCar_case1_normal_IND_ch1_1281,normal,knn16,fp32,1.6700607637020852,0,
1100011291_ToyCar_case1_normal_IND_ch1_1291,normal,knn16,fp32,1.5474157139076965,0,
1100011248_ToyCar_case1_normal_IND_ch1_1248,normal,knn16,fp32,1.5854487030191176,0,
1100010045_ToyCar_case1_normal_IND_ch1_0045,normal,knn16,fp32,1.9500352110072663,0,
1100010062_ToyCar_case1_normal_IND_ch1_0062,normal,knn16,fp32,1.804927477125603,0,
1100010957_ToyCar_case1_normal_IND_ch1_0957,normal,knn16,fp32,1.5360634679675773,0,
1100010700_ToyCar_case1_normal_IND_ch1_0700,normal,knn16,fp32,1.5962194080838976,0,
1100010354_ToyCar_case1_normal_IND_ch1_0354,normal,knn16,fp32,1.3955806018379007,0,
1100010689_ToyCar_case1_normal_IND_ch1_0689,normal,knn16,fp32,1.51762261609404,0,
1100011101_ToyCar_case1_normal_IND_ch1_1101,normal,knn16,fp32,1.6730482883305045,0,
1100010278_ToyCar_case1_normal_IND_ch1_0278,normal,knn16,fp32,1.4048459577670647,0,
1100010389_ToyCar_case1_normal_IND_ch1_0389,normal,knn16,fp32,1.4226183117642528,0,
1100010626_ToyCar_case1_normal_IND_ch1_0626,normal,knn16,fp32,1.6182550786104264,0,
1100010377_ToyCar_case1_normal_IND_ch1_0377,normal,knn16,fp32,1.3811678829293803,0,
1100011163_ToyCar_case1_normal_IND_ch1_1163,normal,knn16,fp32,1.676977621099115,0,
1100010773_ToyCar_case1_normal_IND_ch1_0773,normal,knn16,fp32,1.4532760378193483,0,
1100010904_ToyCar_case1_normal_IND_ch1_0904,normal,knn16,fp32,1.4638622212274914,0,
1100011186_ToyCar_case1_normal_IND_ch1_1186,normal,knn16,fp32,1.611973067630329,0,
1100010844_ToyCar_case1_normal_IND_ch1_0844,normal,knn16,fp32,1.5361304310036772,0,
1100010542_ToyCar_case1_normal_IND_ch1_0542,normal,knn16,fp32,1.5621446954880784,0,
1100011253_ToyCar_case1_normal_IND_ch1_1253,normal,knn16,fp32,1.6529047290246357,0,
1100011032_ToyCar_case1_normal_IND_ch1_1032,normal,knn16,fp32,1.4781863266468507,0,
1100011158_ToyCar_case1_normal_IND_ch1_1158,normal,knn16,fp32,1.6777964595263826,0,
1100010902_ToyCar_case1_normal_IND_ch1_0902,normal,knn16,fp32,1.4675410627763057,0,
1100010986_ToyCar_case1_normal_IND_ch1_0986,normal,knn16,fp32,1.5554036782354317,0,
1100010573_ToyCar_case1_normal_IND_ch1_0573,normal,knn16,fp32,1.5542923350973026,0,
1100010106_ToyCar_case1_normal_IND_ch1_0106,normal,knn16,fp32,1.890068310893488,0,
1100010458_ToyCar_case1_normal_IND_ch1_0458,normal,knn16,fp32,1.5936904242901888,0,
1100010244_ToyCar_case1_normal_IND_ch1_0244,normal,knn16,fp32,1.3681098835573848,0,
1100010619_ToyCar_case1_normal_IND_ch1_0619,normal,knn16,fp32,1.5672797430003458,0,
1100010025_ToyCar_case1_normal_IND_ch1_0025,normal,knn16,fp32,1.8341429499409194,0,
1100011168_ToyCar_case1_normal_IND_ch1_1168,normal,knn16,fp32,1.619745963065658,0,
1100010494_ToyCar_case1_normal_IND_ch1_0494,normal,knn16,fp32,1.535271445961448,0,
1100011121_ToyCar_case1_normal_IND_ch1_1121,normal,knn16,fp32,1.631619212437113,0,
1100011287_ToyCar_case1_normal_IND_ch1_1287,normal,knn16,fp32,1.6110795657946315,0,
1100010192_ToyCar_case1_normal_IND_ch1_0192,normal,knn16,fp32,1.274908826697073,0,
1100011114_ToyCar_case1_normal_IND_ch1_1114,normal,knn16,fp32,1.6728182081965275,0,
1100011178_ToyCar_case1_normal_IND_ch1_1178,normal,knn16,fp32,1.607884684797177,0,
1100011086_ToyCar_case1_normal_IND_ch1_1086,normal,knn16,fp32,1.6692100837171482,0,
1100010489_ToyCar_case1_normal_IND_ch1_0489,normal,knn16,fp32,1.5870328919890668,0,
