clip_name,role,frame_index,phase,feature_current_ua,feature_delta_t_s,backbone_current_ua,backbone_delta_t_s,total_current_ua,total_delta_t_s
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,0,hop,104975.60379174215,0.0005200000014156103,97920.03699187054,0.005080000002635643,98523.6037767014,0.005639999988488853
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,1,hop,104496.92161634125,0.0005200000014156103,97905.03351157431,0.005080000002635643,98463.29562584528,0.005639999988488853
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,2,hop,103274.7927343731,0.0005200000014156103,98098.59274218038,0.005080000002635643,98536.10623907103,0.005629999999655411
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,3,hop,104887.79614613076,0.0005200000014156103,97804.21542769186,0.005080000002635643,98421.83720395292,0.0056400000175926834
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,4,hop,104485.21868029282,0.0005299999902490526,98103.61315344741,0.005079999973531812,98653.44081210197,0.005639999988488853
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,5,hop,103115.22016754498,0.0005200000014156103,97888.68626346857,0.005080000002635643,98338.64655664201,0.005629999999655411
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,6,hop,103809.92223624309,0.0005200000014156103,98372.51459238779,0.005089999991469085,98838.51977814767,0.005639999988488853
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,7,hop,104974.62789679949,0.0005200000014156103,98331.39717533119,0.005080000002635643,98894.0168017166,0.0056400000175926834
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,8,hop,105653.92460289641,0.0005200000014156103,98211.30344798647,0.005080000002635643,98849.82075224246,0.0056400000175926834
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,9,hop,104342.04732458683,0.0005299999902490526,98255.73120510523,0.005080000002635643,98791.64544295016,0.005639999988488853
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,10,hop,103591.06916741957,0.0005300000193528831,98079.68074130578,0.005080000002635643,98546.53364915113,0.0056400000175926834
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,11,hop,103968.35591068634,0.0005200000014156103,98259.92498319053,0.005090000020572916,98747.53378222273,0.0056400000175926834
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,12,hop,103983.99950031852,0.0005200000014156103,98356.61196385721,0.005080000002635643,98850.45826965992,0.005629999999655411
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,13,hop,103910.15740656859,0.0005200000014156103,97768.49157182893,0.005080000002635643,98310.2782180058,0.005629999999655411
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,14,hop,104156.8124893612,0.0005199999723117799,98220.26329941284,0.005089999991469085,98738.442523026,0.005639999988488853
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,15,hop,105481.75733449028,0.0005200000014156103,98443.76113723456,0.005079999973531812,99044.65857339196,0.005639999988488853
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,16,hop,104553.89705785525,0.0005299999902490526,98138.64309369009,0.005080000002635643,98691.44449473402,0.005639999988488853
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,17,hop,105757.39046611552,0.0005200000014156103,98360.86658661607,0.005080000002635643,98994.07999204716,0.005639999988488853
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,18,hop,104815.12429042766,0.0005200000014156103,98424.61661901129,0.005080000002635643,98968.60593240656,0.0056400000175926834
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,19,hop,103313.94559967968,0.0005200000014156103,98149.34874193171,0.005080000002635643,98586.86556602543,0.005629999999655411
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,20,hop,103506.38627195991,0.0005299999902490526,98369.55294746475,0.005080000002635643,98794.3429955107,0.005639999988488853
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,21,hop,104215.58984337002,0.0005200000014156103,98060.30862560411,0.005079999973531812,98588.47045041966,0.005629999999655411
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,22,hop,103911.80618838816,0.0005200000014156103,98273.40960048362,0.005080000002635643,98762.0421530554,0.005629999999655411
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,23,hop,103934.95720922337,0.0005299999902490526,98282.24633823766,0.005080000002635643,98769.28587022588,0.005639999988488853
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,24,hop,103961.44688508677,0.0005299999902490526,97950.92354120468,0.005080000002635643,98461.37761086159,0.005639999988488853
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,25,hop,105454.87526558805,0.0005200000014156103,98122.97817224087,0.005089999991469085,98773.00649183877,0.005639999988488853
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,26,hop,104372.41408426507,0.0005299999902490526,98132.99507660384,0.005080000002635643,98666.65286646504,0.005639999988488853
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,27,hop,103706.37278459204,0.0005200000014156103,98060.50199789778,0.005080000002635643,98534.9169064745,0.005629999999655411
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,28,hop,104135.64161466839,0.0005200000014156103,98472.05127550404,0.005080000002635643,98939.24554697507,0.005629999999655411
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,29,hop,103673.8401376921,0.0005200000014156103,98213.04230277213,0.005080000002635643,98676.22434769402,0.005629999999655411
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,30,hop,103811.19904954064,0.0005200000014156103,98344.41944375243,0.005079999973531812,98812.78642518388,0.005629999999655411
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,31,hop,104175.2876371246,0.0005200000014156103,98362.43773799659,0.005080000002635643,98866.71228655484,0.005629999999655411
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,32,hop,105901.48453046453,0.0005200000014156103,98532.36980232729,0.005080000002635643,99168.48088084295,0.005639999988488853
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,33,hop,104259.35470040758,0.0005200000014156103,98163.94601206678,0.005079999973531812,98696.6958430099,0.005629999999655411
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,34,hop,103897.90959698308,0.0005200000014156103,98441.88325698949,0.005089999991469085,98913.24628138647,0.005639999988488853
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,35,hop,103316.98612889067,0.0005200000014156103,98059.22774999474,0.005080000002635643,98501.8051342145,0.005629999999655411
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,36,hop,104110.00919282333,0.0005200000014156103,98430.13415258075,0.005080000002635643,98911.06925387474,0.005629999999655411
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,37,hop,104854.92390536815,0.0005300000193528831,98119.33942835784,0.005080000002635643,98707.67238980725,0.0056400000175926834
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,38,hop,104191.74621396797,0.0005200000014156103,98217.13007775547,0.005079999973531812,98718.92789416638,0.005639999988488853
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,39,hop,104245.90530711332,0.0005200000014156103,98082.61255918078,0.005080000002635643,98626.06759979785,0.005629999999655411
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,40,hop,103839.86991088591,0.0005200000014156103,98157.7176641921,0.005080000002635643,98655.01748068645,0.005629999999655411
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,41,hop,103837.57485092178,0.0005300000193528831,98132.98181434478,0.005080000002635643,98612.37601169248,0.0056400000175926834
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,42,hop,103825.91480757853,0.0005200000014156103,98199.87265214916,0.005080000002635643,98690.42183406856,0.005629999999655411
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,43,hop,103774.93835857717,0.0005200000014156103,98189.1511747596,0.005080000002635643,98657.33727764996,0.005629999999655411
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,44,hop,104931.35440027795,0.0005299999902490526,98378.8068046576,0.005080000002635643,98941.90515189897,0.005639999988488853
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,45,hop,105524.08864992052,0.0005200000014156103,98494.2322123231,0.005080000002635643,99095.3440856829,0.0056400000175926834
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,46,hop,105987.79176372298,0.0005200000014156103,98356.69089568949,0.005080000002635643,99019.52129806462,0.0056400000175926834
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,47,hop,103832.33859317012,0.0005200000014156103,98203.79999657914,0.005080000002635643,98678.51461403744,0.005629999999655411
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,48,hop,103676.85768008436,0.0005200000014156103,98393.05561963069,0.005080000002635643,98846.94354414116,0.005629999999655411
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,49,hop,105899.6626952811,0.0005300000193528831,98495.33897072842,0.005080000002635643,99133.86257820344,0.0056400000175926834
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,50,hop,104085.00786363924,0.0005200000014156103,98388.75756543438,0.005090000020572916,98887.88088670735,0.0056400000175926834
