clip_name,role,frame_index,phase,feature_current_ua,feature_delta_t_s,backbone_current_ua,backbone_delta_t_s,total_current_ua,total_delta_t_s
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,0,hop,103086.18360681,0.0005200000014156103,98143.22093053717,0.005079999973531812,98553.61212399327,0.005629999999655411
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,1,hop,104595.10051124156,0.0005200000014156103,98487.78674843286,0.005080000002635643,98990.56244289778,0.0056400000175926834
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,2,hop,102997.02600802317,0.0005200000014156103,98171.13715866352,0.005080000002635643,98571.89719401086,0.005629999999655411
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,3,hop,102841.08334688174,0.0005300000193528831,98260.30219691539,0.005080000002635643,98632.08465760213,0.0056400000175926834
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,4,hop,103419.57013415305,0.0005200000014156103,98325.03192671761,0.005080000002635643,98757.79668809907,0.005629999999655411
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,5,hop,103574.5578754905,0.0005200000014156103,98484.92423655692,0.005080000002635643,98913.70790433095,0.005629999999655411
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,6,hop,104755.76190203681,0.0005299999902490526,98427.58608458948,0.005080000002635643,98978.65995680136,0.005639999988488853
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,7,hop,103287.46893467219,0.0005200000014156103,98195.44711737409,0.005080000002635643,98630.00193168504,0.005630000028759241
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,8,hop,103294.66980704045,0.0005300000193528831,98436.36228654801,0.005080000002635643,98837.27533179054,0.0056400000175926834
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,9,hop,104345.1822062118,0.0005299999902490526,98566.57213332754,0.005080000002635643,99047.95763795411,0.005639999988488853
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,10,hop,104713.81513364827,0.0005299999902490526,98431.55834957436,0.005080000002635643,98972.97507844966,0.005639999988488853
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,11,hop,103593.58261719375,0.0005200000014156103,98492.20928850424,0.005080000002635643,98927.37171642744,0.005629999999655411
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,12,hop,102967.50045496148,0.0005200000014156103,98427.73368069858,0.005079999973531812,98810.05184846504,0.005629999999655411
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,13,hop,103962.17473530058,0.0005299999902490526,98470.35605782887,0.005080000002635643,98931.96268383722,0.005639999988488853
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,14,hop,103517.77410558292,0.0005200000014156103,98485.392265958,0.005080000002635643,98898.21743732531,0.005629999999655411
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,15,hop,103153.85060515201,0.0005200000014156103,98695.7770416263,0.005080000002635643,99062.42792395514,0.005629999999655411
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,16,hop,103462.02892194194,0.0005200000014156103,98520.77985938101,0.005080000002635643,98945.0221662807,0.005630000028759241
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,17,hop,103153.21951249104,0.0005200000014156103,98622.83304611151,0.005080000002635643,98989.88520736442,0.005629999999655411
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,18,hop,104399.90019732251,0.0005299999902490526,98753.17851018548,0.005080000002635643,99234.48585683577,0.005639999988488853
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,19,hop,103953.64851149166,0.0005200000014156103,98637.16400152793,0.005080000002635643,99098.10384458404,0.005629999999655411
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,20,hop,103751.11562628309,0.0005200000014156103,98505.92440300873,0.005080000002635643,98955.63718041981,0.005630000028759241
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,21,hop,103238.0819584791,0.0005300000193528831,98455.54081604864,0.005080000002635643,98851.89598596323,0.0056400000175926834
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,22,hop,104243.43479690982,0.0005299999902490526,98402.29963708292,0.005080000002635643,98903.73962918088,0.005639999988488853
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,23,hop,103298.59039013757,0.0005200000014156103,98668.88350629529,0.005080000002635643,99043.55204852523,0.005629999999655411
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,24,hop,103140.5212256181,0.0005299999902490526,98419.6700057988,0.005080000002635643,98810.42388461652,0.0056400000175926834
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,25,hop,104643.18693762584,0.0005299999902490526,98702.4779124519,0.005080000002635643,99211.68950491343,0.005639999988488853
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,26,hop,104712.9191602865,0.0005299999902490526,98569.6919758111,0.005080000002635643,99094.6458555048,0.005639999988488853
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,27,hop,104641.75584058574,0.0005300000193528831,98932.28721113599,0.005080000002635643,99419.86538554094,0.0056400000175926834
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,28,hop,103803.24143082203,0.0005199999723117799,98560.66828298551,0.005080000002635643,98999.15686645712,0.005629999999655411
