clip_name,true_label,head,head_precision,score,decision,sumsq
1100011348_ToyCar_case1_normal_IND_ch1_1348,normal,euclidean,int8,1.2477865932173708,0,1352
1100011317_ToyCar_case1_normal_IND_ch1_1317,normal,euclidean,int8,1.3024268557185348,0,1473
1100010760_ToyCar_case1_normal_IND_ch1_0760,normal,euclidean,int8,1.2107825998544615,0,1273
1100010943_ToyCar_case1_normal_IND_ch1_0943,normal,euclidean,int8,1.2136326216866145,0,1279
1100010461_ToyCar_case1_normal_IND_ch1_0461,normal,euclidean,int8,1.3552902467119945,0,1595
1100010770_ToyCar_case1_normal_IND_ch1_0770,normal,euclidean,int8,1.2615544236262632,0,1382
1100011088_ToyCar_case1_normal_IND_ch1_1088,normal,euclidean,int8,1.413519189860271,0,1735
1100011058_ToyCar_case1_normal_IND_ch1_1058,normal,euclidean,int8,1.530855419588358,0,2035
1100010437_ToyCar_case1_normal_IND_ch1_0437,normal,euclidean,int8,10.939549776421076,1,103919
1100011297_ToyCar_case1_normal_IND_ch1_1297,normal,euclidean,int8,1.4600078089268669,0,1851
1100011334_ToyCar_case1_normal_IND_ch1_1334,normal,euclidean,int8,1.3441986071568475,0,1569
1100010360_ToyCar_case1_normal_IND_ch1_0360,normal,euclidean,int8,1.1657165784531793,0,1180
1100010705_ToyCar_case1_normal_IND_ch1_0705,normal,euclidean,int8,1.2792310971034002,0,1421
1100010897_ToyCar_case1_normal_IND_ch1_0897,normal,euclidean,int8,1.2361962752389666,0,1327
1100010022_ToyCar_case1_normal_IND_ch1_0022,normal,euclidean,int8,1.6018046958684005,0,2228
1100010088_ToyCar_case1_normal_IND_ch1_0088,normal,euclidean,int8,1.6271270120655243,0,2299
1100010833_ToyCar_case1_normal_IND_ch1_0833,normal,euclidean,int8,1.0763436664208592,0,1006
1100010926_ToyCar_case1_normal_IND_ch1_0926,normal,euclidean,int8,1.144782812196014,0,1138
1100010355_ToyCar_case1_normal_IND_ch1_0355,normal,euclidean,int8,1.1676906976970907,0,1184
1100010365_ToyCar_case1_normal_IND_ch1_0365,normal,euclidean,int8,1.1978735912892253,0,1246
1100011191_ToyCar_case1_normal_IND_ch1_1191,normal,euclidean,int8,1.2610979175777988,0,1381
1100010285_ToyCar_case1_normal_IND_ch1_0285,normal,euclidean,int8,1.1457883308898202,0,1140
1100011164_ToyCar_case1_normal_IND_ch1_1164,normal,euclidean,int8,1.2665651307146637,0,1393
1100010152_ToyCar_case1_normal_IND_ch1_0152,normal,euclidean,int8,1.1789777371446717,0,1207
1100010596_ToyCar_case1_normal_IND_ch1_0596,normal,euclidean,int8,1.2688361835169726,0,1398
1100011063_ToyCar_case1_normal_IND_ch1_1063,normal,euclidean,int8,1.5680175129367393,0,2135
1100010919_ToyCar_case1_normal_IND_ch1_0919,normal,euclidean,int8,1.1706456345965308,0,1190
1100010181_ToyCar_case1_normal_IND_ch1_0181,normal,euclidean,int8,1.077947357898379,0,1009
1100010448_ToyCar_case1_normal_IND_ch1_0448,normal,euclidean,int8,1.047057286608489,0,952
1100011137_ToyCar_case1_normal_IND_ch1_1137,normal,euclidean,int8,1.3429129075731645,0,1566
1100010304_ToyCar_case1_normal_IND_ch1_0304,normal,euclidean,int8,1.1356930827316973,0,1120
1100011081_ToyCar_case1_normal_IND_ch1_1081,normal,euclidean,int8,1.4389536758961343,0,1798
1100010946_ToyCar_case1_normal_IND_ch1_0946,normal,euclidean,int8,1.273818247307353,0,1409
1100011034_ToyCar_case1_normal_IND_ch1_1034,normal,euclidean,int8,1.3930025834529534,0,1685
1100010091_ToyCar_case1_normal_IND_ch1_0091,normal,euclidean,int8,1.7459384924635406,0,2647
1100010032_ToyCar_case1_normal_IND_ch1_0032,normal,euclidean,int8,1.5176337186111157,0,2000
1100010745_ToyCar_case1_normal_IND_ch1_0745,normal,euclidean,int8,1.270196866142298,0,1401
1100010242_ToyCar_case1_normal_IND_ch1_0242,normal,euclidean,int8,1.1760437357390985,0,1201
1100010809_ToyCar_case1_normal_IND_ch1_0809,normal,euclidean,int8,1.174083661483901,0,1197
1100011230_ToyCar_case1_normal_IND_ch1_1230,normal,euclidean,int8,1.3913481855016994,0,1681
1100011035_ToyCar_case1_normal_IND_ch1_1035,normal,euclidean,int8,1.313432855457479,0,1498
1100010749_ToyCar_case1_normal_IND_ch1_0749,normal,euclidean,int8,1.3905202483944654,0,1679
1100011042_ToyCar_case1_normal_IND_ch1_1042,normal,euclidean,int8,1.2249664018528468,0,1303
1100010156_ToyCar_case1_normal_IND_ch1_0156,normal,euclidean,int8,1.2487091712311869,0,1354
1100010521_ToyCar_case1_normal_IND_ch1_0521,normal,euclidean,int8,1.2436265226126444,0,1343
1100010936_ToyCar_case1_normal_IND_ch1_0936,normal,euclidean,int8,1.1983541825187072,0,1247
1100010191_ToyCar_case1_normal_IND_ch1_0191,normal,euclidean,int8,1.130611656425538,0,1110
1100010869_ToyCar_case1_normal_IND_ch1_0869,normal,euclidean,int8,1.2482479674587679,0,1353
1100010676_ToyCar_case1_normal_IND_ch1_0676,normal,euclidean,int8,1.2533118745293228,0,1364
1100010751_ToyCar_case1_normal_IND_ch1_0751,normal,euclidean,int8,1.1978735912892253,0,1246
1100011156_ToyCar_case1_normal_IND_ch1_1156,normal,euclidean,int8,1.404528806027387,0,1713
1100010387_ToyCar_case1_normal_IND_ch1_0387,normal,euclidean,int8,1.1229464042715076,0,1095
1100010402_ToyCar_case1_normal_IND_ch1_0402,normal,euclidean,int8,1.1983541825187072,0,1247
1100010476_ToyCar_case1_normal_IND_ch1_0476,normal,euclidean,int8,1.3116781013600312,0,1494
1100010527_ToyCar_case1_normal_IND_ch1_0527,normal,euclidean,int8,1.3356038987827772,0,1549
1100011069_ToyCar_case1_normal_IND_ch1_1069,normal,euclidean,int8,1.4996955089032462,0,1953
1100010100_ToyCar_case1_normal_IND_ch1_0100,normal,euclidean,int8,1.6755940900504294,0,2438
1100010295_ToyCar_case1_normal_IND_ch1_0295,normal,euclidean,int8,1.1229464042715076,0,1095
1100010786_ToyCar_case1_normal_IND_ch1_0786,normal,euclidean,int8,1.1750641073010906,0,1199
1100010668_ToyCar_case1_normal_IND_ch1_0668,normal,euclidean,int8,1.2814797033336236,0,1426
1100011098_ToyCar_case1_normal_IND_ch1_1098,normal,euclidean,int8,1.4588241785669829,0,1848
1100010007_ToyCar_case1_normal_IND_ch1_0007,normal,euclidean,int8,1.56654795543213,0,2131
1100010819_ToyCar_case1_normal_IND_ch1_0819,normal,euclidean,int8,1.2084024469731371,0,1268
1100011153_ToyCar_case1_normal_IND_ch1_1153,normal,euclidean,int8,1.3734375533914036,0,1638
1100010815_ToyCar_case1_normal_IND_ch1_0815,normal,euclidean,int8,1.145285681893975,0,1139
1100010998_ToyCar_case1_normal_IND_ch1_0998,normal,euclidean,int8,1.308161531758213,0,1486
1100011166_ToyCar_case1_normal_IND_ch1_1166,normal,euclidean,int8,1.359955631410054,0,1606
1100010346_ToyCar_case1_normal_IND_ch1_0346,normal,euclidean,int8,1.2183678430347922,0,1289
1100010269_ToyCar_case1_normal_IND_ch1_0269,normal,euclidean,int8,1.0891070808192749,0,1030
1100011310_ToyCar_case1_normal_IND_ch1_1310,normal,euclidean,int8,1.3094813520351456,0,1489
1100010734_ToyCar_case1_normal_IND_ch1_0734,normal,euclidean,int8,1.325216672547312,0,1525
1100010618_ToyCar_case1_normal_IND_ch1_0618,normal,euclidean,int8,1.256981902515572,0,1372
1100011176_ToyCar_case1_normal_IND_ch1_1176,normal,euclidean,int8,1.3334465659275931,0,1544
1100010408_ToyCar_case1_normal_IND_ch1_0408,normal,euclidean,int8,1.2399169646916508,0,1335
1100010337_ToyCar_case1_normal_IND_ch1_0337,normal,euclidean,int8,1.16324421813346,0,1175
1100010939_ToyCar_case1_normal_IND_ch1_0939,normal,euclidean,int8,1.2273144323798908,0,1308
1100011177_ToyCar_case1_normal_IND_ch1_1177,normal,euclidean,int8,1.376787406058476,0,1646
1100011281_ToyCar_case1_normal_IND_ch1_1281,normal,euclidean,int8,1.3608021647204211,0,1608
1100011291_ToyCar_case1_normal_IND_ch1_1291,normal,euclidean,int8,1.3467663241238268,0,1575
1100011248_ToyCar_case1_normal_IND_ch1_1248,normal,euclidean,int8,1.367976547456366,0,1625
1100010045_ToyCar_case1_normal_IND_ch1_0045,normal,euclidean,int8,1.6057540130036476,0,2239
1100010062_ToyCar_case1_normal_IND_ch1_0062,normal,euclidean,int8,1.597845617428292,0,2217
1100010957_ToyCar_case1_normal_IND_ch1_0957,normal,euclidean,int8,1.3506087465514944,0,1584
1100010700_ToyCar_case1_normal_IND_ch1_0700,normal,euclidean,int8,1.3103604936931126,0,1491
1100010354_ToyCar_case1_normal_IND_ch1_0354,normal,euclidean,int8,1.1789777371446717,0,1207
1100010689_ToyCar_case1_normal_IND_ch1_0689,normal,euclidean,int8,1.2765275412167072,0,1415
1100011101_ToyCar_case1_normal_IND_ch1_1101,normal,euclidean,int8,1.3641830448745673,0,1616
1100010278_ToyCar_case1_normal_IND_ch1_0278,normal,euclidean,int8,1.1828784185613634,0,1215
1100010389_ToyCar_case1_normal_IND_ch1_0389,normal,euclidean,int8,1.2347981263181838,0,1324
1100010626_ToyCar_case1_normal_IND_ch1_0626,normal,euclidean,int8,1.287307697767382,0,1439
1100010377_ToyCar_case1_normal_IND_ch1_0377,normal,euclidean,int8,1.1819044551038662,0,1213
1100011163_ToyCar_case1_normal_IND_ch1_1163,normal,euclidean,int8,1.357412863904097,0,1600
1100010773_ToyCar_case1_normal_IND_ch1_0773,normal,euclidean,int8,1.2319970683598644,0,1318
1100010904_ToyCar_case1_normal_IND_ch1_0904,normal,euclidean,int8,1.2041063156479461,0,1259
1100011186_ToyCar_case1_normal_IND_ch1_1186,normal,euclidean,int8,1.273818247307353,0,1409
1100010844_ToyCar_case1_normal_IND_ch1_0844,normal,euclidean,int8,1.226845185781825,0,1307
1100010542_ToyCar_case1_normal_IND_ch1_0542,normal,euclidean,int8,1.3107998434099657,0,1492
1100011253_ToyCar_case1_normal_IND_ch1_1253,normal,euclidean,int8,1.4200219001600505,0,1751
1100011032_ToyCar_case1_normal_IND_ch1_1032,normal,euclidean,int8,1.279681134442601,0,1422
1100011158_ToyCar_case1_normal_IND_ch1_1158,normal,euclidean,int8,1.3662918466355967,0,1621
1100010902_ToyCar_case1_normal_IND_ch1_0902,normal,euclidean,int8,1.2007542533839894,0,1252
1100010986_ToyCar_case1_normal_IND_ch1_0986,normal,euclidean,int8,1.3107998434099657,0,1492
1100010573_ToyCar_case1_normal_IND_ch1_0573,normal,euclidean,int8,1.246863332570634,0,1350
1100010106_ToyCar_case1_normal_IND_ch1_0106,normal,euclidean,int8,1.537610882056262,0,2053
1100010458_ToyCar_case1_normal_IND_ch1_0458,normal,euclidean,int8,1.3510350078045097,0,1585
1100010244_ToyCar_case1_normal_IND_ch1_0244,normal,euclidean,int8,1.0822122503536713,0,1017
1100010619_ToyCar_case1_normal_IND_ch1_0619,normal,euclidean,int8,1.3286881039630147,0,1533
1100010025_ToyCar_case1_normal_IND_ch1_0025,normal,euclidean,int8,1.6359500190077931,0,2324
1100011168_ToyCar_case1_normal_IND_ch1_1168,normal,euclidean,int8,1.3182463853037665,0,1509
1100010494_ToyCar_case1_normal_IND_ch1_0494,normal,euclidean,int8,1.2855172828567598,0,1435
