clip_name,role,frame_index,phase,feature_delta_t_s,feature_power_mw,backbone_delta_t_s,backbone_power_mw,total_delta_t_s,total_power_mw
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,0,hop,0.0005200000014156,347.1601699608445,0.0049799999978858,315.4476982836611,0.0055400000128429,318.31759767208075
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,1,hop,0.0005200000014156,340.5684884454678,0.0049900000158231,314.57252866587226,0.0055400000128429,316.9305487048256
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,2,hop,0.0005200000014156,340.9397926159042,0.0049899999867193,315.1988657525105,0.0055400000128429,317.55641885500046
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,3,hop,0.0005200000014156,342.13679562922397,0.0049899999867193,316.3919528350535,0.0055399999837391,318.7434056173534
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,4,hop,0.0005200000014156,342.6185400668283,0.0049899999867193,316.3465694022282,0.0055399999837391,318.7387568316286
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,5,hop,0.0005200000014156,344.7269598666042,0.0049899999867193,316.2716065745834,0.0055500000016763,318.8610196587263
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,6,hop,0.000529999990249,341.5274817531296,0.0049899999867193,316.0784964820222,0.0055500000016763,318.40528710175374
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,7,hop,0.0005300000193528,342.45463859856864,0.0049899999867193,315.80428217901806,0.0055500000016763,318.2383706228281
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,8,hop,0.000529999990249,340.4967451668332,0.0049899999867193,315.2378512530566,0.0055499999725725,317.533187937188
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,9,hop,0.0005200000014156,340.9400615616838,0.0050000000046566,315.83093755777435,0.0055500000016763,318.09034336284503
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,10,hop,0.0005200000014156,341.38178819830256,0.0050000000046566,316.3720799626833,0.0055500000016763,318.65944289767026
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,11,hop,0.0005200000014156,341.09811907212503,0.0049900000158231,316.43139035135215,0.0055400000128429,318.6769367813629
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,12,hop,0.0005200000014156,342.56623351252426,0.0049899999867193,316.480386322089,0.0055399999837391,318.8633911577139
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,13,hop,0.0005200000014156,341.03347549218324,0.0049899999867193,315.1542095691951,0.0055400000128429,317.51610866417974
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,14,hop,0.0005200000014156,342.0915161454204,0.0049900000158231,315.8738251243667,0.0055400000128429,318.27701044445206
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,15,hop,0.000529999990249,344.7089477757535,0.0049900000158231,316.8874244038247,0.0055500000016763,319.4364207718028
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,16,hop,0.000529999990249,342.04407467989097,0.0049900000158231,315.76993685156054,0.0055500000016763,318.17273421644
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,17,hop,0.0005200000014156,341.80153713748837,0.0049999999755527,315.82101667583237,0.0055500000016763,318.19335890743815
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,18,hop,0.0005200000014156,341.1297374895291,0.0049900000158231,315.8047334761448,0.0055400000128429,318.1110516362419
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,19,hop,0.000529999990249,343.912082616256,0.0049900000158231,315.90795414539895,0.0055500000016763,318.4305967842892
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,20,hop,0.0005200000014156,339.36460317860605,0.0049899999867193,315.68994435553645,0.0055400000128429,317.83751311306304
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,21,hop,0.0005200000014156,340.9361652959011,0.0049900000158231,315.51161641481195,0.0055400000128429,317.8288291651974
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,22,hop,0.0005200000014156,346.8715839541303,0.0049900000158231,315.3623820777324,0.0055500000016763,318.21313782809506
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,23,hop,0.000529999990249,343.44244530182027,0.0049899999867193,315.67997484702755,0.0055499999725725,318.2209480871767
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,24,hop,0.0005200000014156,341.59720711267244,0.0049900000158231,315.5264905507765,0.0055400000128429,317.86845453138557
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,25,hop,0.000529999990249,344.6596714489012,0.0049900000158231,315.73897553894716,0.0055500000016763,318.3902248323175
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,26,hop,0.000529999990249,344.15269967682474,0.0049899999867193,315.0988372249591,0.0055499999725725,317.7439001412155
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,27,hop,0.000529999990249,343.6255992583435,0.0049900000158231,315.2769632317783,0.0055500000016763,317.86271840868
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,28,hop,0.0005300000193528,341.1901050107205,0.0049899999867193,315.14275394212274,0.0055500000016763,317.47373810040546
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,29,hop,0.0005300000193528,344.47304656948535,0.0049899999867193,316.00821119601767,0.0055500000016763,318.6144621958476
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,30,hop,0.0005200000014156,341.38845667443013,0.0050000000046566,315.89987524454745,0.0055500000016763,318.21229270838387
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,31,hop,0.0005300000193528,344.0957575495097,0.0049899999867193,315.56547245819246,0.0055500000016763,318.1803874693366
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,32,hop,0.0005300000193528,340.9171399840744,0.0049899999867193,315.84848490932893,0.0055500000016763,318.09557367627565
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,33,hop,0.0005200000014156,343.08634070016205,0.0049900000158231,315.90695381801,0.0055400000128429,318.33747767479105
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,34,hop,0.0005200000014156,348.8400966355716,0.0049899999867193,316.4100780400525,0.0055500000016763,319.34849204905345
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,35,hop,0.0005200000014156,345.62922560050487,0.0049900000158231,316.1911749980747,0.0055500000016763,318.84193595887166
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,36,hop,0.000529999990249,344.6132097495797,0.0049899999867193,316.1061765483294,0.0055500000016763,318.7069912689399
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,37,hop,0.0005300000193528,341.8092357248785,0.0049899999867193,315.8885073871898,0.0055500000016763,318.2390962110818
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,38,hop,0.0005200000014156,342.6206433607463,0.0049899999867193,315.684995173269,0.0055399999837391,318.1789153655062
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,39,hop,0.0005300000193528,343.9137132057631,0.0049899999867193,316.1413899759923,0.0055500000016763,318.64066933348937
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,40,hop,0.0005200000014156,343.80835050455255,0.0049900000158231,316.12179302494957,0.0055400000128429,318.67046654335394
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,41,hop,0.000529999990249,342.22752633740305,0.0049900000158231,315.7151394081227,0.0055500000016763,318.1008589095652
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,42,hop,0.0005199999723117,341.7738908423689,0.0049899999867193,315.40603505915476,0.0055399999837391,317.8123739374554
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,43,hop,0.0005200000014156,347.50311754346126,0.0049899999867193,315.7040653714552,0.0055500000016763,318.5839422294771
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,44,hop,0.000529999990249,341.62340922538715,0.0049899999867193,315.6097916059149,0.0055500000016763,317.9706993591489
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,45,hop,0.0005200000014156,341.0034500613205,0.0049900000158231,315.44019282522703,0.0055400000128429,317.78873322480536
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,46,hop,0.0005200000014156,343.57108491761664,0.0049900000158231,316.0264650350704,0.0055400000128429,318.5622900341399
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,47,hop,0.000529999990249,345.1241598894161,0.0049899999867193,315.98146031814605,0.0055500000016763,318.6481513656493
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,48,hop,0.0005200000014156,347.84121030995226,0.0049899999867193,315.57406436066344,0.0055500000016763,318.5167028093247
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,49,hop,0.0005200000014156,343.61772981845564,0.0049900000158231,315.58927193909096,0.0055400000128429,318.1728807484593
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,50,hop,0.0005200000014156,343.85951231528134,0.0049900000158231,316.3689380987649,0.0055400000128429,318.91576346704545
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,51,hop,0.0005200000014156,348.4493663045865,0.0049899999867193,316.0961617663826,0.0055500000016763,318.993993694897
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,52,hop,0.0005200000014156,341.8023163906448,0.0049900000158231,315.82272573533425,0.0055400000128429,318.21722351229187
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,53,hop,0.0005200000014156,347.7880348538986,0.0050000000046566,315.98749858694623,0.0055500000016763,318.9444630397783
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,54,hop,0.0005200000014156,342.24674627715194,0.0049899999867193,315.2905237194187,0.0055500000016763,317.7062961546469
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,55,hop,0.0005200000014156,348.25992484229283,0.0049900000158231,316.7963830230429,0.0055500000016763,319.6325998753876
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,56,hop,0.0005200000014156,349.02339372120616,0.0049899999867193,315.2461822942903,0.0055500000016763,318.32368709412714
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,57,hop,0.0005200000014156,341.5703538628009,0.0049900000158231,316.2600453094893,0.0055400000128429,318.5938327776835
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,58,hop,0.0005300000193528,343.8663042760226,0.0049899999867193,315.4441366497234,0.0055500000016763,318.0314918294667
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,59,hop,0.0005200000014156,342.2930049994353,0.0049900000158231,316.65331234616724,0.0055400000128429,318.98449649638707
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,60,hop,0.0005200000014156,342.3176308265673,0.0049899999867193,315.727731906544,0.0055399999837391,318.13965766016463
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,61,hop,0.0005200000014156,342.7842660281891,0.0049899999867193,315.94142203051314,0.0055399999837391,318.35803797115807
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,62,hop,0.0005200000014156,343.52304011951423,0.0049899999867193,315.94235983744034,0.0055399999837391,318.4865961223132
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,63,hop,0.0005200000014156,347.7865039317679,0.0049799999978858,315.7315526591205,0.0055400000128429,318.6494615640732
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,64,hop,0.0005200000014156,347.6480311909252,0.0049899999867193,316.3647434737952,0.0055399999837391,319.2182937898531
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,65,hop,0.0005200000014156,342.37909532947214,0.0049900000158231,315.1975319826585,0.0055400000128429,317.67688273695234
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,66,hop,0.0005200000014156,349.3178413667087,0.0049899999867193,315.82752041301217,0.0055500000016763,318.8828790773761
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,67,hop,0.0005200000014156,344.6293945166337,0.0049899999867193,315.70303126864434,0.0055400000128429,318.37926302188606
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,68,hop,0.0005200000014156,346.2620694385063,0.0050000000046566,315.84893829814774,0.0055500000016763,318.672192071872
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,69,hop,0.0005200000014156,349.0807826611418,0.0049900000158231,316.6772785482973,0.0055400000128429,319.6253408879677
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,70,hop,0.0005200000014156,341.28158166285465,0.0049899999867193,315.24137755584826,0.0055399999837391,317.62234073748
