clip_name,role,frame_index,phase,feature_current_ua,feature_delta_t_s,backbone_current_ua,backbone_delta_t_s,total_current_ua,total_delta_t_s
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,0,hop,100283.85258254313,0.0005499999970197678,93793.53674247018,0.00498999998671934,94400.4037970189,0.005570000008447096
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,1,hop,102911.00829607793,0.0005300000193528831,93956.66594929798,0.004979999997885898,94772.80989463488,0.005540000012842938
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,2,hop,102610.65394115694,0.0005299999902490526,94253.71785063946,0.004979999997885898,95023.30308743076,0.005539999983739108
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,3,hop,102526.45286203599,0.0005300000193528831,94024.50328404625,0.004979999997885898,94801.07418987507,0.005540000012842938
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,4,hop,103550.44483110955,0.0005300000193528831,94312.60035424413,0.004979999997885898,95155.29329235708,0.005540000012842938
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,5,hop,102757.3547387173,0.0005199999723117799,94275.13752515335,0.004979999997885898,95037.6160811067,0.005539999983739108
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,6,hop,101879.83414567591,0.0005200000014156103,94407.44401420033,0.004979999997885898,95084.7419151061,0.0055299999949056655
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,7,hop,102426.00738198962,0.0005299999902490526,94304.94557651356,0.004979999997885898,95046.2679007826,0.005539999983739108
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,8,hop,102029.46385392871,0.0005200000014156103,94165.47790030006,0.00498999998671934,94887.74321479394,0.005539999983739108
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,9,hop,102668.27445923002,0.0005200000014156103,94516.80427935821,0.004979999997885898,95251.92733535831,0.005540000012842938
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,10,hop,102261.89426072098,0.0005200000014156103,94543.52259435694,0.0049900000158231705,95246.00999312931,0.005540000012842938
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,11,hop,102405.02496839213,0.0005200000014156103,94492.30301904914,0.0049900000158231705,95220.11377297643,0.005540000012842938
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,12,hop,103262.44670838011,0.0005200000014156103,94548.19364745554,0.004979999997885898,95342.6915034964,0.005539999983739108
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,13,hop,102823.51923499558,0.0005200000014156103,94576.44005383644,0.0049900000158231705,95331.09160596783,0.005540000012842938
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,14,hop,103479.9482066331,0.0005200000014156103,94688.70522152806,0.004979999997885898,95486.68253003148,0.005539999983739108
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,15,hop,103322.05750654789,0.0005299999902490526,94665.38565428556,0.004979999997885898,95454.6382997891,0.005540000012842938
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,16,hop,102477.49412214782,0.0005200000014156103,94282.67132892646,0.0049900000158231705,95040.79247580672,0.005540000012842938
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,17,hop,103664.481646795,0.0005300000193528831,94773.90409329598,0.004979999997885898,95580.8861248432,0.005540000012842938
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,18,hop,103581.88649125892,0.0005200000014156103,94540.4507158205,0.004979999997885898,95354.87650633052,0.005539999983739108
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,19,hop,103235.54985984805,0.0005300000193528831,94481.60552488333,0.004979999997885898,95292.00905556648,0.005540000012842938
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,20,hop,102328.42027696727,0.0005200000014156103,94578.9639584897,0.00498999998671934,95292.32308690672,0.005539999983739108
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,21,hop,102329.02211367709,0.0005200000014156103,94555.29609579222,0.0049900000158231705,95271.06082341932,0.005540000012842938
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,22,hop,103885.91882182572,0.0005200000014156103,94572.3460960578,0.004979999997885898,95424.26562695076,0.005539999983739108
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,23,hop,103118.75177879352,0.0005200000014156103,94820.91351934479,0.004979999997885898,95579.77083652157,0.005539999983739108
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,24,hop,102478.26522543226,0.0005200000014156103,94410.88435346542,0.0049900000158231705,95146.86821898917,0.005540000012842938
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,25,hop,104659.53795323039,0.0005299999902490526,94763.65182717209,0.004979999997885898,95661.43852168464,0.005539999983739108
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,26,hop,102523.46362407728,0.0005200000014156103,94510.2344980749,0.0049900000158231705,95243.28963957477,0.005540000012842938
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,27,hop,103689.31469456623,0.0005300000193528831,94593.02148104625,0.004979999997885898,95427.4355488282,0.005540000012842938
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,28,hop,102703.76615121847,0.0005200000014156103,94554.84074822812,0.00498999998671934,95290.8965146611,0.005539999983739108
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,29,hop,102611.79578709892,0.0005200000014156103,94773.72181736739,0.0049900000158231705,95483.48769896456,0.005540000012842938
