clip_name,true_label,head,head_precision,score,decision,sumsq
1100011348_ToyCar_case1_normal_IND_ch1_1348,normal,knn16,fp32,1.2166370489077016,0,
1100011317_ToyCar_case1_normal_IND_ch1_1317,normal,knn16,fp32,1.2035443879517478,0,
1100010760_ToyCar_case1_normal_IND_ch1_0760,normal,knn16,fp32,1.114421878222042,0,
1100010943_ToyCar_case1_normal_IND_ch1_0943,normal,knn16,fp32,1.1858512652286037,0,
1100010461_ToyCar_case1_normal_IND_ch1_0461,normal,knn16,fp32,1.2387911498701074,0,
1100010770_ToyCar_case1_normal_IND_ch1_0770,normal,knn16,fp32,1.137995615177024,0,
1100011088_ToyCar_case1_normal_IND_ch1_1088,normal,knn16,fp32,1.2800721389741805,0,
1100011058_ToyCar_case1_normal_IND_ch1_1058,normal,knn16,fp32,1.4098953106427725,0,
1100010437_ToyCar_case1_normal_IND_ch1_0437,normal,knn16,fp32,2.2190690566235727,1,
1100011297_ToyCar_case1_normal_IND_ch1_1297,normal,knn16,fp32,1.378310300044672,0,
1100011334_ToyCar_case1_normal_IND_ch1_1334,normal,knn16,fp32,1.195702240886249,0,
1100010360_ToyCar_case1_normal_IND_ch1_0360,normal,knn16,fp32,1.1626347721625643,0,
1100010705_ToyCar_case1_normal_IND_ch1_0705,normal,knn16,fp32,1.1252388185260531,0,
1100010897_ToyCar_case1_normal_IND_ch1_0897,normal,knn16,fp32,1.1837055998438877,0,
1100010022_ToyCar_case1_normal_IND_ch1_0022,normal,knn16,fp32,1.408458085734427,0,
1100010088_ToyCar_case1_normal_IND_ch1_0088,normal,knn16,fp32,1.1286949400693345,0,
1100010833_ToyCar_case1_normal_IND_ch1_0833,normal,knn16,fp32,1.2385085591713625,0,
1100010926_ToyCar_case1_normal_IND_ch1_0926,normal,knn16,fp32,1.1312443838447046,0,
1100010355_ToyCar_case1_normal_IND_ch1_0355,normal,knn16,fp32,1.1247238228698482,0,
1100010365_ToyCar_case1_normal_IND_ch1_0365,normal,knn16,fp32,1.1263390656486916,0,
1100011191_ToyCar_case1_normal_IND_ch1_1191,normal,knn16,fp32,1.2384682796292747,0,
1100010285_ToyCar_case1_normal_IND_ch1_0285,normal,knn16,fp32,1.0875849461902336,0,
1100011164_ToyCar_case1_normal_IND_ch1_1164,normal,knn16,fp32,1.26843462420679,0,
1100010152_ToyCar_case1_normal_IND_ch1_0152,normal,knn16,fp32,1.1561198086638396,0,
1100010596_ToyCar_case1_normal_IND_ch1_0596,normal,knn16,fp32,1.2664811446931652,0,
1100011063_ToyCar_case1_normal_IND_ch1_1063,normal,knn16,fp32,1.3580391674621193,0,
1100010919_ToyCar_case1_normal_IND_ch1_0919,normal,knn16,fp32,1.1259006935118259,0,
1100010181_ToyCar_case1_normal_IND_ch1_0181,normal,knn16,fp32,1.0903710805145599,0,
1100010448_ToyCar_case1_normal_IND_ch1_0448,normal,knn16,fp32,1.0316280328317977,0,
1100011137_ToyCar_case1_normal_IND_ch1_1137,normal,knn16,fp32,1.338654669476618,0,
1100010304_ToyCar_case1_normal_IND_ch1_0304,normal,knn16,fp32,1.210782543574852,0,
1100011081_ToyCar_case1_normal_IND_ch1_1081,normal,knn16,fp32,1.2649764153468794,0,
1100010946_ToyCar_case1_normal_IND_ch1_0946,normal,knn16,fp32,1.2572355306582514,0,
1100011034_ToyCar_case1_normal_IND_ch1_1034,normal,knn16,fp32,1.2765552456767262,0,
1100010091_ToyCar_case1_normal_IND_ch1_0091,normal,knn16,fp32,1.110106202069305,0,
1100010032_ToyCar_case1_normal_IND_ch1_0032,normal,knn16,fp32,1.170341840922465,0,
