clip_name,role,frame_index,phase,feature_delta_t_s,feature_power_mw,backbone_delta_t_s,backbone_power_mw,total_delta_t_s,total_power_mw
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,0,hop,0.0005200000014156,340.13623697554914,0.0050000000046566,315.35374120095696,0.0055500000016763,317.5985316530338
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,1,hop,0.0005200000014156,340.79485138425747,0.0049999999755527,315.28450444647683,0.0055500000016763,317.5889574973071
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,2,hop,0.0005200000014156,341.83750695968706,0.0050000000046566,316.5599699779022,0.0055500000016763,318.8222965992679
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,3,hop,0.0005200000014156,341.56129935488445,0.0050000000046566,315.28472892655435,0.0055500000016763,317.6609439361317
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,4,hop,0.0005200000014156,339.79948204191095,0.0050000000046566,314.8287154765757,0.0055500000016763,317.09399467531216
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,5,hop,0.0005200000014156,341.6532099474357,0.0049999999755527,315.8896933059019,0.0055500000016763,318.19668059424237
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,6,hop,0.0005200000014156,341.28021624581925,0.0050000000046566,315.2363738596396,0.0055500000016763,317.5955640377905
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,7,hop,0.000529999990249,341.4347139709127,0.0049900000158231,316.70854743283763,0.0055500000016763,318.9182759317322
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,8,hop,0.0005200000014156,340.0402784042111,0.0049999999755527,315.98486004453997,0.0055500000016763,318.1447250613099
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,9,hop,0.0005300000193528,342.4293880947024,0.0049899999867193,317.12560748277997,0.0055500000016763,319.41502461831584
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,10,hop,0.000529999990249,347.1088193464214,0.0049900000158231,315.85980759059163,0.0055500000016763,318.7238006360058
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,11,hop,0.0005200000014156,341.8131638704259,0.0050000000046566,315.57192601605124,0.0055500000016763,317.9969278186182
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,12,hop,0.0005300000193528,344.8165058843708,0.0049899999867193,316.01774881030184,0.0055500000016763,318.6201389754253
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,13,hop,0.0005200000014156,343.2894018525813,0.0050000000046566,315.42928348390103,0.0055500000016763,317.9709674972836
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,14,hop,0.0005300000193528,345.08559403223074,0.0050000000046566,315.8650255739369,0.0055600000196136,318.56172606316744
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,15,hop,0.000529999990249,344.0545597449454,0.0050000000046566,315.85967175493874,0.0055599999905098,318.4407764452128
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,16,hop,0.0005200000014156,347.02862774586316,0.0049899999867193,316.743336152536,0.0055500000016763,319.487286948667
