clip_name,role,frame_index,phase,feature_current_ua,feature_delta_t_s,backbone_current_ua,backbone_delta_t_s,total_current_ua,total_delta_t_s
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,0,hop,104609.58640109167,0.0005200000014156103,95193.70622055193,0.0049900000158231705,96042.427534247,0.005550000001676381
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,1,hop,103824.40394667158,0.0005200000014156103,95598.12473535076,0.005000000004656613,96356.13752583541,0.005550000001676381
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,2,hop,102753.31950716644,0.0005200000014156103,95513.95755241335,0.005000000004656613,96163.70676084161,0.005550000001676381
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,3,hop,103379.7771109346,0.0005299999902490526,95318.52450844244,0.005000000004656613,96047.3620768846,0.005559999990509823
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,4,hop,104217.3469763757,0.0005300000193528831,95553.79308596313,0.00498999998671934,96332.06517745685,0.005550000001676381
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,5,hop,104529.59093263319,0.0005299999902490526,95613.22939751095,0.004999999975552782,96431.43349414616,0.005559999990509823
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,6,hop,103360.80531840901,0.0005200000014156103,95697.0888412774,0.005000000004656613,96399.1401128263,0.005550000001676381
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,7,hop,103752.016291637,0.0005200000014156103,95697.32029764539,0.005000000004656613,96433.29442548612,0.005550000001676381
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,8,hop,104669.5674285201,0.0005200000014156103,95546.38143113328,0.00498999998671934,96367.83713096533,0.005550000001676381
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,9,hop,103621.84389522266,0.0005200000014156103,95567.78501307663,0.005000000004656613,96294.92189034584,0.005550000001676381
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,10,hop,103913.28570363311,0.0005200000014156103,95664.74185679802,0.005000000004656613,96421.75360688708,0.005550000001676381
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,11,hop,103461.8680142105,0.0005200000014156103,95521.17378276754,0.005000000004656613,96247.40236112241,0.005550000001676381
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,12,hop,102879.34591735766,0.0005200000014156103,95456.85427478436,0.004999999975552782,96124.05791151345,0.005550000001676381
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,13,hop,105143.86957008847,0.0005200000014156103,95354.67585626023,0.005000000004656613,96238.32960366974,0.005560000019613653
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,14,hop,102826.8648619831,0.0005200000014156103,95291.7933352461,0.005000000004656613,95963.67864259442,0.005550000001676381
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,15,hop,102750.14314675353,0.0005200000014156103,95456.72083421165,0.005000000004656613,96117.24255576517,0.005550000001676381
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,16,hop,103549.87209263687,0.0005200000014156103,95731.70953292932,0.005000000004656613,96441.26026064495,0.005550000001676381
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,17,hop,103406.89417317948,0.0005299999902490526,95565.239859312,0.005000000004656613,96265.05437108384,0.005559999990509823
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,18,hop,103072.59838231384,0.0005200000014156103,95526.05697336193,0.005000000004656613,96201.79416183273,0.005550000001676381
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,19,hop,104246.96743329955,0.0005300000193528831,95763.21849170739,0.005000000004656613,96525.87106344079,0.005560000019613653
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,20,hop,105087.31357865788,0.0005200000014156103,95585.27394522198,0.00498999998671934,96444.65119755735,0.005550000001676381
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,21,hop,104201.2973522681,0.0005300000193528831,95438.85086307487,0.005000000004656613,96237.92543255397,0.005560000019613653
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,22,hop,103082.72931486098,0.0005200000014156103,95455.63744302731,0.005000000004656613,96136.61313221249,0.005550000001676381
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,23,hop,103267.69831483834,0.0005299999902490526,95567.28192740005,0.0049900000158231705,96250.81522681982,0.005550000001676381
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,24,hop,103835.94282621707,0.0005300000193528831,95330.73265766879,0.00498999998671934,96103.19969921805,0.005550000001676381
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,25,hop,103327.23826466409,0.0005200000014156103,95504.58127843634,0.005000000004656613,96211.72243019396,0.005550000001676381
