clip_name,true_label,head,head_precision,score,decision,sumsq
1100011348_ToyCar_case1_normal_IND_ch1_1348,normal,euclidean,int8,1.4524951935000365,0,1832
1100011317_ToyCar_case1_normal_IND_ch1_1317,normal,euclidean,int8,1.4795955882348613,0,1901
1100010760_ToyCar_case1_normal_IND_ch1_0760,normal,euclidean,int8,1.5065906970240306,0,1971
1100010943_ToyCar_case1_normal_IND_ch1_0943,normal,euclidean,int8,1.2948893433857633,0,1456
1100010461_ToyCar_case1_normal_IND_ch1_0461,normal,euclidean,int8,1.680740802560263,0,2453
1100010770_ToyCar_case1_normal_IND_ch1_0770,normal,euclidean,int8,1.4869712908159278,0,1920
1100011088_ToyCar_case1_normal_IND_ch1_1088,normal,euclidean,int8,1.5409775076506569,0,2062
1100011058_ToyCar_case1_normal_IND_ch1_1058,normal,euclidean,int8,1.728370937823657,0,2594
1100010437_ToyCar_case1_normal_IND_ch1_0437,normal,euclidean,int8,10.936391221407472,1,103859
1100011297_ToyCar_case1_normal_IND_ch1_1297,normal,euclidean,int8,1.6845050643919646,0,2464
1100011334_ToyCar_case1_normal_IND_ch1_1334,normal,euclidean,int8,1.408622457395893,0,1723
1100010360_ToyCar_case1_normal_IND_ch1_0360,normal,euclidean,int8,1.289542220708892,0,1444
1100010705_ToyCar_case1_normal_IND_ch1_0705,normal,euclidean,int8,1.269743467282184,0,1400
1100010897_ToyCar_case1_normal_IND_ch1_0897,normal,euclidean,int8,1.3688181203120104,0,1627
1100010022_ToyCar_case1_normal_IND_ch1_0022,normal,euclidean,int8,1.7577710423531951,0,2683
1100010088_ToyCar_case1_normal_IND_ch1_0088,normal,euclidean,int8,1.7287040535514921,0,2595
1100010833_ToyCar_case1_normal_IND_ch1_0833,normal,euclidean,int8,1.3364658568581615,0,1551
1100010926_ToyCar_case1_normal_IND_ch1_0926,normal,euclidean,int8,1.2036280211640715,0,1258
1100010355_ToyCar_case1_normal_IND_ch1_0355,normal,euclidean,int8,1.3557150360177435,0,1596
1100010365_ToyCar_case1_normal_IND_ch1_0365,normal,euclidean,int8,1.3072809113071793,0,1484
1100011191_ToyCar_case1_normal_IND_ch1_1191,normal,euclidean,int8,1.3738567316564336,0,1639
1100010285_ToyCar_case1_normal_IND_ch1_0285,normal,euclidean,int8,1.3991891538621906,0,1700
1100011164_ToyCar_case1_normal_IND_ch1_1164,normal,euclidean,int8,1.4337422371890536,0,1785
1100010152_ToyCar_case1_normal_IND_ch1_0152,normal,euclidean,int8,1.313432855457479,0,1498
1100010596_ToyCar_case1_normal_IND_ch1_0596,normal,euclidean,int8,1.4151476687296516,0,1739
1100011063_ToyCar_case1_normal_IND_ch1_1063,normal,euclidean,int8,1.8627369740447066,0,3013
1100010919_ToyCar_case1_normal_IND_ch1_0919,normal,euclidean,int8,1.264745352288168,0,1389
1100010181_ToyCar_case1_normal_IND_ch1_0181,normal,euclidean,int8,1.3006572531951446,0,1469
1100010448_ToyCar_case1_normal_IND_ch1_0448,normal,euclidean,int8,1.1681837062466893,0,1185
1100011137_ToyCar_case1_normal_IND_ch1_1137,normal,euclidean,int8,1.519150594270737,0,2004
1100010304_ToyCar_case1_normal_IND_ch1_0304,normal,euclidean,int8,1.417993006567556,0,1746
1100011081_ToyCar_case1_normal_IND_ch1_1081,normal,euclidean,int8,1.5255804898319818,0,2021
1100010946_ToyCar_case1_normal_IND_ch1_0946,normal,euclidean,int8,1.4517021302722002,0,1830
1100011034_ToyCar_case1_normal_IND_ch1_1034,normal,euclidean,int8,1.550662257371179,0,2088
1100010091_ToyCar_case1_normal_IND_ch1_0091,normal,euclidean,int8,1.929544600650222,0,3233
1100010032_ToyCar_case1_normal_IND_ch1_0032,normal,euclidean,int8,1.5218014885117777,0,2011
1100010745_ToyCar_case1_normal_IND_ch1_0745,normal,euclidean,int8,1.3855422363002197,0,1667
1100010242_ToyCar_case1_normal_IND_ch1_0242,normal,euclidean,int8,1.2207285657347893,0,1294
1100010809_ToyCar_case1_normal_IND_ch1_0809,normal,euclidean,int8,1.2926640636121784,0,1451
1100011230_ToyCar_case1_normal_IND_ch1_1230,normal,euclidean,int8,1.5731501535464996,0,2149
1100011035_ToyCar_case1_normal_IND_ch1_1035,normal,euclidean,int8,1.367976547456366,0,1625
1100010749_ToyCar_case1_normal_IND_ch1_0749,normal,euclidean,int8,1.4252835070993017,0,1764
1100011042_ToyCar_case1_normal_IND_ch1_1042,normal,euclidean,int8,1.3217361237334433,0,1517
1100010156_ToyCar_case1_normal_IND_ch1_0156,normal,euclidean,int8,1.40984823496568,0,1726
1100010521_ToyCar_case1_normal_IND_ch1_0521,normal,euclidean,int8,1.402477499534682,0,1708
1100010936_ToyCar_case1_normal_IND_ch1_0936,normal,euclidean,int8,1.2837243708505717,0,1431
1100010191_ToyCar_case1_normal_IND_ch1_0191,normal,euclidean,int8,1.3830465112425603,0,1661
1100010869_ToyCar_case1_normal_IND_ch1_0869,normal,euclidean,int8,1.3888628935165899,0,1675
1100010676_ToyCar_case1_normal_IND_ch1_0676,normal,euclidean,int8,1.4061676966736394,0,1717
1100010751_ToyCar_case1_normal_IND_ch1_0751,normal,euclidean,int8,1.3489023545289216,0,1580
1100011156_ToyCar_case1_normal_IND_ch1_1156,normal,euclidean,int8,1.6079040974476417,0,2245
1100010387_ToyCar_case1_normal_IND_ch1_0387,normal,euclidean,int8,1.4049387079202604,0,1714
1100010402_ToyCar_case1_normal_IND_ch1_0402,normal,euclidean,int8,1.315185268318847,0,1502
1100010476_ToyCar_case1_normal_IND_ch1_0476,normal,euclidean,int8,1.5924310114902336,0,2202
1100010527_ToyCar_case1_normal_IND_ch1_0527,normal,euclidean,int8,1.4970054699502728,0,1946
1100011069_ToyCar_case1_normal_IND_ch1_1069,normal,euclidean,int8,1.598205938916112,0,2218
1100010100_ToyCar_case1_normal_IND_ch1_0100,normal,euclidean,int8,1.7669193549196165,0,2711
1100010295_ToyCar_case1_normal_IND_ch1_0295,normal,euclidean,int8,1.3019846805722932,0,1472
1100010786_ToyCar_case1_normal_IND_ch1_0786,normal,euclidean,int8,1.2765275412167072,0,1415
1100010668_ToyCar_case1_normal_IND_ch1_0668,normal,euclidean,int8,1.5372363574173957,0,2052
1100011098_ToyCar_case1_normal_IND_ch1_1098,normal,euclidean,int8,1.5906220469037091,0,2197
1100010007_ToyCar_case1_normal_IND_ch1_0007,normal,euclidean,int8,1.620389397153215,0,2280
1100010819_ToyCar_case1_normal_IND_ch1_0819,normal,euclidean,int8,1.3459109627646768,0,1573
1100011153_ToyCar_case1_normal_IND_ch1_1153,normal,euclidean,int8,1.4611904804929534,0,1854
1100010815_ToyCar_case1_normal_IND_ch1_0815,normal,euclidean,int8,1.382213601494484,0,1659
1100010998_ToyCar_case1_normal_IND_ch1_0998,normal,euclidean,int8,1.3407673351730147,0,1561
1100011166_ToyCar_case1_normal_IND_ch1_1166,normal,euclidean,int8,1.6028827473841798,0,2231
1100010346_ToyCar_case1_normal_IND_ch1_0346,normal,euclidean,int8,1.2926640636121784,0,1451
1100010269_ToyCar_case1_normal_IND_ch1_0269,normal,euclidean,int8,1.1828784185613634,0,1215
1100011310_ToyCar_case1_normal_IND_ch1_1310,normal,euclidean,int8,1.39630549877957,0,1693
1100010734_ToyCar_case1_normal_IND_ch1_0734,normal,euclidean,int8,1.3629161976319188,0,1613
1100010618_ToyCar_case1_normal_IND_ch1_0618,normal,euclidean,int8,1.5218014885117777,0,2011
1100011176_ToyCar_case1_normal_IND_ch1_1176,normal,euclidean,int8,1.499311513119483,0,1952
1100010408_ToyCar_case1_normal_IND_ch1_0408,normal,euclidean,int8,1.264745352288168,0,1389
1100010337_ToyCar_case1_normal_IND_ch1_0337,normal,euclidean,int8,1.270196866142298,0,1401
1100010939_ToyCar_case1_normal_IND_ch1_0939,normal,euclidean,int8,1.2948893433857633,0,1456
1100011177_ToyCar_case1_normal_IND_ch1_1177,normal,euclidean,int8,1.558810049229219,0,2110
1100011281_ToyCar_case1_normal_IND_ch1_1281,normal,euclidean,int8,1.417993006567556,0,1746
