clip_name,true_label,head,head_precision,score,decision,sumsq
1100011348_ToyCar_case1_normal_IND_ch1_1348,normal,knn16,fp32,1.2084307905998142,0,
1100011317_ToyCar_case1_normal_IND_ch1_1317,normal,knn16,fp32,1.1852356749209414,0,
1100010760_ToyCar_case1_normal_IND_ch1_0760,normal,knn16,fp32,1.1490466293598744,0,
1100010943_ToyCar_case1_normal_IND_ch1_0943,normal,knn16,fp32,1.1806779344092273,0,
1100010461_ToyCar_case1_normal_IND_ch1_0461,normal,knn16,fp32,1.2996776181965324,0,
1100010770_ToyCar_case1_normal_IND_ch1_0770,normal,knn16,fp32,1.1272676966217798,0,
1100011088_ToyCar_case1_normal_IND_ch1_1088,normal,knn16,fp32,1.3440515980557648,0,
1100011058_ToyCar_case1_normal_IND_ch1_1058,normal,knn16,fp32,1.4509968931268384,0,
1100010437_ToyCar_case1_normal_IND_ch1_0437,normal,knn16,fp32,2.110684252061794,1,
1100011297_ToyCar_case1_normal_IND_ch1_1297,normal,knn16,fp32,1.3949798045876836,0,
1100011334_ToyCar_case1_normal_IND_ch1_1334,normal,knn16,fp32,1.157936580082606,0,
1100010360_ToyCar_case1_normal_IND_ch1_0360,normal,knn16,fp32,1.1581538098172135,0,
1100010705_ToyCar_case1_normal_IND_ch1_0705,normal,knn16,fp32,1.1459806443923566,0,
1100010897_ToyCar_case1_normal_IND_ch1_0897,normal,knn16,fp32,1.1635287387460698,0,
1100010022_ToyCar_case1_normal_IND_ch1_0022,normal,knn16,fp32,1.3651159583022907,0,
1100010088_ToyCar_case1_normal_IND_ch1_0088,normal,knn16,fp32,1.1371623011736245,0,
1100010833_ToyCar_case1_normal_IND_ch1_0833,normal,knn16,fp32,1.2151311798486528,0,
1100010926_ToyCar_case1_normal_IND_ch1_0926,normal,knn16,fp32,1.1549692708982595,0,
1100010355_ToyCar_case1_normal_IND_ch1_0355,normal,knn16,fp32,1.119305502741116,0,
1100010365_ToyCar_case1_normal_IND_ch1_0365,normal,knn16,fp32,1.1314577401208397,0,
1100011191_ToyCar_case1_normal_IND_ch1_1191,normal,knn16,fp32,1.2261048753790469,0,
1100010285_ToyCar_case1_normal_IND_ch1_0285,normal,knn16,fp32,1.146995160801913,0,
1100011164_ToyCar_case1_normal_IND_ch1_1164,normal,knn16,fp32,1.2606829269471347,0,
1100010152_ToyCar_case1_normal_IND_ch1_0152,normal,knn16,fp32,1.1371928845395562,0,
1100010596_ToyCar_case1_normal_IND_ch1_0596,normal,knn16,fp32,1.2305716473349315,0,
1100011063_ToyCar_case1_normal_IND_ch1_1063,normal,knn16,fp32,1.4784184880077011,0,
1100010919_ToyCar_case1_normal_IND_ch1_0919,normal,knn16,fp32,1.1438471060363027,0,
1100010181_ToyCar_case1_normal_IND_ch1_0181,normal,knn16,fp32,1.1073294544933736,0,
1100010448_ToyCar_case1_normal_IND_ch1_0448,normal,knn16,fp32,1.069110281971398,0,
1100011137_ToyCar_case1_normal_IND_ch1_1137,normal,knn16,fp32,1.3139794180121251,0,
1100010304_ToyCar_case1_normal_IND_ch1_0304,normal,knn16,fp32,1.1705413426511913,0,
1100011081_ToyCar_case1_normal_IND_ch1_1081,normal,knn16,fp32,1.304433362037411,0,
1100010946_ToyCar_case1_normal_IND_ch1_0946,normal,knn16,fp32,1.2815833138663515,0,
1100011034_ToyCar_case1_normal_IND_ch1_1034,normal,knn16,fp32,1.3011076175417322,0,
1100010091_ToyCar_case1_normal_IND_ch1_0091,normal,knn16,fp32,1.1242870923564503,0,
1100010032_ToyCar_case1_normal_IND_ch1_0032,normal,knn16,fp32,1.2332550178202775,0,
1100010745_ToyCar_case1_normal_IND_ch1_0745,normal,knn16,fp32,1.2340415998131051,0,
1100010242_ToyCar_case1_normal_IND_ch1_0242,normal,knn16,fp32,1.1363856875885354,0,
1100010809_ToyCar_case1_normal_IND_ch1_0809,normal,knn16,fp32,1.1302865575684273,0,
1100011230_ToyCar_case1_normal_IND_ch1_1230,normal,knn16,fp32,1.2747351661984456,0,
1100011035_ToyCar_case1_normal_IND_ch1_1035,normal,knn16,fp32,1.263857384236917,0,
1100010749_ToyCar_case1_normal_IND_ch1_0749,normal,knn16,fp32,1.2258676707581941,0,
1100011042_ToyCar_case1_normal_IND_ch1_1042,normal,knn16,fp32,1.1628085831701602,0,
1100010156_ToyCar_case1_normal_IND_ch1_0156,normal,knn16,fp32,1.0029225436236753,0,
1100010521_ToyCar_case1_normal_IND_ch1_0521,normal,knn16,fp32,1.2296047543701982,0,
1100010936_ToyCar_case1_normal_IND_ch1_0936,normal,knn16,fp32,1.1458029952261501,0,
1100010191_ToyCar_case1_normal_IND_ch1_0191,normal,knn16,fp32,1.106549190822845,0,
1100010869_ToyCar_case1_normal_IND_ch1_0869,normal,knn16,fp32,1.1414390195548798,0,
1100010676_ToyCar_case1_normal_IND_ch1_0676,normal,knn16,fp32,1.2688961928385334,0,
1100010751_ToyCar_case1_normal_IND_ch1_0751,normal,knn16,fp32,1.0642218057325519,0,
