clip_name,true_label,head,head_precision,score,decision,sumsq
1100011348_ToyCar_case1_normal_IND_ch1_1348,normal,knn16,int8,1.2126833586382142,0,1277
1100011317_ToyCar_case1_normal_IND_ch1_1317,normal,knn16,int8,1.1814171722733822,0,1212
1100010760_ToyCar_case1_normal_IND_ch1_0760,normal,knn16,int8,1.1493007185096547,0,1147
1100010943_ToyCar_case1_normal_IND_ch1_0943,normal,knn16,int8,1.1750641073010906,0,1199
1100010461_ToyCar_case1_normal_IND_ch1_0461,normal,knn16,int8,1.2971108055496556,0,1461
1100010770_ToyCar_case1_normal_IND_ch1_0770,normal,knn16,int8,1.1270410264412603,0,1103
1100011088_ToyCar_case1_normal_IND_ch1_1088,normal,knn16,int8,1.3407673351730147,0,1561
1100011058_ToyCar_case1_normal_IND_ch1_1058,normal,knn16,int8,1.449320336821797,0,1824
1100010437_ToyCar_case1_normal_IND_ch1_0437,normal,knn16,int8,2.104537211772025,1,3846
1100011297_ToyCar_case1_normal_IND_ch1_1297,normal,knn16,int8,1.3975420795374507,0,1696
1100011334_ToyCar_case1_normal_IND_ch1_1334,normal,knn16,int8,1.154299875286373,0,1157
1100010360_ToyCar_case1_normal_IND_ch1_0360,normal,knn16,int8,1.1572890038351407,0,1163
1100010705_ToyCar_case1_normal_IND_ch1_0705,normal,knn16,int8,1.143272875976517,0,1135
1100010897_ToyCar_case1_normal_IND_ch1_0897,normal,knn16,int8,1.1622538014207822,0,1173
1100010022_ToyCar_case1_normal_IND_ch1_0022,normal,knn16,int8,1.3608021647204211,0,1608
1100010088_ToyCar_case1_normal_IND_ch1_0088,normal,knn16,int8,1.14226514296802,0,1133
1100010833_ToyCar_case1_normal_IND_ch1_0833,normal,knn16,int8,1.2145811428331128,0,1281
1100010926_ToyCar_case1_normal_IND_ch1_0926,normal,knn16,int8,1.1472949565648223,0,1143
1100010355_ToyCar_case1_normal_IND_ch1_0355,normal,knn16,int8,1.11729179729158,0,1084
1100010365_ToyCar_case1_normal_IND_ch1_0365,normal,knn16,int8,1.112126296683844,0,1074
1100011191_ToyCar_case1_normal_IND_ch1_1191,normal,knn16,int8,1.2244962554521666,0,1302
