clip_name,role,frame_index,phase,feature_current_ua,feature_delta_t_s,backbone_current_ua,backbone_delta_t_s,total_current_ua,total_delta_t_s
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,0,hop,103163.16662218337,0.0005300000193528831,89804.6781320528,0.013429999991785735,90303.08343139714,0.013990000006742775
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,1,hop,102111.56031992924,0.0005200000014156103,89897.45925047871,0.013429999991785735,90350.88571734566,0.013979999988805503
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,2,hop,103158.42498208875,0.0005200000014156103,90004.12668089257,0.013430000020889565,90494.98220876763,0.013980000017909333
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,3,hop,102326.09087477472,0.0005300000193528831,89876.70949378291,0.013420000002952293,90346.22166929013,0.013980000017909333
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,4,hop,102276.59121136167,0.0005200000014156103,89839.43873704794,0.013429999991785735,90301.28384290944,0.013979999988805503
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,5,hop,102025.92388383696,0.0005200000014156103,89815.85008271613,0.013429999991785735,90270.90900206617,0.013979999988805503
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,6,hop,102529.95010099279,0.0005200000014156103,89838.63728523538,0.013420000002952293,90311.34981785258,0.01396999999997206
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,7,hop,102417.496377033,0.0005200000014156103,90100.80914240284,0.013429999991785735,90559.76579055347,0.013980000017909333
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,8,hop,104200.14477626364,0.0005200000014156103,89935.97325368242,0.013420000002952293,90468.83022582273,0.013980000017909333
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,9,hop,102357.04516467502,0.0005200000014156103,90117.16465146179,0.013429999991785735,90571.61665706997,0.013979999988805503
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,10,hop,102663.53499514022,0.0005200000014156103,90011.55927451246,0.013429999991785735,90484.79544127689,0.013979999988805503
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,11,hop,102257.35749857863,0.0005200000014156103,89920.00462295515,0.013429999991785735,90384.42024004839,0.013979999988805503
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,12,hop,102850.0594970808,0.0005299999902490526,89939.93143149659,0.013420000002952293,90424.08827673971,0.013979999988805503
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,13,hop,103477.70176752532,0.0005200000014156103,90051.13434253592,0.013420000002952293,90551.96934347216,0.013979999988805503
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,14,hop,102898.78860122056,0.0005200000014156103,89933.90040165973,0.013429999991785735,90419.47381970378,0.013979999988805503
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,15,hop,104706.74969654414,0.0005200000014156103,89910.8637677993,0.013420000002952293,90465.18256156889,0.013980000017909333
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,16,hop,103219.54534195087,0.0005299999902490526,89810.94542835795,0.013430000020889565,90319.28850813434,0.013990000006742775
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,17,hop,102695.15026092799,0.0005299999902490526,89915.97899887242,0.013429999991785735,90398.1020650005,0.013989999977638945
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,18,hop,104317.75381676201,0.0005200000014156103,90000.63820224273,0.013420000002952293,90533.13219898159,0.013979999988805503
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,19,hop,103431.67596389339,0.0005299999902490526,90029.41387889808,0.013419999973848462,90534.72401015743,0.013979999988805503
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,20,hop,102544.59062944197,0.0005200000014156103,89871.3070549923,0.013430000020889565,90337.57346869867,0.013980000017909333
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,21,hop,102899.17519771814,0.0005200000014156103,89873.39580332996,0.013429999991785735,90363.50843209303,0.013979999988805503
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,22,hop,102227.4619448394,0.0005300000193528831,90014.3053853573,0.013420000002952293,90470.27139844683,0.013980000017909333
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,23,hop,102682.80549692264,0.0005299999902490526,89829.10998200176,0.013419999973848462,90309.75723127028,0.013979999988805503
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,24,hop,103112.3489049086,0.0005200000014156103,90090.83711943659,0.013429999991785735,90577.64857888132,0.013979999988805503
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,25,hop,103489.96554675735,0.0005299999902490526,89993.17278836119,0.013429999991785735,90500.70767983087,0.013989999977638945
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,26,hop,102867.75636667354,0.0005200000014156103,89842.23886520733,0.013429999991785735,90327.58133430063,0.013979999988805503
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,27,hop,102214.72944421507,0.0005200000014156103,89701.98251916966,0.013429999991785735,90166.39900920697,0.013980000017909333
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,28,hop,102710.13168796129,0.0005299999902490526,90092.55281990122,0.013420000002952293,90562.609970383,0.013979999988805503
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,29,hop,102811.29023280727,0.0005200000014156103,90108.65875759434,0.013429999991785735,90579.26526329585,0.013979999988805503
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,30,hop,103783.14256316991,0.0005200000014156103,89966.77397276855,0.013429999991785735,90483.4072020139,0.013979999988805503
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,31,hop,103281.15382864076,0.0005200000014156103,90072.38541812601,0.013429999991785735,90565.65158208756,0.013979999988805503
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,32,hop,103903.90155469491,0.0005299999902490526,89872.11608692101,0.013420000002952293,90398.40484397151,0.013979999988805503
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,33,hop,102570.3588824889,0.0005200000014156103,89931.44430085133,0.013420000002952293,90398.77744073977,0.01396999999997206
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,34,hop,103517.60748126906,0.0005299999902490526,89909.03856722225,0.013420000002952293,90421.88986891249,0.013979999988805503
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,35,hop,102608.44389097903,0.0005199999723117799,90006.91426767517,0.013429999991785735,90475.58533813483,0.013979999988805503
