clip_name,true_label,head,head_precision,score,decision,sumsq
1100011348_ToyCar_case1_normal_IND_ch1_1348,normal,euclidean,fp32,1.258811116218567,0,
1100011317_ToyCar_case1_normal_IND_ch1_1317,normal,euclidean,fp32,1.3410032987594604,0,
1100010760_ToyCar_case1_normal_IND_ch1_0760,normal,euclidean,fp32,1.1923428773880005,0,
1100010943_ToyCar_case1_normal_IND_ch1_0943,normal,euclidean,fp32,1.186453104019165,0,
1100010461_ToyCar_case1_normal_IND_ch1_0461,normal,euclidean,fp32,1.2926136255264282,0,
1100010770_ToyCar_case1_normal_IND_ch1_0770,normal,euclidean,fp32,1.224761962890625,0,
1100011088_ToyCar_case1_normal_IND_ch1_1088,normal,euclidean,fp32,1.3851432800292969,0,
1100011058_ToyCar_case1_normal_IND_ch1_1058,normal,euclidean,fp32,1.518407940864563,0,
1100010437_ToyCar_case1_normal_IND_ch1_0437,normal,euclidean,fp32,10.955971717834473,1,
1100011297_ToyCar_case1_normal_IND_ch1_1297,normal,euclidean,fp32,1.4649381637573242,0,
1100011334_ToyCar_case1_normal_IND_ch1_1334,normal,euclidean,fp32,1.3607189655303955,0,
1100010360_ToyCar_case1_normal_IND_ch1_0360,normal,euclidean,fp32,1.1049147844314575,0,
1100010705_ToyCar_case1_normal_IND_ch1_0705,normal,euclidean,fp32,1.2764716148376465,0,
1100010897_ToyCar_case1_normal_IND_ch1_0897,normal,euclidean,fp32,1.1832906007766724,0,
1100010022_ToyCar_case1_normal_IND_ch1_0022,normal,euclidean,fp32,1.6382642984390259,0,
1100010088_ToyCar_case1_normal_IND_ch1_0088,normal,euclidean,fp32,1.6522263288497925,0,
1100010833_ToyCar_case1_normal_IND_ch1_0833,normal,euclidean,fp32,1.0767335891723633,0,
1100010926_ToyCar_case1_normal_IND_ch1_0926,normal,euclidean,fp32,1.117546796798706,0,
1100010355_ToyCar_case1_normal_IND_ch1_0355,normal,euclidean,fp32,1.1402926445007324,0,
1100010365_ToyCar_case1_normal_IND_ch1_0365,normal,euclidean,fp32,1.155951976776123,0,
1100011191_ToyCar_case1_normal_IND_ch1_1191,normal,euclidean,fp32,1.2567410469055176,0,
1100010285_ToyCar_case1_normal_IND_ch1_0285,normal,euclidean,fp32,1.1242097616195679,0,
1100011164_ToyCar_case1_normal_IND_ch1_1164,normal,euclidean,fp32,1.241540551185608,0,
1100010152_ToyCar_case1_normal_IND_ch1_0152,normal,euclidean,fp32,1.1672627925872803,0,
1100010596_ToyCar_case1_normal_IND_ch1_0596,normal,euclidean,fp32,1.241904377937317,0,
1100011063_ToyCar_case1_normal_IND_ch1_1063,normal,euclidean,fp32,1.5530202388763428,0,
1100010919_ToyCar_case1_normal_IND_ch1_0919,normal,euclidean,fp32,1.1328827142715454,0,
1100010181_ToyCar_case1_normal_IND_ch1_0181,normal,euclidean,fp32,1.0712568759918213,0,
1100010448_ToyCar_case1_normal_IND_ch1_0448,normal,euclidean,fp32,1.0285056829452515,0,
1100011137_ToyCar_case1_normal_IND_ch1_1137,normal,euclidean,fp32,1.3150968551635742,0,
1100010304_ToyCar_case1_normal_IND_ch1_0304,normal,euclidean,fp32,1.1170567274093628,0,
1100011081_ToyCar_case1_normal_IND_ch1_1081,normal,euclidean,fp32,1.3860300779342651,0,
1100010946_ToyCar_case1_normal_IND_ch1_0946,normal,euclidean,fp32,1.264753818511963,0,
1100011034_ToyCar_case1_normal_IND_ch1_1034,normal,euclidean,fp32,1.3618052005767822,0,
1100010091_ToyCar_case1_normal_IND_ch1_0091,normal,euclidean,fp32,1.7451472282409668,0,
1100010032_ToyCar_case1_normal_IND_ch1_0032,normal,euclidean,fp32,1.5171215534210205,0,
1100010745_ToyCar_case1_normal_IND_ch1_0745,normal,euclidean,fp32,1.2282841205596924,0,
1100010242_ToyCar_case1_normal_IND_ch1_0242,normal,euclidean,fp32,1.1607694625854492,0,
1100010809_ToyCar_case1_normal_IND_ch1_0809,normal,euclidean,fp32,1.147628664970398,0,
1100011230_ToyCar_case1_normal_IND_ch1_1230,normal,euclidean,fp32,1.3754801750183105,0,
1100011035_ToyCar_case1_normal_IND_ch1_1035,normal,euclidean,fp32,1.2790281772613525,0,
1100010749_ToyCar_case1_normal_IND_ch1_0749,normal,euclidean,fp32,1.3307384252548218,0,
1100011042_ToyCar_case1_normal_IND_ch1_1042,normal,euclidean,fp32,1.192214012145996,0,
1100010156_ToyCar_case1_normal_IND_ch1_0156,normal,euclidean,fp32,1.2235502004623413,0,
1100010521_ToyCar_case1_normal_IND_ch1_0521,normal,euclidean,fp32,1.209835410118103,0,
1100010936_ToyCar_case1_normal_IND_ch1_0936,normal,euclidean,fp32,1.1872919797897339,0,
1100010191_ToyCar_case1_normal_IND_ch1_0191,normal,euclidean,fp32,1.104138970375061,0,
1100010869_ToyCar_case1_normal_IND_ch1_0869,normal,euclidean,fp32,1.233310341835022,0,
1100010676_ToyCar_case1_normal_IND_ch1_0676,normal,euclidean,fp32,1.2339434623718262,0,
1100010751_ToyCar_case1_normal_IND_ch1_0751,normal,euclidean,fp32,1.1341665983200073,0,
1100011156_ToyCar_case1_normal_IND_ch1_1156,normal,euclidean,fp32,1.3325953483581543,0,
1100010387_ToyCar_case1_normal_IND_ch1_0387,normal,euclidean,fp32,1.136778712272644,0,
1100010402_ToyCar_case1_normal_IND_ch1_0402,normal,euclidean,fp32,1.205622673034668,0,
1100010476_ToyCar_case1_normal_IND_ch1_0476,normal,euclidean,fp32,1.2725039720535278,0,
1100010527_ToyCar_case1_normal_IND_ch1_0527,normal,euclidean,fp32,1.2830060720443726,0,
1100011069_ToyCar_case1_normal_IND_ch1_1069,normal,euclidean,fp32,1.5083956718444824,0,
1100010100_ToyCar_case1_normal_IND_ch1_0100,normal,euclidean,fp32,1.6784340143203735,0,
1100010295_ToyCar_case1_normal_IND_ch1_0295,normal,euclidean,fp32,1.143620252609253,0,
1100010786_ToyCar_case1_normal_IND_ch1_0786,normal,euclidean,fp32,1.146527886390686,0,
1100010668_ToyCar_case1_normal_IND_ch1_0668,normal,euclidean,fp32,1.224974513053894,0,
1100011098_ToyCar_case1_normal_IND_ch1_1098,normal,euclidean,fp32,1.4267617464065552,0,
1100010007_ToyCar_case1_normal_IND_ch1_0007,normal,euclidean,fp32,1.5967555046081543,0,
1100010819_ToyCar_case1_normal_IND_ch1_0819,normal,euclidean,fp32,1.1544679403305054,0,
1100011153_ToyCar_case1_normal_IND_ch1_1153,normal,euclidean,fp32,1.3560229539871216,0,
1100010815_ToyCar_case1_normal_IND_ch1_0815,normal,euclidean,fp32,1.1256600618362427,0,
1100010998_ToyCar_case1_normal_IND_ch1_0998,normal,euclidean,fp32,1.2577749490737915,0,
1100011166_ToyCar_case1_normal_IND_ch1_1166,normal,euclidean,fp32,1.332667589187622,0,
1100010346_ToyCar_case1_normal_IND_ch1_0346,normal,euclidean,fp32,1.1565332412719727,0,
1100010269_ToyCar_case1_normal_IND_ch1_0269,normal,euclidean,fp32,1.073366641998291,0,
1100011310_ToyCar_case1_normal_IND_ch1_1310,normal,euclidean,fp32,1.2953354120254517,0,
1100010734_ToyCar_case1_normal_IND_ch1_0734,normal,euclidean,fp32,1.2994778156280518,0,
1100010618_ToyCar_case1_normal_IND_ch1_0618,normal,euclidean,fp32,1.2630411386489868,0,
1100011176_ToyCar_case1_normal_IND_ch1_1176,normal,euclidean,fp32,1.2987589836120605,0,
1100010408_ToyCar_case1_normal_IND_ch1_0408,normal,euclidean,fp32,1.225339651107788,0,
1100010337_ToyCar_case1_normal_IND_ch1_0337,normal,euclidean,fp32,1.1397889852523804,0,
1100010939_ToyCar_case1_normal_IND_ch1_0939,normal,euclidean,fp32,1.2161768674850464,0,
1100011177_ToyCar_case1_normal_IND_ch1_1177,normal,euclidean,fp32,1.3579295873641968,0,
1100011281_ToyCar_case1_normal_IND_ch1_1281,normal,euclidean,fp32,1.3974326848983765,0,
1100011291_ToyCar_case1_normal_IND_ch1_1291,normal,euclidean,fp32,1.296370267868042,0,
1100011248_ToyCar_case1_normal_IND_ch1_1248,normal,euclidean,fp32,1.3496147394180298,0,
1100010045_ToyCar_case1_normal_IND_ch1_0045,normal,euclidean,fp32,1.607706904411316,0,
1100010062_ToyCar_case1_normal_IND_ch1_0062,normal,euclidean,fp32,1.6189628839492798,0,
1100010957_ToyCar_case1_normal_IND_ch1_0957,normal,euclidean,fp32,1.3352588415145874,0,
1100010700_ToyCar_case1_normal_IND_ch1_0700,normal,euclidean,fp32,1.2916462421417236,0,
1100010354_ToyCar_case1_normal_IND_ch1_0354,normal,euclidean,fp32,1.1644654273986816,0,
1100010689_ToyCar_case1_normal_IND_ch1_0689,normal,euclidean,fp32,1.261824607849121,0,
1100011101_ToyCar_case1_normal_IND_ch1_1101,normal,euclidean,fp32,1.356801152229309,0,
1100010278_ToyCar_case1_normal_IND_ch1_0278,normal,euclidean,fp32,1.1747117042541504,0,
1100010389_ToyCar_case1_normal_IND_ch1_0389,normal,euclidean,fp32,1.1868067979812622,0,
1100010626_ToyCar_case1_normal_IND_ch1_0626,normal,euclidean,fp32,1.2441145181655884,0,
1100010377_ToyCar_case1_normal_IND_ch1_0377,normal,euclidean,fp32,1.158631443977356,0,
1100011163_ToyCar_case1_normal_IND_ch1_1163,normal,euclidean,fp32,1.3492422103881836,0,
1100010773_ToyCar_case1_normal_IND_ch1_0773,normal,euclidean,fp32,1.2048498392105103,0,
1100010904_ToyCar_case1_normal_IND_ch1_0904,normal,euclidean,fp32,1.1871893405914307,0,
1100011186_ToyCar_case1_normal_IND_ch1_1186,normal,euclidean,fp32,1.265431523323059,0,
1100010844_ToyCar_case1_normal_IND_ch1_0844,normal,euclidean,fp32,1.183916449546814,0,
1100010542_ToyCar_case1_normal_IND_ch1_0542,normal,euclidean,fp32,1.2785420417785645,0,
1100011253_ToyCar_case1_normal_IND_ch1_1253,normal,euclidean,fp32,1.4338560104370117,0,
1100011032_ToyCar_case1_normal_IND_ch1_1032,normal,euclidean,fp32,1.261715292930603,0,
