clip_name,true_label,head,head_precision,score,decision,sumsq
1200010748_ToyCar_case2_normal_IND_ch1_0748,normal,euclidean,int8,1.7366255427152444,0,2864
1200010336_ToyCar_case2_normal_IND_ch1_0336,normal,euclidean,int8,1.7146575045960997,0,2792
1200010489_ToyCar_case2_normal_IND_ch1_0489,normal,euclidean,int8,1.667330294189118,0,2640
1200011176_ToyCar_case2_normal_IND_ch1_1176,normal,euclidean,int8,1.593045568850825,0,2410
1200010007_ToyCar_case2_normal_IND_ch1_0007,normal,euclidean,int8,1.6367344785261837,0,2544
1200011271_ToyCar_case2_normal_IND_ch1_1271,normal,euclidean,int8,1.7284202488203735,0,2837
1200010904_ToyCar_case2_normal_IND_ch1_0904,normal,euclidean,int8,1.8172208230326496,0,3136
1200010240_ToyCar_case2_normal_IND_ch1_0240,normal,euclidean,int8,1.834235560385759,0,3195
1200010386_ToyCar_case2_normal_IND_ch1_0386,normal,euclidean,int8,1.6799140975724325,0,2680
1200010734_ToyCar_case2_normal_IND_ch1_0734,normal,euclidean,int8,1.6428351284333884,0,2563
1200010455_ToyCar_case2_normal_IND_ch1_0455,normal,euclidean,int8,1.650189950206733,0,2586
1200010745_ToyCar_case2_normal_IND_ch1_0745,normal,euclidean,int8,1.684608789811684,0,2695
1200010891_ToyCar_case2_normal_IND_ch1_0891,normal,euclidean,int8,1.7702562691475323,0,2976
1200010447_ToyCar_case2_normal_IND_ch1_0447,normal,euclidean,int8,1.702949014513055,0,2754
1200010595_ToyCar_case2_normal_IND_ch1_0595,normal,euclidean,int8,1.6799140975724325,0,2680
1200010540_ToyCar_case2_normal_IND_ch1_0540,normal,euclidean,int8,1.7354123916466757,0,2860
1200010088_ToyCar_case2_normal_IND_ch1_0088,normal,euclidean,int8,1.6409110577418489,0,2557
1200010285_ToyCar_case2_normal_IND_ch1_0285,normal,euclidean,int8,1.7574205851920233,0,2933
1200011085_ToyCar_case2_normal_IND_ch1_1085,normal,euclidean,int8,1.674577535520324,0,2663
1200010060_ToyCar_case2_normal_IND_ch1_0060,normal,euclidean,int8,1.661953325808969,0,2623
1200011162_ToyCar_case2_normal_IND_ch1_1162,normal,euclidean,int8,1.6373777225983839,0,2546
1200010337_ToyCar_case2_normal_IND_ch1_0337,normal,euclidean,int8,1.7438867264797089,0,2888
1200011298_ToyCar_case2_normal_IND_ch1_1298,normal,euclidean,int8,1.5983249389770469,0,2426
1200010021_ToyCar_case2_normal_IND_ch1_0021,normal,euclidean,int8,1.5330869002904257,0,2232
1200010918_ToyCar_case2_normal_IND_ch1_0918,normal,euclidean,int8,1.7010929387413583,0,2748
1200010619_ToyCar_case2_normal_IND_ch1_0619,normal,euclidean,int8,1.723844876154492,0,2822
1200010146_ToyCar_case2_normal_IND_ch1_0146,normal,euclidean,int8,1.8102538165910222,0,3112
1200011068_ToyCar_case2_normal_IND_ch1_1068,normal,euclidean,int8,1.6505089816162304,0,2587
1200011257_ToyCar_case2_normal_IND_ch1_1257,normal,euclidean,int8,1.7097373868366428,0,2776
1200011036_ToyCar_case2_normal_IND_ch1_1036,normal,euclidean,int8,1.6315793964976535,0,2528
1200010618_ToyCar_case2_normal_IND_ch1_0618,normal,euclidean,int8,1.7004737966139378,0,2746
1200011120_ToyCar_case2_normal_IND_ch1_1120,normal,euclidean,int8,1.7198697075130434,0,2809
1200010120_ToyCar_case2_normal_IND_ch1_0120,normal,euclidean,int8,1.7883069879194209,0,3037
1200011152_ToyCar_case2_normal_IND_ch1_1152,normal,euclidean,int8,1.8299247775511083,0,3180
1200010244_ToyCar_case2_normal_IND_ch1_0244,normal,euclidean,int8,1.8195372303758521,0,3144
1200011044_ToyCar_case2_normal_IND_ch1_1044,normal,euclidean,int8,1.8439693588805142,0,3229
1200010062_ToyCar_case2_normal_IND_ch1_0062,normal,euclidean,int8,1.7625063307715951,0,2950
1200010814_ToyCar_case2_normal_IND_ch1_0814,normal,euclidean,int8,1.9051988878815744,1,3447
1200011208_ToyCar_case2_normal_IND_ch1_1208,normal,euclidean,int8,1.6335144587272319,0,2534
1200011062_ToyCar_case2_normal_IND_ch1_1062,normal,euclidean,int8,1.7402599217362809,0,2876
1200011268_ToyCar_case2_normal_IND_ch1_1268,normal,euclidean,int8,1.6711153848586635,0,2652
1200010281_ToyCar_case2_normal_IND_ch1_0281,normal,euclidean,int8,1.8425411429130927,0,3224
1200010346_ToyCar_case2_normal_IND_ch1_0346,normal,euclidean,int8,1.744792249721941,0,2891
1200010242_ToyCar_case2_normal_IND_ch1_0242,normal,euclidean,int8,1.864131939375795,0,3300
1200010091_ToyCar_case2_normal_IND_ch1_0091,normal,euclidean,int8,1.6052277626054943,0,2447
1200010832_ToyCar_case2_normal_IND_ch1_0832,normal,euclidean,int8,1.8017994084077549,0,3083
1200010363_ToyCar_case2_normal_IND_ch1_0363,normal,euclidean,int8,1.7253713484948174,0,2827
1200011278_ToyCar_case2_normal_IND_ch1_1278,normal,euclidean,int8,1.7399573467671614,0,2875
1200010300_ToyCar_case2_normal_IND_ch1_0300,normal,euclidean,int8,1.7812268928635493,0,3013
1200010525_ToyCar_case2_normal_IND_ch1_0525,normal,euclidean,int8,1.705420639927684,0,2762
1200011164_ToyCar_case2_normal_IND_ch1_1164,normal,euclidean,int8,1.6955125204049328,0,2730
1200010935_ToyCar_case2_normal_IND_ch1_0935,normal,euclidean,int8,1.8359570394698603,0,3201
1200010234_ToyCar_case2_normal_IND_ch1_0234,normal,euclidean,int8,1.8573409079164398,0,3276
1200011171_ToyCar_case2_normal_IND_ch1_1171,normal,euclidean,int8,1.7568212942674568,0,2931
1200010843_ToyCar_case2_normal_IND_ch1_0843,normal,euclidean,int8,1.855071706204237,0,3268
1200011212_ToyCar_case2_normal_IND_ch1_1212,normal,euclidean,int8,1.6979949705197168,0,2738
1200010303_ToyCar_case2_normal_IND_ch1_0303,normal,euclidean,int8,1.8281976183389472,0,3174
1200010804_ToyCar_case2_normal_IND_ch1_0804,normal,euclidean,int8,1.8279095998072916,0,3173
1200011142_ToyCar_case2_normal_IND_ch1_1142,normal,euclidean,int8,1.5850935446383443,0,2386
1200010505_ToyCar_case2_normal_IND_ch1_0505,normal,euclidean,int8,1.7844754234279432,0,3024
1200011347_ToyCar_case2_normal_IND_ch1_1347,normal,euclidean,int8,1.7776762709418676,0,3001
1200010667_ToyCar_case2_normal_IND_ch1_0667,normal,euclidean,int8,1.6616364916957458,0,2622
1200010105_ToyCar_case2_normal_IND_ch1_0105,normal,euclidean,int8,1.629642036546791,0,2522
1200010141_ToyCar_case2_normal_IND_ch1_0141,normal,euclidean,int8,1.870898320749169,0,3324
1200010100_ToyCar_case2_normal_IND_ch1_0100,normal,euclidean,int8,1.7927178479977315,0,3052
1200010976_ToyCar_case2_normal_IND_ch1_0976,normal,euclidean,int8,1.8448257577310254,0,3232
1200010945_ToyCar_case2_normal_IND_ch1_0945,normal,euclidean,int8,1.744490460867358,0,2890
1200010676_ToyCar_case2_normal_IND_ch1_0676,normal,euclidean,int8,1.5720857185868926,0,2347
1200010490_ToyCar_case2_normal_IND_ch1_0490,normal,euclidean,int8,1.7475060041048969,0,2900
1200011247_ToyCar_case2_normal_IND_ch1_1247,normal,euclidean,int8,1.6625868129010841,0,2625
1200011056_ToyCar_case2_normal_IND_ch1_1056,normal,euclidean,int8,1.706037986785887,0,2764
1200010953_ToyCar_case2_normal_IND_ch1_0953,normal,euclidean,int8,1.8290614018118243,0,3177
