clip_name,true_label,head,head_precision,score,decision,sumsq
1200010748_ToyCar_case2_normal_IND_ch1_0748,normal,knn16,fp32,1.3482890575602207,0,
1200010336_ToyCar_case2_normal_IND_ch1_0336,normal,knn16,fp32,1.3192869895339967,0,
1200010489_ToyCar_case2_normal_IND_ch1_0489,normal,knn16,fp32,1.319702302818746,0,
1200011176_ToyCar_case2_normal_IND_ch1_1176,normal,knn16,fp32,1.2652394849970368,0,
1200010007_ToyCar_case2_normal_IND_ch1_0007,normal,knn16,fp32,1.3000846208209054,0,
1200011271_ToyCar_case2_normal_IND_ch1_1271,normal,knn16,fp32,1.292267244498363,0,
1200010904_ToyCar_case2_normal_IND_ch1_0904,normal,knn16,fp32,1.4731293378904178,0,
1200010240_ToyCar_case2_normal_IND_ch1_0240,normal,knn16,fp32,1.4897320004386543,0,
1200010386_ToyCar_case2_normal_IND_ch1_0386,normal,knn16,fp32,1.352093105148018,0,
1200010734_ToyCar_case2_normal_IND_ch1_0734,normal,knn16,fp32,1.3071731764434225,0,
1200010455_ToyCar_case2_normal_IND_ch1_0455,normal,knn16,fp32,1.3415499548728085,0,
1200010745_ToyCar_case2_normal_IND_ch1_0745,normal,knn16,fp32,1.340732735035728,0,
1200010891_ToyCar_case2_normal_IND_ch1_0891,normal,knn16,fp32,1.4394503783670032,0,
1200010447_ToyCar_case2_normal_IND_ch1_0447,normal,knn16,fp32,1.3007539116949267,0,
1200010595_ToyCar_case2_normal_IND_ch1_0595,normal,knn16,fp32,1.315351311237426,0,
1200010540_ToyCar_case2_normal_IND_ch1_0540,normal,knn16,fp32,1.2673354205723024,0,
1200010088_ToyCar_case2_normal_IND_ch1_0088,normal,knn16,fp32,1.3334035687770485,0,
1200010285_ToyCar_case2_normal_IND_ch1_0285,normal,knn16,fp32,1.3846962317932703,0,
1200011085_ToyCar_case2_normal_IND_ch1_1085,normal,knn16,fp32,1.4309602883575347,0,
1200010060_ToyCar_case2_normal_IND_ch1_0060,normal,knn16,fp32,1.3532806696081365,0,
1200011162_ToyCar_case2_normal_IND_ch1_1162,normal,knn16,fp32,1.2601464146046286,0,
1200010337_ToyCar_case2_normal_IND_ch1_0337,normal,knn16,fp32,1.3349981889262739,0,
1200011298_ToyCar_case2_normal_IND_ch1_1298,normal,knn16,fp32,1.3164332652853232,0,
1200010021_ToyCar_case2_normal_IND_ch1_0021,normal,knn16,fp32,1.32551518510133,0,
1200010918_ToyCar_case2_normal_IND_ch1_0918,normal,knn16,fp32,1.4148300186994407,0,
1200010619_ToyCar_case2_normal_IND_ch1_0619,normal,knn16,fp32,1.3695042765370864,0,
1200010146_ToyCar_case2_normal_IND_ch1_0146,normal,knn16,fp32,1.4081804466447025,0,
1200011068_ToyCar_case2_normal_IND_ch1_1068,normal,knn16,fp32,1.3858985016788337,0,
1200011257_ToyCar_case2_normal_IND_ch1_1257,normal,knn16,fp32,1.3712136439852198,0,
1200011036_ToyCar_case2_normal_IND_ch1_1036,normal,knn16,fp32,1.232924366816675,0,
1200010618_ToyCar_case2_normal_IND_ch1_0618,normal,knn16,fp32,1.3193440010587663,0,
1200011120_ToyCar_case2_normal_IND_ch1_1120,normal,knn16,fp32,1.3489623109706528,0,
1200010120_ToyCar_case2_normal_IND_ch1_0120,normal,knn16,fp32,1.4944057894117402,0,
1200011152_ToyCar_case2_normal_IND_ch1_1152,normal,knn16,fp32,1.4726405513264265,0,
1200010244_ToyCar_case2_normal_IND_ch1_0244,normal,knn16,fp32,1.507517237085916,0,
1200011044_ToyCar_case2_normal_IND_ch1_1044,normal,knn16,fp32,1.4634437406012593,0,
1200010062_ToyCar_case2_normal_IND_ch1_0062,normal,knn16,fp32,1.4219359761281474,0,
1200010814_ToyCar_case2_normal_IND_ch1_0814,normal,knn16,fp32,1.509896020752428,0,
1200011208_ToyCar_case2_normal_IND_ch1_1208,normal,knn16,fp32,1.2367791697235568,0,
1200011062_ToyCar_case2_normal_IND_ch1_1062,normal,knn16,fp32,1.4474267824282365,0,
1200011268_ToyCar_case2_normal_IND_ch1_1268,normal,knn16,fp32,1.2378907375493093,0,
1200010281_ToyCar_case2_normal_IND_ch1_0281,normal,knn16,fp32,1.4606509688895277,0,
1200010346_ToyCar_case2_normal_IND_ch1_0346,normal,knn16,fp32,1.3191118673015272,0,
1200010242_ToyCar_case2_normal_IND_ch1_0242,normal,knn16,fp32,1.4793744479991304,0,
1200010091_ToyCar_case2_normal_IND_ch1_0091,normal,knn16,fp32,1.2786840225848854,0,
1200010832_ToyCar_case2_normal_IND_ch1_0832,normal,knn16,fp32,1.357973067363029,0,
1200010363_ToyCar_case2_normal_IND_ch1_0363,normal,knn16,fp32,1.3421145071676013,0,
1200011278_ToyCar_case2_normal_IND_ch1_1278,normal,knn16,fp32,1.332944157824815,0,
1200010300_ToyCar_case2_normal_IND_ch1_0300,normal,knn16,fp32,1.4006211889536873,0,
1200010525_ToyCar_case2_normal_IND_ch1_0525,normal,knn16,fp32,1.2494552002574657,0,
1200011164_ToyCar_case2_normal_IND_ch1_1164,normal,knn16,fp32,1.3246353475975963,0,
1200010935_ToyCar_case2_normal_IND_ch1_0935,normal,knn16,fp32,1.4573405042541594,0,
1200010234_ToyCar_case2_normal_IND_ch1_0234,normal,knn16,fp32,1.4471520818252959,0,
1200011171_ToyCar_case2_normal_IND_ch1_1171,normal,knn16,fp32,1.378521064339371,0,
1200010843_ToyCar_case2_normal_IND_ch1_0843,normal,knn16,fp32,1.4976988963274402,0,
1200011212_ToyCar_case2_normal_IND_ch1_1212,normal,knn16,fp32,1.3170575359174388,0,
1200010303_ToyCar_case2_normal_IND_ch1_0303,normal,knn16,fp32,1.4694411947187296,0,
1200010804_ToyCar_case2_normal_IND_ch1_0804,normal,knn16,fp32,1.420525949042115,0,
1200011142_ToyCar_case2_normal_IND_ch1_1142,normal,knn16,fp32,1.3014558838631562,0,
1200010505_ToyCar_case2_normal_IND_ch1_0505,normal,knn16,fp32,1.3821408512401396,0,
1200011347_ToyCar_case2_normal_IND_ch1_1347,normal,knn16,fp32,1.3843120611120225,0,
1200010667_ToyCar_case2_normal_IND_ch1_0667,normal,knn16,fp32,1.3976490809866668,0,
1200010105_ToyCar_case2_normal_IND_ch1_0105,normal,knn16,fp32,1.399550575218417,0,
1200010141_ToyCar_case2_normal_IND_ch1_0141,normal,knn16,fp32,1.522814132546256,0,
1200010100_ToyCar_case2_normal_IND_ch1_0100,normal,knn16,fp32,1.3912533816123915,0,
1200010976_ToyCar_case2_normal_IND_ch1_0976,normal,knn16,fp32,1.415183126876874,0,
1200010945_ToyCar_case2_normal_IND_ch1_0945,normal,knn16,fp32,1.3196900895876809,0,
1200010676_ToyCar_case2_normal_IND_ch1_0676,normal,knn16,fp32,1.3146976248624014,0,
1200010490_ToyCar_case2_normal_IND_ch1_0490,normal,knn16,fp32,1.3182155290836752,0,
1200011247_ToyCar_case2_normal_IND_ch1_1247,normal,knn16,fp32,1.3061658189647372,0,
1200011056_ToyCar_case2_normal_IND_ch1_1056,normal,knn16,fp32,1.400605845435168,0,
1200010953_ToyCar_case2_normal_IND_ch1_0953,normal,knn16,fp32,1.4868729800197562,0,
1200011267_ToyCar_case2_normal_IND_ch1_1267,normal,knn16,fp32,1.342082482186536,0,
1200010527_ToyCar_case2_normal_IND_ch1_0527,normal,knn16,fp32,1.3017159303528474,0,
1200011048_ToyCar_case2_normal_IND_ch1_1048,normal,knn16,fp32,1.3888493353428102,0,
1200010294_ToyCar_case2_normal_IND_ch1_0294,normal,knn16,fp32,1.4482765393240353,0,
1200010541_ToyCar_case2_normal_IND_ch1_0541,normal,knn16,fp32,1.361872363401523,0,
1200010085_ToyCar_case2_normal_IND_ch1_0085,normal,knn16,fp32,1.4708445090861344,0,
1200010868_ToyCar_case2_normal_IND_ch1_0868,normal,knn16,fp32,1.4947976073458207,0,
1200010471_ToyCar_case2_normal_IND_ch1_0471,normal,knn16,fp32,1.3073416788168657,0,
1200011156_ToyCar_case2_normal_IND_ch1_1156,normal,knn16,fp32,1.2476349989716244,0,
