clip_name,true_label,head,head_precision,score,decision,sumsq
1200010748_ToyCar_case2_normal_IND_ch1_0748,normal,knn16,fp32,1.311161802121364,0,
1200010336_ToyCar_case2_normal_IND_ch1_0336,normal,knn16,fp32,1.6863846284522133,0,
1200010489_ToyCar_case2_normal_IND_ch1_0489,normal,knn16,fp32,1.4799124370009726,0,
1200011176_ToyCar_case2_normal_IND_ch1_1176,normal,knn16,fp32,1.3570832572746867,0,
1200010007_ToyCar_case2_normal_IND_ch1_0007,normal,knn16,fp32,1.2311288011379864,0,
1200011271_ToyCar_case2_normal_IND_ch1_1271,normal,knn16,fp32,1.4156950179884353,0,
1200010904_ToyCar_case2_normal_IND_ch1_0904,normal,knn16,fp32,1.3359603432281828,0,
1200010240_ToyCar_case2_normal_IND_ch1_0240,normal,knn16,fp32,1.5587595996999162,0,
1200010386_ToyCar_case2_normal_IND_ch1_0386,normal,knn16,fp32,1.409192417251024,0,
1200010734_ToyCar_case2_normal_IND_ch1_0734,normal,knn16,fp32,1.181443071575245,0,
1200010455_ToyCar_case2_normal_IND_ch1_0455,normal,knn16,fp32,1.2857266793292554,0,
1200010745_ToyCar_case2_normal_IND_ch1_0745,normal,knn16,fp32,1.3148300988544688,0,
1200010891_ToyCar_case2_normal_IND_ch1_0891,normal,knn16,fp32,1.3865704893366428,0,
1200010447_ToyCar_case2_normal_IND_ch1_0447,normal,knn16,fp32,1.554837066722886,0,
1200010595_ToyCar_case2_normal_IND_ch1_0595,normal,knn16,fp32,1.4256359931530536,0,
1200010540_ToyCar_case2_normal_IND_ch1_0540,normal,knn16,fp32,1.5580036593893427,0,
1200010088_ToyCar_case2_normal_IND_ch1_0088,normal,knn16,fp32,1.4051687746967876,0,
1200010285_ToyCar_case2_normal_IND_ch1_0285,normal,knn16,fp32,1.4101281956846667,0,
1200011085_ToyCar_case2_normal_IND_ch1_1085,normal,knn16,fp32,1.4817965940026998,0,
1200010060_ToyCar_case2_normal_IND_ch1_0060,normal,knn16,fp32,1.505664871480039,0,
1200011162_ToyCar_case2_normal_IND_ch1_1162,normal,knn16,fp32,1.4580652041675415,0,
1200010337_ToyCar_case2_normal_IND_ch1_0337,normal,knn16,fp32,1.6059180228515073,0,
1200011298_ToyCar_case2_normal_IND_ch1_1298,normal,knn16,fp32,1.4308879230295177,0,
1200010021_ToyCar_case2_normal_IND_ch1_0021,normal,knn16,fp32,1.3680503311949739,0,
1200010918_ToyCar_case2_normal_IND_ch1_0918,normal,knn16,fp32,1.473071934915595,0,
1200010619_ToyCar_case2_normal_IND_ch1_0619,normal,knn16,fp32,1.413979049204997,0,
1200010146_ToyCar_case2_normal_IND_ch1_0146,normal,knn16,fp32,1.4729989538794939,0,
1200011068_ToyCar_case2_normal_IND_ch1_1068,normal,knn16,fp32,1.304541042013096,0,
1200011257_ToyCar_case2_normal_IND_ch1_1257,normal,knn16,fp32,1.4285923445435431,0,
1200011036_ToyCar_case2_normal_IND_ch1_1036,normal,knn16,fp32,1.2294213171182864,0,
1200010618_ToyCar_case2_normal_IND_ch1_0618,normal,knn16,fp32,1.4765323610915855,0,
1200011120_ToyCar_case2_normal_IND_ch1_1120,normal,knn16,fp32,1.383344467930036,0,
1200010120_ToyCar_case2_normal_IND_ch1_0120,normal,knn16,fp32,1.4301614536404241,0,
1200011152_ToyCar_case2_normal_IND_ch1_1152,normal,knn16,fp32,1.5330575137141562,0,
1200010244_ToyCar_case2_normal_IND_ch1_0244,normal,knn16,fp32,1.3894661202034078,0,
1200011044_ToyCar_case2_normal_IND_ch1_1044,normal,knn16,fp32,1.3980608148044478,0,
1200010062_ToyCar_case2_normal_IND_ch1_0062,normal,knn16,fp32,1.4527163419776676,0,
1200010814_ToyCar_case2_normal_IND_ch1_0814,normal,knn16,fp32,1.537075849310846,0,
1200011208_ToyCar_case2_normal_IND_ch1_1208,normal,knn16,fp32,1.1668887134643315,0,
1200011062_ToyCar_case2_normal_IND_ch1_1062,normal,knn16,fp32,1.3826935253942456,0,
1200011268_ToyCar_case2_normal_IND_ch1_1268,normal,knn16,fp32,1.2851799466781844,0,
1200010281_ToyCar_case2_normal_IND_ch1_0281,normal,knn16,fp32,1.3978502067280747,0,
1200010346_ToyCar_case2_normal_IND_ch1_0346,normal,knn16,fp32,1.5385438817001185,0,
1200010242_ToyCar_case2_normal_IND_ch1_0242,normal,knn16,fp32,1.5724126649159964,0,
1200010091_ToyCar_case2_normal_IND_ch1_0091,normal,knn16,fp32,1.4290762803873984,0,
1200010832_ToyCar_case2_normal_IND_ch1_0832,normal,knn16,fp32,1.343292262428259,0,
1200010363_ToyCar_case2_normal_IND_ch1_0363,normal,knn16,fp32,1.5490018021963579,0,
1200011278_ToyCar_case2_normal_IND_ch1_1278,normal,knn16,fp32,1.3152444238684107,0,
1200010300_ToyCar_case2_normal_IND_ch1_0300,normal,knn16,fp32,1.446892754623697,0,
1200010525_ToyCar_case2_normal_IND_ch1_0525,normal,knn16,fp32,1.5025050115469756,0,
1200011164_ToyCar_case2_normal_IND_ch1_1164,normal,knn16,fp32,1.2471361350760848,0,
1200010935_ToyCar_case2_normal_IND_ch1_0935,normal,knn16,fp32,1.6864020978513101,0,
1200010234_ToyCar_case2_normal_IND_ch1_0234,normal,knn16,fp32,1.4120687109331813,0,
1200011171_ToyCar_case2_normal_IND_ch1_1171,normal,knn16,fp32,1.3098267798317278,0,
1200010843_ToyCar_case2_normal_IND_ch1_0843,normal,knn16,fp32,1.5547533218602507,0,
1200011212_ToyCar_case2_normal_IND_ch1_1212,normal,knn16,fp32,1.3566529863598318,0,
1200010303_ToyCar_case2_normal_IND_ch1_0303,normal,knn16,fp32,1.402639452746533,0,
1200010804_ToyCar_case2_normal_IND_ch1_0804,normal,knn16,fp32,1.4541499695472333,0,
1200011142_ToyCar_case2_normal_IND_ch1_1142,normal,knn16,fp32,1.1793296606104404,0,
1200010505_ToyCar_case2_normal_IND_ch1_0505,normal,knn16,fp32,1.3806271728768331,0,
1200011347_ToyCar_case2_normal_IND_ch1_1347,normal,knn16,fp32,1.3461894512647146,0,
1200010667_ToyCar_case2_normal_IND_ch1_0667,normal,knn16,fp32,1.5788705280823718,0,
1200010105_ToyCar_case2_normal_IND_ch1_0105,normal,knn16,fp32,1.399460575319326,0,
1200010141_ToyCar_case2_normal_IND_ch1_0141,normal,knn16,fp32,1.4422190083739599,0,
1200010100_ToyCar_case2_normal_IND_ch1_0100,normal,knn16,fp32,1.4496058310858986,0,
1200010976_ToyCar_case2_normal_IND_ch1_0976,normal,knn16,fp32,1.539677931039108,0,
1200010945_ToyCar_case2_normal_IND_ch1_0945,normal,knn16,fp32,1.556394908617222,0,
1200010676_ToyCar_case2_normal_IND_ch1_0676,normal,knn16,fp32,1.4122839340934483,0,
1200010490_ToyCar_case2_normal_IND_ch1_0490,normal,knn16,fp32,1.2814524806878687,0,
1200011247_ToyCar_case2_normal_IND_ch1_1247,normal,knn16,fp32,1.465597879539006,0,
1200011056_ToyCar_case2_normal_IND_ch1_1056,normal,knn16,fp32,1.2460208040323135,0,
1200010953_ToyCar_case2_normal_IND_ch1_0953,normal,knn16,fp32,1.4716890210173672,0,
1200011267_ToyCar_case2_normal_IND_ch1_1267,normal,knn16,fp32,1.325024286944736,0,
1200010527_ToyCar_case2_normal_IND_ch1_0527,normal,knn16,fp32,1.4764794343328282,0,
1200011048_ToyCar_case2_normal_IND_ch1_1048,normal,knn16,fp32,1.3042021463016968,0,
1200010294_ToyCar_case2_normal_IND_ch1_0294,normal,knn16,fp32,1.469795686094954,0,
1200010541_ToyCar_case2_normal_IND_ch1_0541,normal,knn16,fp32,1.7838087298487144,1,
1200010085_ToyCar_case2_normal_IND_ch1_0085,normal,knn16,fp32,1.6704980716545381,0,
1200010868_ToyCar_case2_normal_IND_ch1_0868,normal,knn16,fp32,1.4311415375124052,0,
1200010471_ToyCar_case2_normal_IND_ch1_0471,normal,knn16,fp32,1.4834628469246238,0,
1200011156_ToyCar_case2_normal_IND_ch1_1156,normal,knn16,fp32,1.1852761075281897,0,
1200010622_ToyCar_case2_normal_IND_ch1_0622,normal,knn16,fp32,1.329741853425932,0,
1200010296_ToyCar_case2_normal_IND_ch1_0296,normal,knn16,fp32,1.4887152427340975,0,
1200011158_ToyCar_case2_normal_IND_ch1_1158,normal,knn16,fp32,1.3336097103583078,0,
1200010388_ToyCar_case2_normal_IND_ch1_0388,normal,knn16,fp32,1.4521687145193554,0,
1200010437_ToyCar_case2_normal_IND_ch1_0437,normal,knn16,fp32,1.4070009092207127,0,
1200011269_ToyCar_case2_normal_IND_ch1_1269,normal,knn16,fp32,1.2685180972247596,0,
1200011311_ToyCar_case2_normal_IND_ch1_1311,normal,knn16,fp32,1.2882497122462786,0,
1200011167_ToyCar_case2_normal_IND_ch1_1167,normal,knn16,fp32,1.2941807168061412,0,
1200010377_ToyCar_case2_normal_IND_ch1_0377,normal,knn16,fp32,1.390069693470115,0,
1200011252_ToyCar_case2_normal_IND_ch1_1252,normal,knn16,fp32,1.1029405162504877,0,
1200010939_ToyCar_case2_normal_IND_ch1_0939,normal,knn16,fp32,1.5873923123101763,0,
1200011185_ToyCar_case2_normal_IND_ch1_1185,normal,knn16,fp32,1.322844444206886,0,
1200010803_ToyCar_case2_normal_IND_ch1_0803,normal,knn16,fp32,1.556911004700304,0,
1200011140_ToyCar_case2_normal_IND_ch1_1140,normal,knn16,fp32,1.312772563277695,0,
1200010744_ToyCar_case2_normal_IND_ch1_0744,normal,knn16,fp32,1.3961189615191318,0,
1200011146_ToyCar_case2_normal_IND_ch1_1146,normal,knn16,fp32,1.3284155796349948,0,
1200010736_ToyCar_case2_normal_IND_ch1_0736,normal,knn16,fp32,1.3211725716861202,0,
1200010476_ToyCar_case2_normal_IND_ch1_0476,normal,knn16,fp32,1.5914465763730201,0,
1200010572_ToyCar_case2_normal_IND_ch1_0572,normal,knn16,fp32,1.2491606146296326,0,
1200011074_ToyCar_case2_normal_IND_ch1_1074,normal,knn16,fp32,1.476753089375595,0,
1200011032_ToyCar_case2_normal_IND_ch1_1032,normal,knn16,fp32,1.364590412403523,0,
1200011240_ToyCar_case2_normal_IND_ch1_1240,normal,knn16,fp32,1.3367824578927239,0,
1200011180_ToyCar_case2_normal_IND_ch1_1180,normal,knn16,fp32,1.3281843869507235,0,
1200011286_ToyCar_case2_normal_IND_ch1_1286,normal,knn16,fp32,1.3075642557883955,0,
1200010896_ToyCar_case2_normal_IND_ch1_0896,normal,knn16,fp32,1.5659852501827183,0,
1200011092_ToyCar_case2_normal_IND_ch1_1092,normal,knn16,fp32,1.408875285424645,0,
