clip_name,true_label,head,head_precision,score,decision,sumsq
1200010748_ToyCar_case2_normal_IND_ch1_0748,normal,euclidean,fp32,1.415547251701355,0,
1200010336_ToyCar_case2_normal_IND_ch1_0336,normal,euclidean,fp32,1.5066828727722168,0,
1200010489_ToyCar_case2_normal_IND_ch1_0489,normal,euclidean,fp32,1.441582441329956,0,
1200011176_ToyCar_case2_normal_IND_ch1_1176,normal,euclidean,fp32,1.385756254196167,0,
1200010007_ToyCar_case2_normal_IND_ch1_0007,normal,euclidean,fp32,1.3036894798278809,0,
1200011271_ToyCar_case2_normal_IND_ch1_1271,normal,euclidean,fp32,1.5111321210861206,0,
1200010904_ToyCar_case2_normal_IND_ch1_0904,normal,euclidean,fp32,1.4910595417022705,0,
1200010240_ToyCar_case2_normal_IND_ch1_0240,normal,euclidean,fp32,1.491959810256958,0,
1200010386_ToyCar_case2_normal_IND_ch1_0386,normal,euclidean,fp32,1.4924254417419434,0,
1200010734_ToyCar_case2_normal_IND_ch1_0734,normal,euclidean,fp32,1.3365635871887207,0,
1200010455_ToyCar_case2_normal_IND_ch1_0455,normal,euclidean,fp32,1.488755702972412,0,
1200010745_ToyCar_case2_normal_IND_ch1_0745,normal,euclidean,fp32,1.3949940204620361,0,
1200010891_ToyCar_case2_normal_IND_ch1_0891,normal,euclidean,fp32,1.507516860961914,0,
1200010447_ToyCar_case2_normal_IND_ch1_0447,normal,euclidean,fp32,1.6053365468978882,1,
1200010595_ToyCar_case2_normal_IND_ch1_0595,normal,euclidean,fp32,1.3775310516357422,0,
1200010540_ToyCar_case2_normal_IND_ch1_0540,normal,euclidean,fp32,1.468058705329895,0,
1200010088_ToyCar_case2_normal_IND_ch1_0088,normal,euclidean,fp32,1.4424054622650146,0,
1200010285_ToyCar_case2_normal_IND_ch1_0285,normal,euclidean,fp32,1.4888182878494263,0,
1200011085_ToyCar_case2_normal_IND_ch1_1085,normal,euclidean,fp32,1.370983600616455,0,
1200010060_ToyCar_case2_normal_IND_ch1_0060,normal,euclidean,fp32,1.4271596670150757,0,
1200011162_ToyCar_case2_normal_IND_ch1_1162,normal,euclidean,fp32,1.411316990852356,0,
1200010337_ToyCar_case2_normal_IND_ch1_0337,normal,euclidean,fp32,1.536433219909668,0,
1200011298_ToyCar_case2_normal_IND_ch1_1298,normal,euclidean,fp32,1.479431390762329,0,
1200010021_ToyCar_case2_normal_IND_ch1_0021,normal,euclidean,fp32,1.3810269832611084,0,
1200010918_ToyCar_case2_normal_IND_ch1_0918,normal,euclidean,fp32,1.5402988195419312,0,
1200010619_ToyCar_case2_normal_IND_ch1_0619,normal,euclidean,fp32,1.4147069454193115,0,
1200010146_ToyCar_case2_normal_IND_ch1_0146,normal,euclidean,fp32,1.5126959085464478,0,
1200011068_ToyCar_case2_normal_IND_ch1_1068,normal,euclidean,fp32,1.3546714782714844,0,
1200011257_ToyCar_case2_normal_IND_ch1_1257,normal,euclidean,fp32,1.419446587562561,0,
1200011036_ToyCar_case2_normal_IND_ch1_1036,normal,euclidean,fp32,1.4273278713226318,0,
1200010618_ToyCar_case2_normal_IND_ch1_0618,normal,euclidean,fp32,1.4378148317337036,0,
1200011120_ToyCar_case2_normal_IND_ch1_1120,normal,euclidean,fp32,1.4281131029129028,0,
1200010120_ToyCar_case2_normal_IND_ch1_0120,normal,euclidean,fp32,1.5044023990631104,0,
1200011152_ToyCar_case2_normal_IND_ch1_1152,normal,euclidean,fp32,1.510340929031372,0,
1200010244_ToyCar_case2_normal_IND_ch1_0244,normal,euclidean,fp32,1.5253503322601318,0,
1200011044_ToyCar_case2_normal_IND_ch1_1044,normal,euclidean,fp32,1.5540456771850586,0,
1200010062_ToyCar_case2_normal_IND_ch1_0062,normal,euclidean,fp32,1.4978981018066406,0,
1200010814_ToyCar_case2_normal_IND_ch1_0814,normal,euclidean,fp32,1.5390807390213013,0,
1200011208_ToyCar_case2_normal_IND_ch1_1208,normal,euclidean,fp32,1.294048547744751,0,
1200011062_ToyCar_case2_normal_IND_ch1_1062,normal,euclidean,fp32,1.4059396982192993,0,
1200011268_ToyCar_case2_normal_IND_ch1_1268,normal,euclidean,fp32,1.4551934003829956,0,
1200010281_ToyCar_case2_normal_IND_ch1_0281,normal,euclidean,fp32,1.5246351957321167,0,
1200010346_ToyCar_case2_normal_IND_ch1_0346,normal,euclidean,fp32,1.4982049465179443,0,
1200010242_ToyCar_case2_normal_IND_ch1_0242,normal,euclidean,fp32,1.511256217956543,0,
1200010091_ToyCar_case2_normal_IND_ch1_0091,normal,euclidean,fp32,1.4007288217544556,0,
1200010832_ToyCar_case2_normal_IND_ch1_0832,normal,euclidean,fp32,1.4973738193511963,0,
1200010363_ToyCar_case2_normal_IND_ch1_0363,normal,euclidean,fp32,1.485576868057251,0,
1200011278_ToyCar_case2_normal_IND_ch1_1278,normal,euclidean,fp32,1.4460126161575317,0,
1200010300_ToyCar_case2_normal_IND_ch1_0300,normal,euclidean,fp32,1.4931772947311401,0,
1200010525_ToyCar_case2_normal_IND_ch1_0525,normal,euclidean,fp32,1.4295378923416138,0,
1200011164_ToyCar_case2_normal_IND_ch1_1164,normal,euclidean,fp32,1.4151945114135742,0,
1200010935_ToyCar_case2_normal_IND_ch1_0935,normal,euclidean,fp32,1.4631423950195312,0,
1200010234_ToyCar_case2_normal_IND_ch1_0234,normal,euclidean,fp32,1.5519802570343018,0,
1200011171_ToyCar_case2_normal_IND_ch1_1171,normal,euclidean,fp32,1.3834575414657593,0,
1200010843_ToyCar_case2_normal_IND_ch1_0843,normal,euclidean,fp32,1.5832443237304688,1,
1200011212_ToyCar_case2_normal_IND_ch1_1212,normal,euclidean,fp32,1.3765991926193237,0,
1200010303_ToyCar_case2_normal_IND_ch1_0303,normal,euclidean,fp32,1.497347116470337,0,
1200010804_ToyCar_case2_normal_IND_ch1_0804,normal,euclidean,fp32,1.443718433380127,0,
1200011142_ToyCar_case2_normal_IND_ch1_1142,normal,euclidean,fp32,1.3862096071243286,0,
1200010505_ToyCar_case2_normal_IND_ch1_0505,normal,euclidean,fp32,1.4063221216201782,0,
1200011347_ToyCar_case2_normal_IND_ch1_1347,normal,euclidean,fp32,1.4153814315795898,0,
