clip_name,true_label,head,head_precision,score,decision,sumsq
1200010748_ToyCar_case2_normal_IND_ch1_0748,normal,knn16,fp32,1.110227686332888,0,
1200010336_ToyCar_case2_normal_IND_ch1_0336,normal,knn16,fp32,1.1190941852496263,0,
1200010489_ToyCar_case2_normal_IND_ch1_0489,normal,knn16,fp32,1.0526494573490919,0,
1200011176_ToyCar_case2_normal_IND_ch1_1176,normal,knn16,fp32,1.030222442854783,0,
1200010007_ToyCar_case2_normal_IND_ch1_0007,normal,knn16,fp32,1.0535068799245455,0,
1200011271_ToyCar_case2_normal_IND_ch1_1271,normal,knn16,fp32,1.1200073064102813,0,
1200010904_ToyCar_case2_normal_IND_ch1_0904,normal,knn16,fp32,1.2043331804435893,0,
1200010240_ToyCar_case2_normal_IND_ch1_0240,normal,knn16,fp32,1.1977929019418794,0,
1200010386_ToyCar_case2_normal_IND_ch1_0386,normal,knn16,fp32,1.1185847805403328,0,
1200010734_ToyCar_case2_normal_IND_ch1_0734,normal,knn16,fp32,1.036983476937509,0,
1200010455_ToyCar_case2_normal_IND_ch1_0455,normal,knn16,fp32,1.0655562932427598,0,
1200010745_ToyCar_case2_normal_IND_ch1_0745,normal,knn16,fp32,1.117991087357678,0,
1200010891_ToyCar_case2_normal_IND_ch1_0891,normal,knn16,fp32,1.1775128292261081,0,
1200010447_ToyCar_case2_normal_IND_ch1_0447,normal,knn16,fp32,1.1972352652226417,0,
1200010595_ToyCar_case2_normal_IND_ch1_0595,normal,knn16,fp32,1.0737234036184387,0,
1200010540_ToyCar_case2_normal_IND_ch1_0540,normal,knn16,fp32,1.0837975924721288,0,
1200010088_ToyCar_case2_normal_IND_ch1_0088,normal,knn16,fp32,1.1618074343800093,0,
1200010285_ToyCar_case2_normal_IND_ch1_0285,normal,knn16,fp32,1.1895522631229432,0,
1200011085_ToyCar_case2_normal_IND_ch1_1085,normal,knn16,fp32,1.0841731389340674,0,
1200010060_ToyCar_case2_normal_IND_ch1_0060,normal,knn16,fp32,1.1305269486845069,0,
1200011162_ToyCar_case2_normal_IND_ch1_1162,normal,knn16,fp32,1.0796199540320552,0,
1200010337_ToyCar_case2_normal_IND_ch1_0337,normal,knn16,fp32,1.1437996391515741,0,
1200011298_ToyCar_case2_normal_IND_ch1_1298,normal,knn16,fp32,1.1294307192178217,0,
1200010021_ToyCar_case2_normal_IND_ch1_0021,normal,knn16,fp32,1.1139215907690916,0,
1200010918_ToyCar_case2_normal_IND_ch1_0918,normal,knn16,fp32,1.2234440822584205,0,
1200010619_ToyCar_case2_normal_IND_ch1_0619,normal,knn16,fp32,1.0915950664101224,0,
1200010146_ToyCar_case2_normal_IND_ch1_0146,normal,knn16,fp32,1.229542959929339,0,
1200011068_ToyCar_case2_normal_IND_ch1_1068,normal,knn16,fp32,1.0008774421324753,0,
1200011257_ToyCar_case2_normal_IND_ch1_1257,normal,knn16,fp32,1.1097295659675497,0,
1200011036_ToyCar_case2_normal_IND_ch1_1036,normal,knn16,fp32,1.1083373280028923,0,
1200010618_ToyCar_case2_normal_IND_ch1_0618,normal,knn16,fp32,1.0850494327505287,0,
1200011120_ToyCar_case2_normal_IND_ch1_1120,normal,knn16,fp32,1.0860821886926955,0,
1200010120_ToyCar_case2_normal_IND_ch1_0120,normal,knn16,fp32,1.2023384214137478,0,
1200011152_ToyCar_case2_normal_IND_ch1_1152,normal,knn16,fp32,1.1403894709528217,0,
1200010244_ToyCar_case2_normal_IND_ch1_0244,normal,knn16,fp32,1.2251452061003942,0,
1200011044_ToyCar_case2_normal_IND_ch1_1044,normal,knn16,fp32,1.2265484885276747,0,
1200010062_ToyCar_case2_normal_IND_ch1_0062,normal,knn16,fp32,1.2164020676186134,0,
1200010814_ToyCar_case2_normal_IND_ch1_0814,normal,knn16,fp32,1.2134779788608625,0,
1200011208_ToyCar_case2_normal_IND_ch1_1208,normal,knn16,fp32,1.0136240076316159,0,
1200011062_ToyCar_case2_normal_IND_ch1_1062,normal,knn16,fp32,1.0530384796924654,0,
1200011268_ToyCar_case2_normal_IND_ch1_1268,normal,knn16,fp32,1.118934417802932,0,
1200010281_ToyCar_case2_normal_IND_ch1_0281,normal,knn16,fp32,1.1920761982969938,0,
1200010346_ToyCar_case2_normal_IND_ch1_0346,normal,knn16,fp32,1.1216005769656847,0,
1200010242_ToyCar_case2_normal_IND_ch1_0242,normal,knn16,fp32,1.168984969590201,0,
1200010091_ToyCar_case2_normal_IND_ch1_0091,normal,knn16,fp32,1.142101064370172,0,
1200010832_ToyCar_case2_normal_IND_ch1_0832,normal,knn16,fp32,1.1862887166939229,0,
1200010363_ToyCar_case2_normal_IND_ch1_0363,normal,knn16,fp32,1.1441795856698336,0,
1200011278_ToyCar_case2_normal_IND_ch1_1278,normal,knn16,fp32,1.1098343134545796,0,
1200010300_ToyCar_case2_normal_IND_ch1_0300,normal,knn16,fp32,1.2061320812656888,0,
1200010525_ToyCar_case2_normal_IND_ch1_0525,normal,knn16,fp32,1.0701595380362965,0,
1200011164_ToyCar_case2_normal_IND_ch1_1164,normal,knn16,fp32,1.1011987411619706,0,
1200010935_ToyCar_case2_normal_IND_ch1_0935,normal,knn16,fp32,1.1774790692396548,0,
1200010234_ToyCar_case2_normal_IND_ch1_0234,normal,knn16,fp32,1.2306237031354543,0,
1200011171_ToyCar_case2_normal_IND_ch1_1171,normal,knn16,fp32,1.090670750402867,0,
1200010843_ToyCar_case2_normal_IND_ch1_0843,normal,knn16,fp32,1.2551261190383176,0,
1200011212_ToyCar_case2_normal_IND_ch1_1212,normal,knn16,fp32,1.0718306541243086,0,
1200010303_ToyCar_case2_normal_IND_ch1_0303,normal,knn16,fp32,1.1360052488595913,0,
1200010804_ToyCar_case2_normal_IND_ch1_0804,normal,knn16,fp32,1.138712850707611,0,
1200011142_ToyCar_case2_normal_IND_ch1_1142,normal,knn16,fp32,1.0317977405727903,0,
1200010505_ToyCar_case2_normal_IND_ch1_0505,normal,knn16,fp32,1.0495012440964673,0,
1200011347_ToyCar_case2_normal_IND_ch1_1347,normal,knn16,fp32,1.0673815057834892,0,
1200010667_ToyCar_case2_normal_IND_ch1_0667,normal,knn16,fp32,1.0883858404742963,0,
1200010105_ToyCar_case2_normal_IND_ch1_0105,normal,knn16,fp32,1.1602638095161164,0,
1200010141_ToyCar_case2_normal_IND_ch1_0141,normal,knn16,fp32,1.2243239394710883,0,
1200010100_ToyCar_case2_normal_IND_ch1_0100,normal,knn16,fp32,1.171953260624567,0,
1200010976_ToyCar_case2_normal_IND_ch1_0976,normal,knn16,fp32,1.2128840246712451,0,
1200010945_ToyCar_case2_normal_IND_ch1_0945,normal,knn16,fp32,1.169876711276104,0,
1200010676_ToyCar_case2_normal_IND_ch1_0676,normal,knn16,fp32,1.0510574280574283,0,
1200010490_ToyCar_case2_normal_IND_ch1_0490,normal,knn16,fp32,1.0708072450689705,0,
1200011247_ToyCar_case2_normal_IND_ch1_1247,normal,knn16,fp32,1.0669168454475457,0,
1200011056_ToyCar_case2_normal_IND_ch1_1056,normal,knn16,fp32,1.036330606585239,0,
1200010953_ToyCar_case2_normal_IND_ch1_0953,normal,knn16,fp32,1.2178687661342342,0,
1200011267_ToyCar_case2_normal_IND_ch1_1267,normal,knn16,fp32,1.1190534242938415,0,
1200010527_ToyCar_case2_normal_IND_ch1_0527,normal,knn16,fp32,1.0805030988997597,0,
1200011048_ToyCar_case2_normal_IND_ch1_1048,normal,knn16,fp32,1.1363907478699702,0,
1200010294_ToyCar_case2_normal_IND_ch1_0294,normal,knn16,fp32,1.2298825655257384,0,
1200010541_ToyCar_case2_normal_IND_ch1_0541,normal,knn16,fp32,1.0985028362934182,0,
1200010085_ToyCar_case2_normal_IND_ch1_0085,normal,knn16,fp32,1.1810978316142504,0,
1200010868_ToyCar_case2_normal_IND_ch1_0868,normal,knn16,fp32,1.2246867774846706,0,
1200010471_ToyCar_case2_normal_IND_ch1_0471,normal,knn16,fp32,1.0810976038238096,0,
1200011156_ToyCar_case2_normal_IND_ch1_1156,normal,knn16,fp32,1.0492301078227046,0,
1200010622_ToyCar_case2_normal_IND_ch1_0622,normal,knn16,fp32,1.0773155599076045,0,
1200010296_ToyCar_case2_normal_IND_ch1_0296,normal,knn16,fp32,1.1785415964635761,0,
1200011158_ToyCar_case2_normal_IND_ch1_1158,normal,knn16,fp32,1.07771929705232,0,
1200010388_ToyCar_case2_normal_IND_ch1_0388,normal,knn16,fp32,1.068998570580176,0,
1200010437_ToyCar_case2_normal_IND_ch1_0437,normal,knn16,fp32,1.0893498553764964,0,
1200011269_ToyCar_case2_normal_IND_ch1_1269,normal,knn16,fp32,1.1103413820363057,0,
1200011311_ToyCar_case2_normal_IND_ch1_1311,normal,knn16,fp32,1.098725665353896,0,
1200011167_ToyCar_case2_normal_IND_ch1_1167,normal,knn16,fp32,1.096921071618941,0,
1200010377_ToyCar_case2_normal_IND_ch1_0377,normal,knn16,fp32,1.0936262814201814,0,
1200011252_ToyCar_case2_normal_IND_ch1_1252,normal,knn16,fp32,1.07767057709165,0,
1200010939_ToyCar_case2_normal_IND_ch1_0939,normal,knn16,fp32,1.207925573192707,0,
1200011185_ToyCar_case2_normal_IND_ch1_1185,normal,knn16,fp32,1.0640796770546015,0,
1200010803_ToyCar_case2_normal_IND_ch1_0803,normal,knn16,fp32,1.1766360530536468,0,
1200011140_ToyCar_case2_normal_IND_ch1_1140,normal,knn16,fp32,1.07304011926245,0,
1200010744_ToyCar_case2_normal_IND_ch1_0744,normal,knn16,fp32,1.1142573197634393,0,
1200011146_ToyCar_case2_normal_IND_ch1_1146,normal,knn16,fp32,1.0431182744830534,0,
1200010736_ToyCar_case2_normal_IND_ch1_0736,normal,knn16,fp32,1.1266719527506561,0,
1200010476_ToyCar_case2_normal_IND_ch1_0476,normal,knn16,fp32,1.12962210186498,0,
1200010572_ToyCar_case2_normal_IND_ch1_0572,normal,knn16,fp32,1.1122632998579918,0,
1200011074_ToyCar_case2_normal_IND_ch1_1074,normal,knn16,fp32,1.0397667329397071,0,
1200011032_ToyCar_case2_normal_IND_ch1_1032,normal,knn16,fp32,1.1695221547822303,0,
1200011240_ToyCar_case2_normal_IND_ch1_1240,normal,knn16,fp32,1.1688380749819836,0,
1200011180_ToyCar_case2_normal_IND_ch1_1180,normal,knn16,fp32,1.0978910371398312,0,
1200011286_ToyCar_case2_normal_IND_ch1_1286,normal,knn16,fp32,1.1126501035518575,0,
1200010896_ToyCar_case2_normal_IND_ch1_0896,normal,knn16,fp32,1.2695943505518246,1,
1200011092_ToyCar_case2_normal_IND_ch1_1092,normal,knn16,fp32,1.0347738429497317,0,
1200011151_ToyCar_case2_normal_IND_ch1_1151,normal,knn16,fp32,1.0375293390507663,0,
1200011034_ToyCar_case2_normal_IND_ch1_1034,normal,knn16,fp32,1.1744959797651466,0,
1200010025_ToyCar_case2_normal_IND_ch1_0025,normal,knn16,fp32,1.1047535193017413,0,
1200010408_ToyCar_case2_normal_IND_ch1_0408,normal,knn16,fp32,1.1671060696919284,0,
1200010750_ToyCar_case2_normal_IND_ch1_0750,normal,knn16,fp32,1.0377502712774533,0,
1200010434_ToyCar_case2_normal_IND_ch1_0434,normal,knn16,fp32,1.173047237529857,0,
1200011114_ToyCar_case2_normal_IND_ch1_1114,normal,knn16,fp32,1.06631176582336,0,
1200010192_ToyCar_case2_normal_IND_ch1_0192,normal,knn16,fp32,1.215245603049469,0,
1200010655_ToyCar_case2_normal_IND_ch1_0655,normal,knn16,fp32,1.0319944478619154,0,
1200011031_ToyCar_case2_normal_IND_ch1_1031,normal,knn16,fp32,1.16352385519965,0,
1200010926_ToyCar_case2_normal_IND_ch1_0926,normal,knn16,fp32,1.1907555169368436,0,
1200010354_ToyCar_case2_normal_IND_ch1_0354,normal,knn16,fp32,1.128455660615084,0,
1200010687_ToyCar_case2_normal_IND_ch1_0687,normal,knn16,fp32,1.0159099685800699,0,
1200011190_ToyCar_case2_normal_IND_ch1_1190,normal,knn16,fp32,1.060826911602756,0,
