clip_name,true_label,head,head_precision,score,decision,sumsq
1200010748_ToyCar_case2_normal_IND_ch1_0748,normal,knn16,fp32,1.1102777778061519,0,
1200010336_ToyCar_case2_normal_IND_ch1_0336,normal,knn16,fp32,1.1193312339186667,0,
1200010489_ToyCar_case2_normal_IND_ch1_0489,normal,knn16,fp32,1.0529110163781346,0,
1200011176_ToyCar_case2_normal_IND_ch1_1176,normal,knn16,fp32,1.031315393803521,0,
1200010007_ToyCar_case2_normal_IND_ch1_0007,normal,knn16,fp32,1.0527747186274365,0,
1200011271_ToyCar_case2_normal_IND_ch1_1271,normal,knn16,fp32,1.121638861265362,0,
1200010904_ToyCar_case2_normal_IND_ch1_0904,normal,knn16,fp32,1.2057249463417856,0,
1200010240_ToyCar_case2_normal_IND_ch1_0240,normal,knn16,fp32,1.19874284031494,0,
1200010386_ToyCar_case2_normal_IND_ch1_0386,normal,knn16,fp32,1.1197650200828988,0,
1200010734_ToyCar_case2_normal_IND_ch1_0734,normal,knn16,fp32,1.0374790524239406,0,
1200010455_ToyCar_case2_normal_IND_ch1_0455,normal,knn16,fp32,1.0653551005373358,0,
1200010745_ToyCar_case2_normal_IND_ch1_0745,normal,knn16,fp32,1.119353094859617,0,
1200010891_ToyCar_case2_normal_IND_ch1_0891,normal,knn16,fp32,1.1789284959449309,0,
1200010447_ToyCar_case2_normal_IND_ch1_0447,normal,knn16,fp32,1.1990244444753482,0,
1200010595_ToyCar_case2_normal_IND_ch1_0595,normal,knn16,fp32,1.0741337414935634,0,
1200010540_ToyCar_case2_normal_IND_ch1_0540,normal,knn16,fp32,1.0848312056955276,0,
1200010088_ToyCar_case2_normal_IND_ch1_0088,normal,knn16,fp32,1.1621303181126157,0,
1200010285_ToyCar_case2_normal_IND_ch1_0285,normal,knn16,fp32,1.1912086388443714,0,
1200011085_ToyCar_case2_normal_IND_ch1_1085,normal,knn16,fp32,1.0846735905982205,0,
1200010060_ToyCar_case2_normal_IND_ch1_0060,normal,knn16,fp32,1.1306115940901855,0,
1200011162_ToyCar_case2_normal_IND_ch1_1162,normal,knn16,fp32,1.0810423102948497,0,
1200010337_ToyCar_case2_normal_IND_ch1_0337,normal,knn16,fp32,1.144320662199056,0,
1200011298_ToyCar_case2_normal_IND_ch1_1298,normal,knn16,fp32,1.1300124344405478,0,
1200010021_ToyCar_case2_normal_IND_ch1_0021,normal,knn16,fp32,1.1135558481080172,0,
1200010918_ToyCar_case2_normal_IND_ch1_0918,normal,knn16,fp32,1.224816920679782,0,
1200010619_ToyCar_case2_normal_IND_ch1_0619,normal,knn16,fp32,1.0922673481632272,0,
1200010146_ToyCar_case2_normal_IND_ch1_0146,normal,knn16,fp32,1.2309519190006353,0,
1200011068_ToyCar_case2_normal_IND_ch1_1068,normal,knn16,fp32,1.000022188584593,0,
1200011257_ToyCar_case2_normal_IND_ch1_1257,normal,knn16,fp32,1.1109586277600405,0,
1200011036_ToyCar_case2_normal_IND_ch1_1036,normal,knn16,fp32,1.1093994813045298,0,
1200010618_ToyCar_case2_normal_IND_ch1_0618,normal,knn16,fp32,1.0854492808138432,0,
1200011120_ToyCar_case2_normal_IND_ch1_1120,normal,knn16,fp32,1.0867811071753781,0,
1200010120_ToyCar_case2_normal_IND_ch1_0120,normal,knn16,fp32,1.2031501273890617,0,
1200011152_ToyCar_case2_normal_IND_ch1_1152,normal,knn16,fp32,1.14113311611894,0,
1200010244_ToyCar_case2_normal_IND_ch1_0244,normal,knn16,fp32,1.2265930394256848,0,
1200011044_ToyCar_case2_normal_IND_ch1_1044,normal,knn16,fp32,1.228122259584692,0,
1200010062_ToyCar_case2_normal_IND_ch1_0062,normal,knn16,fp32,1.217365400624534,0,
1200010814_ToyCar_case2_normal_IND_ch1_0814,normal,knn16,fp32,1.2144729176029814,0,
1200011208_ToyCar_case2_normal_IND_ch1_1208,normal,knn16,fp32,1.0149767240363146,0,
1200011062_ToyCar_case2_normal_IND_ch1_1062,normal,knn16,fp32,1.0521238852091792,0,
1200011268_ToyCar_case2_normal_IND_ch1_1268,normal,knn16,fp32,1.120165417891677,0,
1200010281_ToyCar_case2_normal_IND_ch1_0281,normal,knn16,fp32,1.193211009913033,0,
1200010346_ToyCar_case2_normal_IND_ch1_0346,normal,knn16,fp32,1.1223736276307437,0,
1200010242_ToyCar_case2_normal_IND_ch1_0242,normal,knn16,fp32,1.169796237155678,0,
1200010091_ToyCar_case2_normal_IND_ch1_0091,normal,knn16,fp32,1.1430533672310987,0,
1200010832_ToyCar_case2_normal_IND_ch1_0832,normal,knn16,fp32,1.1877794681226648,0,
1200010363_ToyCar_case2_normal_IND_ch1_0363,normal,knn16,fp32,1.1445062443345728,0,
1200011278_ToyCar_case2_normal_IND_ch1_1278,normal,knn16,fp32,1.1109321328913109,0,
1200010300_ToyCar_case2_normal_IND_ch1_0300,normal,knn16,fp32,1.2075117027584692,0,
1200010525_ToyCar_case2_normal_IND_ch1_0525,normal,knn16,fp32,1.0713524927701392,0,
1200011164_ToyCar_case2_normal_IND_ch1_1164,normal,knn16,fp32,1.1017316186060666,0,
1200010935_ToyCar_case2_normal_IND_ch1_0935,normal,knn16,fp32,1.17952761564574,0,
1200010234_ToyCar_case2_normal_IND_ch1_0234,normal,knn16,fp32,1.2317962578041224,0,
1200011171_ToyCar_case2_normal_IND_ch1_1171,normal,knn16,fp32,1.091256006492892,0,
1200010843_ToyCar_case2_normal_IND_ch1_0843,normal,knn16,fp32,1.2561160101126914,0,
1200011212_ToyCar_case2_normal_IND_ch1_1212,normal,knn16,fp32,1.0731310360491544,0,
1200010303_ToyCar_case2_normal_IND_ch1_0303,normal,knn16,fp32,1.1348958145377752,0,
1200010804_ToyCar_case2_normal_IND_ch1_0804,normal,knn16,fp32,1.139529117996149,0,
1200011142_ToyCar_case2_normal_IND_ch1_1142,normal,knn16,fp32,1.0324797820268878,0,
1200010505_ToyCar_case2_normal_IND_ch1_0505,normal,knn16,fp32,1.0496015683588713,0,
1200011347_ToyCar_case2_normal_IND_ch1_1347,normal,knn16,fp32,1.0683596098257997,0,
1200010667_ToyCar_case2_normal_IND_ch1_0667,normal,knn16,fp32,1.0885619569332032,0,
